sequence	group	script	frozen_output	replay_output	compile	exit_code	stderr_bytes	stdout_exact_match	script_sha256	frozen_output_sha256	replay_output_sha256	result
15	stage1_B	native_action_stage1_2026-07-18/arm_B/cold_output/cas_metric_product_and_csn.py	native_action_stage1_2026-07-18/arm_B/cold_output/cas_metric_product_and_csn_out.txt	ALGEBRA_RERUN_OUTPUTS/15_stage1_B_cas_metric_product_and_csn_out.txt	PASS	0	0	PASS	cd2b345ef270d0e435ff9c0e03e84625c047f32ad5d4a43d339edb607cd74dcb	abe6856589664980613df2de394fa82878a881097e7c92fa45cc93510c448391	abe6856589664980613df2de394fa82878a881097e7c92fa45cc93510c448391	PASS
16	stage2_A	native_action_stage2_2026-07-18/arm_A/D6_RETURN/cas_stage2_carrier_weight_source.py	native_action_stage2_2026-07-18/arm_A/D6_RETURN/cas_stage2_carrier_weight_source_out.txt	ALGEBRA_RERUN_OUTPUTS/16_stage2_A_cas_stage2_carrier_weight_source_out.txt	PASS	0	0	PASS	da127cd80792138d83234e320eabb09c547776704beccbe0c678ff01341ef9c1	7f6fe165a73cf0f9bec2f8ce85d6d6ab64ad1afe23309775f63a5e61aae66c8b	7f6fe165a73cf0f9bec2f8ce85d6d6ab64ad1afe23309775f63a5e61aae66c8b	PASS
17	stage2_A	native_action_stage2_2026-07-18/arm_A/D6_RETURN/cas_stage2_mass_virial.py	native_action_stage2_2026-07-18/arm_A/D6_RETURN/cas_stage2_mass_virial_out.txt	ALGEBRA_RERUN_OUTPUTS/17_stage2_A_cas_stage2_mass_virial_out.txt	PASS	0	0	PASS	7ced62e230232adefa211d263256910d991c4517f677a6c4519c1c4feb82ce27	0842850ceef14cc2bb1931db426f654bb7286a1cf0a9a2a4d47277f10a41a415	0842850ceef14cc2bb1931db426f654bb7286a1cf0a9a2a4d47277f10a41a415	PASS
18	stage2_B	native_action_stage2_2026-07-18/arm_B/D6_RETURN/cas_stage2_source_channel_identities.py	native_action_stage2_2026-07-18/arm_B/D6_RETURN/cas_stage2_source_channel_identities_out.txt	ALGEBRA_RERUN_OUTPUTS/18_stage2_B_cas_stage2_source_channel_identities_out.txt	PASS	0	0	PASS	07e01e02a6165fe8476895071f59557bee5884e9e06580ac23ffc1a066877a15	a0c2e3e19ab6ccda13cf684a5646b7c0ef8cbf0caa2353102d3c6337de6a39f2	a0c2e3e19ab6ccda13cf684a5646b7c0ef8cbf0caa2353102d3c6337de6a39f2	PASS
19	stage2_B	native_action_stage2_2026-07-18/arm_B/D6_RETURN/cas_stage2_srel_sfol_conventions.py	native_action_stage2_2026-07-18/arm_B/D6_RETURN/cas_stage2_srel_sfol_conventions_out.txt	ALGEBRA_RERUN_OUTPUTS/19_stage2_B_cas_stage2_srel_sfol_conventions_out.txt	PASS	0	0	PASS	9b2579fbe2da79038309674af430eb39ab4a70ebb97dba2b5dcfea052470a628	77e6f78ea242bd7c8a62bfdca60a278f1fb13d08e54413c364cfcfe3a94bf1bb	77e6f78ea242bd7c8a62bfdca60a278f1fb13d08e54413c364cfcfe3a94bf1bb	PASS
20	arm_C	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_boundary_charge.py	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_boundary_charge_out.txt	ALGEBRA_RERUN_OUTPUTS/20_arm_C_cas_armc_boundary_charge_out.txt	PASS	0	0	PASS	e29f017a354275b62d415961365583d165bffc9637303b1a3ae9feb17510184d	d594ac7fe649ae1d9b70db1707b20d020f4527fcaccacb4aa1c9e06db32895a5	d594ac7fe649ae1d9b70db1707b20d020f4527fcaccacb4aa1c9e06db32895a5	PASS
21	arm_C	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_carrier_covariance.py	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_carrier_covariance_out.txt	ALGEBRA_RERUN_OUTPUTS/21_arm_C_cas_armc_carrier_covariance_out.txt	PASS	0	0	PASS	7ad9815998b84db418b86031e9688c8dcc783dcf5d85c419fc9c20e7d0e0bd85	663667293f2ecc5ceeb30c579050e79a491c204705cb525d49161a5d1163912e	663667293f2ecc5ceeb30c579050e79a491c204705cb525d49161a5d1163912e	PASS
22	arm_C	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_mass_virial.py	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_mass_virial_out.txt	ALGEBRA_RERUN_OUTPUTS/22_arm_C_cas_armc_mass_virial_out.txt	PASS	0	0	PASS	3baae94a7026f53dc7db921614b9775f41b33f1ec84c4f9174949d7b2343f499	87388c71a062355d2697ee4e08b9f9ed532513969841fc87de83da2df2cace18	87388c71a062355d2697ee4e08b9f9ed532513969841fc87de83da2df2cace18	PASS
23	arm_C	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_unique_action_weights.py	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_unique_action_weights_out.txt	ALGEBRA_RERUN_OUTPUTS/23_arm_C_cas_armc_unique_action_weights_out.txt	PASS	0	0	PASS	33e804e990fad69e49b3471adc8443f8037e7d4b5f617999dd1579286c3e430c	f0310cfb685522f92f680bf6966846faf4ccec43b14124d784e9fc14439bf028	f0310cfb685522f92f680bf6966846faf4ccec43b14124d784e9fc14439bf028	PASS
24	arm_C	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_variation_domain.py	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_variation_domain_out.txt	ALGEBRA_RERUN_OUTPUTS/24_arm_C_cas_armc_variation_domain_out.txt	PASS	0	0	PASS	084511961b6c69270278c64ae69f58942b044f106990e7071a5003f8535aee7e	c84b12a609aeb99ac4cd2e6e16b9aa9967b81607fa5dd3d977e30cb6c4353696	c84b12a609aeb99ac4cd2e6e16b9aa9967b81607fa5dd3d977e30cb6c4353696	PASS
