id	object	status	exact_scope_or_premises	affirmative_authority	what_is_not_claimed	closure_needed
S18	Foliation S2 completions	CONDITIONAL	Chosen foliation; free time coefficients; corrected electric sign mapping	Stage-II B correction; Arm C; algebra replay	Not a native preferred time or stable completion	Time-live principle and well-posed coupled solution
S19	Static-restriction affine family S_min+ker(R)	DERIVED / CONDITIONAL	Exact statement about extensions with the same static restriction	Arm A; Arm C; algebra replay	Does not make every kernel element admissible or solution-preserving	Completed base model plus nontrivial admissible deformation and persistence proof
S20	Unrestricted minimal-carrier stress identity rho+S=2rho4	CONDITIONAL	Corrected minimal covariant S2 action and unrestricted metric variation	Stage-II A/B; Arm C; algebra replay	Not a native carrier-to-dilation source	Derive completion and variation rule
S21	Reciprocal-tangent source identity	CONDITIONAL	Hard reciprocal tangent variation in the stated decomposition	Stage-II B; Arm C; algebra replay	Not equivalent to unrestricted stress identity	Select domain and prove equivalence if claimed
S22	Native carrier-to-dilation source law	OPEN	Must fix carrier; weights; measure; representative; time sector; metric/phi dependence; variation order	A/B/C negative/underdetermination audit	No source coefficient is presently forced	Native completed action or a shared static-sector theorem
S23	Complete native action	OPEN	Must include fields; equations; invariant inventory; coefficients; domain; finite boundary; solution; stability; global closure	A/B/C with countermodel-completeness correction	Neither a unique action nor two complete countermodel universes were produced	Selector or complete competing models under every foundation gate
S24	Finite-cell differentiable boundary action	OPEN	Native cell; all fields; corners/topology; admissible variations	A/B/C current audit	Seal value alone is insufficient	Derive boundary/corner completion
S25	Normalized finite-cell gravitational charge/mass	OPEN	Selected differentiable action; symmetry/generator; reference; orientation; normalization; solution	A/B/C current audit	No raw flux or asymptotic ADM rule is native	Finite-cell Hamiltonian/covariant-phase-space derivation
S26	EH-conditional weak source/lapse mass M_N^(0)=2E4	CONDITIONAL	EH geometry; minimal covariant S2; unrestricted metric variation; branch finite-volume generator; controlled weak backreaction	Stage-II A/B; Arm C; algebra replay	Not action-independent and not current finite-box equality to Ecarrier	Native branch adoption or shared-sector theorem plus normalization
S27	Finite-domain identity M_N^(0)=Ecarrier+B_boundary+W_res	CONDITIONAL	S26 plus E4-E2=B_boundary+W_res	Stage-II A/B; Arm C; algebra replay	Does not set boundary or residual to zero	Surface theorem and residual control
S28	Limit M_N^(0)=Ecarrier	CONDITIONAL / OPEN	Specified solution sequence with B_boundary to 0; W_res to 0; uniform weak expansion	Stage-II A/B; Arm C	Exact criticality alone removes only W_res	Local surface theorem; controlled domain limit; uniform remainder
S29	Current L=6 virial gap near -2.7 percent	OBSERVED / SCOPED	Current corrected finite-box continuum audit and its conventions	2026-07-17 controller restatement; A/B/C current audit	Not universal physics and not a surface theorem	Independent numerical/source audit if reused quantitatively
S30	Old 0.05 percent centered-operator match	SUPERSEDED	Failure/supersession evidence only	Allowed negative use under firewall; current no-null audit	Not evidence or a pass criterion	None; retain only as scar
S31	Shared static-source route across inequivalent full actions	OPEN	Same exact finite-cell static equations; same source variation; same differentiable generator/reference/normalization; compatible solutions and controlled limit across an action class	Arm C current correction and final logical audit	Logical possibility is not a derived route	Construct common-sector equivalence theorem and at least two complete inequivalent members
S32	Universal Xmax	WORKING / POSIT	One universal unattainable scale	C1 current owner ledger	Formula; origin; normalization; value are not derived	Noncircular global closure
S33	Proper-total-density narrow window	WORKING	Use rho_tot and Delta rho/rho_star much less than 1; no center/width supplied	C1 current owner ledger	Not a fitted local coupling or separately normalized density	Full proper volume; total charge; emergent center/width
