id	topic	arm_A_stage_I	arm_B_stage_I	arm_A_stage_II	arm_B_stage_II	arm_C_audit	mechanical_relation	required_correction	final_ruling	final_status
M11	EH/Lovelock branch	Rejected as forced; retained as comparison	Rejected as forced; retained as possible chosen branch	EH source/mass branch conditional	Same	EH needs post-scale representative; metric-only local covariance; second-order/Lovelock premises; scale; boundary completion	AGREE	Do not import EH through familiar GR form or spatial-infinity normalization	EH is a conditional post-scale/reference branch	CONDITIONAL
M12	Carrier identity	Carrier-agnostic branch retained; S2 reopened conditional	Same	Historical audit confirms S2 posit	Same	Confirmed no carrier selection	AGREE	None	Round S2 is not derived or unique	WORKING / POSIT / CONDITIONAL
M13	Static E2+E4 versus 4D completion	Exact restriction-kernel family; minimal covariant and foliation examples	Covariant and foliation examples	Completion/source still open	Completion/source still open	Static restriction cannot determine time-live terms; arbitrary kernel terms need admissibility and solution persistence	AGREE_WITH_C_QUALIFICATION	Do not call every kernel member a complete countermodel	The supplied energy is a conditional static branch; 4D completion is not fixed	CONDITIONAL / OPEN
M14	Arm-B covariant S2 convention	Arm A used the consistent overall minus sign	Arm B omitted the overall minus sign	No issue	Explicitly corrected	Independently reproduced correction	DISAGREE_CORRECTED	Use S_rel=-integral sqrt(|g|)[xi/2(grad n)^2+kappa4/4 F^2]	Frozen Stage-I B formula is wrong; D6 correction controls later use	CORRECTED / CONDITIONAL
M15	Arm-B foliation electric convention	Arm A used positive electric contribution under its convention	Arm B wrote -gamma electric term and implied positive matching	No issue	Corrected mapping	Independently reproduced	DISAGREE_CORRECTED	As written gamma=-kappa4; alternatively flip the electric-term sign for gamma=+kappa4	Only corrected convention may be reused	CORRECTED / CONDITIONAL
M16	Unrestricted metric carrier source	Minimal covariant completion yields rho+S=2rho4 conditionally	Same conclusion after disclosure	Explicit derivation	Explicit derivation	Confirmed exact under chosen completion and unrestricted metric variation	AGREE	Do not call it a native source law	Stress identity is valid only on the named completion/variation branch	CONDITIONAL
M17	Reciprocal-tangent source	Distinguished from unrestricted source	Derived explicitly in D6	Generic directional source retained	Gives rho+p_parallel=2(rho2_parallel+rho4_parallel)	Confirmed generic difference from rho+S	AGREE	Do not interchange metric and constrained-phi variation	Directional identity is branch exact; variation domain remains unselected	CONDITIONAL
M18	Carrier-covariance forcing	No weight forced	No source law forced	Route refuted as forced	Route refuted as forced	Confirmed covariance classifies a chosen completion but does not select carrier; weight; representative; time sector; or variation	AGREE	None	Native carrier-to-dilation source remains unproved	OPEN
M19	Boundary functional and charge	Parity does not select boundary functional; raw flux not mass	Same	Finite-cell generator remains open	Same	Total derivatives shift momentum/primitive; topology/reference/normalization remain independent	AGREE	None	Complete differentiable finite-cell boundary action and normalized gravitational charge remain open	OPEN
M20	EH-conditional source/lapse mass	Not available cold	Not available cold	M_N^(0)=2E4 under EH/minimal-carrier/weak premises	Same	Confirmed conditional identity only	AGREE	Carry action; completion; variation; weak-field; finite-generator premises	M_N^(0)=2E4 is not action-independent UDT physics	CONDITIONAL
M21	Finite-domain mass/virial accounting	Not available cold	Not available cold	M=Ecarrier+B_boundary+W_res	Same	Confirmed algebra	AGREE	Keep B_boundary and W_res explicit	The three-part identity is exact given its conditional source and virial premises	CONDITIONAL
M22	Controlled mass closure	No universal mass identity	No universal mass identity	M=Ecarrier only if B and W vanish in a controlled sequence	Same	Confirmed; exact criticality removes only W_res	AGREE	Do not use Derrick scaling alone to erase the boundary term	Mass-equals-carrier-energy remains a separately premised limit	CONDITIONAL / OPEN
M23	Current numerical virial status	No historical data in cold stage	No historical data in cold stage	Near -2.7 percent current gap; old 0.05 percent superseded	Same	Confirmed status separation	AGREE	Use old record only as failure/supersession evidence	No current finite-box E2=E4 identity	OBSERVED / SCOPED
M24	Static-mass priority relative to Q1	No priority theorem	No priority theorem	Said static mass cannot precede full Q1	Same	No-go is too strong; shared static sourced sector across inequivalent full actions is logically possible	OVERCLAIM_CORRECTED	Replace impossibility with an open common-sector test	Unique full dynamics may be unnecessary for a scoped static result; current materials do not derive the shared sector	OPEN
M25	Global Xmax/bootstrap/density	Xmax formula/value and density center/width do not fix local dynamics	Same	Historical routes do not close action/source	Same	Confirmed global gates are unimplemented in all candidates	AGREE	Use rho_tot and Delta rho/rho_star only; invent no normalization	Global closure remains a required completeness gate, not a local coupling	WORKING / POSIT / OPEN
M26	Complete native physics package	Action; source; boundary charge underdetermined	Same	All remain open despite conditional branches	Same	No candidate completes fields; equations; finite boundary; nontrivial solution; stability; and global closure	AGREE_WITH_CORRECTIONS	Keep conditional bulks and identities separate from complete action	Complete action; native source; and normalized finite-cell charge are not yet derived	OPEN
