claim_id	layer	object	status	basis	dependency_or_limit	maximum_claim
R11	POSITIVE_SCALE_QUOTIENT	nonzero complex doublet modulo positive real scale	S3_REPRESENTATIVE_CONDITIONAL	choosing a positive Hermitian norm gives one unit S3 representative per positive ray	no positive Hermitian norm is invariant under the full Lorentz boost group; observer or norm is chosen	S3 is representation-space topology not a physical spatial universe
R12	PROJECTIVIZATION	nonzero complex doublet modulo C-star	CP1_EQUALS_S2_CONDITIONAL	phase-invariant Pauli bilinears land exactly on the unit S2	complex doublet and Lorentz spin realization remain conditional; Lorentz boosts are conformal rather than round-metric isometries	projective spin coordinates reproduce the celestial conformal S2
R13	PHASES	common and relative component phases	PERIODIC_WITH_DISTINCT_ROLES	the common phase is projective Hopf-fiber gauge while the relative phase is celestial azimuth after an axis/frame choice	common phase is not generically in SL2C and neither role is a second physical transverse spatial direction	periodicity appears natively at representation level only
R14	HOPF_ORBIT	normalized unit-doublet orbit metric	EXACT_RECIPROCAL_MATCH	with tan(eta)=exp(2phi) the determinant-normalized orbit block is diag(exp(-2phi),exp(2phi))	requires conditional spin realization norm representative component basis and equal component magnitudes at the physical phi-zero reference; a generic seed adds a constant reciprocal offset	explains the prior exact Hopf match as a representation-theoretic correspondence with an explicit balanced-reference premise
R15	HOPF_CONNECTION	unit-spinor circle bundle	UNIT_CLASS_CONDITIONAL	the normalized connection has integral A wedge dA=-4pi squared and registered unit class one	requires the S3 spin lift and common-phase bundle; not supplied by the bare SO3 metric frame bundle	unit Hopf geometry follows after the spin-lift premises
R16	GLOBAL_SPIN	global S3 versus metric frame RP3	OPEN_TYPE_GATE	bare oriented rotation frames give SO3 to S2 with RP3 total space and Euler magnitude two; SU2 to S2 gives S3 and Chern magnitude one	global spin existence and choice are not derived by current C0/C1; product orientable 3-slice assumptions would be additional	metric celestial directions do not automatically supply the unit Hopf lift
R17	SOLDERING	representation phases to physical transverse metric or carrier	OPEN	a spin/frame coordinate is not a tangent-space line distribution or physical field section	needs a native realization section transport and boundary law	representation correspondence cannot be promoted to carrier or spatial torus
R18	FINITE_CELL	static phi seal parity and physical boundary	INSUFFICIENT_FOR_REALIZATION	canon fixes odd phi zero seal value finite domain and no spatial infinity	no transverse topology period lattice spin lift or boundary functional is supplied	finite cell leaves R07 R08 and representation-only families open
R19	BOOTSTRAP	global solution admissibility	NO_CURRENT_RANKING_OPERATOR	registered wording supplies no equations action topology comparison or off-shell map	cannot certify the counterfamilies as realized universes or reject them	bootstrap does not close the selector
R20	CAP_GATE	finite-cell opposing eigen-circle caps	NOT_ACTIVATED	the prerequisite physical transverse periodic pair was not derived	representation-space phase circles do not activate a spatial cap theorem	no cap S3 spatial universe or quotient action follows
R21	DYNAMICS	carrier action source boundary charge time-live mass	OPEN	this audit enters kinematic and representation geometry only	no variation dynamics source normalization or physical boundary completion	no matter or mass conclusion follows
R22	OVERALL	transverse reciprocal realization selector	TWO_LEVEL_RESULT	exact conditional representation-level reciprocal Hopf correspondence coexists with direct physical-spatial underdetermination	Lorentz spin embedding global lift norm/frame and soldering remain premise-stamped; finite-cell cap gate stays inactive	reframe the next gate toward realization/soldering without declaring closure
