premise_id	original_result	fidelity_disposition	category	required_registry_ids	statement_sha256	assessment_path	assessment_sha256	scope_owner	qualification
G402	NCI1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G176,G216,G217,G220	340d2e7a1301f2bb6ec08ef9b9600d1e780da47106d13b392c43339f36ce8a34	udt_reviewed_backlog_banking_2026-09-10/PARENT_CANDIDATES.json	baa3310be6379ec0a5ca3d54bf7d59ad3a26ecb909839e9b4ee7818231c5d20f	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G403	DCI1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G220	f1a27bdc1fd6c36727a8d8223edd0487dcd031751088a2efd5fa18f6aa02beba	udt_reviewed_backlog_banking_2026-09-10/PARENT_CANDIDATES.json	baa3310be6379ec0a5ca3d54bf7d59ad3a26ecb909839e9b4ee7818231c5d20f	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G404	KTI1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G176,G179,G180,G182,G216,G220	39c6863b31db2f2186545fde28f72f6d24e6cc1ab9da01d13b7e798acd9a36b7	udt_reviewed_backlog_banking_2026-09-10/PARENT_CANDIDATES.json	baa3310be6379ec0a5ca3d54bf7d59ad3a26ecb909839e9b4ee7818231c5d20f	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G405	ER1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G166,G176,G179,G180,G182,G216	8021c7083058dabec05f6929f530f52404ef6b6830ff51a94dd4becccc410b0a	udt_reviewed_backlog_banking_2026-09-10/PARENT_CANDIDATES.json	baa3310be6379ec0a5ca3d54bf7d59ad3a26ecb909839e9b4ee7818231c5d20f	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G406	TM1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G313,G358,G312	4d6bacb682e04c25604b628edeb519d278160e8ad32702b2487585273607c837	udt_reviewed_backlog_banking_2026-09-10/review_response/ADDED_CANDIDATES.json	5d43f07bd346b135d38d1d2bcfb9942d869957c08f3141f12e4bbcd3ee5f4431	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G407	TM2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G313,G358,G312,G406	4c3c9e7a996e886ba02af8827f39e89842226bfb8e04e5320b21cede5c64c5b7	udt_reviewed_backlog_banking_2026-09-10/review_response/ADDED_CANDIDATES.json	5d43f07bd346b135d38d1d2bcfb9942d869957c08f3141f12e4bbcd3ee5f4431	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G408	CO1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G313,G312	a61dc6980cefcd11decce728e76b4c774ddd0f4078685c1ef66d6924344be4b3	udt_reviewed_backlog_banking_2026-09-10/review_response/ADDED_CANDIDATES.json	5d43f07bd346b135d38d1d2bcfb9942d869957c08f3141f12e4bbcd3ee5f4431	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G409	CO2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_CONDITIONAL_DESIGN_CONTROL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G312,G408	9cda76d07644b28ce736991f575d53c3b5329bf4658ea4447ef6162e4980e63f	udt_reviewed_backlog_banking_2026-09-10/review_response/ADDED_CANDIDATES.json	5d43f07bd346b135d38d1d2bcfb9942d869957c08f3141f12e4bbcd3ee5f4431	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G410	RD1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON		b3775e23c9c61d890e5490d51f7113360a3e95f932fc224ea9492c000f7910cb	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/ADDITIONAL_READINESS.json	de6f77aa3329b9aae0f6e3a2e484087f943371ebce6da82e24252aa00d2b2c90	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G411	LC2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_CONDITIONAL_PUBLISHED_SUMMARY_BENCHMARK__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G261,G276	32ba5e0b2246d291a6ef97fd07c4467d69b1db0bb82d076d7bc50a76fa3475b5	udt_reviewed_backlog_banking_2026-09-10/PARENT_CANDIDATES.json	baa3310be6379ec0a5ca3d54bf7d59ad3a26ecb909839e9b4ee7818231c5d20f	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G412	FW2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_REVIEWED_FINITE_PROCEDURE_RESULT__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G408,G409	517663d83751bea98a65d02767516883f8f0fc69d0ee31d840ebfb32636fd1e9	udt_reviewed_backlog_banking_2026-09-10/PARENT_CANDIDATES.json	baa3310be6379ec0a5ca3d54bf7d59ad3a26ecb909839e9b4ee7818231c5d20f	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
