id	path	sha256	bytes	read_scope
G313	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	b7df75cee891ed23dcf4796aba0a3d25e101ee89e4c1add95c8ef842987e418e	3337	Whole report
G314	udt_g314_global_admissibility_actualization_type_classification_2026-09-01/AUDIT_REPORT.md	46984bf5b339332e4799c0069951a97211c1e33cf94d0061fcbbd1419231c53a	2595	Whole report
G338	udt_g338_explicit_taub_pair_finite_time_readout_2026-09-03/AUDIT_REPORT.md	05a55948bfe256134d0e7408db76941e1724b1a2db5ee68235cb9fe8c4a9529a	2318	Whole report
G348	udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/AUDIT_REPORT.md	b264f4a8959a557884f3e6a668aab68d2831b477caf693f95db7b524c01bd279	3366	Whole report
G350	udt_g350_frequency_area_carried_content_ownership_2026-09-05/AUDIT_REPORT.md	70acd17b86812a4dc1da42467dc81fe4c0af817152fd635d090ccbd851af88aa	6248	Whole report
G351	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/AUDIT_REPORT.md	9fe05975201708714983e03ca592f75bd40ccb16ea4079b7e4a33c9dfe4b48c1	4009	Whole report
G352	udt_g352_clock_rate_carried_measure_readout_2026-09-05/AUDIT_REPORT.md	4f1925a1d11d00d55bea6bf3858cbedf2878e63c8e4e14e5a22211b4e03d9f8f	6457	Whole report
G367_G369	udt_g367_g369_conditional_banking_2026-09-08/BANKING_RECORD.md	08b7033ac53bd910f718fd827bfb457e5bcc4bd198feb443335b6845a6f583a3	10125	Whole banking record; no original proof replay
G372_G373	udt_g372_g373_conditional_banking_2026-09-08/BANKING_RECORD.md	45f774b2393f81c2d84754be57cd35db88301b9c281ea53be1a07e82a7bfacbe	10464	Whole banking record; no original proof replay
G379_G380	udt_g379_g380_conditional_banking_2026-09-08/BANKING_RECORD.md	f7725eafb4e4bc542fdb0b341b405cd9a12e6f1b3d06111ad6bb08d95e06c454	9880	Banking dependency and claim sections through limitations; no original topology or PDE re-review
G381_G382	udt_g381_g382_conditional_banking_2026-09-09/BANKING_RECORD.md	2b121c734ed9aaa98ced745b619ba8cbde049ec78ce4a0cf5d75d5ef2ce0f104	10309	Whole banking record; no original proof replay
NE1	udt_nonlinear_ripple_geometry_2026-09-09/REVIEWED_RESULT.md	45cc3bc950b76ceed6a1fd49c248688242bc3c008864256de9bb494c1b8bbfaa	3177	Whole reviewed summary; no original proof replay
REGISTRY	CURRENT_SCIENTIFIC_PREMISES.tsv	bee5059ab5528282420c5cd833d0aadfd4946d64820ba0c7bde1c1a98e09e165	786631	Exact selected IDs/fields only; full file hashed, never wide-row dump
VERIFIER	verify_current_scientific_premises.py	f5fe7eceb27311649ae9fd3f03f8e0d214dc40dbc1994263c212ad4d37f9967b	1076087	Selected startup and G312 ownership guards only; full file hashed
TESTS	tests/test_startup_surface.py	adf38a1ccf7841961f8e7cb7e0022ecc2ceb0c4451afefd56705388f6b7b3c3c	62325	Selected ownership and compactness guards only; full file hashed
AGENTS	AGENTS.md	75e772e31332c1c3ac536a6b465201aee6a507b3ba705b59177598fdac2c31ac	15205	Whole controlling instruction
CANON	CANON.md	047b7fbbc1acacf01d2716e3c98cdefd0b9b20136ac4a3306f55dd6775465250	41916	Preservation hash only, not scientific evidence read
MANUSCRIPT	UDT_METRIC_KERNEL_DEVELOPMENT.md	3b625d8f43620a37c99d9f4f0fdc9390c3a12306b1da87281c143ce84d40a81e	106915	Preservation hash only, fixed snapshot not audited
COVERAGE	UDT_METRIC_KERNEL_COVERAGE.tsv	b9a8d84d58b60dd6381af6512d89a63c8fa26750f0068e444dd039d329e74bc4	191731	Preservation hash only, fixed snapshot not audited
CAPTURE	udt_shared_readout_metric_constraint_campaign_2026-09-06/run_capture.py	8ff5469ace76bdfc84188915242abbf3baff35516f9ee3f9ba4b1cbfeb2573ef	1505	Whole bounded capture wrapper
