item	registry_ids	disposition	category	source	reason_or_remaining_gate
LC2	G411	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_CONDITIONAL_PUBLISHED_SUMMARY_BENCHMARK__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_local_clock_metric_benchmark_campaign_2026-09-07/step_01/COMPARISON_CONTRACT.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
FW2	G412	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_REVIEWED_FINITE_PROCEDURE_RESULT__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gw170817_fixed_window_test_campaign_2026-09-07/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
content_bridge	G353--G356	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
shared_readout_constraints	G357--G360	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
phase_product_persistence	G361--G363	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
recipe_restrictiveness	G364--G366	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
source_metric_connection	G367--G369	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
metric_source_reconstruction	G370--G371	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
optional_coupled_development	G372--G373	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
vacuum_common_scale	G374--G375	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
BI1_and_Berger_global_constraints	G376--G378	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
closed_fibres	G379--G380	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
neighboring_tidal_consistency	G381--G382	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
SC1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_shared_readout_metric_constraint_campaign_2026-09-06/DECISION_BRIEF.md	Source map retained as navigation/control, not a standalone derived claim.
PE1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_goce_product_eligibility_audit_2026-09-07/DECISION_BRIEF.md	Reviewed documentary gate: deployed processor/configuration, calibration support and justified joint errors remain OPEN; no device certification.
GOCE_documentation		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_goce_documentation_followup_2026-09-07/DECISION_BRIEF.md	Documentation/enquiry draft retained; current enquiry remains UNSENT, product eligibility OPEN. Old await-reply language is historical.
ORS1--ORS3		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_observational_route_selection_campaign_2026-09-07/DECISION_BRIEF.md	Historical route-selection/source map; useful geometric/benchmark consequences are scoped in the accepted successors, not a current route endorsement.
LC1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_local_clock_metric_benchmark_campaign_2026-09-07/step_01/COMPARISON_CONTRACT.md	Entire contract included under G411=LC2; not a second experiment or separate outcome.
FW1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_gw170817_fixed_window_test_campaign_2026-09-07/step_01/CANDIDATE.md	Entire R1 finite freeze included under G412=FW2; no event or empirical-response gate cleared.
RD2		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_gw_response_robustness_design_campaign/DECISION_BRIEF.md	Never executed; practical support/response/error bridge remains uncleared. No promotion of a nonexistent result.
protected_unbanked_work		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	AGENTS.md	Excluded: specific dispatch absent; payloads not inspected, reconstructed, hashed or promoted.
fixed_manuscript_and_CANON		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	AGENTS.md	Fixed through-G352 edition and CANON unchanged; Charles has not authorized canon changes.
