attachment	relative_path	governing_banner_or_status	claim_or_mechanical_role	relation_to_own_D0_D5	disposition	notes
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_MAP.md	PROVISIONAL conditional theorem; A6 README quarantine governs	Frozen preregistration/map for one-mass calibration bridge	NO-CHANGE: action/charge/branch must precede calibration	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_VERIFY_DISPATCH.md	PROVISIONAL conditional theorem; A6 README quarantine governs	Historical verification instructions for one-mass calibration bridge	NO-CHANGE: action/charge/branch must precede calibration	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_DERIVATION_RESULTS.md	FOUNDATIONAL INTERPRETATION SUPERSEDED; algebra retained; A6 README quarantine governs	Historical causal-measure route	CONFIRMS exponential algebra only; NO-CHANGE	SUPERSEDED	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_MAP.md	FOUNDATIONAL INTERPRETATION SUPERSEDED; algebra retained; A6 README quarantine governs	Frozen preregistration/map for historical causal-measure route	CONFIRMS exponential algebra only; NO-CHANGE	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_VERIFY_DISPATCH.md	FOUNDATIONAL INTERPRETATION SUPERSEDED; algebra retained; A6 README quarantine governs	Historical verification instructions for historical causal-measure route	CONFIRMS exponential algebra only; NO-CHANGE	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_DERIVATION_RESULTS.md	PROVISIONAL action-family audit; verification OPEN; A6 README quarantine governs	Action classification and variation-order analysis	CONFIRMS D0-D5 action/variation forks	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_MAP.md	PROVISIONAL action-family audit; verification OPEN; A6 README quarantine governs	Frozen preregistration/map for action classification and variation-order analysis	CONFIRMS D0-D5 action/variation forks	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md	PROVISIONAL action-family audit; verification OPEN; A6 README quarantine governs	Historical verification instructions for action classification and variation-order analysis	CONFIRMS D0-D5 action/variation forks	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_DERIVATION_RESULTS.md	PROVISIONAL; ontology/radius OPEN; A6 README quarantine governs	One-mass product calibration lead	NO-CHANGE: no electron/absolute mass	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_MAP.md	PROVISIONAL; ontology/radius OPEN; A6 README quarantine governs	Frozen preregistration/map for one-mass product calibration lead	NO-CHANGE: no electron/absolute mass	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_VERIFY_DISPATCH.md	PROVISIONAL; ontology/radius OPEN; A6 README quarantine governs	Historical verification instructions for one-mass product calibration lead	NO-CHANGE: no electron/absolute mass	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	PROVISIONAL CANDIDATE; domain forks distinct; A6 README quarantine governs	Finite-cell boundary census	CONFIRMS boundary/mass generator OPEN	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_MAP.md	PROVISIONAL CANDIDATE; domain forks distinct; A6 README quarantine governs	Frozen preregistration/map for finite-cell boundary census	CONFIRMS boundary/mass generator OPEN	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md	PROVISIONAL CANDIDATE; domain forks distinct; A6 README quarantine governs	Historical verification instructions for finite-cell boundary census	CONFIRMS boundary/mass generator OPEN	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_DERIVATION_RESULTS.md	PROVISIONAL disclosed; no banking; A6 README quarantine governs	Action countermodels and source-route comparison	CONFIRMS D0-D5; covariance classifies chosen completion	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_MAP.md	PROVISIONAL disclosed; no banking; A6 README quarantine governs	Frozen preregistration/map for action countermodels and source-route comparison	CONFIRMS D0-D5; covariance classifies chosen completion	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_VERIFY_DISPATCH.md	PROVISIONAL disclosed; no banking; A6 README quarantine governs	Historical verification instructions for action countermodels and source-route comparison	CONFIRMS D0-D5; covariance classifies chosen completion	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_ACTION_MAP.md	PROVISIONAL conditional; closure OPEN; A6 README quarantine governs	Frozen preregistration/map for global bootstrap architecture	NO-CHANGE: no unique action/density/carrier	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_DERIVATION_RESULTS.md	PROVISIONAL conditional; closure OPEN; A6 README quarantine governs	Global bootstrap architecture	NO-CHANGE: no unique action/density/carrier	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md	PROVISIONAL conditional; closure OPEN; A6 README quarantine governs	Historical verification instructions for global bootstrap architecture	NO-CHANGE: no unique action/density/carrier	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_DERIVATION_RESULTS.md	CONDITIONAL C2; transition OPEN; A6 README quarantine governs	Scoped smooth-core/WR-L no-go	NO-CHANGE: mismatch does not derive matter/mass	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_MAP.md	CONDITIONAL C2; transition OPEN; A6 README quarantine governs	Frozen preregistration/map for scoped smooth-core/wr-l no-go	NO-CHANGE: mismatch does not derive matter/mass	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_VERIFY_DISPATCH.md	CONDITIONAL C2; transition OPEN; A6 README quarantine governs	Historical verification instructions for scoped smooth-core/wr-l no-go	NO-CHANGE: mismatch does not derive matter/mass	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_DERIVATION_RESULTS.md	PROVISIONAL; no unique action; A6 README quarantine governs	Reciprocal pair-cost/equilibrium audit	NO-CHANGE: invariant does not force action/carrier/source	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_MAP.md	PROVISIONAL; no unique action; A6 README quarantine governs	Frozen preregistration/map for reciprocal pair-cost/equilibrium audit	NO-CHANGE: invariant does not force action/carrier/source	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_VERIFY_DISPATCH.md	PROVISIONAL; no unique action; A6 README quarantine governs	Historical verification instructions for reciprocal pair-cost/equilibrium audit	NO-CHANGE: invariant does not force action/carrier/source	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_DERIVATION_RESULTS.md	DISCLOSED NON-COLD; PROVISIONAL; underdetermined; A6 README quarantine governs	Consolidated countermodels and conditional EH mass route	CONFIRMS all D0-D5 forks	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_MAP.md	DISCLOSED NON-COLD; PROVISIONAL; underdetermined; A6 README quarantine governs	Frozen preregistration/map for consolidated countermodels and conditional eh mass route	CONFIRMS all D0-D5 forks	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_DERIVATION_MAP.md	CONDITIONAL tangent norm; FULL ACTION NOT DERIVED; A6 README quarantine governs	Frozen preregistration/map for depth norm/nonlinear counterfamily	CONFIRMS natural quadratic choice is HABIT	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_DERIVATION_RESULTS.md	CONDITIONAL tangent norm; FULL ACTION NOT DERIVED; A6 README quarantine governs	Depth norm/nonlinear counterfamily	CONFIRMS natural quadratic choice is HABIT	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_VERIFY_DISPATCH.md	CONDITIONAL tangent norm; FULL ACTION NOT DERIVED; A6 README quarantine governs	Historical verification instructions for depth norm/nonlinear counterfamily	CONFIRMS natural quadratic choice is HABIT	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_DERIVATION_RESULTS.md	CONDITIONAL reciprocal-axis/C2; verification OPEN; A6 README quarantine governs	Second-jet functional/topology diagnostic	NO-CHANGE: conditional carrier no mass law	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_MAP.md	CONDITIONAL reciprocal-axis/C2; verification OPEN; A6 README quarantine governs	Frozen preregistration/map for second-jet functional/topology diagnostic	NO-CHANGE: conditional carrier no mass law	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md	CONDITIONAL reciprocal-axis/C2; verification OPEN; A6 README quarantine governs	Historical verification instructions for second-jet functional/topology diagnostic	NO-CHANGE: conditional carrier no mass law	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_DERIVATION_RESULTS.md	CONDITIONAL single-axis/C2; verification OPEN; A6 README quarantine governs	Rank-one Weyl discriminator	CONFIRMS carrier fork; CHALLENGES automatic metric-to-S2	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_MAP.md	CONDITIONAL single-axis/C2; verification OPEN; A6 README quarantine governs	Frozen preregistration/map for rank-one weyl discriminator	CONFIRMS carrier fork; CHALLENGES automatic metric-to-S2	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md	CONDITIONAL single-axis/C2; verification OPEN; A6 README quarantine governs	Historical verification instructions for rank-one weyl discriminator	CONFIRMS carrier fork; CHALLENGES automatic metric-to-S2	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_DERIVATION_RESULTS.md	UNIQUE-CONDITIONAL in named minimal class; mass OPEN; A6 README quarantine governs	Conditional C2/Bach/WR-L branch	CONFIRMS no EH mass and nonuniqueness outside class	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md	UNIQUE-CONDITIONAL in named minimal class; mass OPEN; A6 README quarantine governs	Frozen preregistration/map for conditional c2/bach/wr-l branch	CONFIRMS no EH mass and nonuniqueness outside class	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_VERIFY_DISPATCH.md	UNIQUE-CONDITIONAL in named minimal class; mass OPEN; A6 README quarantine governs	Historical verification instructions for conditional c2/bach/wr-l branch	CONFIRMS no EH mass and nonuniqueness outside class	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_DERIVATION_RESULTS.md	PROVISIONAL CONDITIONAL; S2 reopened; A6 README quarantine governs	Rank-one countermodel and conditional holonomy F2	CONFIRMS area-only matter/coupling not forced	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md	PROVISIONAL CONDITIONAL; S2 reopened; A6 README quarantine governs	Frozen preregistration/map for rank-one countermodel and conditional holonomy f2	CONFIRMS area-only matter/coupling not forced	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_VERIFY_DISPATCH.md	PROVISIONAL CONDITIONAL; S2 reopened; A6 README quarantine governs	Historical verification instructions for rank-one countermodel and conditional holonomy f2	CONFIRMS area-only matter/coupling not forced	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_DERIVATION_RESULTS.md	CONDITIONAL C2/global substrate; verification OPEN; A6 README quarantine governs	Smooth zero-C2 substrate/geometric flux	NO-CHANGE: density/carrier/mass OPEN	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_MAP.md	CONDITIONAL C2/global substrate; verification OPEN; A6 README quarantine governs	Frozen preregistration/map for smooth zero-c2 substrate/geometric flux	NO-CHANGE: density/carrier/mass OPEN	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_VERIFY_DISPATCH.md	CONDITIONAL C2/global substrate; verification OPEN; A6 README quarantine governs	Historical verification instructions for smooth zero-c2 substrate/geometric flux	NO-CHANGE: density/carrier/mass OPEN	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md	CONDITIONAL C2; BOUNDARY-ONLY SCALE LEAD; A6 README quarantine governs	Endpoint degeneracy/horizon audit	CONFIRMS bulk does not select scale/boundary/charge	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_MAP.md	CONDITIONAL C2; BOUNDARY-ONLY SCALE LEAD; A6 README quarantine governs	Frozen preregistration/map for endpoint degeneracy/horizon audit	CONFIRMS bulk does not select scale/boundary/charge	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_VERIFY_DISPATCH.md	CONDITIONAL C2; BOUNDARY-ONLY SCALE LEAD; A6 README quarantine governs	Historical verification instructions for endpoint degeneracy/horizon audit	CONFIRMS bulk does not select scale/boundary/charge	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_DERIVATION_RESULTS.md	PROVISIONAL NEGATIVE ON UNIQUENESS; A6 README quarantine governs	Same-EOM/different-boundary counteractions	CONFIRMS action/mass-generator nonuniqueness	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_MAP.md	PROVISIONAL NEGATIVE ON UNIQUENESS; A6 README quarantine governs	Frozen preregistration/map for same-eom/different-boundary counteractions	CONFIRMS action/mass-generator nonuniqueness	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_VERIFY_DISPATCH.md	PROVISIONAL NEGATIVE ON UNIQUENESS; A6 README quarantine governs	Historical verification instructions for same-eom/different-boundary counteractions	CONFIRMS action/mass-generator nonuniqueness	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_DERIVATION_RESULTS.md	Scoped regular universal F(Y) no-go; C2 escape retained; A6 README quarantine governs	WR-L exclusion only in F(Y) class	NO-CHANGE: scaffold lead cannot close action fork	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
