source_id	path	role	size	sha256
S16	matter_bootstrap_dimensional_inventory_2026-07-20/DIMENSIONAL_OBJECT_LEDGER.tsv	dimensional_objects	4019	b2f4e1c3957586ce1b19e7ee87fc9de68d42b74ca6f0e01d27db4c6aa3b132a9
S17	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	matter_scale_status	2417	062715f9229b5213e9b8924d08f35504a766008e9f6c3be923ef869142f0e0fe
S18	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	scale_closure	8869	f3cca19566a1ae3653e28e4e015039623c8be2ec7454b2e12a9859bcca45c67b
S19	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale_status	2794	33fa9a3d07f27dec25269b114ab479edc26012a83187c2105291ca3b470e098a
S20	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	completion_taxonomy	7446	354047b6cac9406c75b700912e2a3aab402f7dd1c32a73adc229ee2054a1502e
S21	udt_global_metric_assembly_atlas_2026-07-22/DENSITY_BOOTSTRAP_CIRCULARITY_LEDGER.tsv	density_routes	1647	c5cd189e2a15d17cdce251b7516719c517ab68574799acf28cc736fecc9ffa9a
S22	udt_global_metric_assembly_atlas_2026-07-22/STAGE_GATE_LEDGER.tsv	assembly_gates	1125	1a7df9c246f92547d065a80098c4f3d288e763fbccf84ab6daa5e125ee7cb373
S23	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	density_interface	9994	25e6b85882d27e746826d124baf61235a22360ccc28ae4f545bd24d6da48c433
S24	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/DENSITY_BRACKET.tsv	density_domain	767	af04be296b7ca12f4367a156fd65701a1e0aed479b0432177a59b3441e854296
S25	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/FINITE_CELL_BRANCH_ATLAS.tsv	completion_branches	6710	ff176ddad8eb3822d95faa27e840d8f1f2e91d33e6e340f6c98ada49d77f2c77
S26	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/GLOBAL_SURVIVAL_THEOREMS.tsv	global_survival	2278	a72805a035f0da3ecd6eebfb774891670e1e6bf7df2cf5b25c016fa6d3f6f9e9
S27	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/STATUS_LEDGER.tsv	density_status	2008	2a002f87a19fac768880409a87e541ec7c6b1b9b659622f2175deb69d057ce54
S28	udt_center_free_observer_optical_correspondence_audit_2026-07-24/EQUATION_FAMILY_OPTICAL_SCREEN.tsv	equation_family_registry	3322	e0dd0e7cf067daf0b7c75ac8ccafa093fdf8f86bca9e4f233306913dd6a88540
S29	udt_center_free_observer_optical_correspondence_audit_2026-07-24/COMPLETION_OPTICAL_ATLAS.tsv	completion_registry	2422	25edd8f19f4d874a051c2d89fac9e742f9bc3579bdfc78f7c0e71bf9719aa710
S30	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/AUDIT_REPORT.md	parent_solder_result	4461	67cc72d71fa5b5b09824ae2a3d2397730e78983cbd7d1060f9afa2e9185cb24b
S31	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/EXACT_DERIVATION.md	parent_solder_algebra	8204	d4498881da7413b2c9ea400f58d3f515e4b27bd021cf214193c982c661fed694
S32	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/GENERATOR_MATCH_ATLAS.tsv	parent_generator_gates	723	b86c1bf044ff70c71ba7c1e622808f341a2f80a7798fa1997c75f975e5c16dac
S33	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/BRANCH_SOLDER_ATLAS.tsv	parent_branch_rulings	1359	23e4fd69a4b82dd196d1b11dfc56f45b279d14b6f43c25e046a53bf5ced328e7
S34	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/STATUS_LEDGER.tsv	parent_status	1638	66fd329e259a4c038b052bb40b85ff6904cb5d6ab54e63d3f7c80ebb05bd0428
S35	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_frontier_scope	59465	2acda978189a3a2fd756f9d8d81f680215e75c467316014f02c1c5bc271d9de5
