target	source	line	column	source_frozen	corrected_scanner	literal_git_grep	agreement
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	13	273	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	99	373	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	119	5992	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	421	446	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	531	394	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	727	597	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	756	305	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	775	522	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	seal_matching_junction_results.md	56	4	YES	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md	1	52	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	28	97	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	1	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	62	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	91	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	155	1	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1990	83	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1990	112	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2498	28	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2499	28	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	88	1	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	88	285	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	119	6036	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	756	322	NO	MATCH	MATCH	YES
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	973	505	NO	MATCH	MATCH	YES
F1F3_closure_results.md	archive/COMPLETION_PROGRAM.md	14	50	NO	MATCH	MATCH	YES
F1F3_closure_results.md	archive/COMPLETION_PROGRAM.md	21	53	NO	MATCH	MATCH	YES
F1F3_closure_results.md	branch_operator_contamination_ledger.md	76	9	NO	MATCH	MATCH	YES
F1F3_closure_results.md	r1_route_fork_native_derivation.md	49	16	NO	MATCH	MATCH	YES
F1F3_closure_results.md	r1_route_fork_native_derivation.md	150	18	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	158	1	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	159	1	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	160	1	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	161	1	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	162	1	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1819	64	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1819	88	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2724	74	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2724	98	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	12000	69	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	12000	93	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	89	266	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	90	1	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	98	324	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	124	300	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	536	300	NO	MATCH	MATCH	YES
F1F3_closure_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	628	315	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	F1F3_closure_results.md	29	28	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	F1F3_closure_results.md	277	4	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	F1F3_closure_results.md	373	35	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	branch_operator_contamination_ledger.md	77	9	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	161	58	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	161	102	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1108	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1109	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1110	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1111	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1112	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1113	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1114	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2725	74	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2725	118	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	124	1	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	126	385	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	137	332	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	536	400	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	628	468	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	774	517	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	775	442	NO	MATCH	MATCH	YES
P1P5_reaudit_vs_derived_operator_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	1005	406	NO	MATCH	MATCH	YES
P5e_proper_results.md	F4_seal_boundary_MAP.md	103	5	NO	MATCH	MATCH	YES
P5e_proper_results.md	F8_metric_choices_results.md	18	4	YES	MATCH	MATCH	YES
P5e_proper_results.md	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	168	20	NO	MATCH	MATCH	YES
P5e_proper_results.md	HANDOFF_ARCHIVE.md	619	69	NO	MATCH	MATCH	YES
P5e_proper_results.md	P1P5_reaudit_vs_derived_operator_results.md	22	57	NO	MATCH	MATCH	YES
P5e_proper_results.md	P1P5_reaudit_vs_derived_operator_results.md	49	318	NO	MATCH	MATCH	YES
P5e_proper_results.md	P1P5_reaudit_vs_derived_operator_results.md	50	326	NO	MATCH	MATCH	YES
P5e_proper_results.md	STATE.md	108	2	NO	MATCH	MATCH	YES
P5e_proper_results.md	archive/M12_winding_bc_closure_results.md	23	2	NO	MATCH	MATCH	YES
P5e_proper_results.md	archive/M12_winding_bc_closure_results.md	118	4	NO	MATCH	MATCH	YES
P5e_proper_results.md	branch_operator_contamination_ledger.md	72	8	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	174	59	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	174	81	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	211	63	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	211	85	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	224	70	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	224	92	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	417	54	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	417	76	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1110	78	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1110	100	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1122	1	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1123	1	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1124	1	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1171	44	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1171	66	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2144	76	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2144	98	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2720	74	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	2720	96	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	126	1	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	137	376	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	628	512	NO	MATCH	MATCH	YES
P5e_proper_results.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	1005	450	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	HANDOFF_ARCHIVE.md	673	89	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	PROVENANCE_AUDIT_2026-06-30.md	1	52	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	30	33	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	83	90	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	branch_operator.py	120	3	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1127	1	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1127	64	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1127	95	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1128	1	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1993	83	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1993	114	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2500	28	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2501	28	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2502	28	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2503	28	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2504	28	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2505	28	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2707	54	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2707	85	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	13	366	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	119	6092	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	129	1	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	129	287	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	183	540	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	628	913	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	756	401	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	775	566	NO	MATCH	MATCH	YES
PROVENANCE_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	973	561	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	SOLVER_AUDIT_2026-06-29.md	1	52	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	157	65	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	202	75	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	legacy/root_oneoffs_2026-07-01/d1_determinacy_check.py	2	32	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	1153	1	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	1153	60	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	1153	87	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	1154	1	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	1995	84	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	1995	111	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2507	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2508	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2509	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2510	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2511	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2512	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2513	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2514	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2515	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2516	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2517	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2518	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	2519	28	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	5161	88	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/DEPENDENCY_MAP.tsv	5161	115	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	9	1179	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	119	6150	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	133	1	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	133	283	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	179	455	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	183	598	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	337	379	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	402	437	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	419	638	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	420	503	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	536	690	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	589	423	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	727	641	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	756	432	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	973	619	NO	MATCH	MATCH	YES
SOLVER_AUDIT_2026-06-29.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	978	639	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	F4_seal_boundary_MAP.md	97	5	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	167	64	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	HANDOFF_ARCHIVE.md	613	39	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	P1P5_reaudit_vs_derived_operator_results.md	23	56	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	P1P5_reaudit_vs_derived_operator_results.md	49	281	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	P5e_proper_results.md	22	33	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	archive/M12_winding_bc_closure_results.md	22	54	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	archive/M12_winding_bc_closure_results.md	116	4	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	b1prime_round_gate_derived_operator_results.md	44	2	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	branch_operator_contamination_ledger.md	71	8	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	173	58	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	173	91	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	416	54	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	416	87	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1111	78	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1111	111	NO	MATCH	MATCH	YES
STEP2_timelive_matter_results.md	reorganization_r0/DEPENDENCY_MAP.tsv	1122	56	NO	MATCH	MATCH	YES
