path	r0_classification	artifact_role_or_title	size_bytes	git_blob_oid	sha256	first_commit_date	last_commit_date	last_commit	last_commit_subject	inbound_occurrences	inbound_sources	frozen_inbound_sources	prohibited_dependency_edges	unresolved_path_touches	destination	disposition	rationale	corrected_inbound_occurrences	corrected_inbound_sources	corrected_frozen_inbound_sources	corrected_eligibility_recheck
b1prime_round_gate_derived_operator_results.md	ARCHIVE_CANDIDATE	B1' — Round-Limit Gate on the Derived Operator (RADIAL reconstruction + blind verification)	14463	82f06950874b43bdf321a047676e1fa5e8a66b8b	f05222d69d5e62f099e43d8bbfafd26db77aaea94185045d818a67719809664c	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	19	6	-	0	0	archive/pre_2026-07-01/b1prime_round_gate_derived_operator_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (B1' — Round-Limit Gate on the Derived Operator (RADIAL reconstruction + blind verification)); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	19	6	-	PASS_UNCHANGED
branch_operator_contamination_ledger.md	ARCHIVE_CANDIDATE	branch_operator.py — SCOPED CONTAMINATION LEDGER (ERA-WIDE re-grade)	13449	6e8a38d768d695b28b9380a0b6c3df017cbe9b0a	bd9ab9f37a6e83f1d950062a8b4aa99f6997f83f4ed9dec653eb4073f6d3bdd4	2026-07-06	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	53	2	-	0	0	-	RETAIN_R1A	Retain branch_operator.py — SCOPED CONTAMINATION LEDGER (ERA-WIDE re-grade); FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-06	58	7	p2_matter_fullmetric_results.md;p3_aphi_FIX_results.md;p3_aphi_coupling_results.md;p4_time_live_results.md	RETAIN_UNCHANGED
cascade_stageC_primary_table.json	UNKNOWN/BLOCKED	CASCADE_NUMERICAL_JSON	7546	da868a9f8c0c086f51eba4ac586ef5f8790d1b29	1a8fe48f2b1f8f08f9544c95860eecc1ca9a3a0cfc332bb04ffe26a87dfb1a5e	2026-07-02	2026-07-02	24671fabfc1e2e21a1d08c1b24ae4639c9e83263	Cascade Stage C: ladder FAMILY-UNIVERSAL (6 families, both Z); seal radius becomes EXACTLY universal at high N (blind-verified)	1	1	-	0	0	-	RETAIN_R1A	Retain CASCADE_NUMERICAL_JSON; R0_UNKNOWN:CASCADE_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-02	1	1	-	RETAIN_UNCHANGED
cascade_stageC_twomethod.json	UNKNOWN/BLOCKED	CASCADE_NUMERICAL_JSON	10548	f0441413ce7ecb04b92f449b3a910e1f5373af12	4c4ddb8d62f099881441754f491aa371bd5286abf49cb461fa239b35ced6b3cf	2026-07-02	2026-07-02	24671fabfc1e2e21a1d08c1b24ae4639c9e83263	Cascade Stage C: ladder FAMILY-UNIVERSAL (6 families, both Z); seal radius becomes EXACTLY universal at high N (blind-verified)	1	1	-	0	0	-	RETAIN_R1A	Retain CASCADE_NUMERICAL_JSON; R0_UNKNOWN:CASCADE_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-02	1	1	-	RETAIN_UNCHANGED
coupled_timelive_VERIFIER.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/coupled_timelive_VERIFIER.md` (pre-native-era census).**	293	4fab123a1a3c739906766aabd7aa41c248608e0f	818a2c9bb70be03d41f64a963e10345ac797514aec8778038a1564e71d1ee925	2026-06-19	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	15	4	-	0	0	archive/pre_2026-07-01/coupled_timelive_VERIFIER.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/coupled_timelive_VERIFIER.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	16	5	-	PASS_UNCHANGED
coupled_timelive_solve_CONTRACT.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/coupled_timelive_solve_CONTRACT.md` (pre-native-era census).**	299	fbf3f4e8a896db0da840750b58746d45f98e145a	3859303844c9b08ecca3a1e4cb2aecf769d5f3142b706b4c5d1916e1db67343f	2026-06-19	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	38	11	-	0	0	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/coupled_timelive_solve_CONTRACT.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	38	11	-	PASS_UNCHANGED
coupled_timelive_solve_results.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/coupled_timelive_solve_results.md` (pre-native-era census).**	298	199e3ab42ab32082e28b9a44b6b7cd4fbcfdd68a	34cf544afba51a799d833436b97c9a73eb215bbfc3bea7a8ae7e7a5380c3babf	2026-06-19	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	34	11	-	0	0	archive/pre_2026-07-01/coupled_timelive_solve_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/coupled_timelive_solve_results.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	34	11	-	PASS_UNCHANGED
energy_min_m2_18_out.json	UNKNOWN/BLOCKED	NUMERICAL_JSON	1514	f5908bd8a1821243ea14907617a5404799b53a24	fde66f011bc52d7d798e2ebb75e6f954488f6a188a3afaee2bb5acd0e88fd0f7	2026-06-17	2026-06-17	f2b6b6604aee1e70864255743bd9f7f08c4ad593	Phase 3b: energy minimizer confirms m=2 global min = oblate ~12.3 @18x8x8 (agrees with multistart 12.16)	1	1	-	0	0	-	RETAIN_R1A	Retain NUMERICAL_JSON; R0_UNKNOWN:NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
hopfion_GP_switch_apply_out.json	UNKNOWN/BLOCKED	NUMERICAL_JSON	1342	642944b8cfa09c9fa1be3455b4bb304e55a2c352	bb2bf957dcb9943ad83ab85df01e3a011d7388cd169426383ad3d7d59e30fb80	2026-07-10	2026-07-10	9b1d41c4073d7af02bac69f985aaf94355f0318a	GP-switch Stage B: the switch does NOT decide the hopfion's branch (object is silent)	1	1	-	0	0	-	RETAIN_R1A	Retain NUMERICAL_JSON; R0_UNKNOWN:NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-10	1	1	-	RETAIN_UNCHANGED
lepton_ladder_test_results.md	ARCHIVE_CANDIDATE	Lepton Ladder Test Results	8033	4b34a44a3209621e0145c23355d7c201a618e274	3623678f20e2aead7ff4ac8cbe7b1d37b587c9d58d47c726ffd401e7cda3f167	2026-06-10	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	20	7	-	0	0	archive/pre_2026-07-01/lepton_ladder_test_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (Lepton Ladder Test Results); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	21	8	-	PASS_UNCHANGED
macro_native_matter_after_vacuum_MAP.md	ARCHIVE_CANDIDATE	MAP — Native matter *after* Path B vacuum (what to ask next)	1668	cebc817c1da5560a1a409341c69b8ee2cc9790f9	194ddd246083eb1aba13213b771a75cd4d6dac3f3f7242dba683483f677ddacd	2026-07-09	2026-07-09	b5622bd847a3f37f134125a0bf734eeb57133159	Simple-metric hyperbolic macro trail, light-count fix, structure hygiene	6	3	-	0	0	-	RETAIN_R1A	Retain MAP — Native matter *after* Path B vacuum (what to ask next); FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-09	6	3	-	RETAIN_UNCHANGED
matter_object_identity_native_vs_import_results.md	ARCHIVE_CANDIDATE	Matter Object Identity — the Round-Gate Soliton is an IMPORTED S³ Baryon; UDT's Native Matter is S² (and Unsolved on the Derived Operator)	7163	4c264bb693c22ba13fe05a84f75de4ccc410b719	52408980a863e681fef64f84eb2a36034538ef21673df69b88c44ec3d3389767	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	25	9	-	0	0	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (Matter Object Identity — the Round-Gate Soliton is an IMPORTED S³ Baryon; UDT's Native Matter is S² (and Unsolved on the Derived Operator)); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	25	9	-	PASS_UNCHANGED
matter_regrade_derived_operator_results.md	ARCHIVE_CANDIDATE	Re-grading UDT's Matter Sector on the Newly-Derived Gravitational Operator — Analytic OBSERVE	23810	41d041f7e9f1b524d52d4572656f89d026a5e5f3	3036d3950cafabd07fdcbe9cc4edff877c89e743fae5b398728bb780ac79f058	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	66	19	F2_closure_results.md;p4_cross_model_verify_results.md	0	0	-	RETAIN_R1A	Retain Re-grading UDT's Matter Sector on the Newly-Derived Gravitational Operator — Analytic OBSERVE; FROZEN_INBOUND:F2_closure_results.md,p4_cross_model_verify_results.md	66	19	F2_closure_results.md;p4_cross_model_verify_results.md	RETAIN_UNCHANGED
noNull_hess_256_bs8_run_log.txt	UNKNOWN/BLOCKED	NUMERICAL_LOG	3457	361306b386a908c8b027524f3da07494d2af0fa6	f051fbc81a026b364698595f03acc5e0a923669cbc12539750d9d5ee4221d6b4	2026-07-13	2026-07-13	da51ec440354c302aa3b9372a79192ef28e5b35a	H3 256^3 Hessian (corrected no-null operator, bs=8, 2 seeds): record JSON + run log	3	2	-	0	0	-	RETAIN_R1A	Retain NUMERICAL_LOG; R0_UNKNOWN:NUMERICAL_LOG; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-13	3	2	-	RETAIN_UNCHANGED
noNull_hess_bw2_N128_out.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	4283	26c582fd47a63af1b11326cb4449889e39a5ee37	406b048bd94190ae56376946a00569eda9a5d37ff0e6318cb18a7b3d7835449b	2026-07-14	2026-07-14	a81b6b0db3d857ed99f8a619fb14c4dd6817806e	H3 stability: 128^3 GATE PASS both seeds -> 3-grid h^2 extrapolation complete	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-14	1	1	-	RETAIN_UNCHANGED
noNull_hess_bw2_N192_out.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	4271	3ffb8b28a8161a70f904bca67a55d43fd5da4d86	071fd1f68c591d339a03067054065aed44f07b9aefccb1701ffcd0348dff2767	2026-07-14	2026-07-14	8a750c703d7a4dd5975717f857b6cf79e18250a1	H3 192^3 Hessian+refinement: GATE PASS both seeds; N-tag hess outputs (anti-clobber)	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-14	1	1	-	RETAIN_UNCHANGED
noNull_hess_refine_192_log.txt	UNKNOWN/BLOCKED	NUMERICAL_LOG	4707	b5e3a7c9f41516c7f68959e1a084670662f77352	d711a89d82861ca6330f0654203a555b1c437db228fbebfc412f006cf8cc8253	2026-07-14	2026-07-14	8a750c703d7a4dd5975717f857b6cf79e18250a1	H3 192^3 Hessian+refinement: GATE PASS both seeds; N-tag hess outputs (anti-clobber)	3	2	-	0	1	-	RETAIN_R1A	Retain NUMERICAL_LOG; R0_UNKNOWN:NUMERICAL_LOG; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-14; UNRESOLVED_PATH_TOUCH:LIVE.md:107	3	2	-	RETAIN_UNCHANGED
noNull_nk_converged_out.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	207	ff8e539c41008b92f6e307a230917f1d335ffe4d	468b04c50d58322d03623d3bd063fc23b210fc99cdff156b8fb40bc667a8780e	2026-07-12	2026-07-12	eb8ca6b2713be95629b4cf69915d660564338082	CRITICALITY REACHED: corrected carrier at ||g_f||_M-1=0.0157 < 0.05 (verified), NK delivered	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-12	1	1	-	RETAIN_UNCHANGED
noNull_relax_lbfgs_out.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	2120	a41df7d834baf807c767938d67ecd51c19f38ce3	87a3fe11e2ff2f3c6d8222ae8e16668e2a5013c251ae1d8f6800bdb7937cb90b	2026-07-12	2026-07-12	20e9b918b773a0a07e433c5092059024a43b7f7d	Fix Riemannian optimizer (moving-tangent bug); corrected L-BFGS still stalls -> NK built	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-12	1	1	-	RETAIN_UNCHANGED
noNull_relax_lbfgs_traj.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	1619	e5cbcdeae35b33adb80b785285918449fad649f9	88e135cf4e29c0613e79db8e3ee50eaa29e03c35dd9536b2df6ecf8ced32fd80	2026-07-12	2026-07-12	20e9b918b773a0a07e433c5092059024a43b7f7d	Fix Riemannian optimizer (moving-tangent bug); corrected L-BFGS still stalls -> NK built	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-12	1	1	-	RETAIN_UNCHANGED
noNull_resolve_U1deflated_out.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	2649	5b7f79b58e1402f88ae93d932930417a3b4f21fd	c44dead33cf627950d9f9ae92c158e95a15c4fb3082e2cd70f0639eee6d5947d	2026-07-12	2026-07-12	bd1898bad6a9754491ac6ad0c2df9e34e43adfb9	STEP 3b: U(1)-deflated cross-check corroborates STABLE soliton (4/4 independent solves agree)	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-12	1	1	-	RETAIN_UNCHANGED
noNull_resolve_undeflated_out.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	2693	e244e0a383c06181c75966c7ae0ff83803284f20	62f3e3b6ecdf8cab5fdb23a51650364b5bb28bfa8068409535d195351a764ee5	2026-07-12	2026-07-12	7d8c0905c89676b34f4fb3b804e5ca7528106416	STEP 3b FINAL: corrected carrier is a STABLE soliton (no genuine negative Hessian mode)	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-12	1	1	-	RETAIN_UNCHANGED
noNull_schur_inertia_N128.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	9507	7e394e99410f8607349f6a82d948e4e0d13897c4	0665a9d52dbe864dc8cc586621b4784cb5b5842dc14171f876e6d839c1f8caa1	2026-07-16	2026-07-16	d131557424ade84f4567b822722b840010cbf238	H3 FULL-H INERTIA SEAL COMPLETE (Charles dispatch 2026-07-14): positive at 128/192/256 + independent verifier PASS	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-16	1	1	-	RETAIN_UNCHANGED
noNull_schur_inertia_N192.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	9502	99476874bfdef06355dc503247e9dfbcee60fa5b	65f90441f8c36fd15e9af75b1d6cd60106a8cfc438fa2509a0914c7a9443535d	2026-07-16	2026-07-16	d131557424ade84f4567b822722b840010cbf238	H3 FULL-H INERTIA SEAL COMPLETE (Charles dispatch 2026-07-14): positive at 128/192/256 + independent verifier PASS	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-16	1	1	-	RETAIN_UNCHANGED
noNull_schur_inertia_N256.json	UNKNOWN/BLOCKED	PARTICLE_MASS_NUMERICAL_JSON	9909	c6a28cba5147b79932c5af0af43b14b6725030ff	31eea3ae459312761055dbf54ae24a9cb4ae4ceb1790205c72395a439985fa6b	2026-07-16	2026-07-16	d131557424ade84f4567b822722b840010cbf238	H3 FULL-H INERTIA SEAL COMPLETE (Charles dispatch 2026-07-14): positive at 128/192/256 + independent verifier PASS	1	1	-	0	0	-	RETAIN_R1A	Retain PARTICLE_MASS_NUMERICAL_JSON; R0_UNKNOWN:PARTICLE_MASS_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-16	1	1	-	RETAIN_UNCHANGED
