# STAMP: Stage T1 time-live ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON (T-L2 RESOLVED: shift row LIVE); registered chart's time extension (T-L1 CHOSE, travels); time-jet layer <=2 (higher TYPED); topology fork carried three ways, NONE adopted; theta ABSENT (T-L6); no response law selected, nothing solved, no cycle census (F-T1 honored).
# STAMP: static restriction column = the C-1 calibration identity: restricting every row to the static stratum (t-independence, N=0, t-direction factored) must recover the banked Stage-1 posing EXACTLY (VARIATION_DOMAIN_CENSUS.tsv 16 rows; R1-R15 classes PW8/WS2/GC4; J-rows as banked). Checked mechanically in derive_timelive_T1.py C1a/C1b/C1c.
# STAMP: verdict vocabulary (objects): EXTENDS-TIME-DEP = banked object, gains time-dependence; NEW = new census row with provenance chain. (requirements/J-rows): transfers-unchanged / extends-with-derived-modification / gains-time-component / breaks(how). Tags: DERIVED / CHOSE / THEORY(cite) / FREE-AND-EXPLORED / OPEN-FORK.
# STAMP (AMENDMENT 2026-07-31, verifier round 1): (AM-1) the residual chart symmetry carries a stratum-conditional Z2 psi-branch (psi'=-2N/g_tt, lawful where 2N e^{2phi}/c^2 is t-independent; flips N->-N, preserves clock row/spatial row/both lock readings -- T1p2/T1p3); orbit of N stays {N,-N}, irreducibility-as-non-removability survives. (AM-2) O17's irreducibility is CONDITIONAL on the COORDINATE-reading (i) spatial pin: under a PROJECTED-reading (ii) spatial registration psi'=-N/g_tt lawfully REMOVES the shift (T1p4) -- the LOCK-READING fork is upgraded to LOAD-BEARING, carried both ways, decided by NOTHING in this package (F-T4). (AM-3) C1b/T4a re-graded GUARD; G1 wired into tally/exit; honest count 46 = 34 SUBSTANTIVE + 12 GUARD.
row_id	kind	name	timelive_verdict	tag	static_restriction	basis_checks	citation
O11	OBJECT	E02_stratum_label	EXTENDS-TIME-DEP (trivially): strata remain LOCI in the moduli; L1 MODULUS-CARRIED unchanged; nothing eliminated	DERIVED (Route B T6)	banked row E02_stratum_label	-	Route B AUDIT_REPORT
O12	OBJECT	boundary_data_walls	EXTENDS-TIME-DEP: spatial wall strata become TIMELIKE surfaces W x R_t (derived T3b); wall traces (Q_w,f0_w,bh0_w,...) gain t-dependence; germ data time-extended; varied-vs-held fork transfers; TEMPORAL-MIRROR seat derived in TT-2 (R6) with parities phi EVEN / N ODD and the coframe-layer obstruction (T1i) -- NO inherited closure status (G18)	CANON (C-2026-06-10-2; C-2026-07-04-1) + OPEN-FORK (varied/held)	banked row boundary_data (both forks; spatial mirror)	T3b_spatial_wall_times_Rt_is_timelike; T2a_temporal_mirror_parity_assignment_derived	CANON; wall bank f859d62 TW1
O13	OBJECT	corner_data	EXTENDS-TIME-DEP: banked codim-2 corners extend by x R_t; a NEW corner TYPE (spatial wall x time-wall) exists ONLY on branch (c) -- TYPED, not populated	THEORY (requirement 6); branch-(c) content TYPED-ONLY	banked row corner_data	-	MAP sec.2 req 6; TT-3
O14	OBJECT	completion_class	EXTENDS-TIME-DEP (unchanged content): the 12 FC families remain the SPATIAL completion census; c stays a spatial label; it is JOINED (not replaced) by the time-topology label O18; time-completion census (branch (c)) is Stage T3 business -- NOT run (F-T1)	OPEN (L4)	banked row completion_class (both forks)	-	CANON C-2026-06-10-2; T-L3
O15	OBJECT	local_lorentz_gauge	EXTENDS-TIME-DEP: equivariance quotient transfers pointwise (t spectator); NEW derived fact: the SO+ registration is now LOAD-BEARING -- it is exactly what obstructs the time-reflection at the coframe layer (T1g/T1i); infinitesimal stabilizer triviality transfers on the registered chart (pointwise algebra unchanged)	THEORY (E11; Route B T1); SO+ registration now load-bearing	banked row local_lorentz_gauge	T1g_no_SOplus_element_flips_time_orientation; T1i_time_reflection_coframe_layer_obstructed	E11; Route B T1
O16	OBJECT	chart_registration	EXTENDS-TIME-DEP [AMENDED 2026-07-31, verifier round 1]: registered chart x time extension; residual chart symmetry DERIVED = K4 x {t -> sigma t + t0} (metric layer; sigma=-1 obstructed at coframe layer) TIMES a stratum-conditional Z2 psi-branch (psi'=-2N/g_tt where 2N e^{2phi}/c^2 is t-independent: flips N->-N, preserves clock/spatial rows + both lock readings -- T1p2/T1p3); NO free lapse (lock forces h'^2=1, both readings); under the COORDINATE-reading spatial pin the psi-slack reduces to that Z2 branch (spatial pin alone gives psi' in {0,-2N/g_tt}; joint spatial+shift pin kills it, T1p); under the PROJECTED-reading spatial registration psi'=-N/g_tt lawfully REMOVES the shift (T1p4); slack survives across charts as J07 overlap datum; carried fork: LOCK-READING in {coordinate, projected} (split iff shift on; projected reading psi-invariant) -- upgraded LOAD-BEARING: it decides whether N is irreducible or pure chart-gauge; decided by NOTHING in this package, both branches travel (F-T4)	THEORY (07-25 registration) + T-L1 CHOSE; lock-reading fork LOAD-BEARING OPEN-FORK (carried both ways)	banked row chart_registration (K4 quotient; no time factor visible)	T1a; T1b; T1c; T1d; T1h; T1k; T1l; T1m; T1n; T1o; T1p; T1p2; T1p3; T1p4	Route B T1; CANON C-2026-06-18-1
O17	OBJECT	shift_row_N (g_ti mixed row; N_x,N_y,N_z)	NEW [AMENDED 2026-07-31, verifier round 1]: VARIED-FIELD, 3 components N_i(x,t); native form = the COVARIANT mixed row entered directly (NOT an ADM lapse-shift split: -1/g^{tt} = e^{-2phi}c^2 + N^2/g_xx certifies inequivalence, F-T2 discriminator); irreducibility CONDITIONAL ON THE LOCK-READING FORK: under the COORDINATE-reading (i) spatial pin, irreducible (all residual maps incl. the stratum-conditional Z2 psi-branch act on N by sign only, orbit {N,-N} -- T1r/T1p3: non-removability survives); under the PROJECTED-reading (ii) spatial registration, N is removable chart-slack (psi'=-N/g_tt diagonalizes with g'_xx=gamma_xx, T1p4) -- fork LOAD-BEARING, undecided here, both branches travel; K4-trivial; response gains slots R_N (3); static restriction N=0 = the canonized DIAGONAL choice, recovered as control C-2	DERIVED-FREE-BY-CANON (off-diagonal listed FREE, C-2026-06-18-1) + T-L2 RESOLVED (owner ruling, everything-on); irreducibility rides the O16 lock-reading OPEN-FORK	ABSENT from banked census (time frozen by presentation); restriction N=0 recovers the banked diagonal premise	T1j_covariant_pin_is_not_ADM_lapse_pin; T1r_shift_irreducible_under_residual_group; T1o; T1p; T1p2; T1p3; T1p4	CANON C-2026-06-18-1; TIME_LIVE_MAP T-L2
O18	OBJECT	time_topology_label (tau in {(a) line,(b) circle,(c) finite time-cell})	NEW: discrete domain label the extended domain necessarily carries (the domain definition depends on it); typed per branch in TT-3; NONE adopted; owner-kernel note travels: kernel affirms time FLOWS, silent on extent; (b)/(c) have NO owner standing -- derivation-only entry; no finite-cell-motivated shortcut	FREE-AND-EXPLORED (T-L3); owner-kernel clarification binding	ABSENT from banked census (t-direction factorizes out of the static posing)	T3a_circle_proper_period_depth_locked; T3b (typing anchors)	TIME_LIVE_MAP T-L3 + owner-kernel clarification
R01	REQUIREMENT	R1_native_provenance	transfers-unchanged: definition-level provenance audit; index set extends to the 18-object census (incl. R_N slots, tau-dependence); content unchanged	DERIVED (definition-level)	banked R1 (PW)	-	POSED_INVERSE_PROBLEM R1
R02	REQUIREMENT	R2_explicit_field_census	extends-with-derived-modification [AMENDED 2026-07-31, verifier round 1]: component list indexed by TIMELIVE census (18 rows); a missing R_N component = a silent freeze (the static era's presentation-freeze, now visible) UNDER THE COORDINATE READING; under the projected reading R_N pairs pure chart-slack (T1p4) -- what the R_N slots carry rides the O16 lock-reading fork (LOAD-BEARING, carried); extra components = unregistered DOF	DERIVED	banked R2 (PW)	T1p4	POSED_INVERSE_PROBLEM R2; TT-1
R03	REQUIREMENT	R3_global_completion_feedback	extends-with-derived-modification: completion arguments gain the time-topology label tau and (branch (c) only) time-completion data; explicitness clause unchanged	DERIVED	banked R3 (GC)	-	POSED_INVERSE_PROBLEM R3
R04	REQUIREMENT	R4_tracefree_screen_response	transfers-unchanged: exact conditions are pointwise-algebraic; t is a spectator (trace and volume channels stay k_mod-blind with t-live symbols; slot theorem untouched)	DERIVED	banked R4 (PW)	T2g_R4_trace_channel_blind_kmod_t_spectator; T2h_R4_volume_channel_blind_kmod_t_spectator	POSED_INVERSE_PROBLEM R4; Route B T4
R05	REQUIREMENT	R5_same_solution_mass_volume_density	extends-with-derived-modification: one solution = one TIME-LIVE solution; NEW typed sub-fork per-time-slice vs whole-history reading of the closure relation (undecidable before a response law; a POSING fact); class stays WS	DERIVE (fork typed, not decided)	banked R5 (WS)	-	POSED_INVERSE_PROBLEM R5
R06	REQUIREMENT	R6_boundary_corner_differentiability	gains-time-component: (i) walls timelike (W x R_t); jet-pairing extends with time-jets of wall traces (wall layer N=2 analog; deeper TYPED); (ii) TEMPORAL MIRROR DERIVED: t->-t forces phi EVEN / N ODD / spatial data EVEN (exponential clock law forbids phi flip); parity jet-kill at t=0 (odd jets of even fields; value+even jets of N); (iii) BRIDGE ONLY: closure (fold/partner/glue+B/open-end transposed) = branch-(b)/(c), derivation-only, NO ratified-status echo (G18); coframe-layer obstruction (SO+ excludes t-flip) is a CHOSE any entry owes	DERIVED (bridge floor) + branch-conditional (closure)	banked R6 (GC + PW subchecks; spatial mirror sector)	T2a; T2b; T2c; T2d; T1g; T1i; T3b	CANON C-2026-07-04-1; seam bank 0d0d575 TS1; G18
R07	REQUIREMENT	R7_gauge_noether_on_quotient	gains-time-component: (a) equivariance transfers pointwise t-spectator; (b) Noether identity leg transfers; (c) conservation row LIVE: current statements become continuity-TYPE (d_t density + div flux), posed not solved (WS)	DERIVED (a,b); posed (c)	banked R7 (PW a,b + WS currents)	T2e_tangent_transport_bilinear_t_spectator_boost; T2f_..._klein	POSED_INVERSE_PROBLEM R7; E11
R08	REQUIREMENT	R8_helmholtz_testability	extends-with-derived-modification: D-R self-adjointness w.r.t. declared pairing now needs a TIME-DOMAIN datum (branch-dependent supplied structure, see TT-4); test runs on bigraded jets (t-jets <=2); gate-property (never a filter) unchanged	DERIVED (typing)	banked R8 (PW jet-level)	-	POSED_INVERSE_PROBLEM R8
R09	REQUIREMENT	R9_global_periods	extends-with-derived-modification: cycle set of D is topology-branch-dependent; branch (a): no new time-cycles; branches (b)/(c): the time-cycle census is Stage T3's contract -- NOT run (F-T1 honored); K4-torsion vacuity note transfers	DERIVED (branch-conditional)	banked R9 (GC)	-	POSED_INVERSE_PROBLEM R9; F-T1
R10	REQUIREMENT	R10_extension_gate_precedence	transfers-unchanged: honored by construction (domain built on the Route B bank; time extension does not change footing)	DERIVED (by construction)	banked R10 (PW)	-	POSED_INVERSE_PROBLEM R10
R11	REQUIREMENT	R11_J_obligations	per-row: see J01-J15 below	per-row	banked R11 (per-row)	-	JOINT_OPERATION_OBLIGATIONS
R12	REQUIREMENT	R12_restrict_then_vary_forbidden	extends-with-derived-modification: the STATIC bank is re-read as a PULLBACK of the time-live object to the static stratum; defining on the static stratum and varying is now itself the named violation; exact witness transfers	DERIVED	banked R12 (PW)	C1a/C1b (recovery = pullback consistency)	POSED_INVERSE_PROBLEM R12
R13	REQUIREMENT	R13_no_fitted_global_average	extends-with-derived-modification: fitted TIME-averages join the excluded class (same clause, new instance); completion arguments route through R3 as before	DERIVED	banked R13 (PW + GC cross-check)	-	POSED_INVERSE_PROBLEM R13
R14	REQUIREMENT	R14_bootstrap_on_shell_admissibility	transfers-unchanged (WS discipline statement; untouched by the extension)	DERIVED	banked R14 (WS)	-	POSED_INVERSE_PROBLEM R14
R15	REQUIREMENT	R15_topology_alone_not_matter	extends-with-derived-modification: clause extends verbatim to the time-topology label tau -- a time-cycle/branch label alone must not convert into a source term absent field support (the bridge-hope guard as a requirement instance, not a new rule)	DERIVED	banked R15 (GC)	-	POSED_INVERSE_PROBLEM R15; matter-carrier bedrock
J01	JROW	J01_coherent_coframe	extends: one coherent nondegenerate 4D coframe/metric per D-point -- now genuinely 4D with the time row live; piecewise configs still excluded	DERIVED	banked J01 (PW)	-	POSED_INVERSE_PROBLEM 3.1
J02	JROW	J02_founded_reciprocal_pair	transfers-unchanged (H fixed; observer typing via readout)	DERIVED	banked J02 (PW)	-	POSED_INVERSE_PROBLEM 3.1
J03	JROW	J03_pairing_domain	extends: declared pairing structure gains the TIME-DOMAIN supplied datum (per topology branch); still a tagged supplied choice	DERIVED (typing)	banked J03 (PW typing)	-	TT-4
J04	JROW	J04_additive_log_depth	extends: shift-equivariance time-extended (c_E absorption + derived unit rescale, T1q); bare zero-point still excluded	DERIVED	banked J04 (PW)	T1q_anchor_shift_absorption_time_extended	D3; TT-1 leg 5
J05	JROW	J05_full_tangent_pairing	extends: the full tangent gains delta-N slots (3) and time-jet components; pair-only rules remain incomplete by typing	DERIVED	banked J05 (PW)	T2e (transport unchanged)	POSED_INVERSE_PROBLEM 3.1
J06	JROW	J06_moduli_determination	extends: slot structure transfers (trace-free slot forced as banked); moduli gain the time-reading sub-fork; undetermined moduli still retained-and-reported	DERIVED	banked J06 (PW slot + WS determination)	T2g; T1s	Route B T4
J07	JROW	J07_chart_overlap_transition	gains-time-component: NEW derived ABELIAN additive time-slack cocycle (psi-maps compose additively on all components, T2i) ALONGSIDE the banked twisted E08 two-sided law (which transfers t-spectator); overlap laws now owed in time as well (T-L1 falsifier standing)	DERIVED	banked J07 (GC; twisted cocycle only)	T2i_psi_overlap_cocycle_composes_additively	Route B T3; TT-1 leg 3
J08	JROW	J08_completion_descent_data	extends: descent data gain tau; spatial c unchanged; branch-(c) time-completion data TYPED only	DERIVED	banked J08 (GC)	-	TT-3
J09	JROW	J09_null_type_changing_strata	extends: type-changing loci are now potential DYNAMICAL loci (time-live configurations can cross type); the explicit continuation-or-exclusion declaration obligation is unchanged	DERIVED	banked J09 (GC)	-	POSED_INVERSE_PROBLEM 3.1
J10	JROW	J10_exact_gauge_group	extends [AMENDED 2026-07-31, verifier round 1]: local Lorentz equivariance pointwise t-spectator; residual = K4 x time factor (layered: metric-layer Z2, coframe-layer obstructed) PLUS the stratum-conditional Z2 psi-branch under the coordinate reading (T1p3; N->-N only); under the projected reading the psi-slack instead removes N (T1p4; lock-reading fork LOAD-BEARING, carried); SO+ registration now LOAD-BEARING; no preferred fixed plane (unchanged)	DERIVED	banked J10 (PW)	T1d; T1g; T1i; T1p2; T1p3; T1p4; T2e; T2f	Route B T1; TT-1 sec 1.2
J11	JROW	J11_composition_reversal_loops	extends: loop consistency now includes TIME-loops -- branch-conditional; the loop census on (b)/(c) is Stage T3 (F-T1); psi-slack loop holonomy trivial by additivity (T2i)	DERIVED (branch-conditional)	banked J11 (GC)	T2i	F-T1
J12	JROW	J12_one_source_lineage	transfers-unchanged: all layers derive from the same census + banked structure; this package is the time-extension's typed import record	DERIVED	banked J12 (PW)	-	POSED_INVERSE_PROBLEM 3.1
J13	JROW	J13_discriminator_content	extends: discriminator slots persist (E07=k_mod, E08=C/s, completion=c); tau joins the COMPLETION controls; deleting retained slots still = imposition	DERIVED	banked J13 (PW slot + GC)	-	Route B C4
J14	JROW	J14_off_shell_definition	transfers-unchanged: R is an off-shell one-form; zero set derived; witness transfers	DERIVED	banked J14 (PW definitional)	-	POSED_INVERSE_PROBLEM 3.1
J15	JROW	J15_report_full_space	transfers-unchanged (reporting discipline; Stage-T2+ outcomes report the full surviving space)	DERIVED	banked J15 (status)	-	POSED_INVERSE_PROBLEM 3.1
