# STAMP: Stage T2 time-live pointwise ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON; registered chart's time extension (T-L1 CHOSE); bigraded jets <= (2,2), higher TYPED; BOTH lock-reading branches at the same depth; registered stationary presentation (general arenas TYPED); polynomial/formal in (k10,C); theta ABSENT; no census reading adopted; no fork resolved; no solve.
# STAMP: layered character rule (TU-1): K4 (t spectator) x T1-translations (bare-t excluded) x METRIC-LAYER T-parity Z2 (conditional: coframe layer imposes nothing) x STRATUM-CONDITIONAL N-parity Z2 (coordinate reading, psi-branch strata). Resonance-locus contacts: OPEN-PENDING-CENSUS (F-U8).
# STAMP: static restriction column = the C-1 identity (mechanical vs banked routeA_stage2 JSON): PASS.
row	kind	content	character	tag	static_restriction	basis_checks
R_N_x	COMPONENT	K4 char trivial; T-parity odd (metric layer); N-parity odd on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: chart-slack pairing (TU2h legs)	trivial	DERIVED	killed (N=0 diagonal premise)	TU1j;TU2c;TU2d;TU2f
R_N_y	COMPONENT	K4 char trivial; T-parity odd (metric layer); N-parity odd on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: chart-slack pairing (TU2h legs)	trivial	DERIVED	killed (N=0 diagonal premise)	TU1j;TU2c;TU2d;TU2f
R_N_z	COMPONENT	K4 char trivial; T-parity odd (metric layer); N-parity odd on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: chart-slack pairing (TU2h legs)	trivial	DERIVED	killed (N=0 diagonal premise)	TU1j;TU2c;TU2d;TU2f
R_wall	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_corner	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_timewall_branch_c_only	COMPONENT	branch-(c) TYPED slot only (no content populated; F-U1)	typed	TYPED	absent statically	-
R_timecorner_branch_c_only	COMPONENT	branch-(c) TYPED slot only (no content populated; F-U1)	typed	TYPED	absent statically	-
(constraint) STRATUM-IDENTITY kmod0	CONSTRAINT	-2 k10 r_tf + m00 c10 + m01 c11 - m10 c00 - m11 c01 = 0 on k_mod = 0 — EXTENDS VERBATIM time-live: no time-components, no split (delta_gauge N = 0; field sector zero); both branches identical	chi_a-graded	DERIVED	banked cut recovered (C1c)	TU4b
(constraint) resonance locus	CONSTRAINT	banked content cited (four named C=0 strata auto-satisfied; C!=0 shear example; deeper TYPED-NOT-EXHAUSTED); time-live fate stamped OPEN-PENDING-CENSUS — NOT adjudicated (F-U8)	-	CITED	banked cut recovered (C1c)	TU4d
(constraint) METRIC-LAYER T-parity	CONSTRAINT	components T-parity-matched to their directions (R_N odd, rest even); CONDITIONAL: metric layer only (coframe layer SO+-obstructed, admitting it = CHOSE); vacuous on the static stratum	Z2	DERIVED	vacuous statically (TU3a)	TU1h;TU1j
(constraint) STRATUM N-parity	CONSTRAINT	components N-parity-matched on psi-branch strata (2N e^{2phi}/c^2 t-independent; coordinate reading); DISCRETE: character cut, no Noether identity; per-witness stratum stamps (TU2e)	Z2	DERIVED	vacuous statically (TU3a)	TU1i;TU4e
alphabet bigraded	ALPHABET	blocks: Q (forced unique phi-channel, TU1a/TU1c) + bigraded jets of (phi,f,bh) <= (2,2) + N + bigraded N-jets (radial presentation; N_y,N_z typed) + moduli (const reading; m(t)/m(x,t) typed) + wall/corner data + NO bare t (TU1e) + NO bare phi (banked)	-	DERIVED	restricts to banked 10/13/16 (C1d)	TU1a-TU1e
alphabet presentations	ALPHABET	coordinate frame blocks (d_x-jets, g_xx, N) <-> psi-invariant blocks (D_x-jets, gamma_xx, N) invertible triangular map; D_x = d_x - (N/g_tt) d_t derived psi-invariant; module space reading-independent (TU2i)	-	DERIVED	identical statically (D_x = d_x at N=0)	TU1f;TU1g;TU2i
