identity_id	family_id	motif	selection_sha256	nodes_33_samples	nodes_65_samples	nodes_129_samples	intertwining_residual_129	metric_isometry_residual_129	kato_metric_skew_residual_129	kato_commutator_residual_129	refinement_33_65	refinement_65_129	transport_matrix_sha256	transport_status	error
B0_R05_1_M4	M09_R_RG	FULL_IRREDUCIBLE_4	00093ccc15da9b3d3410452735dcf0ced5a406b037a37b040b316a8f8fafcb73	65	129	257	1.1102230246251565e-16	1.2226653084348154e-15	0	0	3.818721102474596e-16	5.5419081759268493e-16	7822d29452f3a13aa74de8bbfbfcb7bc7a3fb9a56e8da731a00623f452a81b54	DENSE_TRANSPORT_PASS	-
B2_V012_M5	M10_H_RG	FULL_IRREDUCIBLE_4	000c1e6337bbf2cd46c532dbf0f93aca38f39b358050643c24686405622eaab0	65	129	257	1.1272788843005086e-17	4.0173288705715245e-15	0	0	1.5797070442090055e-12	9.8747562119129879e-14	7a7def91a08af7d1d8d82e0f86a0a543f10015930eb5c80a522c52e92161dc9c	DENSE_TRANSPORT_PASS	-
B2_R12_3_M7	M11_R_H_RG	FULL_IRREDUCIBLE_4	0011a638605c63b756d1cd4e203d944b762f79354b30df6217cba14239150c79	65	129	257	2.2204460492503131e-16	2.8658934406652181e-13	0	0	3.3208508362070466e-11	2.0762911691563746e-12	f9f2ee2ff6b11f23f0badda5f2231cd3fb54af18af09e96215de826eceda5b98	DENSE_TRANSPORT_PASS	-
B0_R07_3_M3	M12_D_RG	FULL_IRREDUCIBLE_4	001122df65d0c6ed1058909aaf6abcb0480b6e5b8dbe693d04da6beaab17b3e6	65	129	257	2.2204460492503131e-16	1.0479988358012715e-15	0	0	7.5117995897889328e-15	1.7705334975126868e-15	2fcc41db239a9907d32400dfda3d4ae829fe9250c8a024b5530cc574e263eb49	DENSE_TRANSPORT_PASS	-
B1_V004_M7	M13_R_D_RG	FULL_IRREDUCIBLE_4	003d8d9923d479f260f53ba2ec58803369cee14a21bb4f5126bad4ac5ba01882	65	129	257	2.2204460492503131e-16	3.2224259567828628e-15	0	0	4.8573316676787543e-13	3.0358745699648923e-14	b830bd2fedb9e3ef6f1584c3105bcb67fcb653fd3676b9baf7be31ccb6ce20ce	DENSE_TRANSPORT_PASS	-
B0_R10_1_MD	M14_H_D_RG	FULL_IRREDUCIBLE_4	0011cd85b44fd14555ece189fa1a06083d5426ca44942147d6c8d847b6fe48a4	65	129	257	2.2204460492503131e-16	1.0479988358012715e-15	0	0	4.4400041904666385e-16	6.660006285699959e-16	b7622d3d348a2987b05cc81d0f54f3cc2c1265f2f688a09408866790d3e6652a	DENSE_TRANSPORT_PASS	-
B3_R09_3_M6	M15_R_H_D_RG	FULL_IRREDUCIBLE_4	004d2984afa5b0cb3a11d57aca01877bf9ac028843efe0988787e8139bb5e5d3	65	129	257	2.2204460492503131e-16	2.7441033247500939e-14	0	0	3.0513286721846929e-12	1.8879823329324603e-13	3a172889cf7a6fc817a47768b0b1ab99210b85a02ff0ffc25a1ce64a44bb4780	DENSE_TRANSPORT_PASS	-
B1_V002_MB	M16_WG	FULL_IRREDUCIBLE_4	000f3c1d9e9147ac81340b70d100446ae3fde9999c8b247ca4b58f2ae2091cd4	65	129	257	2.2204460492503131e-16	1.7611832363897483e-15	0	0	3.840313053857114e-13	2.3954959748538752e-14	0d07b7e6b9f2112b1685d3dfefe6146c694158e56cb62240f11a845d5d6b49c8	DENSE_TRANSPORT_PASS	-
B2_R15_1_M1	M17_R_WG	FULL_IRREDUCIBLE_4	00044b54e45ecab87032a66acf80290f5a36c72535d3d1c251c68db45ce515f8	65	129	257	2.2204460492503131e-16	1.0479988358012715e-15	0	0	8.9554553072209401e-14	5.5980258662805279e-15	913643dcfd17bdedfc78e9acadbf644ee685acd6ae6d3962281f1f977aa39d95	DENSE_TRANSPORT_PASS	-
B0_V005_M9	M18_H_WG	FULL_IRREDUCIBLE_4	000dba4a14814fbbeb4067d5920fe92366d6a91bc31624127f55934f2aa577f6	65	129	257	1.1102230246251565e-16	1.0479988358012711e-15	0	0	6.2414959258335389e-15	8.8669420477990342e-16	add15ca945fb0903bc1160f074a3aa1c1fe7181c9760db8e05ff5c73592326c5	DENSE_TRANSPORT_PASS	-
B1_V008_M7	M19_R_H_WG	FULL_IRREDUCIBLE_4	0013c8e54e6363631d82e3bcb6b1102f95c64832becebe6cceafcb7390f34686	65	129	257	2.2204460492503131e-16	2.4773471050491879e-15	0	0	3.3007726702836142e-13	2.0619260947712007e-14	f4d064108f69ce3d4d8b6f193f2b050e90d1dfa6119247fa7c42ed6b156e2456	DENSE_TRANSPORT_PASS	-
B3_V011_M6	M20_D_WG	FULL_IRREDUCIBLE_4	000ca804ef5706eb37818d3ce71cda532dfd92c9985a718a9c9be08972c2f079	65	129	257	1.1102230246251565e-16	2.2595897210435586e-15	0	0	2.4559848305058313e-13	1.5374385385760147e-14	8cfa8d6e64081f3d1510cbed90700394902e1a231b14d1d471a5564be1d0699a	DENSE_TRANSPORT_PASS	-
B1_V009_M2	M21_R_D_WG	FULL_IRREDUCIBLE_4	0008d3c5c253a356e15cad7fc1e696f4289659bb239ce308a1bca3a4ef0b47bb	65	129	257	2.2204460492503131e-16	8.7989766874998243e-16	0	0	1.749774630803369e-13	1.0934860778418505e-14	cee20270b3044f7238def5bd49182115494f4112588b164d8ab79e7b51d44e7a	DENSE_TRANSPORT_PASS	-
B1_V014_MC	M22_H_D_WG	FULL_IRREDUCIBLE_4	0008ee9604129ef7426de97c6d58c1222773ebbee61a65926bf0c96d755a36ab	65	129	257	4.4408920985006262e-16	2.2706641442360885e-15	0	0	3.1433176367284955e-14	1.9604481810789023e-15	65d34a939c108b6cd26812f58dee35d26beb6e3b7091ad0d860b7a9458d42fa8	DENSE_TRANSPORT_PASS	-
B0_R14_3_MC	M23_R_H_D_WG	FULL_IRREDUCIBLE_4	0000c50148613181d211257f0447e9b9aa9821b535ff5416bcce6b7246b54205	65	129	257	2.2204460492503131e-16	5.2399941790063577e-16	0	0	3.1934755577351022e-15	8.8717280822592279e-16	3ca086bec05a600af6ad3293507d0963460d4afa0ba7b7d4c917050e022b886f	DENSE_TRANSPORT_PASS	-
B2_V004_MA	M24_RG_WG	FULL_IRREDUCIBLE_4	0023a5fb3e7d861df2e7d12abdfe9dfe66a107eae041c1ab11a2438ce949aea7	65	129	257	3.3306690738754696e-16	2.396403448232934e-15	0	0	4.0885727396955624e-13	2.5561648868781641e-14	d1d9d0538d50f73d0a97221f73ff5cbefbc30aa65ed6b963d98ae0a5a702e220	DENSE_TRANSPORT_PASS	-
B0_V002_M9	M25_R_RG_WG	FULL_IRREDUCIBLE_4	0027dfa208cf8262f9f94df5e1ba3e1d78eaf59058706fb3f21ee2079f38d012	65	129	257	1.1102230246251565e-16	1.2226653084348168e-15	0	0	1.5513881140417526e-15	6.6488062030360787e-16	e84d56d0ece3fccab241f8e61adda688bf85236d2c638781bc1caab0e8438dea	DENSE_TRANSPORT_PASS	-
B0_R00_3_ME	M26_H_RG_WG	FULL_IRREDUCIBLE_4	005d73e5adc655e0319da315e1051924160f11ea10a64f8d1c9591f1550ba1f0	65	129	257	2.2204460492503131e-16	6.9866589053418103e-16	0	0	1.4911682999496634e-14	9.9920072216264089e-16	c648c347f3e87426d8eeb794bfd4a77a046a1f03c631502414873102b549a5aa	DENSE_TRANSPORT_PASS	-
B1_R03_1_M5	M27_R_H_RG_WG	FULL_IRREDUCIBLE_4	000281737686b83deee3fcf880ad4a364f90f4c5bb387e4a9d4add69a86cc81c	65	129	257	2.2204460492503131e-16	2.0959976716025431e-15	0	0	3.0412001593059134e-14	1.9044224204768497e-15	306ed8a223b9e978bb1f54df37f2fa77e9bfceb1f6e048149ab91685568b2480	DENSE_TRANSPORT_PASS	-
B2_R07_1_M3	M28_D_RG_WG	FULL_IRREDUCIBLE_4	001b83fcb0be4b61a7a6a44470f36636c9a52bad2e4ad9437dc94bb208e45c66	65	129	257	2.2204460492503131e-16	1.0439849884169732e-15	0	0	2.1092849689097193e-13	1.3183898417423734e-14	b556cc62126bd7b7a32eb1bbf20373aa2e4967b860032781affb4faa08d01d27	DENSE_TRANSPORT_PASS	-
B2_R08_1_MD	M29_R_D_RG_WG	FULL_IRREDUCIBLE_4	000208c4d5bb9824bee54236682c6f0fa6de26653d6735f9d13c863b0e23b329	65	129	257	1.1102230246251565e-16	2.0959976716025423e-15	0	0	2.125775112029018e-13	1.3297808000502464e-14	428b16bb5bc9f46b2d02176b781d479a266b99cc1d865f82912ac36673c34566	DENSE_TRANSPORT_PASS	-
B3_V015_M4	M30_H_D_RG_WG	FULL_IRREDUCIBLE_4	0019b90cb381fc9ee3d653b7fcf9b91c8f546f9a5edc01ecfd71c7120bf25063	65	129	257	2.2204460492503131e-16	1.65933149001868e-15	0	0	2.7103053433530756e-13	1.6930559821708216e-14	e6ba19252cd6ffb07908cd4dc09f186aa9e35d2ebff94761b06dd1d34ef75880	DENSE_TRANSPORT_PASS	-
B2_R02_3_MA	M31_R_H_D_RG_WG	FULL_IRREDUCIBLE_4	00d1592ed88cf9faad99e9b2c8509120bcee0b91b35c416b9434078730fd018a	65	129	257	9.8967360806054992e-18	1.8130058695206982e-14	0	0	3.3140883855931398e-12	2.0709392198229858e-13	769db7c11a9c8d161a97ac05b9ac89949cf5b3161019fac68774ce55b48d49a6	DENSE_TRANSPORT_PASS	-
B1_V003_MF	M04_D	LINE_PLUS_THREE	000268f40f0d225e090d4b8571a7e055199494f105902e2cd491bbb86a07c7c3	65	129	257	1.4168888284871173e-11	3.216998333522317e-11	5.4973439245776585e-09	2.4649396968001724e-09	1.3377595019775074e-10	7.6348172558499016e-11	abb47173cff35434f64f96c381876023589c6d8a09bc9be116630f2032f3dbbc	DENSE_TRANSPORT_PASS	-
B0_R11_1_M8	M05_R_D	LINE_PLUS_THREE	00ed2ec4342fd62142748f73a8cb6223c28482c883f7464c35f16c2513bc4e4b	65	129	257	7.7744467114958971e-11	1.1205453325443061e-09	5.5673546900169282e-07	1.2696617509681552e-07	2.1589555983992033e-09	1.0081228282272151e-09	ee1de8bfbd9d0e98d2c8fc77d2ab549cbde28d6013eb0850ca31c3a9722dd489	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B3_R04_3_M8	M12_D_RG	LINE_PLUS_THREE	029773c47dec700c0906e727dbb0c52955d32b9f9cd4b7cd1520042afc086668	65	129	257	5.8275475313618389e-10	5.8477387450505476e-10	2.2427170237879461e-07	6.8313249862450576e-08	1.1386508441162511e-09	1.13641799030591e-09	7a4ad6b4cc3c88a03f45da2bea0984708e68d651991e614bd7ab58b33146d75e	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B1_R06_3_M8	M13_R_D_RG	LINE_PLUS_THREE	053998b299414f0519daa0a133527caa5d414571f72d14eddb46eca49051c5d0	65	129	257	1.7277290709216686e-11	3.3083118082029143e-11	8.6608897805267905e-09	4.5320504293844266e-09	1.1456545614704616e-10	3.0080727257505397e-11	7974390f50d37723ec136f391a0f026f3b36c57d9c1cf06c716c3516e5555fcd	DENSE_TRANSPORT_PASS	-
B1_V015_M8	M20_D_WG	LINE_PLUS_THREE	0861848883ccaf856f2d4dcd1e0ab391f79eb6090723a818bd3dc7a45420b05b	65	129	257	5.529854352204211e-12	4.0636154857980344e-11	7.966764324629505e-09	3.4968899997878111e-09	1.1591930425553513e-10	2.6513060128693629e-11	9372f22b2d5abbcfbb927cd01926e11a1fc28703c94969615303518cac244f0d	DENSE_TRANSPORT_PASS	-
B0_R14_3_M8	M21_R_D_WG	LINE_PLUS_THREE	00bb1889bcae0a88822957da14297c8ab8640fd0a77d685dada953522d19b9b6	65	129	257	5.8009881221340004e-10	2.258569032379005e-09	2.8482730331461405e-06	1.3811268994961951e-06	8.319573526161462e-09	1.9859223487067023e-09	2cc19d1114f785b3289f1ef250c0accb4a1dee1632c29508ae885486f323f491	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B2_R02_1_M8	M28_D_RG_WG	LINE_PLUS_THREE	00496ada8ad60cbd45aac3532b10aeb9eca91f68ae854afd8e9d2b26ca640d5a	65	129	257	2.1206869593726196e-10	2.0738783461373748e-10	3.5702326567355058e-08	2.0927140326199023e-08	5.7304551107704919e-10	2.4411525792580978e-10	3770826b5922460541160391743ac67268de5a1d64552fff8b31b75131b08307	DENSE_TRANSPORT_PASS	-
B0_R03_1_M8	M29_R_D_RG_WG	LINE_PLUS_THREE	00227fa0b345a4cda161accf78a49ed5f7363a5ea8f6eae5c67ce8bea9353dae	65	129	257	7.7744467114958971e-11	1.1205453325443061e-09	5.5673546900169282e-07	1.2696617509681552e-07	2.1589555983992033e-09	1.0081228282272151e-09	ee1de8bfbd9d0e98d2c8fc77d2ab549cbde28d6013eb0850ca31c3a9722dd489	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B2_V016_M8	M01_R	SCALAR_4_AMBIGUITY	038e8ca22a9e6e1f91372a212f118f957c29e3bc4eae139ffaa8b4100fc406cf	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B0_R04_3_M1	M02_H	SCALAR_4_AMBIGUITY	0005ff815a48796ceaab3f4aa14faeddc3a7e3f5c43f8c40882249d165e6b6bc	65	129	257	1.1102230246251565e-16	1.2226653084348168e-15	0	0	6.3271931155196531e-15	4.4352722825110438e-16	0469b9130c9bd112c705fd28f430c71592359518b34d01d182373e1d1c9bb4e6	DENSE_TRANSPORT_PASS	-
B3_R07_1_M0	M03_R_H	SCALAR_4_AMBIGUITY	03003a0c064222086a7b422699bcc015943b3102a7d2008a8eea8f77154504c4	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_R00_1_M6	M04_D	SCALAR_4_AMBIGUITY	0050354f413e7dce1a7366341209412f213d261ba7c1c28d96f552ee53d872af	65	129	257	2.2204460492503131e-16	1.0410479590837227e-15	0	0	5.2195534072689503e-14	3.2566909706326596e-15	f5486d09e666017fe5f0e7056b6c06355674ccae0d33ac7dabc77c7b9fd5eb6a	DENSE_TRANSPORT_PASS	-
B1_R03_3_M0	M05_R_D	SCALAR_4_AMBIGUITY	00b7223f313d01d1fd883c26e960d197e39c331fb09df88e8856d95d0a7502cd	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_V014_M0	M06_H_D	SCALAR_4_AMBIGUITY	0002c39305ba059e7d4e30c8a695d2c19ddf202e0c1b27c5b9f293550781ee1b	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B0_R14_3_M0	M07_R_H_D	SCALAR_4_AMBIGUITY	03162f0247153be73d8fe439dc413b2ac1f928710ca006aaa8886c90fc0087f6	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_R10_1_M8	M08_RG	SCALAR_4_AMBIGUITY	00d8fe6bcd4df376968181051818e7a2320f96242b076ac3cb999cc8da2fd16b	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B1_R05_3_M0	M09_R_RG	SCALAR_4_AMBIGUITY	00ad8c78fb807921d8504de8ba79f6b9c7cf2cd5619a687e2f39366807fd67d6	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_V010_M0	M10_H_RG	SCALAR_4_AMBIGUITY	02f2f014a480f8cfbddfe073eb2dc99879c06cec7ed9fc7e45b6282c03e4788c	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B1_R00_3_M0	M11_R_H_RG	SCALAR_4_AMBIGUITY	01486295071a09cca9626afb13d0beb92b066dcb053ecd8a2245e87d2d8811b4	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B1_R15_1_M0	M12_D_RG	SCALAR_4_AMBIGUITY	00771c11a9d92f966213e69f1f4117c584bfd04a632efe6011782e6c13a278aa	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_R10_1_M0	M13_R_D_RG	SCALAR_4_AMBIGUITY	02bc7393559f90e3588529c5e74a6af9838d07f4a31412e339f473fc68209ab0	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_V015_M0	M14_H_D_RG	SCALAR_4_AMBIGUITY	0036755ce8103d83896c933792506a34f4cf512799ef06ec477caa28a4da9309	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B0_R00_3_M0	M15_R_H_D_RG	SCALAR_4_AMBIGUITY	0105270dacb214e1c32d4b0f8712a533fe319038ebaf3d34c56888239b212981	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B1_V009_M8	M16_WG	SCALAR_4_AMBIGUITY	005065e3bcefe158bf59689f3d362ee1e22a2999bfbfb597fd3c3771c3e1f0dc	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B0_R07_3_M0	M17_R_WG	SCALAR_4_AMBIGUITY	00c0e26eea73a4266d1d4f1e5dd00cf4af55e8490d7be51aac8b2c858959acda	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_R12_3_M0	M18_H_WG	SCALAR_4_AMBIGUITY	04d3bd8bb18e521f1567691cdc9ebd42a72ff7b8dbbfa8c5e9dfdd3bd3faabf3	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B0_R05_3_M0	M19_R_H_WG	SCALAR_4_AMBIGUITY	0100a350c4af16c08fe3ad67dcfbf99464ade96f2819a8181407c6fe39cf65c9	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_V006_M0	M20_D_WG	SCALAR_4_AMBIGUITY	005dd3a36d57c43d63f0a2a25bda90148e7ea6487179b0fb8d416e7c62835ef3	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_V015_M0	M21_R_D_WG	SCALAR_4_AMBIGUITY	0022ec3f1823c1ba44878acea392c77531026fa20e0026d5e10300745cd2961d	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_R08_1_M0	M22_H_D_WG	SCALAR_4_AMBIGUITY	00bb042d1337bf8c12c1304200fc8e4b0046b9004b94eee940ebb9571de50c08	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_R00_3_M0	M23_R_H_D_WG	SCALAR_4_AMBIGUITY	04a8eb495bce3039612fea914321030a5cbac8991025362e6e9fd73bf6bc5f2e	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B1_V001_M0	M24_RG_WG	SCALAR_4_AMBIGUITY	00b0808b9317aaf8f5194d7ca1bc358cf9694f5289be8e48ddac54f519468efd	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_R03_3_M8	M25_R_RG_WG	SCALAR_4_AMBIGUITY	0063f368c29dddbb1e3f88bfbf8c9ebc88de54b32e4f1fac07b90286f0683768	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_R05_1_M0	M26_H_RG_WG	SCALAR_4_AMBIGUITY	00727a4c056837adc46f302de04a21c085b3f0466b86785bb266f4a4d7df15d6	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_V014_M0	M27_R_H_RG_WG	SCALAR_4_AMBIGUITY	0162ace19966522af5a8ec76c0f69842401a24b9fe9a1830d5cbbc90259e9de1	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B0_R02_3_M0	M28_D_RG_WG	SCALAR_4_AMBIGUITY	00bf60de75effc6fabecd8829f5e6c1bc578cecf9da1955a1146ad61828fc995	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_R09_1_M0	M29_R_D_RG_WG	SCALAR_4_AMBIGUITY	01eee13a36026090695a38499dd003fb4e25ed128466c5595804d9165f26fca6	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_R07_1_M0	M30_H_D_RG_WG	SCALAR_4_AMBIGUITY	0088be6fdd44226c5d99b36489c7de3d41a768c9468bee6e4c7f2d371a812092	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B2_V011_M0	M31_R_H_D_RG_WG	SCALAR_4_AMBIGUITY	01379ac81f700d9836caa5775fdc7dd248470252aa7cf08a88646e2940383d42	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B3_R02_1_M4	M01_R	TWO_PLUS_TWO_LINES	0011766d61ba7bcc076577ec3d4cd3ede8255dfe4353f75fe9bf637a0f36c551	65	129	257	9.2565174800939583e-12	4.376823583716815e-11	1.0393818142100109e-08	9.5629945004449546e-09	4.3357478031524594e-11	6.1476703255054544e-11	db9651b5ca20089360ccf1b61e34625d68b7c95912e3403cd38aa864e29edfc3	DENSE_TRANSPORT_PASS	-
