architecture_id	law_id	law_class	home	input_type	codomain	variation_owner	ruling
H03	K01	FOUNDED_RECIPROCAL_COMPARISON	configuration of (g,s)	ordered pair/path query plus signed depth	base plus section-field response :: morphism of reciprocal pair fibers / O(1,1) character	independent delta_g and delta_s after ownership is supplied	CONDITIONAL_SECTION_EVALUATION
H03	K02	AMBIENT_METRIC_GEOMETRY	configuration of (g,s)	metric/coframe on M	base plus section-field response :: metric connection curvature causal and identity objects on M	independent delta_g and delta_s after ownership is supplied	BASIC_COMPONENT_AVAILABLE
H03	K03	PAIR_RESOLVED_RESPONSE	configuration of (g,s)	ambient geometry plus ordered reciprocal query	base plus section-field response :: associated screen mixing projected-response objects over query space	independent delta_g and delta_s after ownership is supplied	CONDITIONAL_PHYSICAL_FIELD_HOME
H03	K04	NATIVE_DYNAMICAL_CLOSURE	configuration of (g,s)	admissible complete configuration and jets or disclosed nonlocal data	base plus section-field response :: covariant residual constraint evolution or variational dual object	independent delta_g and delta_s after ownership is supplied	ADMISSIBLE_ONLY_IF_SECTION_OWNERSHIP_SELECTED
H03	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	configuration of (g,s)	one complete on-shell solution and native global/local observables	base plus section-field response :: relation subset or compatibility value on global-local observable space	independent delta_g and delta_s after ownership is supplied	CONDITIONAL_SECTION_EVALUATED_RETURN
H03	K06	BOUNDARY_COMPLETION	configuration of (g,s)	bulk/query/reduction data restricted to boundary seal corner or defect	base plus section-field response :: boundary response polarization gluing flux or admissibility object	independent delta_g and delta_s after ownership is supplied	CONDITIONAL_SECTION_BOUNDARY
H04	K01	FOUNDED_RECIPROCAL_COMPARISON	regular branch with s=S[g]	ordered pair/path query plus signed depth	composite base response :: morphism of reciprocal pair fibers / O(1,1) character	delta_g with delta_s=DS_g[delta_g]	CONDITIONAL_REGULAR_BRANCH
H04	K02	AMBIENT_METRIC_GEOMETRY	regular branch with s=S[g]	metric/coframe on M	composite base response :: metric connection curvature causal and identity objects on M	delta_g with delta_s=DS_g[delta_g]	BASIC_PARENT_AVAILABLE
H04	K03	PAIR_RESOLVED_RESPONSE	regular branch with s=S[g]	ambient geometry plus ordered reciprocal query	composite base response :: associated screen mixing projected-response objects over query space	delta_g with delta_s=DS_g[delta_g]	CONDITIONAL_REGULAR_BRANCH
H04	K04	NATIVE_DYNAMICAL_CLOSURE	regular branch with s=S[g]	admissible complete configuration and jets or disclosed nonlocal data	composite base response :: covariant residual constraint evolution or variational dual object	delta_g with delta_s=DS_g[delta_g]	ADMISSIBLE_WITH_CHAIN_RULE_NOT_SELECTED
H04	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	regular branch with s=S[g]	one complete on-shell solution and native global/local observables	composite base response :: relation subset or compatibility value on global-local observable space	delta_g with delta_s=DS_g[delta_g]	CONDITIONAL_REGULAR_BRANCH_RETURN
H04	K06	BOUNDARY_COMPLETION	regular branch with s=S[g]	bulk/query/reduction data restricted to boundary seal corner or defect	composite base response :: boundary response polarization gluing flux or admissibility object	delta_g with delta_s=DS_g[delta_g]	CONDITIONAL_REGULAR_BRANCH_BOUNDARY
H05	K01	FOUNDED_RECIPROCAL_COMPARISON	stratified union of regular and singular homes	ordered pair/path query plus signed depth	stratum response plus open interface/gluing object :: morphism of reciprocal pair fibers / O(1,1) character	stratum tangent or tangent-cone/interface owner	TILEWISE_OR_SET_VALUED
H05	K02	AMBIENT_METRIC_GEOMETRY	stratified union of regular and singular homes	metric/coframe on M	stratum response plus open interface/gluing object :: metric connection curvature causal and identity objects on M	stratum tangent or tangent-cone/interface owner	BASIC_PARENT_PLUS_STRATA
H05	K03	PAIR_RESOLVED_RESPONSE	stratified union of regular and singular homes	ambient geometry plus ordered reciprocal query	stratum response plus open interface/gluing object :: associated screen mixing projected-response objects over query space	stratum tangent or tangent-cone/interface owner	STRATIFIED_RULE_OPEN
H05	K04	NATIVE_DYNAMICAL_CLOSURE	stratified union of regular and singular homes	admissible complete configuration and jets or disclosed nonlocal data	stratum response plus open interface/gluing object :: covariant residual constraint evolution or variational dual object	stratum tangent or tangent-cone/interface owner	STRATIFIED_RULE_OPEN
H05	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	stratified union of regular and singular homes	one complete on-shell solution and native global/local observables	stratum response plus open interface/gluing object :: relation subset or compatibility value on global-local observable space	stratum tangent or tangent-cone/interface owner	STRATIFIED_GLOBAL_JOIN_OPEN
H05	K06	BOUNDARY_COMPLETION	stratified union of regular and singular homes	bulk/query/reduction data restricted to boundary seal corner or defect	stratum response plus open interface/gluing object :: boundary response polarization gluing flux or admissibility object	stratum tangent or tangent-cone/interface owner	STRATIFIED_BOUNDARY_RULE_OPEN
H06	K01	FOUNDED_RECIPROCAL_COMPARISON	M after query-fiber aggregation	ordered pair/path query plus signed depth	averaged or quotiented base object :: morphism of reciprocal pair fibers / O(1,1) character	metric plus measure/weight data if derived	UNAVAILABLE_MISSING_NATIVE_AGGREGATION_DATA
H06	K02	AMBIENT_METRIC_GEOMETRY	M after query-fiber aggregation	metric/coframe on M	averaged or quotiented base object :: metric connection curvature causal and identity objects on M	metric plus measure/weight data if derived	UNAVAILABLE_MISSING_NATIVE_AGGREGATION_DATA
H06	K03	PAIR_RESOLVED_RESPONSE	M after query-fiber aggregation	ambient geometry plus ordered reciprocal query	averaged or quotiented base object :: associated screen mixing projected-response objects over query space	metric plus measure/weight data if derived	UNAVAILABLE_MISSING_NATIVE_AGGREGATION_DATA
H06	K04	NATIVE_DYNAMICAL_CLOSURE	M after query-fiber aggregation	admissible complete configuration and jets or disclosed nonlocal data	averaged or quotiented base object :: covariant residual constraint evolution or variational dual object	metric plus measure/weight data if derived	UNAVAILABLE_MISSING_NATIVE_AGGREGATION_DATA
H06	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	M after query-fiber aggregation	one complete on-shell solution and native global/local observables	averaged or quotiented base object :: relation subset or compatibility value on global-local observable space	metric plus measure/weight data if derived	UNAVAILABLE_MISSING_NATIVE_AGGREGATION_DATA
H06	K06	BOUNDARY_COMPLETION	M after query-fiber aggregation	bulk/query/reduction data restricted to boundary seal corner or defect	averaged or quotiented base object :: boundary response polarization gluing flux or admissibility object	metric plus measure/weight data if derived	UNAVAILABLE_MISSING_NATIVE_AGGREGATION_DATA
H07	K01	FOUNDED_RECIPROCAL_COMPARISON	typed diagram of M P reductions and strata	ordered pair/path query plus signed depth	tuple/diagram preserving each codomain :: morphism of reciprocal pair fibers / O(1,1) character	owner attached to each component	DERIVED_QUERY_COMPONENT
H07	K02	AMBIENT_METRIC_GEOMETRY	typed diagram of M P reductions and strata	metric/coframe on M	tuple/diagram preserving each codomain :: metric connection curvature causal and identity objects on M	owner attached to each component	DERIVED_BASIC_COMPONENT
H07	K03	PAIR_RESOLVED_RESPONSE	typed diagram of M P reductions and strata	ambient geometry plus ordered reciprocal query	tuple/diagram preserving each codomain :: associated screen mixing projected-response objects over query space	owner attached to each component	QUERY_OR_REDUCTION_COMPONENT
H07	K04	NATIVE_DYNAMICAL_CLOSURE	typed diagram of M P reductions and strata	admissible complete configuration and jets or disclosed nonlocal data	tuple/diagram preserving each codomain :: covariant residual constraint evolution or variational dual object	owner attached to each component	ADMISSIBLE_TYPED_ENVELOPE_NOT_SELECTED
H07	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	typed diagram of M P reductions and strata	one complete on-shell solution and native global/local observables	tuple/diagram preserving each codomain :: relation subset or compatibility value on global-local observable space	owner attached to each component	GLOBAL_COMPONENT_OPEN
H07	K06	BOUNDARY_COMPLETION	typed diagram of M P reductions and strata	bulk/query/reduction data restricted to boundary seal corner or defect	tuple/diagram preserving each codomain :: boundary response polarization gluing flux or admissibility object	owner attached to each component	MULTITYPE_BOUNDARY_COMPONENT_OPEN
H08	K01	FOUNDED_RECIPROCAL_COMPARISON	outside current universe	ordered pair/path query plus signed depth	unclassified :: morphism of reciprocal pair fibers / O(1,1) character	unclassified	UNCLASSIFIED_ESCAPE_RETAINED
H08	K02	AMBIENT_METRIC_GEOMETRY	outside current universe	metric/coframe on M	unclassified :: metric connection curvature causal and identity objects on M	unclassified	UNCLASSIFIED_ESCAPE_RETAINED
H08	K03	PAIR_RESOLVED_RESPONSE	outside current universe	ambient geometry plus ordered reciprocal query	unclassified :: associated screen mixing projected-response objects over query space	unclassified	UNCLASSIFIED_ESCAPE_RETAINED
H08	K04	NATIVE_DYNAMICAL_CLOSURE	outside current universe	admissible complete configuration and jets or disclosed nonlocal data	unclassified :: covariant residual constraint evolution or variational dual object	unclassified	UNCLASSIFIED_ESCAPE_RETAINED
H08	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	outside current universe	one complete on-shell solution and native global/local observables	unclassified :: relation subset or compatibility value on global-local observable space	unclassified	UNCLASSIFIED_ESCAPE_RETAINED
H08	K06	BOUNDARY_COMPLETION	outside current universe	bulk/query/reduction data restricted to boundary seal corner or defect	unclassified :: boundary response polarization gluing flux or admissibility object	unclassified	UNCLASSIFIED_ESCAPE_RETAINED
