path	role	composition_claim	metric_depth_assignment	loop_requirement	ruling
udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	WHOLE_CONFIGURATION	law_naturality	REALIZATION_OPEN	GLOBAL_DATA_OPEN	GATE_NOT_GENERATOR
udt_whole_configuration_reciprocity_audit_2026-08-01/EXACT_DERIVATION.md	WHOLE_CONFIGURATION	cocycle_reconstruction	REALIZATION_OPEN	GLOBAL_DATA_OPEN	GATE_NOT_GENERATOR
udt_whole_configuration_reciprocity_audit_2026-08-01/STATUS_LEDGER.tsv	WHOLE_CONFIGURATION	current_whole_status	REALIZATION_OPEN	GLOBAL_DATA_OPEN	GATE_NOT_GENERATOR
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	HOLONOMY_CONTROL	path_transport_given_inputs	NOT_SUPPLIED	ENDPOINT_CLOSURE_FAILS_CONTROL	NO_FOUNDING_LOOP_IDENTITY
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	HOLONOMY_CONTROL	path_transport_given_inputs	NOT_SUPPLIED	ENDPOINT_CLOSURE_FAILS_CONTROL	NO_FOUNDING_LOOP_IDENTITY
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/STATUS_LEDGER.tsv	HOLONOMY_CONTROL	bounded_loop_status	NOT_SUPPLIED	PATH_RULE_OPEN	NO_FOUNDING_LOOP_IDENTITY
udt_basic_vs_universal_query_residual_audit_2026-08-04/AUDIT_REPORT.md	PARENT_FRONTIER	universal_architecture_admissible	OPEN	LOCAL_GLOBAL_OPEN	NO_RESIDUAL_SELECTED
udt_basic_vs_universal_query_residual_audit_2026-08-04/EXACT_DERIVATION.md	PARENT_FRONTIER	local_global_controls	OPEN	LOCAL_GLOBAL_OPEN	NO_RESIDUAL_SELECTED
udt_basic_vs_universal_query_residual_audit_2026-08-04/FOUNDATIONAL_RULING.tsv	PARENT_FRONTIER	foundational_nonselection	OPEN	LOCAL_GLOBAL_OPEN	NO_RESIDUAL_SELECTED
udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md	LAW_TYPE_PARENT	query_law_typing	OPEN	QUANTIFIER_OPEN	TYPE_ONLY
udt_native_law_home_codomain_ownership_audit_2026-08-04/FOUNDATIONAL_ENTAILMENT_MATRIX.tsv	LAW_TYPE_PARENT	founded_query_morphism	ABSTRACT_DEPTH_OPEN	QUANTIFIER_OPEN	TYPE_ONLY
udt_query_bundle_section_descent_audit_2026-08-04/AUDIT_REPORT.md	SECTION_PARENT	query_without_section	OPEN	STRATIFIED_OPEN	NO_SECTION_SELECTED
udt_extension_bundle_globalization_variation_audit_2026-08-04/AUDIT_REPORT.md	GLOBALIZATION_PARENT	conditional_bundle_globalization	OPEN	TOPOLOGY_GLUE_OPEN	NO_LAW_SELECTED
udt_factorized_whole_spacetime_skeleton_2026-08-04/OPEN_EQUATION_SLOTS.tsv	OPEN_SLOT_PARENT	complete_open_law_slots	OPEN	OPEN	NO_LAW_SELECTED
udt_pair_space_metric_transform_sne_readout_audit_2026-07-24/SNE_READOUT_LEDGER.tsv	DOWNSTREAM_ANCHOR	conditional_readout	CONDITIONAL	NONE	NO_UPSTREAM_SELECTION
