sample_id	object	kind	endpoint_diff	holonomy_diff	normal_angle_diff	independent_class	production_class	pass
R17_0_N	TIMELIKE	GEODESIC	1.8318166521901714e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_0_N	SPACELIKE	GEODESIC	6.0296280066471451e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_0_N	HOPF_FIBER	PATH	NA	5.9662226276794391e-10	4.4408920985006262e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_0_N	LOCAL_RECTANGLE	PATH	NA	2.9393186064778574e-12	1.7347234759768071e-17	NONIDENTITY	NONIDENTITY	TRUE
R17_0_Z	TIMELIKE	GEODESIC	1.8000222140924575e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_0_Z	SPACELIKE	GEODESIC	6.1756793967683672e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_0_Z	HOPF_FIBER	PATH	NA	5.9113035460205058e-10	3.8191672047105385e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_0_Z	LOCAL_RECTANGLE	PATH	NA	3.0444997616915308e-12	1.214306433183765e-17	NONIDENTITY	NONIDENTITY	TRUE
R17_0_P	TIMELIKE	GEODESIC	1.732394135895142e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_0_P	SPACELIKE	GEODESIC	6.315510978888369e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_0_P	HOPF_FIBER	PATH	NA	5.846691035324371e-10	2.8421709430404007e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_0_P	LOCAL_RECTANGLE	PATH	NA	3.1536461499365294e-12	2.4286128663675299e-17	NONIDENTITY	NONIDENTITY	TRUE
R17_P1_N	TIMELIKE	GEODESIC	1.5621571380837018e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_P1_N	SPACELIKE	GEODESIC	3.4986555499783707e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_P1_N	HOPF_FIBER	PATH	NA	5.5968656878631912e-10	2.042810365310288e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_P1_N	LOCAL_RECTANGLE	PATH	NA	2.6519025259170289e-12	1.4967541095423087e-13	NONIDENTITY	NONIDENTITY	TRUE
R17_P1_Z	TIMELIKE	GEODESIC	1.4332638222211286e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_P1_Z	SPACELIKE	GEODESIC	3.4928397626879846e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_P1_Z	HOPF_FIBER	PATH	NA	5.5363314436251168e-10	9.7699626167013776e-15	NONIDENTITY	NONIDENTITY	TRUE
R17_P1_Z	LOCAL_RECTANGLE	PATH	NA	2.6589644788849341e-12	1.5661777430509005e-13	NONIDENTITY	NONIDENTITY	TRUE
R17_P1_P	TIMELIKE	GEODESIC	1.408692044209937e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_P1_P	SPACELIKE	GEODESIC	3.5857638339670038e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_P1_P	HOPF_FIBER	PATH	NA	5.4644978138053845e-10	1.0658141036401503e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_P1_P	LOCAL_RECTANGLE	PATH	NA	2.6750542710101182e-12	1.6364687382974807e-13	NONIDENTITY	NONIDENTITY	TRUE
TL_N2	TIMELIKE	GEODESIC	7.7569785942976365e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_N2	SPACELIKE	GEODESIC	5.1942008203214104e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_N2	TX_RECTANGLE	PATH	NA	2.7466027136584723e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_N2	YZ_RECTANGLE	PATH	NA	1.7530202923352267e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_N1	TIMELIKE	GEODESIC	7.787128675783373e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_N1	SPACELIKE	GEODESIC	5.2305469770799467e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_N1	TX_RECTANGLE	PATH	NA	2.904871476269844e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_N1	YZ_RECTANGLE	PATH	NA	1.7697171886685268e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_Z	TIMELIKE	GEODESIC	7.7645994638019845e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_Z	SPACELIKE	GEODESIC	5.3865749681024708e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_Z	TX_RECTANGLE	PATH	NA	3.4235630137789504e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_Z	YZ_RECTANGLE	PATH	NA	1.9356092795828271e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_P1	TIMELIKE	GEODESIC	7.6777527049253107e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_P1	SPACELIKE	GEODESIC	5.513396785287365e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_P1	TX_RECTANGLE	PATH	NA	3.3489082745392128e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_P1	YZ_RECTANGLE	PATH	NA	2.4055080814550556e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_P2	TIMELIKE	GEODESIC	7.7444678585071451e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_P2	SPACELIKE	GEODESIC	5.6946798331265841e-13	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
TL_P2	TX_RECTANGLE	PATH	NA	2.9778441825776245e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
TL_P2	YZ_RECTANGLE	PATH	NA	2.1645468581163108e-13	NA	NONIDENTITY	NONIDENTITY	TRUE
