source_id	udt_join	match_grade	allowed_role	hypothesis_gate	firewall_gate	application_status
S033	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Invariant functional; suitable group action; compactness, isometry, or other theorem-specific conditions.	Cannot infer a complete action or equation from spherical, static, toric, or other reduced variations.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S034	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	A local metric Lagrangian; Lie group action; the two PSC conditions established in the paper.	Cannot import GR dynamics; the result is a diagnostic for whether a UDT reduction is variationally complete.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S035	J09	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A defined continuous self-map; nonempty compact convex domain in the theorem's topological-vector-space setting.	The theorem does not invent the bootstrap map, domain, topology, or physical interpretation and does not imply uniqueness.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S036	J09	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A specified map/equation; compactness or compact perturbation; admissible homotopy; no boundary zeros and a priori bounds.	Degree theory cannot supply UDT's missing functional equation or certify physical selection among multiple solutions.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S037	J09	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A defined smooth Banach-space map; Fredholm derivative; one-dimensional kernel/cokernel; transversality.	Cannot call a sampled branch bootstrap-selected without an operator, linearization, and transversality audit.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S038	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	A defined hyperbolic PDE system; gauge/reduction; initial data with required regularity and constraints.	Cannot import Einstein equations, harmonic gauge, or their constraints as UDT evolution.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S039	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Compact Riemannian source; complete nonpositively curved target for the central existence theorem; specified harmonic-map energy.	Cannot treat relaxation or harmonic-map heat flow as physical UDT time or import a target geometry.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S040	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Compact three-dimensional Riemannian manifold; positive Ricci curvature; chosen Ricci-flow equation.	The metric does not choose Ricci flow merely because Ricci curvature is available.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S041	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	The prescribed Ricci-flow equation; chosen background connection or gauge vector; parabolic PDE framework.	Cannot import a DeTurck gauge or mistake solver gauge-fixing for UDT physics.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S042	J05	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A globally defined continuous map S3 to S2 and the specified domain/target topology.	Cannot infer that UDT's domain is S3, that its fiber is a material S2 target, or that Q=1 is selected.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S043	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	A specified local energy; spatial dimension; static finite-energy fields; admissible scaling and boundary behavior.	A Derrick balance cannot derive the carrier, energy terms, coefficients, boundary, or physical time law.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S044	J06	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A map to S2; the supplied two-plus-four-derivative energy; finite energy and boundary compactification.	Cannot transfer the bound to UDT until its target, action, coefficients, and boundary are derived.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S045	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	The Faddeev-Niemi field and action; target S2; finite-energy boundary; numerical setup.	Cannot treat this model, its carrier, or its numerical knots as UDT emergence.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S046	J06	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	The exact Faddeev functional; Sobolev map class; domain and boundary conditions; selected Hopf sector.	The theorem certifies a supplied model, not UDT's carrier emergence, action, or unconditional mass.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
