source_id	family	year	authors	title	stable_url	source_type	result_paraphrase	indispensable_hypotheses	udt_join	match_grade	allowed_role	firewall_prohibition	new_udt_premise_needed	metric_native_returned_question
S011	F03_CONFORMAL_PROJECTIVE_SCALE	1968	Neil Trudinger	Remarks concerning the conformal deformation of Riemannian structures on compact manifolds	https://archive.numdam.org/item/ASNSP_1968_3_22_2_265_0/	PRIMARY_JOURNAL_ARTICLE	Part of the Yamabe existence argument was repaired under a controlled range of cases.	Compact Riemannian setting; Sobolev and elliptic hypotheses; conformal deformation equation.	J12	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot transfer an existence theorem across signature or treat existence as uniqueness or physical selection.	YES__VERIFY_SIGNATURE_AND_OPERATOR	Would any UDT representative equation be elliptic, hyperbolic, or mixed on the actual variation domain?
S012	F03_CONFORMAL_PROJECTIVE_SCALE	1976	Thierry Aubin	Equations differentielles non lineaires et probleme de Yamabe concernant la courbure scalaire	https://zbmath.org/?q=an%3A0336.53033	PRIMARY_JOURNAL_ARTICLE	A major remaining range of the Yamabe existence problem was solved using sharp variational estimates.	Compact Riemannian manifold; dimension and non-spherical case conditions in the paper.	J12	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot adopt the Yamabe invariant or minimizer as UDT bootstrap data.	YES__DERIVE_UDT_OBJECTIVE	If UDT has a representative selector, what native quantity is bounded and extremized?
S013	F03_CONFORMAL_PROJECTIVE_SCALE	1984	Richard Schoen	Conformal deformation of a Riemannian metric to constant scalar curvature	https://doi.org/10.4310/jdg/1214439291	PRIMARY_JOURNAL_ARTICLE	The remaining Yamabe existence cases were closed using global analysis and mass-related arguments.	Compact Riemannian manifold; conformal Laplacian; elliptic regularity; case-specific global hypotheses.	J12	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import the positive-mass route, scalar-curvature target, or Riemannian signature into UDT.	YES__DERIVE_GLOBAL_CONTROL	What UDT-native global obstruction would certify a selected representative without imported mass?
S014	F03_CONFORMAL_PROJECTIVE_SCALE	1985	Charles Fefferman; C. Robin Graham	Conformal Invariants	https://www.numdam.org/item/AST_1985__S131__95_0/	PRIMARY_JOURNAL_ARTICLE	Ambient constructions organize local conformal invariants but depend on dimension, parity, and order.	A conformal manifold; formal ambient metric construction; dimension and jet-order conditions.	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot identify a universal conformal invariant with a UDT dynamical action or physical representative.	YES__CHECK_WEIGHT_AND_OBSTRUCTION	Which UDT quantities survive common-scale neutrality, and where do dimension-dependent obstructions first appear?
S015	F03_CONFORMAL_PROJECTIVE_SCALE	1972	Jurgen Ehlers; Felix Pirani; Alfred Schild	The Geometry of Free Fall and Light Propagation	https://inspirehep.net/literature/2930504	PRIMARY_BOOK_CHAPTER_REPUBLICATION	Light rays and freely falling trajectories can determine conformal and projective structures and their compatibility under explicit axioms.	Distinguished light paths and free-fall paths; regularity; compatibility and clock assumptions.	J01	ANALOGY_ONLY	QUESTION_GENERATOR	Cannot import GR free fall, equivalence, clocks, or Weyl compatibility as UDT premises.	YES__DERIVE_OBSERVABLE_PATH_CLASSES	Does the complete UDT metric itself define two path families whose compatibility fixes a representative?
S016	F04_EXTERIOR_CURVATURE_TOPOLOGY	1946	Shiing-Shen Chern	Characteristic Classes of Hermitian Manifolds	https://doi.org/10.2307/1969037	PRIMARY_JOURNAL_ARTICLE	Invariant polynomials of curvature produce closed forms whose cohomology classes encode bundle topology.	A specified complex or Hermitian bundle and connection; invariant polynomial; global base manifold.	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot obtain a carrier, section, or bundle merely from a local two-form motif.	YES__IDENTIFY_BUNDLE	Does a surviving UDT branch supply an actual bundle and connection on which a characteristic class is defined?
S017	F04_EXTERIOR_CURVATURE_TOPOLOGY	1978	Michael Atiyah; Nigel Hitchin; Isadore Singer	Self-Duality in Four-Dimensional Riemannian Geometry	https://doi.org/10.1098/rspa.1978.0143	PRIMARY_JOURNAL_ARTICLE	In oriented four-dimensional Riemannian geometry the Hodge split organizes curvature and self-dual connection moduli.	Positive-definite oriented four-manifold; specified bundle and connection; self-duality equation.	J03	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot equate Lorentzian complex Hodge eigenspaces or a universal split with matter or a selected UDT plane.	YES__AUDIT_SIGNATURE_AND_REALITY	What real invariant subspaces, if any, survive the actual UDT Lorentzian Hodge and curvature operators?
S018	F04_EXTERIOR_CURVATURE_TOPOLOGY	1947	J. H. C. Whitehead	An Expression of Hopf's Invariant as an Integral	https://doi.org/10.1073/pnas.33.5.117	PRIMARY_JOURNAL_ARTICLE	For a suitable map from the three-sphere to the two-sphere the Hopf invariant admits a differential-form integral formula.	A globally defined map S3 to S2; normalized area form; exact pullback; orientation.	J05	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot infer the map, target, section, orientation, or normalization from the integral formula.	YES__DERIVE_GLOBAL_MAP	Does UDT select a global quotient map before any Hopf integral is evaluated?
S019	F04_EXTERIOR_CURVATURE_TOPOLOGY	1975	Michael Atiyah; Vijay Patodi; Isadore Singer	Spectral Asymmetry and Riemannian Geometry I	https://doi.org/10.1017/S0305004100049410	PRIMARY_JOURNAL_ARTICLE	An index formula on manifolds with boundary requires a nonlocal spectral boundary correction.	Compact oriented Riemannian manifold with boundary; elliptic operator; APS spectral boundary condition.	J08	ANALOGY_ONLY	QUESTION_GENERATOR	Cannot import APS boundary conditions, eta invariant, or elliptic operator as UDT boundary completion.	YES__DERIVE_OPERATOR_AND_BOUNDARY_SPACE	Could a UDT-native operator make the seal contribution intrinsically nonlocal rather than a local cap term?
S020	F05_BUNDLES_GLUING	1952	Charles Ehresmann	Les connexions infinitesimales dans un espace fibre differentiable	https://www.numdam.org/item/SB_1948-1951__1__153_0/	PRIMARY_SEMINAR_ARTICLE	A connection on a fiber bundle supplies horizontal lifting and transport independently of a coordinate trivialization.	A specified differentiable fiber bundle and horizontal distribution or connection.	J02	DIRECT_MATHEMATICAL_MATCH	VOCABULARY	Cannot infer a bundle, fiber, or physical transport law merely because a connection can be defined once they are supplied.	YES__DERIVE_FIBRATION	Which UDT projector families integrate to genuine bundles over a complete finite cell?
S021	F05_BUNDLES_GLUING	1956	John Milnor	Construction of Universal Bundles I	https://doi.org/10.2307/1969609	PRIMARY_JOURNAL_ARTICLE	Universal principal bundles classify bundles through maps into a classifying space.	A topological group; paracompact-type base assumptions appropriate to bundle classification; specified principal bundle category.	J04	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot use classification to select the structure group, classifying map, or realized quotient.	YES__IDENTIFY_GROUP_AND_COCYCLE	What transition cocycle does each retained UDT completion actually define?
S022	F05_BUNDLES_GLUING	1982	Karen Uhlenbeck	Removable Singularities in Yang-Mills Fields	https://doi.org/10.1007/BF01947073	PRIMARY_JOURNAL_ARTICLE	Finite-action four-dimensional Yang-Mills point singularities are removable after gauge under precise analytic hypotheses.	Yang-Mills equation; four-dimensional Riemannian setting; finite L2 curvature/action; gauge bundle.	J04	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import Yang-Mills, gauge fields, finite action, or compactification as UDT completion rules.	YES__DERIVE_UDT_REGULARITY_NORM	What metric-native norm and equation would distinguish a removable seal singularity from a physical edge?
S023	F05_BUNDLES_GLUING	2000	Justin Corvino	Scalar Curvature Deformation and a Gluing Construction for the Einstein Constraint Equations	https://doi.org/10.1007/PL00005533	PRIMARY_JOURNAL_ARTICLE	Geometric data can be glued while controlling scalar curvature or Einstein constraints when analytic cokernel conditions are handled.	Riemannian initial data; specified scalar-curvature or constraint operator; weighted spaces; nondegeneracy conditions.	J04	ANALOGY_ONLY	QUESTION_GENERATOR	Cannot import Einstein constraints, asymptotic ends, or gluing choices as UDT finite-cell rules.	YES__DERIVE_CONSTRAINT_OPERATOR	What UDT-native compatibility equations must hold across a cap, mirror, or seam?
S024	F06_BOUNDARY_VARIATION_CHARGE	1974	Tullio Regge; Claudio Teitelboim	Role of Surface Integrals in the Hamiltonian Formulation of General Relativity	https://doi.org/10.1016/0003-4916(74)90404-7	PRIMARY_JOURNAL_ARTICLE	Hamiltonian generators require surface terms and boundary conditions for differentiability; charges depend on the allowed asymptotic transformations.	A Hamiltonian GR phase space; asymptotic falloff; chosen symmetry class; differentiable generator.	J08	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import ADM charges, spatial infinity, or GR phase space into a finite UDT cell.	YES__DERIVE_PHASE_SPACE_AND_SYMMETRY	Which seal variations are allowed, and what boundary term makes a UDT generator differentiable?
S025	F06_BOUNDARY_VARIATION_CHARGE	1977	G. W. Gibbons; Stephen Hawking	Action Integrals and Partition Functions in Quantum Gravity	https://doi.org/10.1103/PhysRevD.15.2752	PRIMARY_JOURNAL_ARTICLE	A curvature action on a manifold with boundary needs an added boundary contribution for the chosen metric boundary data.	Einstein-Hilbert action; non-null boundary; chosen induced-metric variation; GR conventions.	J08	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import the Einstein-Hilbert action, its boundary term, or thermodynamic interpretation into UDT.	YES__SELECT_ACTION_AND_BOUNDARY_DATA	For any UDT action candidate, what normal derivatives occur and which boundary data are held fixed?
S026	F06_BOUNDARY_VARIATION_CHARGE	1999	Helmut Friedrich; Gabriel Nagy	The Initial Boundary Value Problem for Einstein's Vacuum Field Equations	https://pure.mpg.de/pubman/item/item_152679	PRIMARY_JOURNAL_ARTICLE	A well-posed hyperbolic initial-boundary system requires carefully chosen evolution variables, constraints, gauge, and maximally dissipative boundary data.	Einstein vacuum equations; hyperbolic reduction; gauge choice; constraint-preserving boundary conditions.	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import Einstein evolution, gauge, or boundary conditions as UDT time law.	YES__DERIVE_UDT_EVOLUTION_SYSTEM	What are UDT's evolution variables, constraints, characteristics, and incoming seal modes?
S027	F06_BOUNDARY_VARIATION_CHARGE	2000	Robert Wald; Andreas Zoupas	A General Definition of Conserved Quantities in General Relativity and Other Theories of Gravity	https://doi.org/10.1103/PhysRevD.61.084027	PRIMARY_JOURNAL_ARTICLE	When symplectic flux crosses a boundary, a Hamiltonian charge may fail to exist without an additional prescription and integrability conditions.	Diffeomorphism-covariant Lagrangian theory; covariant phase space; specified boundary/asymptotic conditions and symmetries.	J08	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import the prescription or call a raw lapse flux native mass without a UDT Lagrangian phase space.	YES__DERIVE_SYMPLECTIC_CURRENT	Does the finite-cell seal carry flux, and is the candidate charge integrable over UDT solution space?
S028	F07_SPECTRAL_SCALE	1964	John Milnor	Eigenvalues of the Laplace Operator on Certain Manifolds	https://doi.org/10.1073/pnas.51.4.542	PRIMARY_JOURNAL_ARTICLE	Nonisometric compact manifolds can share the same Laplace spectrum.	Compact Riemannian manifolds; specified Laplace operator.	J10	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot treat one spectrum or eigenvalue as a unique geometry or physical scale selector.	YES__DERIVE_OPERATOR_AND_EXTRA_DATA	What additional UDT observables would distinguish geometries sharing a native spectrum?
S029	F07_SPECTRAL_SCALE	1985	Toshikazu Sunada	Riemannian Coverings and Isospectral Manifolds	https://annals.math.princeton.edu/1985/121-1/p04	PRIMARY_JOURNAL_ARTICLE	Group-theoretic covering data systematically generate isospectral nonisometric manifolds.	A common Riemannian cover; almost-conjugate subgroups; invariant metric.	J04	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot infer quotient topology or monodromy uniquely from spectral data.	YES__AUDIT_QUOTIENT_DEGENERACY	Could distinct finite-cell quotients preserve the same candidate UDT operator spectrum?
S030	F07_SPECTRAL_SCALE	1992	Carolyn Gordon; David Webb; Scott Wolpert	One Cannot Hear the Shape of a Drum	https://doi.org/10.1090/S0273-0979-1992-00289-6	PRIMARY_JOURNAL_ARTICLE	Simply connected planar domains can be isospectral but noncongruent.	Specified Laplacian and boundary conditions; constructed transplantation geometry.	J10	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot claim that a native eigenvalue or full spectrum alone selects the seal shape.	YES__DERIVE_BOUNDARY_OBSERVABLES	Which metric-native data beyond spectrum encode the finite-cell boundary geometry?
S031	F08_INVERSE_VARIATIONAL	1941	Jesse Douglas	Solution of the Inverse Problem of the Calculus of Variations	https://doi.org/10.1090/S0002-9947-1941-0004740-5	PRIMARY_JOURNAL_ARTICLE	Differential equations admit a variational formulation only when nontrivial inverse-problem conditions are satisfied.	The paper's finite-dimensional second-order ODE setting and multiplier hypotheses.	J06	PARTIAL_HYPOTHESIS_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot conclude that a metric-derived equation has an action merely because an action is desired.	YES__GENERALIZE_HELMHOLTZ_TEST	What are the covariant Helmholtz conditions for any candidate UDT field equations?
S032	F08_INVERSE_VARIATIONAL	1980	Ian Anderson; Thomas Duchamp	On the Existence of Global Variational Principles	https://doi.org/10.2307/2374195	PRIMARY_JOURNAL_ARTICLE	Local Euler-Lagrange representations can face global cohomological obstructions and inequivalent Lagrangians.	A specified differential equation on jet bundles; variational bicomplex/global topology hypotheses.	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot promote a local multiplier or reduced energy to a complete global UDT action.	YES__DEFINE_EQUATION_AND_FIELD_BUNDLE	If a local UDT Lagrangian exists, does it patch globally across the finite cell and its seams?
S033	F08_INVERSE_VARIATIONAL	1979	Richard Palais	The Principle of Symmetric Criticality	https://doi.org/10.1007/BF01941322	PRIMARY_JOURNAL_ARTICLE	Varying only within a symmetric ansatz need not reproduce the full field equations unless symmetry-criticality hypotheses hold.	Invariant functional; suitable group action; compactness, isometry, or other theorem-specific conditions.	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot infer a complete action or equation from spherical, static, toric, or other reduced variations.	YES__VERIFY_GROUP_ACTION	For each UDT ansatz, do restricted variations capture all normal variations to the symmetric sector?
S034	F08_INVERSE_VARIATIONAL	2002	Mark Fels; Charles Torre	The Principle of Symmetric Criticality in General Relativity	https://doi.org/10.1088/0264-9381/19/4/303	PRIMARY_JOURNAL_ARTICLE	For local metric field theories, symmetry reduction of a Lagrangian is faithful only when two independent pointwise group-action conditions hold.	A local metric Lagrangian; Lie group action; the two PSC conditions established in the paper.	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Cannot import GR dynamics; the result is a diagnostic for whether a UDT reduction is variationally complete.	YES__TEST_PSC_CONDITIONS	Which existing UDT reduced calculations fail because their symmetry group violates a PSC condition?
S035	F09_FIXED_POINT_BOOTSTRAP	1930	Juliusz Schauder	Der Fixpunktsatz in Funktionalraumen	https://doi.org/10.4064/sm-2-1-171-180	PRIMARY_JOURNAL_ARTICLE	A continuous self-map of a suitable compact convex set has a fixed point.	A defined continuous self-map; nonempty compact convex domain in the theorem's topological-vector-space setting.	J09	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	The theorem does not invent the bootstrap map, domain, topology, or physical interpretation and does not imply uniqueness.	YES__DEFINE_MAP_DOMAIN_TOPOLOGY	What exact UDT operation maps a trial whole solution back into the same solution space?
S036	F09_FIXED_POINT_BOOTSTRAP	1934	Jean Leray; Juliusz Schauder	Topologie et equations fonctionnelles	https://doi.org/10.24033/asens.836	PRIMARY_JOURNAL_ARTICLE	Topological degree and continuation methods can establish solutions of nonlinear functional equations under a priori bounds.	A specified map/equation; compactness or compact perturbation; admissible homotopy; no boundary zeros and a priori bounds.	J09	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Degree theory cannot supply UDT's missing functional equation or certify physical selection among multiple solutions.	YES__DERIVE_A_PRIORI_BOUNDS	If a bootstrap map is found, what metric-native bound prevents escape from the finite-cell solution domain?
S037	F09_FIXED_POINT_BOOTSTRAP	1971	Michael Crandall; Paul Rabinowitz	Bifurcation from Simple Eigenvalues	https://doi.org/10.1016/0022-1236(71)90015-2	PRIMARY_JOURNAL_ARTICLE	A nonlinear operator with a simple kernel and transversality has a locally controlled bifurcating solution branch.	A defined smooth Banach-space map; Fredholm derivative; one-dimensional kernel/cokernel; transversality.	J09	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot call a sampled branch bootstrap-selected without an operator, linearization, and transversality audit.	YES__DEFINE_NONLINEAR_OPERATOR	Could a native UDT whole-solution operator develop an isolated branch at a dimensionless compactness eigenvalue?
S038	F10_EVOLUTION_AND_CONSTRAINTS	1952	Yvonne Foures-Bruhat	Theoreme d'existence pour certains systemes d'equations aux derivees partielles non lineaires	https://doi.org/10.1007/BF02392131	PRIMARY_JOURNAL_ARTICLE	A nonlinear hyperbolic field system can have a local Cauchy development after a suitable reduction and compatible data are specified.	A defined hyperbolic PDE system; gauge/reduction; initial data with required regularity and constraints.	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import Einstein equations, harmonic gauge, or their constraints as UDT evolution.	YES__DERIVE_PDE_PRINCIPAL_SYMBOL	What principal symbol and constraint subsystem does a native UDT time law have?
S039	F10_EVOLUTION_AND_CONSTRAINTS	1964	James Eells; Joseph Sampson	Harmonic Mappings of Riemannian Manifolds	https://doi.org/10.2307/2373037	PRIMARY_JOURNAL_ARTICLE	A heat-type flow can deform maps toward harmonic representatives under curvature and compactness hypotheses.	Compact Riemannian source; complete nonpositively curved target for the central existence theorem; specified harmonic-map energy.	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot treat relaxation or harmonic-map heat flow as physical UDT time or import a target geometry.	YES__DERIVE_ENERGY_AND_TARGET	If UDT selects a carrier map, what distinguishes its physical evolution from a minimization flow?
S040	F10_EVOLUTION_AND_CONSTRAINTS	1982	Richard Hamilton	Three-Manifolds with Positive Ricci Curvature	https://doi.org/10.4310/jdg/1214436922	PRIMARY_JOURNAL_ARTICLE	Ricci flow evolves a supplied Riemannian metric by a deliberately chosen curvature PDE and can reveal topology under strong hypotheses.	Compact three-dimensional Riemannian manifold; positive Ricci curvature; chosen Ricci-flow equation.	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	The metric does not choose Ricci flow merely because Ricci curvature is available.	YES__DERIVE_TIME_LAW	Which UDT premise, if any, turns a geometric tensor into physical evolution rather than an analysis tool?
S041	F10_EVOLUTION_AND_CONSTRAINTS	1983	Dennis DeTurck	Deforming Metrics in the Direction of Their Ricci Tensors	https://doi.org/10.4310/jdg/1214509286	PRIMARY_JOURNAL_ARTICLE	A diffeomorphism-breaking modification converts Ricci flow's weakly parabolic form into a tractable system and is later undone geometrically.	The prescribed Ricci-flow equation; chosen background connection or gauge vector; parabolic PDE framework.	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Cannot import a DeTurck gauge or mistake solver gauge-fixing for UDT physics.	YES__SEPARATE_GAUGE_FROM_DYNAMICS	For any UDT time solve, which terms are physical and which only fix coordinate degeneracy?
S042	F11_HOPF_SOLITON_CONTROLS	1931	Heinz Hopf	Uber die Abbildungen der dreidimensionalen Sphare auf die Kugelflache	https://doi.org/10.1007/BF01457962	PRIMARY_JOURNAL_ARTICLE	Maps from S3 to S2 have integer-valued homotopy classes, including the Hopf fibration.	A globally defined continuous map S3 to S2 and the specified domain/target topology.	J05	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot infer that UDT's domain is S3, that its fiber is a material S2 target, or that Q=1 is selected.	YES__DERIVE_DOMAIN_TARGET_MAP	Which complete UDT quotient, if any, supplies an actual map with a Hopf class?
S043	F11_HOPF_SOLITON_CONTROLS	1964	G. H. Derrick	Comments on Nonlinear Wave Equations as Models for Elementary Particles	https://doi.org/10.1063/1.1704233	PRIMARY_JOURNAL_ARTICLE	Scaling variation obstructs stable static localized finite-energy solutions for a broad class of scalar field energies.	A specified local energy; spatial dimension; static finite-energy fields; admissible scaling and boundary behavior.	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	A Derrick balance cannot derive the carrier, energy terms, coefficients, boundary, or physical time law.	YES__DERIVE_FUNCTIONAL_AND_SCALING_DOMAIN	What scaling weights arise from a genuinely metric-derived UDT matter functional?
S044	F11_HOPF_SOLITON_CONTROLS	1979	A. F. Vakulenko; L. V. Kapitanskii	Stability of solitons in S2 in the nonlinear sigma-model	https://www.mathnet.ru/eng/dan42751	PRIMARY_JOURNAL_ARTICLE	For the stated nonlinear sigma-model energy, topology yields a lower energy bound with characteristic Hopf-charge scaling.	A map to S2; the supplied two-plus-four-derivative energy; finite energy and boundary compactification.	J06	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot transfer the bound to UDT until its target, action, coefficients, and boundary are derived.	YES__DERIVE_CARRIER_AND_ACTION	Does any metric-native functional land in the theorem's exact energy class?
