candidate_id	path	git_blob	sha256	size_bytes	phi_line_count	concept_line_count	source_status	selection_basis	primary_ruling	affected	disputed_claim_or_scope	mathematical_result_effect	future_correction_action	ruling_evidence
AR0011	UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	11	17	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	HISTORICAL_OR_FROZEN_PRESERVE_ONLY	NO	Immutable provenance statement; later semantic overlays do not rewrite it.	PRESERVE_BYTE_IDENTICAL	No source edit; cite the current overlay when relevant.	PREREGISTRATION.md
AR0012	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	beaf9c20e607b9160ee466a31c43a329a2b13db5	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668	20339	2	10	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	HISTORICAL_OR_FROZEN_PRESERVE_ONLY	NO	Immutable provenance statement; later semantic overlays do not rewrite it.	PRESERVE_BYTE_IDENTICAL	No source edit; cite the current overlay when relevant.	PREREGISTRATION.md
AR0013	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418	17	20	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	CORRECT_FOUNDED_CHANNEL_AND_SCOPE	NO	Distinguishes founded reciprocal depth from the open profile or complete extension.	UNCHANGED	None.	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
AR0014	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	1e06e446121e902280eda16e269e4742814d48ba	c3d7cf1d0b24d83958b23ae55624259dba0a46c8bebd3308caadda873b67b5ac	5113	2	4	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	CORRECT_FOUNDED_CHANNEL_AND_SCOPE	NO	Distinguishes founded reciprocal depth from the open profile or complete extension.	UNCHANGED	None.	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
AR0015	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	aa385f53b5e24af4495707ff85efa7b72160a96f	fb2f2e17f6d4ec7d3b263afdcbbd810ac0d4b6f5cbe56b75cb2d3da2397c6a1c	64408	45	67	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0016	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	ddd5b965f7c637bf558005bf07f97cb5afeb93c4	26d5b09bbfac932c3982d6c1bc44e53ff6e9c901f5ae533b86f496bb6649de50	11353	1	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0017	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	f99f808a46a78280cfb12031de3d58693afd551f	7610f0eef3b5f05bead9e5c969317dbfd3db1d57bd3348d7d7346e298403f37b	4401	1	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0018	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4104ed440be3efa52456bad89baef710e99ffa67	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	16110	10	11	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0019	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	80b0ce7857cd2936b7f32f55aeee9dac5a0a5e83	d39b40f919c4f1b23b7785c2d5ce0b3cb325620eea7463eff4182082d2211f90	6049	3	3	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0020	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	c9d732f0a1104a04bbcf945abf76ae86d12b1b89	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	8327	6	8	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0021	asymptotic_boundary_lineage_audit_2026-07-19/STATUS_LEDGER.tsv	fd2c981e9c7280fbfea5e751a2c11dcea5f54aef	8d227adc2463acbabe3367b84240d7cbc31f49f7f84bbb7a89b2e95371407221	4405	3	5	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0022	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	1b97a1a941f6ba4b4ee154e5b4377a649a08ba47	9192fca92619508d9b14601a0e96d1ffdc0064893ea2c9e4f64609b3777b2fe0	11250	26	26	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0023	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	d169c0ab5ed6d85d0e1bf7732dd2f11d6e65dbef	487fc2b4fed1e47b11fbe1c61325787a8bdb743227a8133f06dadfb66fc0c2ee	7141	14	14	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0024	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	6d4fd032d53821ec6c3fdec8a36a9e9ba80a8a5d	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d	9439	1	6	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0025	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	42f3d307b73d797b3f4d85dfe357acfc1c49a4b5	89896cd868883ebc8ba1cd6176119344c4f3d8dcb9ef6f0810e356c9e1e4e2e4	2359	0	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0026	c2_angular_reduction_selector_2026-07-20/AUDIT_REPORT.md	7b24ecc8cfdd96dcc67071ea07ae39f02522314d	7801d73e9ec2b6690c0ca023fcdce4ed6c6d507f5feb340164d13c1975f58315	9695	1	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0027	c2_angular_reduction_selector_2026-07-20/STATUS_LEDGER.tsv	22134ffed95f928fa84647821b6f4e1d47281466	a4a27842471605a44e0220d9fea2dc6ec403bdf4fcebee6bc3c289404b2304d8	2297	0	0	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE+CONCEPT_FAMILY_COMPANION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0028	c2_coupled_reciprocal_twist_onshell_2026-07-20/AUDIT_REPORT.md	414f5e9641448bf618876c984ebca43a2adb2e54	ac5cdce0b472ca84dd3df06cfa8736beb73937035f9cdf94aed2dd60d6074a46	8413	0	2	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0029	c2_coupled_reciprocal_twist_onshell_2026-07-20/STATUS_LEDGER.tsv	692135bd213bd3e88fa57ba1dee2e64eab773fbb	5fc7dc65fcee42b94249a9eabf841f4e1d9cf312567e33a8c1cc8ad5b80c4673	2980	0	0	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE+CONCEPT_FAMILY_COMPANION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0030	c2_nonlinear_stationary_solution_space_2026-07-20/AUDIT_REPORT.md	85b4a6a7e9b8bc753e65583f532be9d175277475	3fba215cf9a7382accec44fbedf3b78b4c1f10d25ad0fcf785269f33e633c895	3819	0	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0031	c2_nonlinear_stationary_solution_space_2026-07-20/STATUS_LEDGER.tsv	f85a4e4e0e337a38296d9bcf3a8fec2379e1cdf9	b2fee6fa674b55f109494c9e458d13ac100a32ea6ecdfa2a7351d1daf7333faa	3938	0	0	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE+CONCEPT_FAMILY_COMPANION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0032	c2_reciprocal_transverse_twist_jacobi_2026-07-20/AUDIT_REPORT.md	0d2ebb3dae824620f6b062ed92160be380a6f936	1fd79c09b8add3dde80ac5728aad9b3fc866b120b7ed42347cf7dd9d9df257a0	8433	0	3	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0033	c2_reciprocal_transverse_twist_jacobi_2026-07-20/STATUS_LEDGER.tsv	4ac119e8d8985423c81c4adc880e491605276406	86c23ef580e71cefdb0ecf33a9363a59a19ba9e536fd33923af071ccad9e6d25	2885	0	0	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE+CONCEPT_FAMILY_COMPANION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0034	c2_rigidity_three_route_zoomout_2026-07-20/AUDIT_REPORT.md	e77956efbe776408fd6277fa519eaa4bd98f6836	d57377805d97f3a802f1e87e0746c70087c32138b45bd374fb2145baaae08f8a	8021	0	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0035	c2_rigidity_three_route_zoomout_2026-07-20/STATUS_LEDGER.tsv	cfc730c4684753d90138f0879f7371fa390b97b8	e817b2c0e3cb01be1f2415cffe5c48709426c19205a3fa80a6f1fcaec1b6b80e	3485	0	0	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE+CONCEPT_FAMILY_COMPANION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0036	c2_variable_lapse_selector_2026-07-20/AUDIT_REPORT.md	f96e329f07810b1001fd78c2cd8dc6d0215e6d9d	f469c03d09c54b0aae957ac657fe15090e25069d86b15470f71f0d50b5c9622b	6486	0	2	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0037	c2_variable_lapse_selector_2026-07-20/STATUS_LEDGER.tsv	3909570f622bca77685a12affdefa586112c4631	946e4e2fc28051ef5e159df93269206c99eae7a1f4e60bb43c9f5b13f183a13e	2623	0	0	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE+CONCEPT_FAMILY_COMPANION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0038	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	7edfacda8ae312857d614b0479c9de5d3e949504	30a63dbbc5f566a0ce763d5091fd0ab3c80aee48516c4b0f216d186e046c50ea	4043	5	6	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	COMPLETE_EXTENSION_OPEN_ONLY	NO	Addresses angular, shear, shift, frame, path, or global extension beyond the founded pair.	UNCHANGED	None.	EXTENSION_CLASS_LEDGER.tsv
AR0039	complete_coframe_seal_involution_2026-07-20/STATUS_LEDGER.tsv	7a5b39ce8145c2532b733966c2dfdbd1fa376008	166c2678bc04eab622cc189654f7f54d1349571ba55108bf98fc2286b5effe6f	3470	3	4	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	COMPLETE_EXTENSION_OPEN_ONLY	NO	Addresses angular, shear, shift, frame, path, or global extension beyond the founded pair.	UNCHANGED	None.	EXTENSION_CLASS_LEDGER.tsv
AR0040	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	25ee26679a881397c6a4e9ff2713a023b74b88c8	5f3d9472388e9012af2b63d548bfbf91808a800b016d6c8e31be85dea6c2e2f0	13052	1	6	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0041	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	f268ecdfe3355f7f279b4071fe8f8071e658d5eb	1179529aacf4ffeec576a982d71ea4753e4432ce4eda13e2b0467a19de2ab283	3763	1	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0042	copresence_gr_constraint_regrade_2026-07-19/DERIVATION_REPORT.md	2159afcae9decfe3ad6ba9b2b45af4d848c60e43	060e76be7ffe18f43752f5d228fa341715c830edd0da25ee03c10279b9af49b5	12695	1	3	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0043	copresence_gr_constraint_regrade_2026-07-19/STATUS_LEDGER.tsv	84b851d46fda4e75f4af6733c26b645c667ecc14	26ce21149b7d428ce16677d852aa976e9c5e56dddba112e42a0a402569e60b73	3871	0	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0044	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	bd8afdb4394e1adc570455763f5700103e38be98	783f8d369d73ab6faa2bd97b0e38654173173f886197cac38b688b6a459b7051	7349	11	12	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0045	finite_cell_seal_boundary_phase_join_2026-07-20/STATUS_LEDGER.tsv	2daf5c3876842993e22a1785f75a6efc81625538	41faee26d3722d2b429c4a68b79b6affb3a55b98938b8b7edcd09f371c982dce	2807	8	8	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0046	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	a290f59860a4be0d2e14a7148aa61cc8bc407380	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc	12057	6	7	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0047	metric_cartan_holonomy_audit_2026-07-19/STATUS_LEDGER.tsv	e12beb50e0384a3fcfd8236b368efa4ea0501a95	973595bb038b568425f04fa15806bb712816e82842f6de3647f049e99dd1363e	3237	3	3	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0048	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	3751d7098b31bd10cfbd6539aa5a57754e4b43b1	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda	11945	0	2	FROZEN_ACTIVE_EVIDENCE	ACTIVE_FINAL_ADJUDICATION_RESULT	HISTORICAL_OR_FROZEN_PRESERVE_ONLY	NO	Immutable provenance statement; later semantic overlays do not rewrite it.	PRESERVE_BYTE_IDENTICAL	No source edit; cite the current overlay when relevant.	PREREGISTRATION.md
AR0049	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	8676	4	8	FROZEN_ACTIVE_EVIDENCE	ACTIVE_FINAL_ADJUDICATION_RESULT	HISTORICAL_OR_FROZEN_PRESERVE_ONLY	NO	Immutable provenance statement; later semantic overlays do not rewrite it.	PRESERVE_BYTE_IDENTICAL	No source edit; cite the current overlay when relevant.	PREREGISTRATION.md
AR0050	native_boundary_generator_scale_audit_2026-07-19/AUDIT_REPORT.md	5966a8cc49f2a4eb67ff31d028933a2770d6aaba	166acf07be128afc328e8b75cc70b17e53fba4dee9d7d5f77a8ea116d5437c93	7853	4	5	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0051	native_boundary_generator_scale_audit_2026-07-19/STATUS_LEDGER.tsv	a51eb65817a7ef40da81ae0d081b0c9a471d16b4	a42046f4fed85ba2c33bc6bbadcce89bfa628579bc6de58639efb568fccc6480	2393	2	2	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0052	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290	1	1	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0053	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	bab9635818253250df63aec8102cb7e2b85cd70e	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	16135	34	37	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0054	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	ca0de641261df9251d6e37c3f2f2dda179ae10f8	6f252615f91b41d6ea09eb33fc28c871d45205277c6a584d1fdd02eb4ed9dbcf	7726	10	10	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0055	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	587bbbf80041e13853d6fb3d000a9d88b0e8d1f1	7a3eb776ebbc4aafb692a142a503a19fd723f0436b384292888ddcfbcc67de21	9471	10	12	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	PROFILE_OR_PAIR_ASSIGNMENT_OPEN_ONLY	NO	Leaves the physical pair/path/profile assignment open without reopening the founded subgroup.	UNCHANGED	None.	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md
AR0056	projective_position_direction_magnitude_correction_2026-07-19/STATUS_LEDGER.tsv	02cbf529904a3a314cf8dc1f7f1b2cefa4e821ce	ab56ec4e012b83e3852cfdfd88ce57770b8fd0d0d621e4f60b9a42d2c62d7c6f	1950	2	2	CURRENT_POSTJULY_RESULT	DATED_RESULT_ROLE	PROFILE_OR_PAIR_ASSIGNMENT_OPEN_ONLY	NO	Leaves the physical pair/path/profile assignment open without reopening the founded subgroup.	UNCHANGED	None.	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md
