current_path	primary_owner	migration_readiness	blocking_or_change_requirement	inbound_dependency_categories	inbound_dependency_sources	unresolved_dynamic_touches	recommended_destination_if_migrated
CROSS_MODEL_VERIFY.md	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	TEXT_REFERENCE	.claude/skills/verifier-before-record/SKILL.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;codex_rehearsal_transcript.txt;p4_cross_model_verify_results.md	0	-
D1_FIX_DESIGN.md	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	D1_FIX_DESIGN.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md;galerkin_basis.py;p1_residual_general_einstein.py;seal_matching_junction_results.md	0	-
E2b_A1Z1_P2_C1_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_C1_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_C2_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_C2_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W1_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W1_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W2_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W2_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W3_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W3_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W4_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W4_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	hopfion_arc_scripts_2026-07-05/f4_test.py;hopfion_arc_scripts_2026-07-05/fd.py;hopfion_arc_scripts_2026-07-05/wide.py;microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W5_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W5_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W6_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2_W6_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json	0	-
E2b_A1Z1_P2b_wideguard_W4_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z1_anatomy.json;microphysics_E2b_A1Z1_phase2.json;microphysics_E2b_A1Z1_results.md	0	-
E2b_A1Z1_P2c_extended_W5_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z1_results.md	0	-
E2b_A1Z8_P2_C1_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_C1_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_C2_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_C2_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W1_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W1_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	FILE_PATH;TEXT_REFERENCE	microphysics_E2_bv_c1c.py;microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W2_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W2_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	hopfion_arc_scripts_2026-07-05/crux.py;hopfion_arc_scripts_2026-07-05/f4_test.py;hopfion_arc_scripts_2026-07-05/fd.py;hopfion_arc_scripts_2026-07-05/prof2.py;hopfion_arc_scripts_2026-07-05/wide.py;microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W3_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W3_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W4_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W4_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W5_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W5_wall.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
E2b_A1Z8_P2_W6_plateau.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	TEXT_REFERENCE	microphysics_E2_bv_runaway.py;microphysics_E2b_A1Z8_anatomy.json;microphysics_E2b_A1Z8_phase2.json	0	-
