current_path	artifact_type	first_commit_date	last_commit_date	physics_status_source	frozen_manifest_status	runtime_import_test_dependencies	primary_owner	secondary_consumers	ownership_evidence	current_frontier_target
E2b_A3Z1_P2_W1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W3_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W3_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W4_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W5_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W5_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W6_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W6_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W7_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_W7_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2b_wideguard_CONT_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2b_A3Z1_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2b_wideguard_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2b_A3Z1_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2c_extended_W5_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2b_A3Z1_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_C1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_C1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_C2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_C2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W3_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W3_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W4_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W5_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W5_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W6_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z8_P2_W6_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
