current_path	relationship	primary_owner	artifact_type	physics_status_source	frozen_manifest_status	migration_readiness
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	SECONDARY_CONSUMER	NATIVE_ACTION	MARKDOWN	INDEX.md:29;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:3	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_NATIVE_ACTION_COLD_PACKET.md	SECONDARY_CONSUMER	NATIVE_ACTION	MARKDOWN	INDEX.md:30;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:3	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	MANIFEST_EDGE_TARGET	MANIFEST_MIGRATION_REQUIRED
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	MANIFEST_EDGE_TARGET	MANIFEST_MIGRATION_REQUIRED
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
angular_lagrangian_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	CANON.md:158	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
derived_background_and_phi_coupling_DESIGN.md	PRIMARY	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:derived_background_and_phi_coupling_DESIGN.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
gp_switch_criterion_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:gp_switch_criterion_results.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
luminosity_distance_n2_optics_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:luminosity_distance_n2_optics_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
measure_fork_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	NEGATIVES_REGISTRY.md:410,415	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
native_dilation_weight_derivation_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:100	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
p16_phi_sourcing_decision_note.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	CANON.md:417	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
scale_symmetry_bootstrap_analysis_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:121	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
udt_canonical_geometry.md	PRIMARY	FOUNDATIONS	MARKDOWN	NEGATIVES_REGISTRY.md:45	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
udt_no_homogeneous_universe_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	NEGATIVES_REGISTRY.md:28	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
udt_phi_blindness_relaxation_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	CANON.md:499,508,512;NEGATIVES_REGISTRY.md:39	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
verify_alpha_coeff_ANCHORED.py	SECONDARY_CONSUMER	CROSS_LANE_SHARED	PYTHON	LIVE.md:416;NEGATIVES_REGISTRY.md:3	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
verify_udt_reciprocal_c_postulate.py	SECONDARY_CONSUMER	LEGACY_FROZEN	PYTHON	DEPENDENCY_STATUS_SOURCE:UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;native_action_sync_audit_2026-07-17/round2_final.md	R0_FROZEN_EVIDENCE;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
verify_udt_reciprocal_c_postulate_out.txt	SECONDARY_CONSUMER	LEGACY_FROZEN	TEXT	DEPENDENCY_STATUS_SOURCE:UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;native_action_sync_audit_2026-07-17/round2_final.md;native_action_sync_audit_2026-07-17/round4_final.md	R0_FROZEN_EVIDENCE;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
w6_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	NEGATIVES_REGISTRY.md:684	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
w7_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	NEGATIVES_REGISTRY.md:714	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
