source_id	path	sha256	audit_rule	source_role	classification	domain_chart_cover	complete_coframe_metric	overlap_transition_maps	finite_cell_completion_data	regularity_nondegeneracy	causal_interface_rules	topology_global_descent	construction_sufficiency	provenance	ruling
S011	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/VERIFICATION_RESULT.json	79a88a93803bc2c5911fac89d167a93982df3020a43adda3df4debd5c812bdd7	FOUNDED_EXTENSION_CLASS	founded-phi extension evidence: VERIFICATION_RESULT.json	PARTIAL_GLOBAL_DEFINITION	ONE_REGISTERED_POSITIVE_TRIANGULAR_CHART	POINTWISE_EXTENSION_CLASS_NOT_SELECTED_FIELD	NOT_SUPPLIED	NOT_SUPPLIED	POINTWISE_POSITIVE_TRIANGULAR_AND_DETERMINANT_CONDITIONS	NOT_COMPLETE	NOT_COMPLETE	POINTWISE_CLASSIFICATION_ONLY;PROFILE_JOIN_AND_BOUNDARY_OPEN	FOUNDED_TWO_CHANNEL_ACTION_DERIVED;FOUR_DIMENSIONAL_EXTENSION_UNSELECTED	Defines local extension freedom but no unique global coframe, profile, overlap, or completion.
S012	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	30a63dbbc5f566a0ce763d5091fd0ab3c80aee48516c4b0f216d186e046c50ea	SEAL_INVOLUTION_FAMILY	conditional seal/involution evidence: AUDIT_REPORT.md	PARTIAL_GLOBAL_DEFINITION	BLOCKWISE_LOCAL_EXTENSION_AND_SEAL_ACTION	CONDITIONAL_BLOCK_WITNESSES_NOT_SELECTED_COFRAME	NOT_SUPPLIED	ALGEBRAIC_SEAL_LIFTS_ONLY	BLOCKWISE_ALGEBRAIC_CONDITIONS	NOT_COMPLETE	GLOBAL_CAP_TOPOLOGY_AND_LIFTS_OPEN	MULTIPLE_CONDITIONAL_COMPLETIONS;NO_COMPLETE_GLOBAL_FIELD	CONDITIONAL_SUPPLIED_SEAL_AND_LIFT_PREMISES	Records alternative seal actions; none supplies the full charted finite-cell coframe.
S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	67d7741273b9435e11e37b9a4f393c46b466e02e15cf4e0ded45a0f828968d19	SEAL_INVOLUTION_FAMILY	conditional seal/involution evidence: EXTENSION_FAMILY_LEDGER.tsv	PARTIAL_GLOBAL_DEFINITION	BLOCKWISE_LOCAL_EXTENSION_AND_SEAL_ACTION	CONDITIONAL_BLOCK_WITNESSES_NOT_SELECTED_COFRAME	NOT_SUPPLIED	ALGEBRAIC_SEAL_LIFTS_ONLY	BLOCKWISE_ALGEBRAIC_CONDITIONS	NOT_COMPLETE	GLOBAL_CAP_TOPOLOGY_AND_LIFTS_OPEN	MULTIPLE_CONDITIONAL_COMPLETIONS;NO_COMPLETE_GLOBAL_FIELD	CONDITIONAL_SUPPLIED_SEAL_AND_LIFT_PREMISES	Records alternative seal actions; none supplies the full charted finite-cell coframe.
S014	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	a3f5a51f31b498f619ecc0f60ba9daf726389e230f12bca245a5c11d60c456c6	SEAL_INVOLUTION_FAMILY	conditional seal/involution evidence: COMPLETE_EXTENSION_WITNESSES.tsv	PARTIAL_GLOBAL_DEFINITION	BLOCKWISE_LOCAL_EXTENSION_AND_SEAL_ACTION	CONDITIONAL_BLOCK_WITNESSES_NOT_SELECTED_COFRAME	NOT_SUPPLIED	ALGEBRAIC_SEAL_LIFTS_ONLY	BLOCKWISE_ALGEBRAIC_CONDITIONS	NOT_COMPLETE	GLOBAL_CAP_TOPOLOGY_AND_LIFTS_OPEN	MULTIPLE_CONDITIONAL_COMPLETIONS;NO_COMPLETE_GLOBAL_FIELD	CONDITIONAL_SUPPLIED_SEAL_AND_LIFT_PREMISES	Records alternative seal actions; none supplies the full charted finite-cell coframe.
S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	b00793a9aeb8e4a16997057942e7690a7e9a425546661ce8bec1345f675d3b36	SEAL_INVOLUTION_FAMILY	conditional seal/involution evidence: REQUIREMENT_MATRIX.tsv	PARTIAL_GLOBAL_DEFINITION	BLOCKWISE_LOCAL_EXTENSION_AND_SEAL_ACTION	CONDITIONAL_BLOCK_WITNESSES_NOT_SELECTED_COFRAME	NOT_SUPPLIED	ALGEBRAIC_SEAL_LIFTS_ONLY	BLOCKWISE_ALGEBRAIC_CONDITIONS	NOT_COMPLETE	GLOBAL_CAP_TOPOLOGY_AND_LIFTS_OPEN	MULTIPLE_CONDITIONAL_COMPLETIONS;NO_COMPLETE_GLOBAL_FIELD	CONDITIONAL_SUPPLIED_SEAL_AND_LIFT_PREMISES	Records alternative seal actions; none supplies the full charted finite-cell coframe.
S016	complete_coframe_seal_involution_2026-07-20/OUTCOME_BRANCH_LEDGER.tsv	bf36b15efacfb471a5ccc81864844ad70a84e083e65b696ea9eb429f8d6bf5df	SEAL_INVOLUTION_FAMILY	conditional seal/involution evidence: OUTCOME_BRANCH_LEDGER.tsv	PARTIAL_GLOBAL_DEFINITION	BLOCKWISE_LOCAL_EXTENSION_AND_SEAL_ACTION	CONDITIONAL_BLOCK_WITNESSES_NOT_SELECTED_COFRAME	NOT_SUPPLIED	ALGEBRAIC_SEAL_LIFTS_ONLY	BLOCKWISE_ALGEBRAIC_CONDITIONS	NOT_COMPLETE	GLOBAL_CAP_TOPOLOGY_AND_LIFTS_OPEN	MULTIPLE_CONDITIONAL_COMPLETIONS;NO_COMPLETE_GLOBAL_FIELD	CONDITIONAL_SUPPLIED_SEAL_AND_LIFT_PREMISES	Records alternative seal actions; none supplies the full charted finite-cell coframe.
S017	complete_coframe_seal_involution_2026-07-20/STATUS_LEDGER.tsv	166c2678bc04eab622cc189654f7f54d1349571ba55108bf98fc2286b5effe6f	SEAL_INVOLUTION_FAMILY	conditional seal/involution evidence: STATUS_LEDGER.tsv	PARTIAL_GLOBAL_DEFINITION	BLOCKWISE_LOCAL_EXTENSION_AND_SEAL_ACTION	CONDITIONAL_BLOCK_WITNESSES_NOT_SELECTED_COFRAME	NOT_SUPPLIED	ALGEBRAIC_SEAL_LIFTS_ONLY	BLOCKWISE_ALGEBRAIC_CONDITIONS	NOT_COMPLETE	GLOBAL_CAP_TOPOLOGY_AND_LIFTS_OPEN	MULTIPLE_CONDITIONAL_COMPLETIONS;NO_COMPLETE_GLOBAL_FIELD	CONDITIONAL_SUPPLIED_SEAL_AND_LIFT_PREMISES	Records alternative seal actions; none supplies the full charted finite-cell coframe.
S018	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	GLOBAL_COMPLETION_SCHEMA	global assembly evidence: AUDIT_REPORT.md	PARTIAL_GLOBAL_DEFINITION	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S019	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	GLOBAL_COMPLETION_SCHEMA	twelve completion-type schemas	NAME_ONLY_OR_SCHEMA_ONLY	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S020	udt_global_metric_assembly_atlas_2026-07-22/MOTIF_COMPLETION_ATLAS.tsv	5319ef65da9f8a6dcf610ebfaee2a5ad8502f639e290eaea34c9cb8c8c0e33ad	GLOBAL_COMPLETION_SCHEMA	motif/completion compatibility requirements	PARTIAL_GLOBAL_DEFINITION	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S021	udt_global_metric_assembly_atlas_2026-07-22/CAP_PAIR_WITNESSES.tsv	9b7fa3b4d761f36e3c70276450c08c36af264ff67668b8b5b2f1073d7a7bb0a6	GLOBAL_COMPLETION_SCHEMA	exact cap-pair lattice/topology witnesses	PARTIAL_GLOBAL_DEFINITION	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S022	udt_global_metric_assembly_atlas_2026-07-22/BUNDLE_HOLONOMY_ATLAS.tsv	8337c04d5b5b5aac858e980baa937771060bced8db4eecf8362b630d7815f4df	GLOBAL_COMPLETION_SCHEMA	bundle/holonomy obligation atlas	PARTIAL_GLOBAL_DEFINITION	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S023	udt_global_metric_assembly_atlas_2026-07-22/TORUS_MONODROMY_REGISTRY.tsv	48562720a667148a750a0835a58194ca3b411593216059cccbae3fb22e83925a	GLOBAL_COMPLETION_SCHEMA	exact torus monodromy examples	PARTIAL_GLOBAL_DEFINITION	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S024	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv	56b2956a0dbbe01f0e45f56152a29ff7bb50949535bd00e4ebe698a20a14b64a	GLOBAL_COMPLETION_SCHEMA	global assembly evidence: STATUS_LEDGER.tsv	PARTIAL_GLOBAL_DEFINITION	COMPLETION_TYPES_AND_LOCAL_ORBIT_CHART_REQUIREMENTS	NOT_SUPPLIED	REQUIREMENTS_RECORDED;ACTUAL_MAPS_NOT_GENERALLY_SUPPLIED	CAP_GLUE_MONODROMY_SCHEMAS_AND_EXACT_SUBCONTROLS	CONDITIONAL_REQUIREMENTS_NOT_SOLVED_PROFILES	NOT_COMPLETE	TOPOLOGY_CLASSES_REGISTERED;GLOBAL_METRIC_DESCENT_OPEN	COMPATIBILITY_SCHEMA_NOT_COMPLETE_METRIC_WITNESS	FROZEN_REGISTERED_EVIDENCE	The atlas itself states that its crosses are requirements, not complete global metric realizations.
S025	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	422a96a0b8ce50b1b74c0e7ea78ac9b0f6ec2d5ef8ea59c69c2b3f9941f25df7	CARTAN_LOCAL_RULE_COMPLETION_CROSS	Cartan causal/transport evidence: AUDIT_REPORT.md	PARTIAL_GLOBAL_DEFINITION	EXACT_LOCAL_CAUSAL_NORMAL_FORMS_CROSSED_WITH_COMPLETION_TYPES	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NULL_AND_ZERO_DEGENERATION_CLASSIFIED;THROUGH_INTERFACE_LAW_OPEN	TWELVE_CLASS_CROSS_WITHOUT_COMPLETE_FIELDS	LOCAL_TRANSPORT_RULES_ONLY;ZERO_COMPLETE_ON_SHELL_FIELDS	EXACT_LOCAL_CARTAN_ALGEBRA;GLOBAL_PROFILE_CONDITIONAL	Classifies persistence/mixing/degeneration but supplies no complete (g,phi) field.
S026	udt_finite_cell_cartan_transport_atlas_2026-07-23/FINITE_CELL_CARTAN_TRANSPORT_ATLAS.tsv	b2db6f89a1b31f0264f06a7f81512b3f944202f070915409d8106d4ee414d264	CARTAN_LOCAL_RULE_COMPLETION_CROSS	Cartan causal/transport evidence: FINITE_CELL_CARTAN_TRANSPORT_ATLAS.tsv	PARTIAL_GLOBAL_DEFINITION	EXACT_LOCAL_CAUSAL_NORMAL_FORMS_CROSSED_WITH_COMPLETION_TYPES	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NULL_AND_ZERO_DEGENERATION_CLASSIFIED;THROUGH_INTERFACE_LAW_OPEN	TWELVE_CLASS_CROSS_WITHOUT_COMPLETE_FIELDS	LOCAL_TRANSPORT_RULES_ONLY;ZERO_COMPLETE_ON_SHELL_FIELDS	EXACT_LOCAL_CARTAN_ALGEBRA;GLOBAL_PROFILE_CONDITIONAL	Classifies persistence/mixing/degeneration but supplies no complete (g,phi) field.
S027	udt_finite_cell_cartan_transport_atlas_2026-07-23/COMPLETION_CAUSAL_CROSS.tsv	d6893363db13a0fa9e1f6acbd37c7070baf0618c81033fd69e59ae51c85d2729	CARTAN_LOCAL_RULE_COMPLETION_CROSS	Cartan causal/transport evidence: COMPLETION_CAUSAL_CROSS.tsv	PARTIAL_GLOBAL_DEFINITION	EXACT_LOCAL_CAUSAL_NORMAL_FORMS_CROSSED_WITH_COMPLETION_TYPES	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NULL_AND_ZERO_DEGENERATION_CLASSIFIED;THROUGH_INTERFACE_LAW_OPEN	TWELVE_CLASS_CROSS_WITHOUT_COMPLETE_FIELDS	LOCAL_TRANSPORT_RULES_ONLY;ZERO_COMPLETE_ON_SHELL_FIELDS	EXACT_LOCAL_CARTAN_ALGEBRA;GLOBAL_PROFILE_CONDITIONAL	Classifies persistence/mixing/degeneration but supplies no complete (g,phi) field.
S028	udt_finite_cell_cartan_transport_atlas_2026-07-23/CAUSAL_TRANSITION_ATLAS.tsv	dbafaa7f3d47aab4f799172a0d2c863cc7fc7b86f9b4836cdfe972ce57805114	CARTAN_LOCAL_RULE_COMPLETION_CROSS	Cartan causal/transport evidence: CAUSAL_TRANSITION_ATLAS.tsv	LOCAL_OR_FORMAL_ONLY	EXACT_LOCAL_CAUSAL_NORMAL_FORMS_CROSSED_WITH_COMPLETION_TYPES	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NULL_AND_ZERO_DEGENERATION_CLASSIFIED;THROUGH_INTERFACE_LAW_OPEN	TWELVE_CLASS_CROSS_WITHOUT_COMPLETE_FIELDS	LOCAL_TRANSPORT_RULES_ONLY;ZERO_COMPLETE_ON_SHELL_FIELDS	EXACT_LOCAL_CARTAN_ALGEBRA;GLOBAL_PROFILE_CONDITIONAL	Classifies persistence/mixing/degeneration but supplies no complete (g,phi) field.
S029	udt_finite_cell_cartan_transport_atlas_2026-07-23/CONNECTION_BLOCK_ATLAS.tsv	31debcb2bc5d4a2848be76e229eada016aea64eeb66ce0974d19536efa0eef4c	CARTAN_LOCAL_RULE_COMPLETION_CROSS	Cartan causal/transport evidence: CONNECTION_BLOCK_ATLAS.tsv	LOCAL_OR_FORMAL_ONLY	EXACT_LOCAL_CAUSAL_NORMAL_FORMS_CROSSED_WITH_COMPLETION_TYPES	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NULL_AND_ZERO_DEGENERATION_CLASSIFIED;THROUGH_INTERFACE_LAW_OPEN	TWELVE_CLASS_CROSS_WITHOUT_COMPLETE_FIELDS	LOCAL_TRANSPORT_RULES_ONLY;ZERO_COMPLETE_ON_SHELL_FIELDS	EXACT_LOCAL_CARTAN_ALGEBRA;GLOBAL_PROFILE_CONDITIONAL	Classifies persistence/mixing/degeneration but supplies no complete (g,phi) field.
S030	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	df6ab72b00a0e24cee5e85b9cfd9a54ab1a04f11daeb83532ef5eabb8bcf2e85	CARTAN_LOCAL_RULE_COMPLETION_CROSS	Cartan causal/transport evidence: STATUS_LEDGER.tsv	PARTIAL_GLOBAL_DEFINITION	EXACT_LOCAL_CAUSAL_NORMAL_FORMS_CROSSED_WITH_COMPLETION_TYPES	NOT_SUPPLIED	NOT_SUPPLIED	NOT_SUPPLIED	NOT_COMPLETE	NULL_AND_ZERO_DEGENERATION_CLASSIFIED;THROUGH_INTERFACE_LAW_OPEN	TWELVE_CLASS_CROSS_WITHOUT_COMPLETE_FIELDS	LOCAL_TRANSPORT_RULES_ONLY;ZERO_COMPLETE_ON_SHELL_FIELDS	EXACT_LOCAL_CARTAN_ALGEBRA;GLOBAL_PROFILE_CONDITIONAL	Classifies persistence/mixing/degeneration but supplies no complete (g,phi) field.
