object_occurrence_id	object_kind	source_id	source_path	source_row_number	source_row_label	source_row_sha256	classification	domain_chart_cover	complete_coframe_metric	overlap_transition_maps	finite_cell_completion_data	regularity_nondegeneracy	causal_interface_rules	topology_global_descent	construction_sufficiency	provenance	P03B_gate	ruling
S009:R0011	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	11	E11	838440cad2546c5f13cae0a0daf6e633e9c0097705671350354d2f689e0abf59	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S009:R0012	EXTENSION_CLASS	S009	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	12	E12	d8c5732da09d5c3328d572672ddd7590dc96148c736690d6979df5a3d3d99a5c	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0001	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	1	X01	2074dae525ff7cb6bc1fd92a425e15a49841875c1387fa4fab0f6c921436a278	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0002	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	2	X02	69e21dff570aef90bce145d23520fea89c931a0c9f16a083540637bced64aec5	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0003	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	3	X03	bf4b6e0e488738772d2145f52d0f254874eeb41d5e04e5fb7f8773afac167a01	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0004	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	4	X04	7f6d6e002e1da502ae9d6c9c391549b87ea11a2de5a678e3c065787981355268	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0005	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	5	X05	25655e6c9b2262103f6474a66416830fd2022a35cf94141fc4eb03138734d201	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0006	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	6	X06	2ec4a6c64d88e02f2c721aae50a7531e5425ee9c2a5abf9168fb6c057328af4f	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0007	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	7	X07	eb349f64e43034dd0a8d7839b858645ebbb569560acd2adbccd7347166c40294	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0008	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	8	X08	cde175f92e5f77c3fa3dbaccd1e4b1b96804c4f077283e70c963eb7d163372ee	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0009	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	9	X09	57620b62cc84ef10eed8b48d9f84c4d5ee93959139c1b5b501fd418d86302dda	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0010	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	10	X10	a9c74b8c5ab68dfb62d3d8b5ce9daa83086fea9266d7431d2134ff6f1e71dc12	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0011	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	11	X11	c67b9f0d7be3ce404145a72e956715621a67c3445c759d4357b69d0b90e68507	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S013:R0012	SEAL_EXTENSION_FAMILY	S013	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	12	X12	6083bc766e7eaa6e684aead3576484071223104a12568a0ab4af3f3adb92e968	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S014:R0001	SEAL_EXTENSION_WITNESS	S014	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	1	W01	f572a8150356cf1f08e4e6090468c70b10297e07fb80ea0c3edd9b1da3579dc2	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S014:R0002	SEAL_EXTENSION_WITNESS	S014	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	2	W02	cfaf510ea3f35a57fdc2aebbc41638928025911cf50d6e0ec27d84c6138df1e1	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S014:R0003	SEAL_EXTENSION_WITNESS	S014	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	3	W03	fca5064b823ab001bc915ec0621ac067676c3d900a01b4edbec666db5089fe23	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S014:R0004	SEAL_EXTENSION_WITNESS	S014	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	4	W04	0203c6d7835fd5367b7f72c81856e458dd74d8f71846d52487ecb55b937582fa	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S014:R0005	SEAL_EXTENSION_WITNESS	S014	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	5	W05	a3d717893f82373b5168379711ef02a2b94d0e065a1a2056436562a61406f7cd	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S015:R0001	SEAL_REQUIREMENT_CASE	S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	1	B01_RAW_SWAP	ac890a2ac0666422bae154bda6621faf7827b8911b625a629b58558ca6b2ca71	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S015:R0002	SEAL_REQUIREMENT_CASE	S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	2	B03_K_FAMILY	360bab18d3302b82601955b14a7f8b82b9e90ad745a0a042bd9bd7196f7f5aab	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S015:R0003	SEAL_REQUIREMENT_CASE	S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	3	B04_BALANCED_K	cf60e65f4ddf489c26c99eabe2e23b918bc31bdfd7146db5bf0c1e6630cf4cf4	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S015:R0004	SEAL_REQUIREMENT_CASE	S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	4	B05_FIELD_TRANSPORT	51f07ff19568a3676d026e01b8a6f15e73cd71ef3ecb743297124427b970cb33	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S015:R0005	SEAL_REQUIREMENT_CASE	S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	5	W01	de87f3c157c2148775cbc70449daea282cc1d3835111795a29567ac950f028f9	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
S015:R0006	SEAL_REQUIREMENT_CASE	S015	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	6	W02	533322615dfa7c1b9e587781ec6f7b82ae77ea3dad29405ac833f5c60cb74735	PARTIAL_GLOBAL_DEFINITION	PARTIAL_OR_SCHEMA	NO_COMPLETE_COFRAME_IN_THIS_ROW	NOT_COMPLETE	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	NOT_A_COMPLETE_FIELD_HISTORY	PARTIAL_OR_CONDITIONAL	NOT_SUFFICIENT_FOR_P03_B	FROZEN_SOURCE_ROW;NO_PHYSICAL_SELECTION	FAIL_INCOMPLETE_GLOBAL_OBJECT	Named evidence row is not one coherent complete founded-(g,phi) finite-cell construction.
