source_id	path	sha256	role	disposition
S11	udt_local_jet_atlas_p02_2026-07-21/AUDIT_REPORT.md	66b4d3f4dabcb1f54c6c2c09bf157c928c270778eb27cd32adedbf1f1439cdeb	complete local curvature module	LOAD_BEARING_PRIOR
S12	udt_local_jet_atlas_p02_2026-07-21/SECOND_JET_PARAMETRIZATION.md	4da8bf9fa160ce51e34579aa326d17b4f37aaab31b48d37d3e0088df8321dfcd	continuous 20D curvature parametrization	LOAD_BEARING_PRIOR
S13	udt_local_jet_atlas_p02_2026-07-21/SECOND_JET_DIRECT_SUM_BASIS.tsv	dd382902ce241ac030bd4668c897ab656bde525c13f2ba85be7a7229e270eefa	prior exact curvature basis	CROSS_CHECK
S14	udt_local_jet_atlas_p02_2026-07-21/CURVATURE_OPERATOR_RANK_STRATA.tsv	52646f7557c0a0dc8cc2320389d79f50a912e8fb4537b08418cc770e770103cf	curvature rank strata	CROSS_CHECK
S15	udt_local_jet_atlas_p02_2026-07-21/FORMULAE_AND_CONVENTIONS.md	c507d949d0236e43f05bb45d5dce6d3a46670ce6b4eac5f1b2338aeb10ee60f6	prior curvature convention	CROSS_CHECK
S16	udt_full_local_jet_strata_p02_2026-07-27/AUDIT_REPORT.md	f0ae27e21b7492c09a6ae8e5124414345b172700cb47e07f866f11f48a7a91e3	full local Hessian/tidal freedom	LOAD_BEARING_PRIOR
S17	udt_full_local_jet_strata_p02_2026-07-27/PREMISE_LEDGER.tsv	c18b933829d750d92fcfb8a3e2bd6821a0eed7f7d982b856b7d04f204ea9689a	prior local-atlas scope	LOAD_BEARING_PRIOR
S18	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/AUDIT_REPORT.md	67cc72d71fa5b5b09824ae2a3d2397730e78983cbd7d1060f9afa2e9185cb24b	prior clock/tidal type audit	LOAD_BEARING_PRIOR
S19	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/EXACT_DERIVATION.md	d4498881da7413b2c9ea400f58d3f515e4b27bd021cf214193c982c661fed694	prior Hodge/Jacobi derivation	LOAD_BEARING_PRIOR
S20	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/STATUS_LEDGER.tsv	66fd329e259a4c038b052bb40b85ff6904cb5d6ab54e63d3f7c80ebb05bd0428	prior solder status	LOAD_BEARING_PRIOR
S21	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	founded phi/full-coframe correction	CONTROLLING_FOUNDATION
S22	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	complete extension classes	CONTROLLING_FOUNDATION
S23	udt_factorized_whole_spacetime_skeleton_2026-08-04/WHOLE_SPACETIME_SKELETON.md	e47706635621068564dbbf40338eb7a59eb37e6fa3a0d96b5c59d7a390e50eb4	factorized coframe architecture	PARENT_ARCHITECTURE
S24	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	6949cfd631e13efe472713c887a586278f312d3798c0f60ea7218ff667761550	why curvature atlas is not evolution	SCOPE_GUARD
S25	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	complete screen degrees	PARENT_ARCHITECTURE
S26	udt_metric_natural_reciprocal_split_selector_audit_2026-08-04/AUDIT_REPORT.md	31e8073c54dbbde639bf2b659bf516fbc42a1a7ff3e219af0c9f4734800611c8	split selection scope	SCOPE_GUARD
S27	udt_foundational_semantic_regression_correction_2026-07-26/AUDIT_REPORT.md	9edf86756c223384156d9fd0872f9c9030b05ceb5ea39ac6b22ef337dc2f68b4	founded phi/CSN semantic guard	CONTROLLING_FOUNDATION
