candidate_id	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	disposition	basis
N11	UNSELECTED_FAMILY	CONDITIONAL	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	INCOMPLETE	PASS	FAIL_INFINITE_FAMILY	CONDITIONAL_FAMILY_NOT_SELECTED	ABSENT	UNSELECTED_GLOBAL_FUNCTIONAL_FAMILY	Arbitrary curvature scalars and coefficients produce inequivalent same-premise functionals
N12	TYPE_ONLY_SOURCE_GAP	SOURCE_GAP	OPEN_ONTOLOGY	TYPE_ONLY_SOURCE_GAP	SOURCE_GAP	SOURCE_GAP	SOURCE_GAP	SOURCE_GAP	OPEN	SOURCE_GAP	ABSENT	ABSENT	TYPE_ONLY_SOURCE_GAP	No frozen source audits a curvature operator, gauge/domain/boundary conditions, or spectral crossings
N13	CONDITIONAL_TORIC_REGION	CONDITIONAL_TORIC_REGION	CONDITIONAL_NORMALIZED_TORIC_OBJECT	LOCAL_ONLY	LOCAL_LINEARIZATION	NOT_A_METRIC_FUNCTIONAL_RESPONSE	NOT_A_METRIC_FUNCTIONAL_RESPONSE	INCOMPLETE_GLOBAL_DESCENT	PASS	PASS	CONDITIONAL_LOCAL_COMPONENT_NOT_GLOBAL	ABSENT	DERIVED_LOCAL_CONNECTION_OBJECT	F=dS is exact on ordinary toric regions; global bundle descent and physical role remain open
N14	CONDITIONAL_PATH_PROTOCOL	CONDITIONAL_PATH_LOOP_BASEPOINT	OPEN_REPRESENTATIVE	CONDITIONAL_GLOBAL	CONDITIONAL_FIXED_PATH_OR_LOOP	NOT_A_COMPLETED_FUNCTIONAL_RESPONSE	NOT_A_COMPLETED_FUNCTIONAL_RESPONSE	INCOMPLETE_PATH_CUT_GLUE	PASS	FAIL_PROTOCOL_FAMILY	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	CONDITIONAL_LC_TRANSPORT_AND_HOLONOMY_TYPES	Open-path LC transport is an endpoint map; based-loop holonomy is a group element and only conjugacy data remove frame choice
N15	CONDITIONAL_BUNDLE	CONDITIONAL_GLOBAL_LIFT	CONDITIONAL_TORIC_OBJECT	CONDITIONAL_GLOBAL	CONTINUOUS_HOLONOMY_PLUS_DISCRETE_MONODROMY	NOT_A_COMPLETED_FUNCTIONAL_RESPONSE	NOT_A_COMPLETED_FUNCTIONAL_RESPONSE	INCOMPLETE_GLUE_MONODROMY	PASS	FAIL_LIFT_FAMILY	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	CONDITIONAL_SPLIT_HOLONOMY_MONODROMY_OBJECT	Continuous torus-connection holonomy and discrete GL2Z monodromy have distinct variation types and require lift, loop, and completion data
N16	CONDITIONAL_TORUS	CONDITIONAL_TORIC_FIBER	OPEN_PHYSICAL_COMMON_SCALE	PASS	PASS	CONDITIONAL_CHAMBERWISE_OR_SET_VALUED	CONDITIONAL_CHAMBERWISE_OR_SET_VALUED	INCOMPLETE_GLOBAL_TRANSPORT	CONDITIONAL_NORMALIZED_SHAPE_VS_PHYSICAL_LENGTH	FAIL_PHYSICAL_SELECTION	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	DERIVED_STRATIFIED_ANGULAR_OBJECTS	q_w, ell_w, min q, and W_min are distinct; W_min is set-valued at ties and physical lengths need common scale and periods
N17	CONDITIONAL_COMPLETION	INCOMPLETE_GLOBAL_BRANCH	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL_MODULI	CONDITIONAL	CONDITIONAL	CONDITIONAL	INCOMPLETE_COMPLETION	PASS	FAIL_COMPLETION_SELECTION	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	CONDITIONAL_CONFIGURATION_MODULUS	Cell length, seal position, and moduli exist only relative to a chosen completion and equivalence rule
N18	CONDITIONAL_EMBEDDING	CONDITIONAL_BOUNDARY	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	INCOMPLETE_FUNCTIONAL_CORNER	PASS	FAIL_BOUNDARY_FAMILY	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	CONDITIONAL_BOUNDARY_GEOMETRY	Extrinsic, corner, and joint data follow from supplied embeddings but do not select a boundary functional
N19	CONDITIONAL_TEMPORAL_PHI_BRANCH	CONDITIONAL_TEMPORAL_PHI_BRANCH	OPEN_PHYSICAL_RULER	CONDITIONAL_GLOBAL_ON_COMPLETE_LEVELS	NONDIFFERENTIABLE_AT_CUT	CONDITIONAL	CONDITIONAL	INCOMPLETE_GLOBAL_DESCENT	PASS	FAIL_UNIVERSALITY_AND_RULER	CONDITIONAL_PARTIAL_NOT_COMPLETE	ABSENT	DERIVED_CONDITIONAL_TEMPORAL_PHI_SEPARATION_FAMILY__NOT_UNIVERSAL	h0 and q0 derive intrinsic level-set separation on complete everywhere-timelike nonzero-dphi branches; other causal classes and physical representative remain open
N20	TYPE_ONLY_SUPREMUM	ABSENT_SEPARATION_COMPLETION	OPEN_ONTOLOGY	CONDITIONAL_SUPREMUM_SCHEMA	NONATTAINMENT_OR_NONDIFFERENTIABLE_MULTIMAX	NOT_APPLICABLE	NOT_APPLICABLE	INCOMPLETE_GLOBAL	CONDITIONAL_ON_DISTANCE	FAIL_DISTANCE_AND_COMPLETION	ABSENT	ABSENT	TYPE_ONLY_GLOBAL_SUPREMUM	Xmax=sup D_g is a working type; D_g, observer/event domain, completion, finiteness, and attainment are open
N21	CONDITIONAL_COMPLETION	CONDITIONAL_GLOBAL_BRANCH	PASS	CONDITIONAL_GLOBAL_LABEL	DISCRETE_NOT_COVECTOR	NOT_APPLICABLE	NOT_APPLICABLE	CONDITIONAL_COMPLETION	PASS	FAIL_COMPLETION_SELECTION	CONDITIONAL_DISCRETE_READOUT	ABSENT	DISCRETE_GLOBAL_LABEL	Cap, gluing, orientation, and topology labels classify branches but are not infinitesimal response coordinates
N22	CONDITIONAL_MAP_CARRIER	CONDITIONAL_CARRIER_BOUNDARY	PASS	CONDITIONAL_GLOBAL_LABEL	DISCRETE_NOT_COVECTOR	NOT_APPLICABLE	NOT_APPLICABLE	CONDITIONAL_BOUNDARY	PASS	FAIL_CARRIER_SELECTION	CONDITIONAL_DISCRETE_READOUT	ABSENT	CONDITIONAL_TOPOLOGICAL_LABEL	Hopf/Chern/winding/degree require an appropriate map/bundle and boundary class; carrier is not native
N23	POSIT_CONDITIONAL	CONDITIONAL_CARRIER_BOX	OPEN_ONTOLOGY	CONDITIONAL_GLOBAL_FUNCTIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	INCOMPLETE_PHYSICAL_BOUNDARY	CONDITIONAL_COEFFICIENTS	FAIL_NATIVE_SELECTION	CONDITIONAL_CARRIER_ONLY	CONDITIONAL_CARRIER_ONLY	CONDITIONAL_CARRIER_FUNCTIONAL	Existing L2+L4 energy/mass and local response are conditional on carrier, action, coefficients, box, and readout
N24	PASS	LOCAL_CHART_ONLY	OPEN_ONTOLOGY	LOCAL_ONLY	PARTIAL_CHART_COMPONENT_RESPONSE_ONLY	PARTIAL_CHART_COMPONENT_RESPONSE_ONLY	PARTIAL_CHART_COMPONENT_RESPONSE_ONLY	NOT_GLOBAL	PASS	FAIL_FRAME_COMPONENT_PHYSICALIZATION	CONDITIONAL_LOCAL_COMPONENT_NOT_GLOBAL	ABSENT	DERIVED_LOCAL_COMPONENT_ATLAS	Six-family Cartan network is exact representative-dependent geometric wiring, not a frame-independent physical response law
N25	OBSERVED_ON_SUPPLIED_BRANCH	CONDITIONAL_PROFILE_DATA	NOT_NATIVE_SELECTOR	CONDITIONAL_SCORE	NOT_OFFSHELL_STATE_COVECTOR	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	PASS	FAIL_MODEL_DEPENDENCE	CONDITIONAL_COMPARISON_MAP_ONLY	ABSENT	OBSERVED_ON_SHELL_COMPARISON	WR-L/SNe score tests a supplied profile; it neither defines nor selects the native global state
N26	TYPE_ONLY	INCOMPLETE_X_AND_O	OPEN_ONTOLOGY	TYPE_ONLY	ABSENT	ABSENT	ABSENT	ABSENT	OPEN	FAIL_MAP_COUNTERFAMILY	ABSENT	ABSENT	TYPE_INCOMPLETE_CLOSURE	A(X,O)=0 and O-R[X]=0 are the correct coupled type; neither arrow, targets, normalization, or pairing is derived
