profile	r	component	direct	formula	absolute_error	scaled_error
P2	0.14285714285714285	B_21	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_22	-0.2002132846134208	-0.20021328461342078	2.7755575615628914e-17	1.38630039805902e-16
P2	0.14285714285714285	B_23	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_30	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_31	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_32	0.0	0.0	0.0	0.0
P2	0.14285714285714285	B_33	-0.2002132846134208	-0.20021328461342078	2.7755575615628914e-17	1.38630039805902e-16
P2	0.6	B_00	1.4991583836364482	1.4991583836364475	6.661338147750939e-16	4.443385182286611e-16
P2	0.6	B_01	0.0	0.0	0.0	0.0
P2	0.6	B_02	0.0	0.0	0.0	0.0
P2	0.6	B_03	0.0	0.0	0.0	0.0
P2	0.6	B_10	0.0	0.0	0.0	0.0
P2	0.6	B_11	0.1157470751052308	0.11574707510523097	1.6653345369377348e-16	1.4387702975852331e-15
P2	0.6	B_12	0.0	0.0	0.0	0.0
P2	0.6	B_13	0.0	0.0	0.0	0.0
P2	0.6	B_20	0.0	0.0	0.0	0.0
P2	0.6	B_21	0.0	0.0	0.0	0.0
P2	0.6	B_22	0.6335310293912002	0.6335310293911997	5.551115123125783e-16	8.762183485251224e-16
P2	0.6	B_23	0.0	0.0	0.0	0.0
P2	0.6	B_30	0.0	0.0	0.0	0.0
P2	0.6	B_31	0.0	0.0	0.0	0.0
P2	0.6	B_32	0.0	0.0	0.0	0.0
P2	0.6	B_33	0.6335310293912002	0.6335310293911997	5.551115123125783e-16	8.762183485251224e-16
P3	-0.5	B_00	0.0	0.0	0.0	0.0
P3	-0.5	B_01	0.0	-0.0	0.0	0.0
P3	-0.5	B_02	0.0	-0.0	0.0	0.0
P3	-0.5	B_03	0.0	-0.0	0.0	0.0
P3	-0.5	B_10	0.0	-0.0	0.0	0.0
P3	-0.5	B_11	0.0	0.0	0.0	0.0
P3	-0.5	B_12	0.0	-0.0	0.0	0.0
P3	-0.5	B_13	0.0	-0.0	0.0	0.0
P3	-0.5	B_20	0.0	-0.0	0.0	0.0
P3	-0.5	B_21	0.0	-0.0	0.0	0.0
P3	-0.5	B_22	0.0	0.0	0.0	0.0
P3	-0.5	B_23	0.0	-0.0	0.0	0.0
P3	-0.5	B_30	0.0	-0.0	0.0	0.0
P3	-0.5	B_31	0.0	-0.0	0.0	0.0
P3	-0.5	B_32	0.0	-0.0	0.0	0.0
P3	-0.5	B_33	0.0	0.0	0.0	0.0
P3	0.25	B_00	0.0	0.0	0.0	0.0
P3	0.25	B_01	0.0	0.0	0.0	0.0
P3	0.25	B_02	0.0	0.0	0.0	0.0
P3	0.25	B_03	0.0	0.0	0.0	0.0
P3	0.25	B_10	0.0	0.0	0.0	0.0
P3	0.25	B_11	0.0	0.0	0.0	0.0
P3	0.25	B_12	0.0	0.0	0.0	0.0
P3	0.25	B_13	0.0	0.0	0.0	0.0
P3	0.25	B_20	0.0	0.0	0.0	0.0
P3	0.25	B_21	0.0	0.0	0.0	0.0
P3	0.25	B_22	0.0	0.0	0.0	0.0
P3	0.25	B_23	0.0	0.0	0.0	0.0
P3	0.25	B_30	0.0	0.0	0.0	0.0
P3	0.25	B_31	0.0	0.0	0.0	0.0
P3	0.25	B_32	0.0	0.0	0.0	0.0
P3	0.25	B_33	0.0	0.0	0.0	0.0
