edge_id	direction_id	bank	point_id	from_configuration	to_configuration	from_radius	to_radius	delta_determinant	delta_scalar_curvature	delta_riemann_max_abs	ricci_rank_change	curvature_rank_change	shear_rank_change	twist_rank_change	from_geometry_class	to_geometry_class	from_dphi_class	to_dphi_class	diagnostic_tuple_changed	physical_transition_claimed
D00_B2_P2_E1	D00	B2	P2	R00_0_B2_P2	R00_1_B2_P2	0.125	0.25	-0.035228758093142076	-0.018009664518516533	0.02942179338242411	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P2_E2	D00	B2	P2	R00_1_B2_P2	R00_2_B2_P2	0.25	0.5	-0.07296463170083589	-0.03166203265894078	0.05666640720678721	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P2_E3	D00	B2	P2	R00_2_B2_P2	R00_3_B2_P2	0.5	0.75	-0.0764398757501914	-0.0285359447493628	0.054098970415779574	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P2_E4	D00	B2	P2	R00_3_B2_P2	R00_4_B2_P2	0.75	1.0	-0.08008064275115978	-0.028353102411002612	0.0519040923467301	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P6_E0	D00	B2	P6	O00_B2_P6	R00_0_B2_P6	0.0	0.125	0.050433573979119295	-0.021349781869669883	0.030837897303073094	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D00_B2_P6_E1	D00	B2	P6	R00_0_B2_P6	R00_1_B2_P6	0.125	0.25	0.04869414144821027	-0.021199490175988857	0.03117186664946642	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P6_E2	D00	B2	P6	R00_1_B2_P6	R00_2_B2_P6	0.25	0.5	0.09240788534990019	-0.03910074809091549	0.06286594547969315	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P6_E3	D00	B2	P6	R00_2_B2_P6	R00_3_B2_P6	0.5	0.75	0.08614358999426663	-0.029284437349911277	0.06257160510787965	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B2_P6_E4	D00	B2	P6	R00_3_B2_P6	R00_4_B2_P6	0.75	1.0	0.08030394883512515	-0.011853867219716374	0.06077054342596247	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D00_B3_P3_E0	D00	B3	P3	O00_B3_P3	R00_0_B3_P3	0.0	0.125	-0.007257539184902129	-0.004233031487224325	0.017284301474277862	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D00_B3_P3_E1	D00	B3	P3	R00_0_B3_P3	R00_1_B3_P3	0.125	0.25	-0.00729355944758181	-0.00825041221987884	0.01632307789995091	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P3_E2	D00	B3	P3	R00_1_B3_P3	R00_2_B3_P3	0.25	0.5	-0.014695895666481995	-0.028193353105596564	0.03864471484828289	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P3_E3	D00	B3	P3	R00_2_B3_P3	R00_3_B3_P3	0.5	0.75	-0.014842133566328242	-0.04319003105469216	0.04808705461246375	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P3_E4	D00	B3	P3	R00_3_B3_P3	R00_4_B3_P3	0.75	1.0	-0.014989826669983719	-0.05748299719232694	0.05626511419154419	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P7_E0	D00	B3	P7	O00_B3_P7	R00_0_B3_P7	0.0	0.125	0.025500410179498	-0.004991403275036582	0.017091403171066003	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D00_B3_P7_E1	D00	B3	P7	R00_0_B3_P7	R00_1_B3_P7	0.125	0.25	0.025055714992240352	-0.010484594860825057	0.015737955107326788	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P7_E2	D00	B3	P7	R00_1_B3_P7	R00_2_B3_P7	0.25	0.5	0.048808228892963434	-0.03688268823659719	0.03325358903501407	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P7_E3	D00	B3	P7	R00_2_B3_P7	R00_3_B3_P7	0.5	0.75	0.047120763301687685	-0.057264177419695236	0.04000809506839238	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D00_B3_P7_E4	D00	B3	P7	R00_3_B3_P7	R00_4_B3_P7	0.75	1.0	0.04549163910460563	-0.07679765914322191	0.04451475115111332	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B0_P0_E0	D01	B0	P0	O00_B0_P0	R01_0_B0_P0	0.0	0.125	0.0	0.028675859437262648	0.026077987805032683	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D01_B0_P0_E1	D01	B0	P0	R01_0_B0_P0	R01_1_B0_P0	0.125	0.25	0.0	0.013941174772789444	0.02889269820001847	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P0_E2	D01	B0	P0	R01_1_B0_P0	R01_2_B0_P0	0.25	0.5	0.0	-0.016321704447840715	0.06622952758499429	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P0_E3	D01	B0	P0	R01_2_B0_P0	R01_3_B0_P0	0.5	0.75	0.0	-0.07526044310573357	0.07748836916493744	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P0_E4	D01	B0	P0	R01_3_B0_P0	R01_4_B0_P0	0.75	1.0	0.0	-0.13419918176362616	0.08874721074488054	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P4_E0	D01	B0	P4	O00_B0_P4	R01_0_B0_P4	0.0	0.125	-0.0011252127518694977	0.029530218661488174	0.025944305539802846	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D01_B0_P4_E1	D01	B0	P4	R01_0_B0_P4	R01_1_B0_P4	0.125	0.25	-0.001126078591355828	0.016674063949527237	0.02853830464964287	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P4_E2	D01	B0	P4	R01_1_B0_P4	R01_2_B0_P4	0.25	0.5	-0.0022547573666984455	-0.004205979040297347	0.0651418310365918	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P4_E3	D01	B0	P4	R01_2_B0_P4	R01_3_B0_P4	0.5	0.75	-0.002258228726362388	-0.052598815166980624	0.07637595398558965	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B0_P4_E4	D01	B0	P4	R01_3_B0_P4	R01_4_B0_P4	0.75	1.0	-0.002261705430431693	-0.09899230239673006	0.08819886827844292	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P1_E0	D01	B1	P1	O00_B1_P1	R01_0_B1_P1	0.0	0.125	-0.005493861763065766	-0.040060328685535856	0.028979160471520604	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D01_B1_P1_E1	D01	B1	P1	R01_0_B1_P1	R01_1_B1_P1	0.125	0.25	-0.0055145024217251315	-0.04056675326414362	0.03067695089440886	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P1_E2	D01	B1	P1	R01_1_B1_P1	R01_2_B1_P1	0.25	0.5	-0.011091237301897872	-0.08219151090228725	0.06638104464004027	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P1_E3	D01	B1	P1	R01_2_B1_P1	R01_3_B1_P1	0.5	0.75	-0.01117473430402982	-0.08283309131461339	0.07297451140973704	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P1_E4	D01	B1	P1	R01_3_B1_P1	R01_4_B1_P1	0.75	1.0	-0.011258859887909756	-0.08254784374592528	0.07943794252832634	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P5_E0	D01	B1	P5	O00_B1_P5	R01_0_B1_P5	0.0	0.125	0.00936304306714697	-0.040310494103465336	0.02839322957452236	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D01_B1_P5_E1	D01	B1	P5	R01_0_B1_P5	R01_1_B1_P5	0.125	0.25	0.009303091279299514	-0.04122687934169078	0.02881867899094647	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P5_E2	D01	B1	P5	R01_1_B1_P5	R01_2_B1_P5	0.25	0.5	0.01842786022801768	-0.08417858879918226	0.06024118435799719	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P5_E3	D01	B1	P5	R01_2_B1_P5	R01_3_B1_P5	0.5	0.75	0.018192627690370555	-0.08470609078456709	0.07189638513135967	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B1_P5_E4	D01	B1	P5	R01_3_B1_P5	R01_4_B1_P5	0.75	1.0	0.017960397907579972	-0.08298663775177106	0.08429635954042328	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P2_E0	D01	B2	P2	O00_B2_P2	R01_0_B2_P2	0.0	0.125	0.0031822697705068403	0.0059387978478151575	0.030385901938405725	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D01_B2_P2_E1	D01	B2	P2	R01_0_B2_P2	R01_1_B2_P2	0.125	0.25	0.003175344414823922	0.004145622897954143	0.03328292906947193	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P2_E2	D01	B2	P2	R01_1_B2_P2	R01_2_B2_P2	0.25	0.5	0.006329973014506329	0.003577033347375292	0.07497841264651658	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P2_E3	D01	B2	P2	R01_2_B2_P2	R01_3_B2_P2	0.5	0.75	0.006302452019947724	-0.0016041830043235228	0.08571391148356994	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P2_E4	D01	B2	P2	R01_3_B2_P2	R01_4_B2_P2	0.75	1.0	0.006275050679159788	-0.0054649176836097935	0.0958454611090459	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P6_E0	D01	B2	P6	O00_B2_P6	R01_0_B2_P6	0.0	0.125	-0.004166553134967721	0.004473269601879772	0.030069506644418913	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D01_B2_P6_E1	D01	B2	P6	R01_0_B2_P6	R01_1_B2_P6	0.125	0.25	-0.004178425081888371	-0.00040880420493633225	0.03251752704526427	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P6_E2	D01	B2	P6	R01_1_B2_P6	R01_2_B2_P6	0.25	0.5	-0.008392601410002865	-0.015779767968996203	0.07320529895182909	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P6_E3	D01	B2	P6	R01_2_B2_P6	R01_3_B2_P6	0.5	0.75	-0.008440496379598317	-0.03637493680485096	0.08547880155629875	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B2_P6_E4	D01	B2	P6	R01_3_B2_P6	R01_4_B2_P6	0.75	1.0	-0.00848866467661491	-0.057967166540920975	0.09943972126229239	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D01_B3_P3_E0	D01	B3	P3	O00_B3_P3	R01_0_B3_P3	0.0	0.125	-0.006614598989897358	0.04367212544163954	0.025247500020905082	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D01_B3_P3_E1	D01	B3	P3	R01_0_B3_P3	R01_1_B3_P3	0.125	0.25	-0.006644519923289405	0.044067061193086496	0.024329618027339357	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P3_E2	D01	B3	P3	R01_1_B3_P3	R01_2_B3_P3	0.25	0.5	-0.013379344644636637	0.0894969237863336	0.048288971932020947	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P3_E3	D01	B3	P3	R01_2_B3_P3	R01_3_B3_P3	0.5	0.75	-0.013500660510854745	0.09160784482681256	0.04700129562060634	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P3_E4	D01	B3	P3	R01_3_B3_P3	R01_4_B3_P3	0.75	1.0	-0.013623076396527045	0.09406750701211647	0.04568908835148883	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P7_E0	D01	B3	P7	O00_B3_P7	R01_0_B3_P7	0.0	0.125	-0.0612749246237112	0.04456749133052677	0.02558093168468703	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D01_B3_P7_E1	D01	B3	P7	R01_0_B3_P7	R01_1_B3_P7	0.125	0.25	-0.06384256187761328	0.04679630218267185	0.025406000725794492	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P7_E2	D01	B3	P7	R01_1_B3_P7	R01_2_B3_P7	0.25	0.5	-0.1358229165807523	0.10071614535486251	0.055132349676505626	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P7_E3	D01	B3	P7	R01_2_B3_P7	R01_3_B3_P7	0.5	0.75	-0.14744433559497883	0.11093896489406002	0.05968509197253055	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D01_B3_P7_E4	D01	B3	P7	R01_3_B3_P7	R01_4_B3_P7	0.75	1.0	-0.1600601183241397	0.12202371860601774	0.06473282556105853	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B0_P0_E0	D02	B0	P0	O00_B0_P0	R02_0_B0_P0	0.0	0.125	0.0	-0.019270686481841128	0.022782117461225104	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D02_B0_P0_E1	D02	B0	P0	R02_0_B0_P0	R02_1_B0_P0	0.125	0.25	0.0	-0.02198764366957909	0.023640286339330983	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P0_E2	D02	B0	P0	R02_1_B0_P0	R02_2_B0_P0	0.25	0.5	0.0	-0.05212615890237193	0.049855079312979465	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P0_E3	D02	B0	P0	R02_2_B0_P0	R02_3_B0_P0	0.5	0.75	0.0	-0.06299398765332376	0.05328775482540292	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P0_E4	D02	B0	P0	R02_3_B0_P0	R02_4_B0_P0	0.75	1.0	0.0	-0.07386181640427542	0.056720430337826366	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P4_E0	D02	B0	P4	O00_B0_P4	R02_0_B0_P4	0.0	0.125	-0.002473401054390756	-0.01871695221916777	0.022472294027538767	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D02_B0_P4_E1	D02	B0	P4	R02_0_B0_P4	R02_1_B0_P4	0.125	0.25	-0.002477584722071713	-0.020326564684962405	0.022716548347909864	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P4_E2	D02	B0	P4	R02_1_B0_P4	R02_2_B0_P4	0.25	0.5	-0.00496774876523709	-0.04548497835389469	0.04620001583698393	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P4_E3	D02	B0	P4	R02_2_B0_P4	R02_3_B0_P4	0.5	0.75	-0.004984568509941223	-0.05193812480937704	0.049449374696408865	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B0_P4_E4	D02	B0	P4	R02_3_B0_P4	R02_4_B0_P4	0.75	1.0	-0.005001445202735599	-0.0584119986278559	0.055398740481810205	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P1_E0	D02	B1	P1	O00_B1_P1	R02_0_B1_P1	0.0	0.125	-0.022033172199181106	-0.05355418411470981	0.024882313289396066	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D02_B1_P1_E1	D02	B1	P1	R02_0_B1_P1	R02_1_B1_P1	0.125	0.25	-0.02236516002198119	-0.05763907096235129	0.02498540006411589	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P1_E2	D02	B1	P1	R02_1_B1_P1	R02_2_B1_P1	0.25	0.5	-0.04574636797170273	-0.12694285762959728	0.05055928130051384	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P1_E3	D02	B1	P1	R02_2_B1_P1	R02_3_B1_P1	0.5	0.75	-0.047135333196253404	-0.141562755254269	0.05180164236188364	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P1_E4	D02	B1	P1	R02_3_B1_P1	R02_4_B1_P1	0.75	1.0	-0.04856647060802821	-0.15513063538087818	0.0535834636161415	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P5_E0	D02	B1	P5	O00_B1_P5	R02_0_B1_P5	0.0	0.125	-0.04150748732612897	-0.054212057388318594	0.024477590079123285	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D02_B1_P5_E1	D02	B1	P5	R02_0_B1_P5	R02_1_B1_P5	0.125	0.25	-0.04268569266083455	-0.05993172330937002	0.02365401431849825	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P5_E2	D02	B1	P5	R02_1_B1_P5	R02_2_B1_P5	0.25	0.5	-0.08904072581185662	-0.13842683878487666	0.04446204500291847	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B1_P5_E3	D02	B1	P5	R02_2_B1_P5	R02_3_B1_P5	0.5	0.75	-0.09416737619757254	-0.16578602043460344	0.04603828424456445	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
