configuration_id	design_id	design_kind	direction_id	radius	halton_index	bank	point_id	configuration_sha256	metric_jet_sha256	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta	determinant	inertia	identity_residual	latent_to_slot_rank	latent_rank_status	scalar_curvature	ricci_rank	ricci_rank_status	curvature_operator_rank	curvature_rank_status	riemann_max_abs	ricci_max_abs	weyl_max_abs	weyl_trace_residual	ricci_square	riemann_square	weyl_square	mixed_curvature_max_abs	time_derivative_activity	depth_derivative_activity	angular2_derivative_activity	angular3_derivative_activity	expansion_0	expansion_1	expansion_rank	shear_rank	twist_rank	twist_max_abs	shear_max_abs	phi	phi_gradient_norm	phi_gradient_max_abs	phi_horizontal_support	phi_vertical_support	phi_hessian_max_abs	dphi_class	geometry_class	numeric_uncertain	retained	physical_merit
R00_0_B1_P1	R00_0	RADIAL	D00	0.125	-	B1	P1	7f58bbb21e53625d20ffb02eaba0232167542e2abbd6e2f4d77b822c976b9e22	76227f8087227d36fc05a6ea31364bee475327ae6b1c90fa685ba2b6f0832e5b	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.486918739217653	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.13448669725635487	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.023072075838247448	0.04746682891815064	0.012599860570483123	3.3989738107420564e-17	0.004904214650457229	0.002133829510529547	-0.0016457092107440903	0.023072075838247448	0.03399811291548998	0.03237091005772226	0.03460138483014129	0.034843118800527206	-0.01519713416079925	0.0008777185912583595	1	2	1	0.018229601287213862	0.007057606403260172	-0.004961998456790124	0.00021855012288012125	0.0121875	0.0121875	0.009322916666666669	0.0125	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_0_B1_P5	R00_0	RADIAL	D00	0.125	-	B1	P5	66e9f11a3b37a292225fdfe98babd69776a1f9656534dc8e9e541318de9caa36	e271eb56de3ada7053176740d541bc8ad8a2cccb24618acf5b8c801002fde8fc	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.4148636683707836	1,3,0	3.3306690738754696e-16	10	NUMERIC_CLASSIFIED	-0.1327004839531668	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.023107265702374313	0.04673682184451337	0.012406141535898035	7.047314121155779e-18	0.004859170990810336	0.0021791867658013113	-0.00166934906868447	0.02310726570237431	0.02906091725943572	0.04456315263902643	0.04333306072653429	0.025036985448312368	-0.008975376068101278	0.01648531332831433	1	2	1	0.01679247829191315	0.011394397655426965	0.0035300925925925934	0.0003642668074464623	0.012934027777777779	0.012934027777777779	0.012586805555555558	0.0125	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_0_B2_P2	R00_0	RADIAL	D00	0.125	-	B2	P2	dad2b355ebcc64c0a0a2cf8f5c933da1438f35763bbdcc71c642cf9a7e9cea51	7d4df8a090e52aeafd54f4b2597cfd7973256dfaca4cfd5dccaf26389cb7e177	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.4967032166486811	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.020040313345923492	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.03021914763840045	0.02177515747720432	0.021171700372956775	6.938893903907228e-18	0.000822412788395469	0.004953695478153617	0.003442741287696947	0.021366161172452106	0.056911731447924045	0.03519601600782522	0.034725290816133035	0.021306902824170543	-0.038209466424433305	-0.00541909014962609	1	2	1	0.026826795026460806	0.015866269519021564	0.24783470726253465	0.0004209902559748361	0.019345238095238096	0.009568452380952382	0.019345238095238096	0.008333333333333333	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_0_B2_P6	R00_0	RADIAL	D00	0.125	-	B2	P6	f0fed3cf24a1074524347c8bdca2a5cf5df2b736c9ba0c13ccb9727b6a4313f9	8df38ed9acc1b1c59a7cc38a2974c908610511cf881019ebdb4347849a710cca	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.4118510154551056	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.021349781869669883	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.030837897303073094	0.02136595172234765	0.021783284448150152	6.960613936516484e-18	0.000812505047175103	0.005138241306366385	0.003665168940643679	0.021535712917612315	0.03701389450095029	0.026296093426558483	0.03344629021170207	0.02483519934730523	-0.03507234867969822	0.004515693988983197	1	2	1	0.03280737271197702	0.01899535139307272	0.25439814814814815	0.0007270929750560154	0.021267361111111112	0.021267361111111112	0.013194444444444446	0.008333333333333333	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_0_B3_P3	R00_0	RADIAL	D00	0.125	-	B3	P3	06ae27156f481e8bd8af72ef6464a019efddc33eec5d3ad413ccbe52af437d57	7e489bf7645d0e50aa5766d028bdee62cc09e9d984e3556a204b0294fd15b85a	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.469542128619127	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.004233031487224325	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.017284301474277862	0.01663429716019435	0.007215403568472962	5.637851296924623e-18	-2.902467785160674e-05	-0.0001861689913915754	-0.0001221467838310847	0.01728430147427786	0.049820509746186285	0.02674805109389218	0.046436813456951	0.020059523809523812	-0.009035333994942104	-0.013558501815099926	1	2	1	0.03097744064926951	0.020259726677338868	0.12689261503212396	-0.00015575050519735077	0.021785714285714283	0.021785714285714283	0.014304315476190477	0.009722222222222222	TIMELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_0_B3_P7	R00_0	RADIAL	D00	0.125	-	B3	P7	c3f9009856cf5ef54cae4e659765ea8117c15dacde38f8946f741f1276a0349f	9ff212d46cf940cae07520ee16c85b5a9107aafb2b8be7631cb554fa598b8926	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	-1.436784179254727	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.004991403275036582	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.017091403171066003	0.016868961066546555	0.007206669132256492	2.6020852139652106e-18	-7.370126134602045e-05	-0.0003238937536486595	-0.00016818652873860422	0.017091403171066	0.05089821770543291	0.02691424026648076	0.048445632479665365	0.02470498286287094	-0.011917499892832646	-0.01915777981395748	1	2	1	0.02906623746141975	0.021417360554466504	0.13449074074074074	-0.00019294085119110784	0.02337962962962963	0.02337962962962963	0.013194444444444444	0.009722222222222222	TIMELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	88bfd81df61940b0f8b6b003dbadbe8d8632af1a0a393fb726a09d0651aee0c2	93ffe74bb490ce9b253cd442afba6944f01306c0b475e347eea7bbfede815d56	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.00880177503751896	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.03295503007238015	0.03361451896818799	0.03001343679653204	8.837270808427702e-18	0.003304915461123461	0.012596362770999797	0.006012355596689918	0.03233994588898488	0.08801331532438578	0.05640369214183419	0.07415620043541529	0.08438781885567359	-0.06358333333333334	-0.05995833333333333	1	2	1	0.04558333333333334	0.045128406438978336	-0.25	0.0004055500994882943	0.029166666666666667	0.025	0.029166666666666667	0.022222222222222223	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B0_P4	R00_1	RADIAL	D00	0.25	-	B0	P4	177b09d7ea60b2e13eb7f684a43f08f2d81db9e3abae5bf08d114476782fd26c	4bd3afc92a0353e2fa0b193fe3e06be9db594f0b6b6e2ecfe47f5455a94c0dc1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.4924593042911407	1,3,0	1.1102230246251565e-16	10	NUMERIC_CLASSIFIED	-0.005445992918173204	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.034143673911754144	0.03456851118825634	0.029910202952998805	8.023096076392733e-18	0.003569992934048971	0.012494020484801735	0.005363920896325444	0.03186399053519772	0.09269721473196253	0.05248890187219083	0.0708734380937489	0.09257544036786187	-0.05996360620030014	-0.06474596583650705	1	2	1	0.057217364054686894	0.0416960810862901	-0.24527878602572717	0.00031473508268366885	0.03246252204585538	0.02876570767195767	0.03246252204585538	0.022222222222222223	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B1_P1	R00_1	RADIAL	D00	0.25	-	B1	P1	bfaa540daecf431341a9b162bbc6cf517e8195c4e0a27cf34aafe8d56bbf1d99	30c6e6b63bc81be4a5a10faade9e43f3e101bd6aa8a93b6cdefa533132871d10	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.51196788437198	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.26971459926038976	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.04392252123270584	0.09286844606484931	0.024932857751389727	2.905661822261152e-17	0.01927980112876719	0.007572341467251537	-0.006738605772218691	0.04392252123270584	0.06811976475584042	0.0651055621588413	0.06937005135253849	0.07007775910008616	-0.03016365238393777	0.002431128994663065	1	2	1	0.03612245607478138	0.013928279158575743	-0.009923996913580249	0.000868328165532777	0.024375	0.024375	0.018645833333333337	0.025	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B1_P5	R00_1	RADIAL	D00	0.25	-	B1	P5	deefe2ecd1322c3f1a6a54577375d91574b5495c1260fa248d1a911bc6705222	ca8d397c5f430d48ba6e8f53162988b1be291c48d7de1f4b1a2dcf8485a2442d	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.3689805763802558	1,3,0	1.1102230246251565e-16	10	NUMERIC_CLASSIFIED	-0.2627933768927483	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.044065574716210774	0.09000180764097146	0.024147414569087134	1.7889335846010823e-17	0.018928282886673784	0.007816609873060636	-0.007019836254055587	0.044065574716210774	0.056392217723799674	0.09067315288362582	0.08423821680329724	0.04855670781304686	-0.018743518161294014	0.032839980165109174	1	2	1	0.03359294557506001	0.022065277480689753	0.007060185185185187	0.0014738113005119335	0.025868055555555557	0.025868055555555557	0.025173611111111115	0.025	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B2_P2	R00_1	RADIAL	D00	0.25	-	B2	P2	822586d7d94584c9ceea4b9267d96037a0a17ca0a7f911674d586270bb564740	4cd2784a92d3272a417d1819c199e14875f9af97cd0ddeee023e8aa188d665bc	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.5319319747418232	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.038049977864440025	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.05964094102082456	0.04084984337948137	0.040698007733841864	1.975898412651185e-17	0.0029124015193777372	0.017331759436122477	0.011989556669195107	0.04065925187497574	0.11404206360362547	0.07114985359029316	0.06950255963287946	0.04242266250862973	-0.0762371051157226	-0.010484545122313876	1	2	1	0.05386789439155751	0.03167133926512521	0.2456694145250693	0.0016828459579340733	0.03869047619047619	0.019136904761904765	0.03869047619047619	0.016666666666666666	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B2_P6	R00_1	RADIAL	D00	0.25	-	B2	P6	19e65aa20c1c1f9b1a0033c9108a03042c72cf50ab979be5b9119ec9f3a58b38	a6622408977f8242885566f86621a517e1cbe36e3c5e9cfd97d1c9af5b1338a7	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.3631568740068953	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.04254927204565874	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.062009763952539515	0.038893729100146074	0.04297100423479987	1.3877787807814457e-17	0.0028524395774862637	0.018621031764789055	0.013519632793688383	0.04138322128495527	0.07478995655571498	0.05142495246355136	0.06758128604432077	0.04865306155679126	-0.07047573731138546	0.008589396326303156	1	2	1	0.06533539362568586	0.03850518659654005	0.2587962962962963	0.002966431670031029	0.042534722222222224	0.042534722222222224	0.026388888888888892	0.016666666666666666	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B3_P3	R00_1	RADIAL	D00	0.25	-	B3	P3	f1e45f19caed3f39f84b5166e89169697f7e6c917aaeff5e7625caeaccad79fb	c8ace1830deb2cb904d59ca458f757894429938e49260bfd2ff28a4e503383e9	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.4768356880667088	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.012483443707103165	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.03360737937422877	0.034259796965801	0.013474458493065106	9.540979117872439e-18	-0.00038310112117265476	-0.002337308403048196	-0.0015191607051067502	0.033607379374228766	0.09997310803992815	0.05360441753135173	0.09293906408743087	0.040119047619047624	-0.018072908400403348	-0.027085239072569003	1	2	1	0.0619247179542209	0.040588145029681964	0.1287852300642479	-0.0006240784564520897	0.043571428571428567	0.043571428571428567	0.028608630952380955	0.019444444444444445	TIMELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_1_B3_P7	R00_1	RADIAL	D00	0.25	-	B3	P7	d1669ece7e8a3bbea18b9cd4b127e8b2c59cd19a48f6cc61fd26d56d79a2caf5	dbae3bd79f8866fb30e34214ba35a2cec253e8a76f2d71196795896f52301849	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	-1.4117284642624865	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.01547599813586164	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.03282935827839279	0.03480196896143256	0.013915438562597634	6.420829175499781e-18	-0.000800688675986194	-0.0036197531324229145	-0.001938540274350136	0.03282935827839279	0.10296558858278874	0.05333236903313273	0.09599826425963891	0.0499774494290729	-0.024003332904663922	-0.03823065629286695	1	2	1	0.05807050540123456	0.04282048279877329	0.1439814814814815	-0.0007946162743667129	0.04675925925925926	0.04675925925925926	0.02638888888888889	0.019444444444444445	TIMELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_2_B0_P0	R00_2	RADIAL	D00	0.5	-	B0	P0	af68241d902b2a31812e73924088ec4d35ba43b8efb27529ef65f4d8786bccc4	4233e8d5595cfa12a1178f45187cfd846d185fd9fce8309ac11f3de33698b5ae	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.011223497281640783	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.08008724464128243	0.07045750014017167	0.058732417845729294	2.7755575615628914e-17	0.01850572744406615	0.0654634386233933	0.028493972699004666	0.07485176122818145	0.17602663064877155	0.11280738428366838	0.14831240087083059	0.16877563771134718	-0.12716666666666668	-0.11991666666666666	1	2	1	0.09116666666666667	0.09025681287795667	-0.25	0.0016222003979531772	0.058333333333333334	0.05	0.058333333333333334	0.044444444444444446	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_2_B0_P4	R00_2	RADIAL	D00	0.5	-	B0	P4	89bfbe2336547949b8709d23578d8ac1422f3df9d19fe495f7efd22a6092edec	ece61e7b88fda423b612e7318fc981fd288da6ae5db9a6112b8669adb79b4b71	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	-1.5232566841363053	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.002211672103027404	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.0851840690848271	0.07651104570460385	0.05834729085282959	1.3768880490891988e-17	0.021119159662677613	0.06555996661902415	0.02332327779149946	0.072881258767396	0.1855652268719939	0.10491922567703213	0.14301172957987351	0.18703570362407324	-0.11906708463365215	-0.12961757145890296	1	2	1	0.11402060811469113	0.08431676536011533	-0.24055757205145434	0.001240245238476189	0.06492504409171077	0.05753141534391534	0.06492504409171077	0.044444444444444446	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_2_B1_P1	R00_2	RADIAL	D00	0.5	-	B1	P1	2fa32ff11714c8dd6a427270418049d021e7422f7db3ff88bcaef801783087d5	ab75f38f4c72fe8242c8f10fc7608419b5631e1c60a253e3572a7d31bbb7f363	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	-1.563339243188484	1,3,0	1.1102230246251565e-16	10	NUMERIC_CLASSIFIED	-0.542568161490881	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.07904009243274049	0.17798312610013015	0.04886864216945832	1.9949319973733282e-17	0.07486220183206395	0.024179620260361134	-0.027418046782568588	0.07904009243274047	0.13673399366256977	0.13167837723011575	0.13941165761785657	0.14173482713671953	-0.059404841017232514	0.007565025237911513	1	2	1	0.07089792615097736	0.027118034128100023	-0.019847993827160498	0.0034271148829816793	0.04875	0.04875	0.037291666666666674	0.05	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
R00_2_B1_P5	R00_2	RADIAL	D00	0.5	-	B1	P5	5c9997df6a323da47ea41ce395b5983eef9131b00938cb01a79473b2baa7f616	e59fe95cbd725665b092e5e1e5f0b4f7efc7d87cba03683de20cb4a1f725bb58	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	-1.2816300137796923	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.516612296776811	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.07964133971242428	0.16905347812500404	0.04799292756504156	2.905661822261152e-17	0.07220558216321474	0.024451589345324445	-0.03099681992076796	0.07964133971242428	0.10618673636562918	0.18769570762057822	0.15916910275552865	0.09777636862095236	-0.04065810042295382	0.06515737436414039	1	2	1	0.06721784711505485	0.041346039916855745	0.014120370370370373	0.0060325974111148815	0.051736111111111115	0.051736111111111115	0.05034722222222223	0.05	SPACELIKE	R4_K6_S2_T1_M1	NO	YES	NOT_EVALUATED
