design_id	design_kind	direction_id	radius	halton_index	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta
R06_3	RADIAL	D06	0.75	-	0.75	-0.75	-0.75	0.75	0.75	-0.75	-0.75	0.75	0.75	0.75	-0.75
R06_4	RADIAL	D06	1.0	-	1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0
R07_0	RADIAL	D07	0.125	-	-0.125	-0.125	-0.125	0.125	0.125	0.125	0.125	0.125	-0.125	-0.125	-0.125
R07_1	RADIAL	D07	0.25	-	-0.25	-0.25	-0.25	0.25	0.25	0.25	0.25	0.25	-0.25	-0.25	-0.25
R07_2	RADIAL	D07	0.5	-	-0.5	-0.5	-0.5	0.5	0.5	0.5	0.5	0.5	-0.5	-0.5	-0.5
R07_3	RADIAL	D07	0.75	-	-0.75	-0.75	-0.75	0.75	0.75	0.75	0.75	0.75	-0.75	-0.75	-0.75
R07_4	RADIAL	D07	1.0	-	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0
R08_0	RADIAL	D08	0.125	-	0.125	0.125	0.125	-0.125	0.125	0.125	0.125	0.125	0.125	-0.125	-0.125
R08_1	RADIAL	D08	0.25	-	0.25	0.25	0.25	-0.25	0.25	0.25	0.25	0.25	0.25	-0.25	-0.25
R08_2	RADIAL	D08	0.5	-	0.5	0.5	0.5	-0.5	0.5	0.5	0.5	0.5	0.5	-0.5	-0.5
R08_3	RADIAL	D08	0.75	-	0.75	0.75	0.75	-0.75	0.75	0.75	0.75	0.75	0.75	-0.75	-0.75
R08_4	RADIAL	D08	1.0	-	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0
R09_0	RADIAL	D09	0.125	-	-0.125	0.125	0.125	-0.125	0.125	-0.125	-0.125	0.125	-0.125	0.125	-0.125
R09_1	RADIAL	D09	0.25	-	-0.25	0.25	0.25	-0.25	0.25	-0.25	-0.25	0.25	-0.25	0.25	-0.25
R09_2	RADIAL	D09	0.5	-	-0.5	0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5
R09_3	RADIAL	D09	0.75	-	-0.75	0.75	0.75	-0.75	0.75	-0.75	-0.75	0.75	-0.75	0.75	-0.75
R09_4	RADIAL	D09	1.0	-	-1.0	1.0	1.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	1.0	-1.0
R10_0	RADIAL	D10	0.125	-	0.125	-0.125	0.125	-0.125	0.125	-0.125	0.125	-0.125	-0.125	-0.125	0.125
R10_1	RADIAL	D10	0.25	-	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	-0.25	-0.25	0.25
R10_2	RADIAL	D10	0.5	-	0.5	-0.5	0.5	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	0.5
R10_3	RADIAL	D10	0.75	-	0.75	-0.75	0.75	-0.75	0.75	-0.75	0.75	-0.75	-0.75	-0.75	0.75
R10_4	RADIAL	D10	1.0	-	1.0	-1.0	1.0	-1.0	1.0	-1.0	1.0	-1.0	-1.0	-1.0	1.0
R11_0	RADIAL	D11	0.125	-	-0.125	-0.125	0.125	-0.125	0.125	0.125	-0.125	-0.125	0.125	0.125	0.125
R11_1	RADIAL	D11	0.25	-	-0.25	-0.25	0.25	-0.25	0.25	0.25	-0.25	-0.25	0.25	0.25	0.25
R11_2	RADIAL	D11	0.5	-	-0.5	-0.5	0.5	-0.5	0.5	0.5	-0.5	-0.5	0.5	0.5	0.5
R11_3	RADIAL	D11	0.75	-	-0.75	-0.75	0.75	-0.75	0.75	0.75	-0.75	-0.75	0.75	0.75	0.75
R11_4	RADIAL	D11	1.0	-	-1.0	-1.0	1.0	-1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	1.0
R12_0	RADIAL	D12	0.125	-	0.125	0.125	-0.125	-0.125	0.125	0.125	-0.125	-0.125	-0.125	-0.125	-0.125
R12_1	RADIAL	D12	0.25	-	0.25	0.25	-0.25	-0.25	0.25	0.25	-0.25	-0.25	-0.25	-0.25	-0.25
R12_2	RADIAL	D12	0.5	-	0.5	0.5	-0.5	-0.5	0.5	0.5	-0.5	-0.5	-0.5	-0.5	-0.5
R12_3	RADIAL	D12	0.75	-	0.75	0.75	-0.75	-0.75	0.75	0.75	-0.75	-0.75	-0.75	-0.75	-0.75
R12_4	RADIAL	D12	1.0	-	1.0	1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0
R13_0	RADIAL	D13	0.125	-	-0.125	0.125	-0.125	-0.125	0.125	-0.125	0.125	-0.125	0.125	0.125	-0.125
R13_1	RADIAL	D13	0.25	-	-0.25	0.25	-0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	0.25	-0.25
R13_2	RADIAL	D13	0.5	-	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	-0.5	0.5	0.5	-0.5
R13_3	RADIAL	D13	0.75	-	-0.75	0.75	-0.75	-0.75	0.75	-0.75	0.75	-0.75	0.75	0.75	-0.75
R13_4	RADIAL	D13	1.0	-	-1.0	1.0	-1.0	-1.0	1.0	-1.0	1.0	-1.0	1.0	1.0	-1.0
R14_0	RADIAL	D14	0.125	-	0.125	-0.125	-0.125	-0.125	0.125	-0.125	-0.125	0.125	0.125	-0.125	0.125
R14_1	RADIAL	D14	0.25	-	0.25	-0.25	-0.25	-0.25	0.25	-0.25	-0.25	0.25	0.25	-0.25	0.25
R14_2	RADIAL	D14	0.5	-	0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	0.5	-0.5	0.5
R14_3	RADIAL	D14	0.75	-	0.75	-0.75	-0.75	-0.75	0.75	-0.75	-0.75	0.75	0.75	-0.75	0.75
R14_4	RADIAL	D14	1.0	-	1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	1.0	-1.0	1.0
R15_0	RADIAL	D15	0.125	-	-0.125	-0.125	-0.125	-0.125	0.125	0.125	0.125	0.125	-0.125	0.125	0.125
R15_1	RADIAL	D15	0.25	-	-0.25	-0.25	-0.25	-0.25	0.25	0.25	0.25	0.25	-0.25	0.25	0.25
R15_2	RADIAL	D15	0.5	-	-0.5	-0.5	-0.5	-0.5	0.5	0.5	0.5	0.5	-0.5	0.5	0.5
R15_3	RADIAL	D15	0.75	-	-0.75	-0.75	-0.75	-0.75	0.75	0.75	0.75	0.75	-0.75	0.75	0.75
R15_4	RADIAL	D15	1.0	-	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0
V001	INTERIOR	-	-	1	0.0	-0.33333333333333337	-0.6	-0.7142857142857143	-0.8181818181818181	-0.8461538461538461	-0.8823529411764706	-0.8947368421052632	-0.9130434782608696	-0.9310344827586207	-0.935483870967742
V002	INTERIOR	-	-	2	-0.5	0.33333333333333326	-0.19999999999999996	-0.4285714285714286	-0.6363636363636364	-0.6923076923076923	-0.7647058823529411	-0.7894736842105263	-0.8260869565217391	-0.8620689655172413	-0.8709677419354839
V003	INTERIOR	-	-	3	0.5	-0.7777777777777778	0.20000000000000018	-0.1428571428571429	-0.4545454545454546	-0.5384615384615384	-0.6470588235294118	-0.6842105263157895	-0.7391304347826086	-0.7931034482758621	-0.8064516129032258
V004	INTERIOR	-	-	4	-0.75	-0.11111111111111116	0.6000000000000001	0.1428571428571428	-0.2727272727272727	-0.3846153846153846	-0.5294117647058824	-0.5789473684210527	-0.6521739130434783	-0.7241379310344828	-0.7419354838709677
V005	INTERIOR	-	-	5	0.25	0.5555555555555554	-0.92	0.4285714285714284	-0.09090909090909083	-0.23076923076923073	-0.4117647058823529	-0.4736842105263158	-0.5652173913043479	-0.6551724137931034	-0.6774193548387097
V006	INTERIOR	-	-	6	-0.25	-0.5555555555555556	-0.52	0.7142857142857142	0.09090909090909083	-0.07692307692307687	-0.2941176470588236	-0.368421052631579	-0.4782608695652174	-0.5862068965517242	-0.6129032258064516
V007	INTERIOR	-	-	7	0.75	0.11111111111111116	-0.12	-0.9591836734693877	0.2727272727272727	0.0769230769230771	-0.17647058823529416	-0.26315789473684215	-0.3913043478260869	-0.5172413793103449	-0.5483870967741935
V008	INTERIOR	-	-	8	-0.875	0.7777777777777777	0.28000000000000025	-0.6734693877551021	0.4545454545454546	0.23076923076923084	-0.05882352941176472	-0.1578947368421053	-0.30434782608695654	-0.4482758620689655	-0.4838709677419355
V009	INTERIOR	-	-	9	0.125	-0.9259259259259259	0.6800000000000002	-0.3877551020408163	0.6363636363636365	0.3846153846153846	0.05882352941176472	-0.052631578947368474	-0.21739130434782616	-0.3793103448275862	-0.4193548387096775
V010	INTERIOR	-	-	10	-0.375	-0.2592592592592593	-0.84	-0.10204081632653061	0.8181818181818183	0.5384615384615385	0.17647058823529416	0.05263157894736836	-0.13043478260869568	-0.31034482758620685	-0.3548387096774194
V011	INTERIOR	-	-	11	0.625	0.40740740740740744	-0.43999999999999995	0.18367346938775508	-0.9834710743801653	0.6923076923076925	0.2941176470588236	0.1578947368421053	-0.04347826086956519	-0.24137931034482762	-0.29032258064516125
V012	INTERIOR	-	-	12	-0.625	-0.7037037037037037	-0.039999999999999925	0.46938775510204067	-0.8016528925619835	0.8461538461538463	0.4117647058823528	0.26315789473684204	0.04347826086956519	-0.1724137931034483	-0.22580645161290325
V013	INTERIOR	-	-	13	0.375	-0.03703703703703709	0.3600000000000001	0.7551020408163265	-0.6198347107438016	-0.9881656804733728	0.5294117647058822	0.36842105263157876	0.13043478260869557	-0.10344827586206895	-0.16129032258064524
V014	INTERIOR	-	-	14	-0.125	0.6296296296296293	0.76	-0.9183673469387755	-0.43801652892561993	-0.834319526627219	0.6470588235294117	0.4736842105263157	0.21739130434782616	-0.034482758620689724	-0.09677419354838712
V015	INTERIOR	-	-	15	0.875	-0.4814814814814815	-0.76	-0.6326530612244898	-0.25619834710743805	-0.680473372781065	0.7647058823529411	0.5789473684210527	0.30434782608695654	0.034482758620689724	-0.032258064516129004
V016	INTERIOR	-	-	16	-0.9375	0.18518518518518512	-0.36	-0.34693877551020413	-0.07438016528925617	-0.5266272189349113	0.8823529411764706	0.6842105263157894	0.3913043478260869	0.10344827586206895	0.032258064516129004
V017	INTERIOR	-	-	17	0.0625	0.8518518518518516	0.040000000000000036	-0.061224489795918435	0.10743801652892548	-0.3727810650887574	-0.9930795847750865	0.7894736842105261	0.4782608695652173	0.17241379310344818	0.09677419354838701
V018	INTERIOR	-	-	18	-0.4375	-0.8518518518518519	0.44000000000000017	0.22448979591836737	0.28925619834710736	-0.21893491124260356	-0.8754325259515571	0.894736842105263	0.5652173913043477	0.24137931034482762	0.16129032258064502
V019	INTERIOR	-	-	19	0.5625	-0.18518518518518523	0.8400000000000001	0.510204081632653	0.47107438016528924	-0.0650887573964497	-0.7577854671280277	-0.9944598337950139	0.6521739130434783	0.31034482758620685	0.22580645161290325
V020	INTERIOR	-	-	20	-0.6875	0.4814814814814814	-0.6799999999999999	0.7959183673469388	0.6528925619834711	0.08875739644970437	-0.6401384083044983	-0.889196675900277	0.7391304347826086	0.3793103448275863	0.29032258064516125
V021	INTERIOR	-	-	21	0.3125	-0.6296296296296297	-0.28	-0.8775510204081632	0.834710743801653	0.24260355029585812	-0.5224913494809689	-0.7839335180055402	0.826086956521739	0.4482758620689655	0.35483870967741926
V022	INTERIOR	-	-	22	-0.1875	0.03703703703703698	0.1200000000000001	-0.5918367346938775	-0.9669421487603306	0.39644970414201186	-0.40484429065743943	-0.6786703601108033	0.9130434782608696	0.5172413793103448	0.4193548387096775
V023	INTERIOR	-	-	23	0.8125	0.7037037037037035	0.5200000000000002	-0.30612244897959184	-0.7851239669421488	0.5502958579881658	-0.2871972318339101	-0.5734072022160666	-0.996219281663516	0.5862068965517242	0.4838709677419355
V024	INTERIOR	-	-	24	-0.8125	-0.40740740740740744	0.9200000000000002	-0.020408163265306145	-0.6033057851239669	0.7041420118343198	-0.16955017301038067	-0.4681440443213297	-0.9092627599243857	0.6551724137931034	0.5483870967741935
V025	INTERIOR	-	-	25	0.1875	0.2592592592592593	-0.984	0.26530612244897944	-0.42148760330578516	0.8579881656804735	-0.05190311418685123	-0.3628808864265929	-0.8223062381852552	0.7241379310344827	0.6129032258064515
V026	INTERIOR	-	-	26	-0.3125	0.9259259259259258	-0.584	0.551020408163265	-0.23966942148760328	-0.9763313609467456	0.06574394463667832	-0.25761772853185605	-0.7353497164461248	0.7931034482758621	0.6774193548387095
V027	INTERIOR	-	-	27	0.6875	-0.9753086419753086	-0.18399999999999994	0.8367346938775508	-0.057851239669421406	-0.8224852071005917	0.18339100346020776	-0.1523545706371192	-0.6483931947069943	0.8620689655172413	0.7419354838709677
V028	INTERIOR	-	-	28	-0.5625	-0.308641975308642	0.2160000000000002	-0.8367346938775511	0.12396694214876014	-0.6686390532544378	0.3010380622837372	-0.04709141274238238	-0.5614366729678639	0.9310344827586206	0.8064516129032258
V029	INTERIOR	-	-	29	0.4375	0.3580246913580245	0.6160000000000001	-0.5510204081632654	0.30578512396694224	-0.514792899408284	0.4186851211072664	0.05817174515235446	-0.47448015122873344	-0.9976218787158145	0.8709677419354838
V030	INTERIOR	-	-	30	-0.0625	-0.7530864197530864	-0.904	-0.26530612244897966	0.4876033057851239	-0.36094674556213013	0.5363321799307958	0.1634349030470914	-0.38752362948960295	-0.9286563614744352	0.935483870967742
V031	INTERIOR	-	-	31	0.9375	-0.0864197530864198	-0.504	0.020408163265306145	0.669421487603306	-0.20710059171597628	0.6539792387543253	0.26869806094182813	-0.3005671077504726	-0.8596908442330559	-0.9979188345473465
V032	INTERIOR	-	-	32	-0.96875	0.5802469135802468	-0.10399999999999998	0.30612244897959173	0.8512396694214877	-0.053254437869822424	0.7716262975778547	0.37396121883656486	-0.2136105860113422	-0.7907253269916765	-0.9334027055150884
V033	INTERIOR	-	-	33	0.03125	-0.5308641975308642	0.29600000000000026	0.5918367346938773	-0.9504132231404958	0.10059171597633143	0.8892733564013842	0.4792243767313018	-0.1266540642722117	-0.7217598097502973	-0.8688865764828304
V034	INTERIOR	-	-	34	-0.46875	0.13580246913580263	0.6960000000000002	0.8775510204081631	-0.768595041322314	0.2544378698224852	-0.986159169550173	0.5844875346260388	-0.03969754253308122	-0.6527942925089179	-0.8043704474505723
V035	INTERIOR	-	-	35	0.53125	0.8024691358024691	-0.8240000000000001	-0.7959183673469388	-0.5867768595041323	0.4082840236686389	-0.8685121107266436	0.6897506925207755	0.047258979206049156	-0.5838287752675386	-0.7398543184183143
V036	INTERIOR	-	-	36	-0.71875	-0.9012345679012346	-0.42399999999999993	-0.5102040816326531	-0.4049586776859504	0.5621301775147929	-0.7508650519031141	0.7950138504155122	0.13421550094517953	-0.5148632580261594	-0.6753381893860562
V037	INTERIOR	-	-	37	0.28125	-0.23456790123456794	-0.02399999999999991	-0.22448979591836737	-0.22314049586776852	0.7159763313609468	-0.6332179930795848	0.9002770083102491	0.22117202268431013	-0.44589774078478006	-0.6108220603537982
V038	INTERIOR	-	-	38	-0.21875	0.4320987654320989	0.3760000000000001	0.06122448979591821	-0.04132231404958664	0.8698224852071006	-0.5155709342560554	-0.9889196675900277	0.3081285444234405	-0.3769322235434007	-0.5463059313215402
V039	INTERIOR	-	-	39	0.78125	-0.6790123456790124	0.776	0.346938775510204	0.14049586776859502	-0.9644970414201184	-0.39792387543252594	-0.8836565096952909	0.3950850661625709	-0.3079667063020214	-0.48178980228928203
V040	INTERIOR	-	-	40	-0.84375	-0.012345679012345734	-0.744	0.6326530612244896	0.3223140495867769	-0.8106508875739644	-0.2802768166089966	-0.778393351800554	0.48204158790170126	-0.23900118906064216	-0.417273673257024
V041	INTERIOR	-	-	41	0.15625	0.6543209876543208	-0.344	0.9183673469387754	0.5041322314049588	-0.6568047337278107	-0.16262975778546718	-0.6731301939058172	0.5689981096408316	-0.17003567181926282	-0.3527575442247659
V042	INTERIOR	-	-	42	-0.34375	-0.45679012345679015	0.05600000000000005	-0.7551020408163265	0.6859504132231407	-0.5029585798816567	-0.04498269896193774	-0.5678670360110804	0.6559546313799622	-0.10107015457788349	-0.2882414151925078
V043	INTERIOR	-	-	43	0.65625	0.2098765432098766	0.4560000000000002	-0.4693877551020409	0.8677685950413225	-0.34911242603550297	0.0726643598615917	-0.4626038781163435	0.7429111531190926	-0.03210463733650426	-0.22372528616024978
V044	INTERIOR	-	-	44	-0.59375	0.8765432098765431	0.8560000000000001	-0.18367346938775508	-0.9338842975206612	-0.1952662721893491	0.19031141868512114	-0.3573407202216067	0.829867674858223	0.0368608799048753	-0.15920915712799177
V045	INTERIOR	-	-	45	0.40625	-0.8271604938271605	-0.6639999999999999	0.1020408163265305	-0.7520661157024793	-0.041420118343195256	0.3079584775086506	-0.25207756232686984	0.9168241965973536	0.10582639714625452	-0.09469302809573366
V046	INTERIOR	-	-	46	-0.09375	-0.16049382716049387	-0.264	0.3877551020408163	-0.5702479338842975	0.11242603550295871	0.4256055363321798	-0.146814404432133	-0.9924385633270322	0.17479191438763375	-0.030176899063475537
V047	INTERIOR	-	-	47	0.90625	0.5061728395061729	0.13600000000000012	0.6734693877551019	-0.38842975206611574	0.26627218934911245	0.5432525951557092	-0.04155124653739617	-0.9054820415879017	0.2437574316290132	0.03433922996878258
V048	INTERIOR	-	-	48	-0.90625	-0.6049382716049383	0.5360000000000003	0.9591836734693877	-0.20661157024793386	0.4201183431952662	0.6608996539792387	0.06371191135734056	-0.8185255198487713	0.3127229488703924	0.09885535900104059
V049	INTERIOR	-	-	49	0.09375	0.061728395061728225	0.9360000000000002	-0.9941690962099126	-0.024793388429751984	0.5739644970414202	0.7785467128027681	0.1689750692520775	-0.7315689981096408	0.3816884661117719	0.1633714880332986
V050	INTERIOR	-	-	50	-0.40625	0.7283950617283947	-0.968	-0.7084548104956269	0.15702479338842967	0.7278106508875741	0.8961937716262975	0.27423822714681423	-0.6446124763705103	0.4506539833531511	0.22788761706555682
V051	INTERIOR	-	-	51	0.59375	-0.3827160493827161	-0.568	-0.42274052478134116	0.33884297520661155	0.8816568047337279	-0.9792387543252595	0.37950138504155095	-0.55765595463138	0.5196195005945303	0.29240374609781483
V052	INTERIOR	-	-	52	-0.65625	0.28395061728395055	-0.16799999999999993	-0.13702623906705547	0.5206611570247934	-0.9526627218934911	-0.8615916955017301	0.4847645429362879	-0.4706994328922496	0.5885850178359098	0.35691987513007284
V053	INTERIOR	-	-	53	0.34375	0.9506172839506171	0.2320000000000002	0.14868804664723023	0.7024793388429753	-0.7988165680473372	-0.7439446366782008	0.5900277008310248	-0.3837429111531191	0.657550535077289	0.42143600416233107
V054	INTERIOR	-	-	54	-0.15625	-0.9506172839506173	0.6320000000000001	0.4344023323615158	0.8842975206611572	-0.6449704142011834	-0.6262975778546713	0.6952908587257616	-0.2967863894139887	0.7265160523186682	0.4859521331945891
V055	INTERIOR	-	-	55	0.84375	-0.28395061728395066	-0.888	0.7201166180758016	-0.9173553719008265	-0.49112426035502954	-0.5086505190311419	0.8005540166204983	-0.20982986767485834	0.7954815695600477	0.5504682622268471
V056	INTERIOR	-	-	56	-0.78125	0.382716049382716	-0.488	-0.9533527696793003	-0.7355371900826446	-0.3372781065088757	-0.39100346020761245	0.9058171745152352	-0.12287334593572785	0.8644470868014269	0.6149843912591051
V057	INTERIOR	-	-	57	0.21875	-0.7283950617283951	-0.08799999999999997	-0.6676384839650147	-0.5537190082644627	-0.18343195266272183	-0.2733564013840831	-0.9833795013850416	-0.03591682419659736	0.9334126040428061	0.6795005202913631
V058	INTERIOR	-	-	58	-0.28125	-0.06172839506172845	0.3120000000000003	-0.3819241982507289	-0.3719008264462811	-0.029585798816567976	-0.1557093425605537	-0.8781163434903048	0.051039697542533125	-0.995243757431629	0.7440166493236213
V059	INTERIOR	-	-	59	0.71875	0.6049382716049381	0.7120000000000002	-0.09620991253644318	-0.1900826446280992	0.12426035502958599	-0.03806228373702425	-0.7728531855955678	0.1379962192816635	-0.9262782401902497	0.8085327783558793
V060	INTERIOR	-	-	60	-0.53125	-0.5061728395061729	-0.808	0.18950437317784252	-0.008264462809917328	0.27810650887573973	0.0795847750865053	-0.6675900277008311	0.2249527410207941	-0.8573127229488704	0.8730489073881373
V061	INTERIOR	-	-	61	0.46875	0.16049382716049387	-0.4079999999999999	0.4752186588921281	0.17355371900826433	0.4319526627218935	0.19723183391003474	-0.5623268698060941	0.3119092627599245	-0.7883472057074911	0.9375650364203956
V062	INTERIOR	-	-	62	-0.03125	0.8271604938271604	-0.007999999999999896	0.7609329446064139	0.3553719008264462	0.5857988165680474	0.3148788927335642	-0.4570637119113574	0.39886578449905485	-0.7193816884661117	-0.9958376690946931
V063	INTERIOR	-	-	63	0.96875	-0.8765432098765432	0.3920000000000001	-0.9125364431486881	0.5371900826446281	0.7396449704142014	0.4325259515570934	-0.3518005540166206	0.48582230623818523	-0.6504161712247325	-0.931321540062435
V064	INTERIOR	-	-	64	-0.984375	-0.2098765432098766	0.792	-0.6268221574344024	0.71900826446281	0.8934911242603552	0.5501730103806228	-0.24653739612188375	0.5727788279773156	-0.5814506539833532	-0.8668054110301769
