id	base_inertia	screen_inertia	full_inertia_by_congruence	full_rank	det_h	det_q	det_g	branch_status	fixed_shift_witness
S20	1/0/1	0/1/1	1/1/2	2	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S21	1/0/1	0/2/0	1/2/1	3	0	1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S22	1/0/1	1/0/1	2/0/2	2	0	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S23	1/0/1	1/1/0	2/1/1	3	0	-1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S24	1/0/1	2/0/0	3/0/1	3	0	1	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S25	1/1/0	0/0/2	1/1/2	2	-1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S26	1/1/0	0/1/1	1/2/1	3	-1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S27	1/1/0	0/2/0	1/3/0	4	-1	1	-1	P01_REGULAR_CONDITIONAL_BRANCH	Matrix([[1/3, -1/5],[2/7, 1/11]])
S28	1/1/0	1/0/1	2/1/1	3	-1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S29	1/1/0	1/1/0	2/2/0	4	-1	-1	1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S30	1/1/0	2/0/0	3/1/0	4	-1	1	-1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S31	2/0/0	0/0/2	2/0/2	2	1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S32	2/0/0	0/1/1	2/1/1	3	1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S33	2/0/0	0/2/0	2/2/0	4	1	1	1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S34	2/0/0	1/0/1	3/0/1	3	1	0	0	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S35	2/0/0	1/1/0	3/1/0	4	1	-1	-1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
S36	2/0/0	2/0/0	4/0/0	4	1	1	1	SUPPLIED_SPLIT_TYPE_CHANGE_CLOSURE	Matrix([[1/3, -1/5],[2/7, 1/11]])
