cell_id	screen	mixing	dependence	symmetry	global_status	disposition
X0031	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	DISCRETE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0032	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0033	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	NONE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0034	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	NONE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0035	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	NONE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0036	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0037	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	SYMMETRY_ENHANCED_CONTROL
X0038	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0039	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0040	ISOTROPIC	ZERO	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0041	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SO3	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0042	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0043	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0044	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0045	ISOTROPIC	ZERO	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0046	ISOTROPIC	ZERO	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0047	ISOTROPIC	ZERO	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0048	ISOTROPIC	ZERO	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0049	ISOTROPIC	ZERO	FULL_R_THETA_PSI	DISCRETE	LOCAL_SPHERICAL	GENERAL_NONAXIS_ENVELOPE_UNSELECTED
X0050	ISOTROPIC	ZERO	FULL_R_THETA_PSI	DISCRETE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0051	ISOTROPIC	ZERO	FULL_R_THETA_PSI	DISCRETE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0052	ISOTROPIC	ZERO	FULL_R_THETA_PSI	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0053	ISOTROPIC	ZERO	FULL_R_THETA_PSI	NONE	LOCAL_SPHERICAL	GENERAL_NONAXIS_ENVELOPE_UNSELECTED
X0054	ISOTROPIC	ZERO	FULL_R_THETA_PSI	NONE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0055	ISOTROPIC	ZERO	FULL_R_THETA_PSI	NONE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0056	ISOTROPIC	ZERO	FULL_R_THETA_PSI	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0057	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	SYMMETRY_ENHANCED_CONTROL
X0058	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0059	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0060	ISOTROPIC	ZERO	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0061	ISOTROPIC	ZERO	CONDITIONAL_S3	SO3	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0062	ISOTROPIC	ZERO	CONDITIONAL_S3	SO3	CONDITIONAL_S3	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0063	ISOTROPIC	ZERO	CONDITIONAL_S3	SO3	GLOBAL_NON_TORIC	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0064	ISOTROPIC	ZERO	CONDITIONAL_S3	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0065	ISOTROPIC	ZERO	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0066	ISOTROPIC	ZERO	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	CONDITIONAL_S3_CONTROL_ENVELOPE
X0067	ISOTROPIC	ZERO	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	CONDITIONAL_S3_CONTROL_ENVELOPE
X0068	ISOTROPIC	ZERO	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0069	ISOTROPIC	ZERO	CONDITIONAL_S3	DISCRETE	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0070	ISOTROPIC	ZERO	CONDITIONAL_S3	DISCRETE	CONDITIONAL_S3	CONDITIONAL_S3_CONTROL_ENVELOPE
X0071	ISOTROPIC	ZERO	CONDITIONAL_S3	DISCRETE	GLOBAL_NON_TORIC	CONDITIONAL_S3_CONTROL_ENVELOPE
X0072	ISOTROPIC	ZERO	CONDITIONAL_S3	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0073	ISOTROPIC	ZERO	CONDITIONAL_S3	NONE	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0074	ISOTROPIC	ZERO	CONDITIONAL_S3	NONE	CONDITIONAL_S3	CONDITIONAL_S3_CONTROL_ENVELOPE
X0075	ISOTROPIC	ZERO	CONDITIONAL_S3	NONE	GLOBAL_NON_TORIC	CONDITIONAL_S3_CONTROL_ENVELOPE
X0076	ISOTROPIC	ZERO	CONDITIONAL_S3	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0077	ISOTROPIC	ZERO	CONDITIONAL_S3	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0078	ISOTROPIC	ZERO	CONDITIONAL_S3	SYMMETRY_ENHANCED	CONDITIONAL_S3	SYMMETRY_ENHANCED_CONTROL
X0079	ISOTROPIC	ZERO	CONDITIONAL_S3	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	SYMMETRY_ENHANCED_CONTROL
X0080	ISOTROPIC	ZERO	CONDITIONAL_S3	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0081	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SO3	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0082	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0083	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0084	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0085	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	AXIAL_U1_ENVELOPE_UNSELECTED
X0086	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0087	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0088	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0089	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	DISCRETE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0090	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	DISCRETE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0091	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	DISCRETE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0092	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0093	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	NONE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0094	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	NONE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0095	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	NONE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0096	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0097	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	SYMMETRY_ENHANCED_CONTROL
X0098	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SYMMETRY_ENHANCED	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0099	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0100	ISOTROPIC	AXIAL_SHIFT	RADIAL_ONLY	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0101	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SO3	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0102	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0103	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0104	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0105	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	AXIAL_U1_ENVELOPE_UNSELECTED
X0106	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0107	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0108	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0109	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	DISCRETE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0110	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	DISCRETE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0111	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	DISCRETE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0112	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0113	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	NONE	LOCAL_SPHERICAL	GENERIC_SCREEN_ENVELOPE_UNSELECTED
X0114	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	NONE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0115	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	NONE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0116	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0117	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	SYMMETRY_ENHANCED_CONTROL
X0118	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0119	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0120	ISOTROPIC	AXIAL_SHIFT	AXISYMMETRIC_R_THETA	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0121	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SO3	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0122	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0123	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0124	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0125	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0126	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0127	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0128	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0129	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	DISCRETE	LOCAL_SPHERICAL	GENERAL_NONAXIS_ENVELOPE_UNSELECTED
X0130	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	DISCRETE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0131	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	DISCRETE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0132	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0133	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	NONE	LOCAL_SPHERICAL	GENERAL_NONAXIS_ENVELOPE_UNSELECTED
X0134	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	NONE	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0135	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	NONE	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0136	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0137	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	SYMMETRY_ENHANCED_CONTROL
X0138	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0139	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0140	ISOTROPIC	AXIAL_SHIFT	FULL_R_THETA_PSI	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0141	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SO3	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0142	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SO3	CONDITIONAL_S3	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0143	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SO3	GLOBAL_NON_TORIC	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0144	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0145	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0146	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	CONDITIONAL_S3	CONDITIONAL_S3_CONTROL_ENVELOPE
X0147	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	GLOBAL_NON_TORIC	CONDITIONAL_S3_CONTROL_ENVELOPE
X0148	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	U1_REFLECTION_OPTIONAL	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0149	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	DISCRETE	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0150	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	DISCRETE	CONDITIONAL_S3	CONDITIONAL_S3_CONTROL_ENVELOPE
X0151	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	DISCRETE	GLOBAL_NON_TORIC	CONDITIONAL_S3_CONTROL_ENVELOPE
X0152	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	DISCRETE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0153	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	NONE	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0154	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	NONE	CONDITIONAL_S3	CONDITIONAL_S3_CONTROL_ENVELOPE
X0155	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	NONE	GLOBAL_NON_TORIC	CONDITIONAL_S3_CONTROL_ENVELOPE
X0156	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	NONE	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0157	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SYMMETRY_ENHANCED	LOCAL_SPHERICAL	GLOBAL_DOMAIN_MISMATCH
X0158	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SYMMETRY_ENHANCED	CONDITIONAL_S3	SYMMETRY_ENHANCED_CONTROL
X0159	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SYMMETRY_ENHANCED	GLOBAL_NON_TORIC	SYMMETRY_ENHANCED_CONTROL
X0160	ISOTROPIC	AXIAL_SHIFT	CONDITIONAL_S3	SYMMETRY_ENHANCED	MISSING_WRL_S3_JOIN	GLOBAL_JOIN_OPEN_NO_CROSS_SPLICE
X0161	ISOTROPIC	TWO_COMPONENT_SHIFT	RADIAL_ONLY	SO3	LOCAL_SPHERICAL	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0162	ISOTROPIC	TWO_COMPONENT_SHIFT	RADIAL_ONLY	SO3	CONDITIONAL_S3	GLOBAL_DOMAIN_MISMATCH
X0163	ISOTROPIC	TWO_COMPONENT_SHIFT	RADIAL_ONLY	SO3	GLOBAL_NON_TORIC	GLOBAL_DOMAIN_MISMATCH
X0164	ISOTROPIC	TWO_COMPONENT_SHIFT	RADIAL_ONLY	SO3	MISSING_WRL_S3_JOIN	SYMMETRY_COEFFICIENT_INCOMPATIBLE
X0165	ISOTROPIC	TWO_COMPONENT_SHIFT	RADIAL_ONLY	U1_REFLECTION_OPTIONAL	LOCAL_SPHERICAL	AXIAL_U1_ENVELOPE_UNSELECTED
