key	weyl_relative_error	ricci_relative_error	ladder_weyl_outer_error	ladder_ricci_outer_error	production_petrov	independent_petrov	production_owner	independent_owner	pass
G63|TL_N1|r	4.1695688647692455e-09	3.5669806637687086e-09	2.5855307379305897e-08	1.5557057812328042e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_Z|p	4.6985985940860861e-09	2.9060119901392202e-09	1.0078195867282612e-08	1.2145782747377582e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_Z|q	3.6021163286584714e-09	2.5463993070091248e-09	1.5372213265811137e-08	1.0672652326409869e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_Z|r	3.116744792408552e-09	3.1917004431637714e-09	1.1689585719464663e-08	1.2455362161634919e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_P1|p	5.3076946260128092e-09	2.5394070753052693e-09	1.3799820279955882e-08	1.2033292219327186e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_P1|q	5.4179396600913701e-09	2.9616947629547628e-09	2.2638981605952308e-08	1.9728174672092363e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_P1|r	4.8349470526568806e-09	2.3601576964034993e-09	2.6600303158697933e-08	9.241983773976146e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_P2|p	5.7420848945200997e-09	2.3742175858033681e-09	1.4211657303770248e-08	1.3033570015029125e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_P2|q	4.6404740773385313e-09	2.2494049854751535e-09	1.8151125518347654e-08	1.4209293543604554e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_P2|r	3.9511344204718251e-09	2.6712707364480943e-09	2.2852736248432356e-08	1.8243079998809818e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|C0	3.8514550971108258e-10	3.63451085089016e-10	5.572620874756162e-10	1.6529595906646896e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	3.9013281596843675e-10	3.6653105352742911e-10	5.4358913687514178e-10	1.6425299195348047e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	3.7585097926711955e-10	3.5339214845826755e-10	5.491935568465505e-10	1.6579546693245803e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A04_LAPSE_LIFT_TIMELIVE|C0	3.7584343078904226e-10	3.5694181169291716e-10	5.7708507991859149e-10	1.5718783112384307e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A04_LAPSE_LIFT_TIMELIVE|CMINUS	3.8090467140138568e-10	3.5654401843341056e-10	5.7025101630356576e-10	1.5775874965736431e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A04_LAPSE_LIFT_TIMELIVE|CPLUS	3.8081499196289267e-10	3.5820315065178295e-10	6.2140227498623752e-10	1.6315119911632768e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E05:A05_SHIFT_SUPPORTED_TAPER|C0	5.783761957347887e-11	6.8583373595142298e-11	4.3028604223781101e-10	3.8099028197161275e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E05:A05_SHIFT_SUPPORTED_TAPER|CMINUS	1.7527984284942418e-10	1.5419683240249471e-10	1.1974723488225803e-09	1.0185051121132839e-09	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E05:A05_SHIFT_SUPPORTED_TAPER|CPLUS	5.3082244730189451e-10	4.127748963824271e-10	7.571723963011429e-10	6.9215651604907657e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E100:A03_RADIAL_SHIFT_TIMELIVE|C0	2.4447854541143855e-10	2.838512351274957e-10	1.1138281707776687e-10	4.556539604491105e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E100:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	2.4443918492021509e-10	2.8385188229766239e-10	1.1131247030336164e-10	4.5562223050327788e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E100:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	2.4456517668242868e-10	2.8384919792492082e-10	1.1136434552971774e-10	4.5575241801410523e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E100:A04_LAPSE_LIFT_TIMELIVE|C0	2.444871353957213e-10	2.8384127682624239e-10	1.1153931933257121e-10	4.5549362543064164e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E100:A04_LAPSE_LIFT_TIMELIVE|CMINUS	2.4443181895453593e-10	2.8384240202616202e-10	1.1149637553111712e-10	4.554816061277968e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E100:A04_LAPSE_LIFT_TIMELIVE|CPLUS	2.4447678467235279e-10	2.8383986500176194e-10	1.1146114342676969e-10	4.5544993330857943e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E100:A05_SHIFT_SUPPORTED_TAPER|C0	5.783761957347887e-11	6.8583373595142298e-11	4.3028604223781101e-10	3.8099028197161275e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E100:A05_SHIFT_SUPPORTED_TAPER|CMINUS	1.7527984284942418e-10	1.5419683240249471e-10	1.1974723488225803e-09	1.0185051121132839e-09	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E100:A05_SHIFT_SUPPORTED_TAPER|CPLUS	5.3082244730189451e-10	4.127748963824271e-10	7.571723963011429e-10	6.9215651604907657e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E20:A03_RADIAL_SHIFT_TIMELIVE|C0	3.9442478257747805e-10	3.9105222338920725e-10	2.4134969234669316e-10	1.7687778211400587e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E20:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	3.9402942235396203e-10	3.9111455341114169e-10	2.4293677648810045e-10	1.7673573584370711e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E20:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	3.9561599247827184e-10	3.9084482047630547e-10	2.4234623147582448e-10	1.7680764882228383e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E20:A04_LAPSE_LIFT_TIMELIVE|C0	3.9363083981186639e-10	3.9088199334695161e-10	2.3873895201828902e-10	1.7660918609166416e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E20:A04_LAPSE_LIFT_TIMELIVE|CMINUS	3.9368219293591842e-10	3.9083926892049593e-10	2.3885729655238861e-10	1.7668853375197272e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E20:A04_LAPSE_LIFT_TIMELIVE|CPLUS	3.9395383535785916e-10	3.9086722219468417e-10	2.4108623773911489e-10	1.768176667839056e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E20:A05_SHIFT_SUPPORTED_TAPER|C0	5.783761957347887e-11	6.8583373595142298e-11	4.3028604223781101e-10	3.8099028197161275e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E20:A05_SHIFT_SUPPORTED_TAPER|CMINUS	1.7527984284942418e-10	1.5419683240249471e-10	1.1974723488225803e-09	1.0185051121132839e-09	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E20:A05_SHIFT_SUPPORTED_TAPER|CPLUS	5.3082244730189451e-10	4.127748963824271e-10	7.571723963011429e-10	6.9215651604907657e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E50:A03_RADIAL_SHIFT_TIMELIVE|C0	2.454169302864272e-10	2.8315049993066097e-10	2.0718491207699107e-10	6.9031199064203944e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E50:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	2.4538719676926388e-10	2.831547235011203e-10	2.0719542645313326e-10	6.9067541706561687e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E50:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	2.4560399195782867e-10	2.8313763723289866e-10	2.0715304278245732e-10	6.9084555092185397e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E50:A04_LAPSE_LIFT_TIMELIVE|C0	2.4532571093109149e-10	2.831146038354163e-10	2.0786048312104025e-10	6.8967062985697788e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E50:A04_LAPSE_LIFT_TIMELIVE|CMINUS	2.4536842674824112e-10	2.8311438790904383e-10	2.0783089994114318e-10	6.8974803253665723e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E50:A04_LAPSE_LIFT_TIMELIVE|CPLUS	2.4540605846257426e-10	2.83108116830303e-10	2.0781379443319416e-10	6.893143780619253e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S01_E50:A05_SHIFT_SUPPORTED_TAPER|C0	5.783761957347887e-11	6.8583373595142298e-11	4.3028604223781101e-10	3.8099028197161275e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E50:A05_SHIFT_SUPPORTED_TAPER|CMINUS	1.7527984284942418e-10	1.5419683240249471e-10	1.1974723488225803e-09	1.0185051121132839e-09	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S01_E50:A05_SHIFT_SUPPORTED_TAPER|CPLUS	5.3082244730189451e-10	4.127748963824271e-10	7.571723963011429e-10	6.9215651604907657e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S02_E05:A03_RADIAL_SHIFT_TIMELIVE|C0	3.4008677058679453e-10	3.3016434022205532e-10	3.7978835103497089e-10	2.2554760719020804e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E05:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	3.4010888995459667e-10	3.3080826616165682e-10	3.8311307304169744e-10	2.3004946468006695e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E05:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	3.4237472461785262e-10	3.2789607467320996e-10	3.8179555135950183e-10	2.2846655701069982e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E05:A04_LAPSE_LIFT_TIMELIVE|C0	3.373112632490477e-10	3.2947873155149802e-10	3.7434138201034886e-10	2.2795036244075338e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E05:A04_LAPSE_LIFT_TIMELIVE|CMINUS	3.3641708376192114e-10	3.2980671880150581e-10	3.7595403205330634e-10	2.2862356020161278e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E05:A04_LAPSE_LIFT_TIMELIVE|CPLUS	3.3791435968293868e-10	3.3014862866306467e-10	3.7620208257112603e-10	2.2119414980529049e-10	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E05:A05_SHIFT_SUPPORTED_TAPER|C0	5.783761957347887e-11	6.8583373595142298e-11	4.3028604223781101e-10	3.8099028197161275e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S02_E05:A05_SHIFT_SUPPORTED_TAPER|CMINUS	1.7527984284942418e-10	1.5419683240249471e-10	1.1974723488225803e-09	1.0185051121132839e-09	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S02_E05:A05_SHIFT_SUPPORTED_TAPER|CPLUS	5.3082244730189451e-10	4.127748963824271e-10	7.571723963011429e-10	6.9215651604907657e-10	D	D	WEYL_AND_RICCI_AGREE_ON_SPLIT	WEYL_AND_RICCI_AGREE_ON_SPLIT	TRUE
G85|G75_AM_S02_E100:A03_RADIAL_SHIFT_TIMELIVE|C0	2.698218087162569e-10	3.0499961576724964e-10	8.1566008862215167e-11	5.5297689885664915e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E100:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	2.6976862305936202e-10	3.0500016217115908e-10	8.1465027507750714e-11	5.5282930559580117e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E100:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	2.6978913650400319e-10	3.0499972256252621e-10	8.1678192509795327e-11	5.53147878875925e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G85|G75_AM_S02_E100:A04_LAPSE_LIFT_TIMELIVE|C0	2.6981147671156167e-10	3.049964536013945e-10	8.1369967309848997e-11	5.5242430828396938e-11	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
