path_id	affine	lambda	absolute_error	scale	scaled_error
P00_minus_L1	0.18750000	1	3.899013056862799e-11	1.0460066502325569	3.7275222447160715e-11
P00_minus_L1	0.25000000	1	4.2531214661245542e-11	1.0497796411990008	4.0514421305283384e-11
P00_minus_L2	0.06250000	2	1.3454670710899563e-10	1.0533744768345366	1.277292264696956e-10
P00_minus_L2	0.12500000	2	9.1770258059398202e-11	1.044986511572815	8.7819562303511727e-11
P00_minus_L2	0.18750000	2	8.8500387573908768e-11	1.0405640798634246	8.505039649795e-11
P00_minus_L2	0.25000000	2	9.5261951105207743e-11	1.0392986386397385	9.1659844017393408e-11
P01_plus_L-2	0.06250000	-2	2.1843882258565372e-10	1.9660724368158553	1.1110415796247337e-10
P01_plus_L-2	0.12500000	-2	2.2725188397743068e-10	2.111218956427638	1.0764013049691454e-10
P01_plus_L-2	0.18750000	-2	2.3440771546034966e-10	2.2732751214727873	1.0311453868746159e-10
P01_plus_L-2	0.25000000	-2	2.3970203599787965e-10	2.4543245049623135	9.7665176513225702e-11
P01_plus_L-1	0.06250000	-1	1.2310952257621466e-10	1.2893252305664202	9.5483683757689883e-11
P01_plus_L-1	0.12500000	-1	1.289059969877826e-10	1.3208161685204149	9.759571396841982e-11
P01_plus_L-1	0.18750000	-1	1.3588929981267484e-10	1.3569063334789668	1.0014641133280644e-10
P01_plus_L-1	0.25000000	-1	1.4460965758189559e-10	1.4480859897776448	9.9862617691716329e-11
P01_plus_L0	0.06250000	0	7.8524020619141766e-11	1.0602639257165714	7.4060824587681696e-11
P01_plus_L0	0.12500000	0	8.4830920066281124e-11	1.0729213742799693	7.9065364993041186e-11
P01_plus_L0	0.18750000	0	9.078116036675965e-11	1.0890678302240275	8.3356755059127443e-11
P01_plus_L0	0.25000000	0	9.5934149513254852e-11	1.1088968484896731	8.651314109506035e-11
P01_plus_L0.5	0.06250000	0.5	8.0925155465649823e-11	1	8.0925155465649823e-11
P01_plus_L0.5	0.12500000	0.5	7.6839756779634172e-11	1	7.6839756779634172e-11
P01_plus_L0.5	0.18750000	0.5	7.0429884146960831e-11	1	7.0429884146960831e-11
P01_plus_L0.5	0.25000000	0.5	6.952427522577409e-11	1	6.952427522577409e-11
P01_plus_L1	0.06250000	1	1.058377829821211e-10	1	1.058377829821211e-10
P01_plus_L1	0.12500000	1	9.8464680853282971e-11	1	9.8464680853282971e-11
P01_plus_L1	0.18750000	1	8.8182766644351318e-11	1	8.8182766644351318e-11
P01_plus_L1	0.25000000	1	8.7015242233867696e-11	1	8.7015242233867696e-11
P01_plus_L2	0.06250000	2	2.0638502018499594e-10	1	2.0638502018499594e-10
P01_plus_L2	0.12500000	2	2.0539137057795642e-10	1	2.0539137057795642e-10
P01_plus_L2	0.18750000	2	2.0234647291061947e-10	1	2.0234647291061947e-10
P01_plus_L2	0.25000000	2	1.9735435508039245e-10	1	1.9735435508039245e-10
P01_minus_L-2	0.06250000	-2	1.963125217940842e-10	1.7187234270871605	1.1421996040793406e-10
P01_minus_L-2	0.12500000	-2	1.8387469324920858e-10	1.6130147083434216	1.1399443061374764e-10
P01_minus_L-2	0.18750000	-2	1.8634296883313084e-10	1.5172141810191775	1.2281915840514773e-10
P01_minus_L-2	0.25000000	-2	1.9595068623257106e-10	1.4299555716433974	1.370327093501037e-10
P01_minus_L-1	0.06250000	-1	1.1427570001387721e-10	1.2368899396271074	9.2389546032146229e-11
P01_minus_L-1	0.12500000	-1	1.1080758532955315e-10	1.2146576258196551	9.1225365052789928e-11
P01_minus_L-1	0.18750000	-1	1.0773271164055132e-10	1.1943998420025497	9.0198196493332535e-11
P01_minus_L-1	0.25000000	-1	1.0493494961849592e-10	1.1756961586383938	8.9253459618362604e-11
P01_minus_L0	0.06250000	0	6.6964878087105717e-11	1.0442521154152777	6.4127117482998966e-11
P01_minus_L0	0.12500000	0	6.6908700802059684e-11	1.0401469154512726	6.4326202200994876e-11
P01_minus_L0	0.18750000	0	6.5831423645690279e-11	1.038051012440097	6.341829337552833e-11
P01_minus_L0	0.25000000	0	6.3705457575835567e-11	1.0374725853946785	6.1404473209863702e-11
P01_minus_L0.5	0.06250000	0.5	8.1885831448857971e-11	1	8.1885831448857971e-11
P01_minus_L0.5	0.12500000	0.5	7.9009465636659115e-11	1	7.9009465636659115e-11
P01_minus_L0.5	0.18750000	0.5	7.4256933935146208e-11	1	7.4256933935146208e-11
P01_minus_L0.5	0.25000000	0.5	6.7998384700729275e-11	1	6.7998384700729275e-11
P01_minus_L1	0.06250000	1	1.0881018308595003e-10	1	1.0881018308595003e-10
P01_minus_L1	0.12500000	1	1.0466305599976522e-10	1	1.0466305599976522e-10
P01_minus_L1	0.18750000	1	9.7300723034265957e-11	1	9.7300723034265957e-11
P01_minus_L1	0.25000000	1	8.7331364362341901e-11	1	8.7331364362341901e-11
P01_minus_L2	0.06250000	2	2.0230450648028864e-10	1	2.0230450648028864e-10
P01_minus_L2	0.12500000	2	1.9751067448225967e-10	1	1.9751067448225967e-10
P01_minus_L2	0.18750000	2	1.9118950866925388e-10	1	1.9118950866925388e-10
P01_minus_L2	0.25000000	2	1.8363643938812402e-10	1	1.8363643938812402e-10
P02_plus_L-2	0.06250000	-2	1.2922152237138107e-10	1.6161851268875016	7.9954653846023073e-11
P02_plus_L-2	0.12500000	-2	1.3993139980073011e-10	1.6925312997707418	8.2675812151706868e-11
P02_plus_L-2	0.18750000	-2	1.6750645315255497e-10	1.7815720678386477	9.4021710474934092e-11
P02_plus_L-2	0.25000000	-2	1.9962687058949768e-10	1.8868886555054281	1.057968471043804e-10
P02_plus_L-1	0.06250000	-1	8.2020751301925543e-11	1.3740123687386141	5.9694332575203183e-11
P02_plus_L-1	0.12500000	-1	9.7649666130905644e-11	1.4196214062918406	6.8785709836521847e-11
P02_plus_L-1	0.18750000	-1	1.1416279033227283e-10	1.4704181384412378	7.7639677686031964e-11
P02_plus_L-1	0.25000000	-1	1.3103129692382254e-10	1.5275013238562263	8.5781462102454879e-11
P02_plus_L0	0.06250000	0	5.3412108069750275e-11	1.1271453960445028	4.7387061382843473e-11
P02_plus_L0	0.12500000	0	6.179312617149435e-11	1.1494878151315657	5.3757095428124878e-11
P02_plus_L0	0.18750000	0	6.779865557859921e-11	1.1740949457947352	5.7745462427407743e-11
P02_plus_L0	0.25000000	0	7.1436301318783535e-11	1.2010897464722861	5.9476239413914488e-11
P02_plus_L0.5	0.06250000	0.5	5.3455850856920506e-11	1.0013659412510729	5.3382932906759905e-11
P02_plus_L0.5	0.12500000	0.5	5.9536764407397413e-11	1.0143021988945127	5.8697264456575663e-11
P02_plus_L0.5	0.18750000	0.5	6.3041127873475489e-11	1.0293466002477611	6.1243829686037383e-11
P02_plus_L0.5	0.25000000	0.5	6.405137531473315e-11	1.0464692533144782	6.1207125877672443e-11
P02_plus_L1	0.06250000	1	5.9632548898846949e-11	1.0111254051123557	5.8976412418616472e-11
P02_plus_L1	0.12500000	1	5.8495819299508867e-11	1.0113361624373547	5.7840134143460219e-11
P02_plus_L1	0.18750000	1	5.7122112595564545e-11	1.0130036364892998	5.6388852456175672e-11
P02_plus_L1	0.25000000	1	5.5739551862998837e-11	1.0161474169298004	5.4853804609778931e-11
P02_plus_L2	0.06250000	2	1.305311414512289e-10	1.1442775573875519	1.1407297172657884e-10
P02_plus_L2	0.12500000	2	1.2923356829119825e-10	1.1688659971069657	1.1056320280602002e-10
P02_plus_L2	0.18750000	2	1.2627970891188056e-10	1.1955953302003461	1.0562077796901386e-10
P02_plus_L2	0.25000000	2	1.2203421606571396e-10	1.2239507056499452	9.9705172358972632e-11
P02_minus_L-2	0.06250000	-2	1.5646395290502824e-10	1.490084413661094	1.0500341555858628e-10
P02_minus_L-2	0.12500000	-2	1.6366819011182088e-10	1.4358043719048443	1.1399059183437821e-10
P02_minus_L-2	0.18750000	-2	1.6600720798010116e-10	1.3850667901702123	1.1985502010318244e-10
P02_minus_L-2	0.25000000	-2	1.6334777974691406e-10	1.3366190664194462	1.2220967353435438e-10
P02_minus_L-1	0.06250000	-1	9.3747676288558068e-11	1.2946648559938647	7.241076781727543e-11
P02_minus_L-1	0.12500000	-1	9.780398713132854e-11	1.259412704991586	7.765840914871663e-11
P02_minus_L-1	0.18750000	-1	9.9347419180162433e-11	1.2263062880395079	8.1013544616972361e-11
P02_minus_L-1	0.25000000	-1	9.8294261619003009e-11	1.1948890547525335	8.2262249560366224e-11
P02_minus_L0	0.06250000	0	6.0490668030155348e-11	1.0887764825746653	5.5558389622001286e-11
P02_minus_L0	0.12500000	0	6.4542121647193085e-11	1.0725143826104098	6.0178327389981463e-11
P02_minus_L0	0.18750000	0	6.6066901949213275e-11	1.0580423570094717	6.2442587020759358e-11
P02_minus_L0	0.25000000	0	6.4972166535781639e-11	1.0452391235751486	6.2160098173086031e-11
P02_minus_L0.5	0.06250000	0.5	6.1505106563330969e-11	1	6.1505106563330969e-11
P02_minus_L0.5	0.12500000	0.5	6.454145551337831e-11	1	6.454145551337831e-11
P02_minus_L0.5	0.18750000	0.5	6.6064986814495796e-11	1	6.6064986814495796e-11
P02_minus_L0.5	0.25000000	0.5	6.4969168933615151e-11	1.0075510001199832	6.4482263355282617e-11
P02_minus_L1	0.06250000	1	6.9976691108308842e-11	1.0148397807020451	6.8953437221292623e-11
P02_minus_L1	0.12500000	1	7.4687256379490918e-11	1.0185853450164324	7.3324495335524414e-11
P02_minus_L1	0.18750000	1	7.5771722229944771e-11	1.0234390682815842	7.4036378498985835e-11
P02_minus_L1	0.25000000	1	7.3099748476579407e-11	1.0292719902570828	7.1020827505780241e-11
P02_minus_L2	0.06250000	2	1.3807155418987804e-10	1.1032427766595529	1.2515065324781658e-10
P02_minus_L2	0.12500000	2	1.4465295627985597e-10	1.0874400633884487	1.3302154403721277e-10
P02_minus_L2	0.18750000	2	1.4828016592360882e-10	1.0750460394394643	1.379291309244049e-10
P02_minus_L2	0.25000000	2	1.4493373168278367e-10	1.0661311788542145	1.3594361984474171e-10
