path_id	event_id	direction	lambda	anchor_E1phi	anchor_E2phi	anchor_E3phi	anchor_error	endpoint_screen_leakage	endpoint_pair_leakage	endpoint_D_A	endpoint_WRL_W	normalized_shape_rms	composition_residual	convergence_difference	max_clock_law_residual	max_killing_energy_drift	max_null_residual	max_screen_gram_residual	max_k_screen_residual	max_curvature_asymmetry	max_symplectic_residual	max_detM_residual	production_nfev	convergence_nfev
P00_minus_L1	P00	minus	1	0.059999999999999998	0.02	0.040000000000000001	0	0.00017531928172779629	0.00017208484699278778	0.24764994634929821	0.019300023446352288	0.090237403254517762	3.8857805861880479e-16	6.6613381477509392e-16	0	2.2204460492503131e-16	3.9605905360895477e-16	6.6613381477509392e-16	3.4694469519536142e-18	5.2566340169590831e-11	8.5063025331281874e-12	2.2204460492503131e-16	257	482
P00_minus_L2	P00	minus	2	0.059999999999999998	0.02	0.040000000000000001	0	0.00017870620732382238	0.00017541233069490208	0.24800377102883803	0.019297975453532956	0.090623048306903972	3.3306690738754696e-16	6.6613381477509392e-16	1.1102230246251565e-16	2.2204460492503131e-16	1.3807314666602899e-16	5.5511151231257827e-16	1.214306433183765e-17	1.5473353154327185e-10	2.7229074341844038e-11	2.2204460492503131e-16	257	482
P01_plus_L-2	P01	plus	-2	0.03538377992233252	0.15526671418699151	0.11971168797479174	0	0.0061124925701571764	0.0062511539770654379	0.24632588218611365	0.028850596476533541	0.078068125583454634	3.8857805861880479e-16	8.8817841970012523e-16	4.4408920985006262e-16	3.4214231122772119e-16	1.4731597018646791e-16	8.8817841970012523e-16	5.0306980803327406e-17	1.8461976392103452e-10	3.3167088437460354e-11	2.2204460492503131e-16	257	482
P01_plus_L-1	P01	plus	-1	0.03538377992233252	0.1511482287265774	0.1165363077978657	0	0.0056380664185738559	0.0057666007910069069	0.24697655590083284	0.028443490286209849	0.075175329590242743	4.4408920985006262e-16	6.6613381477509392e-16	4.4408920985006262e-16	3.4214231122772119e-16	1.1712636069360904e-15	4.4408920985006262e-16	1.9949319973733282e-17	4.8519382955802826e-11	6.8091608109023234e-12	2.2204460492503131e-16	257	482
P01_plus_L0	P01	plus	0	0.035383779922332506	0.14713898704437076	0.11344515531364532	0	0.0052025552014280047	0.0053216544323361169	0.24757859471038104	0.028064196056322488	0.072458184438477125	4.4408920985006262e-16	6.6613381477509392e-16	2.2204460492503131e-16	3.4214231122772119e-16	1.0343288725511712e-15	6.6613381477509392e-16	4.163336342344337e-17	6.1434607401267272e-12	1.2510301346251247e-12	6.6613381477509392e-16	257	482
P01_plus_L0.5	P01	plus	0.5	0.035383779922332506	0.14517442405709885	0.11193046394807754	0	0.0049983001669558725	0.0051129300744513669	0.24786410763014563	0.027884413167887367	0.071161134146326535	1.9428902930940239e-16	6.6613381477509392e-16	4.4408920985006262e-16	4.5618974830362825e-16	1.1514227071796057e-15	3.3306690738754696e-16	2.4286128663675299e-17	2.0383333909634871e-11	7.6741579272505493e-13	2.2204460492503131e-16	257	482
P01_plus_L1	P01	plus	1	0.035383779922332506	0.14323609142391924	0.11043599636312497	0	0.0048025065836730515	0.0049128265023543243	0.24814056608127827	0.027710913679833582	0.069902942137520852	2.2204460492503131e-16	6.6613381477509392e-16	4.4408920985006262e-16	4.5618974830362825e-16	1.2941037130786981e-15	8.8817841970012523e-16	1.3877787807814457e-17	5.3742982286664187e-11	5.2606030194366172e-12	2.2204460492503131e-16	257	482
P01_plus_L2	P01	plus	2	0.035383779922332506	0.13943672101136897	0.10750665604888279	0	0.0044348067186772812	0.0045369659748185024	0.2486697206341367	0.027381916929301586	0.067497091512709773	3.3306690738754696e-16	6.6613381477509392e-16	4.4408920985006262e-16	5.7023718537953527e-16	7.5341208966017703e-16	3.3306690738754696e-16	6.9388939039072284e-17	1.3187778646894799e-10	2.0941380126969477e-11	4.4408920985006262e-16	257	482
P01_minus_L-2	P01	minus	-2	0.03538377992233252	0.15526671418699151	0.11971168797479174	0	0.0039862878717485187	0.0039357935858217331	0.2467119268760351	0.0094303747945541083	0.13924125182995242	4.4408920985006262e-16	8.8817841970012523e-16	2.2204460492503131e-16	2.2809487415181413e-16	3.6830347799332586e-16	6.6613381477509392e-16	1.3877787807814457e-17	3.4389484315777707e-10	7.1213570330083565e-11	2.2204460492503131e-16	257	482
P01_minus_L-1	P01	minus	-1	0.03538377992233252	0.1511482287265774	0.1165363077978657	0	0.0038180601731479234	0.0037695223969669428	0.24715668273518676	0.0095964172877456289	0.13475819506075157	3.3306690738754696e-16	2.2204460492503131e-16	1.1102230246251565e-16	1.1404743707590706e-16	1.7618285302889447e-16	5.5511151231257827e-16	2.2551405187698492e-17	1.4325701735984353e-10	2.682730551341857e-11	2.2204460492503131e-16	257	482
P01_minus_L0	P01	minus	0	0.035383779922332506	0.14713898704437076	0.11344515531364532	0	0.0036575109725429183	0.0036108666617259344	0.24757771526525504	0.0097549328480412978	0.13062096587739858	2.2204460492503131e-16	4.4408920985006262e-16	1.1102230246251565e-16	2.2809487415181413e-16	4.6880901938273212e-16	4.4408920985006262e-16	2.7755575615628914e-17	1.1741801975162502e-11	9.7285534818167718e-13	2.2204460492503131e-16	257	482
P01_minus_L0.5	P01	minus	0.5	0.035383779922332506	0.14517442405709885	0.11193046394807754	0	0.0035799902160075056	0.0035342689434611509	0.24778025869558107	0.0098314686089293613	0.12867169751381891	2.2204460492503131e-16	5.5511151231257827e-16	2.2204460492503131e-16	2.2809487415181413e-16	6.6678433607858523e-16	8.8817841970012523e-16	2.2551405187698492e-17	3.1317837212441191e-11	5.9961592661569568e-12	2.2204460492503131e-16	257	482
P01_minus_L1	P01	minus	1	0.035383779922332506	0.14323609142391924	0.11043599636312497	0	0.003504241462045594	0.0034594274598528803	0.24797793689438893	0.0099062424602340826	0.12679697783609004	2.2204460492503131e-16	4.4408920985006262e-16	2.2204460492503131e-16	2.2809487415181413e-16	7.7628875549962117e-16	5.5511151231257827e-16	1.3444106938820255e-17	6.0808497126529915e-11	9.4759298303757267e-12	2.2204460492503131e-16	257	482
P01_minus_L2	P01	minus	2	0.035383779922332506	0.13943672101136897	0.10750665604888279	0	0.003357877055863147	0.003314830518569374	0.24835993258406047	0.010050659681641427	0.12325746643696502	2.2204460492503131e-16	4.4408920985006262e-16	1.1102230246251565e-16	1.1404743707590706e-16	2.7408630920433552e-16	6.6613381477509392e-16	4.0766001685454967e-17	8.3355794489037294e-11	7.2896527361208655e-12	4.4408920985006262e-16	257	482
P02_plus_L-2	P02	plus	-2	0.097139923271032991	0.00069227263276531309	-0.083004775565476543	0	0.0016950139024276562	0.0017893595227727811	0.24545722715760046	0.056408789229112188	0.029840539151648533	2.7755575615628914e-16	6.6613381477509392e-16	2.2204460492503131e-16	2.2711522175663261e-16	7.8105924505855739e-16	9.9920072216264089e-16	1.3877787807814457e-17	4.1860903632340296e-11	6.2576281441394831e-12	4.4408920985006262e-16	257	482
P02_plus_L-1	P02	plus	-1	0.097139923271032991	0.0006768168247547196	-0.081151595453504144	0	0.0015299909376291438	0.0016157128003128709	0.24620034143796221	0.056274610144393167	0.028386246785820843	3.3306690738754696e-16	4.4408920985006262e-16	2.2204460492503131e-16	1.135576108783163e-16	8.6302492929846153e-16	1.1102230246251565e-15	1.3877787807814457e-17	4.6932457919979242e-11	6.7568812456497325e-12	3.3306690738754696e-16	257	482
P02_plus_L0	P02	plus	0	0.097139923271032991	0.00066170608599855352	-0.079339789786604498	0	0.0013815306789886734	0.0014593265958702446	0.246934741943831	0.056150484873354167	0.027003093873995226	2.2204460492503131e-16	6.6613381477509392e-16	2.2204460492503131e-16	1.135576108783163e-16	2.7712207528729493e-16	4.4408920985006262e-16	1.3877787807814457e-17	1.2150641603980716e-11	2.8529889172678494e-12	2.2204460492503131e-16	257	482
P02_plus_L0.5	P02	plus	0.5	0.097139923271032991	0.00065427770330141882	-0.078449112892262168	0	0.0013129815940323671	0.0013870642986071513	0.24730217544693492	0.056091996795362697	0.026332502203209301	2.2204460492503131e-16	4.4408920985006262e-16	2.2204460492503131e-16	2.2711522175663261e-16	5.3115064430064862e-16	7.7715611723760958e-16	2.0816681711721685e-17	2.2104928998345486e-11	3.6343752883743265e-12	4.4408920985006262e-16	257	482
P02_plus_L1	P02	plus	1	0.097139923271032991	0.00064693271241625383	-0.077568434831194438	0	0.0012479585497360943	0.0013184877980763157	0.24767141871177584	0.056035787302233353	0.025673203336172443	2.4980018054066022e-16	6.6613381477509392e-16	2.2204460492503131e-16	3.4067283263494891e-16	9.6905990176754386e-16	8.8817841970012523e-16	1.3877787807814457e-17	6.0595833906162966e-11	1.2343489836034861e-11	4.4408920985006262e-16	257	482
P02_plus_L2	P02	plus	2	0.097139923271032991	0.00063248917192997717	-0.075836627477139165	0	0.0011277659559802303	0.0011916466992796444	0.24841974360541821	0.055929894359299182	0.024381290173091336	2.2204460492503131e-16	4.4408920985006262e-16	4.4408920985006262e-16	4.5423044351326521e-16	5.8998216468514331e-16	6.6613381477509392e-16	1.3877787807814457e-17	1.462578946842541e-10	3.4393244654976979e-11	2.2204460492503131e-16	257	482
P02_minus_L-2	P02	minus	-2	0.097139923271032991	0.00069227263276531309	-0.083004775565476543	0	0.00038689313669121685	0.00037244240456337429	0.24626703627761834	0.040256699445976984	0.033647269417257167	2.2204460492503131e-16	6.6613381477509392e-16	3.3306690738754696e-16	3.4067283263494891e-16	7.5189420661869732e-16	6.6613381477509392e-16	1.3877787807814457e-17	7.734674012382925e-11	1.6074997927180685e-11	2.2204460492503131e-16	257	482
P02_minus_L-1	P02	minus	-1	0.097139923271032991	0.0006768168247547196	-0.081151595453504144	0	0.00038472524473375392	0.00037031451363865489	0.24672017464183307	0.040261174364678354	0.034154987461937819	2.2204460492503131e-16	6.6613381477509392e-16	2.2204460492503131e-16	2.2711522175663261e-16	4.3731294627202821e-16	8.8817841970012523e-16	2.4286128663675299e-17	2.4190482950103842e-11	1.7168756880685554e-12	4.4408920985006262e-16	257	482
P02_minus_L0	P02	minus	0	0.097139923271032991	0.00066170608599855352	-0.079339789786604498	0	0.00038265650279081516	0.0003682910787613132	0.2471997707987906	0.040265568780194938	0.034688930126242884	1.1102230246251565e-16	5.5511151231257827e-16	0	1.135576108783163e-16	3.6190668517566138e-16	8.8817841970012523e-16	3.4694469519536142e-18	8.1698259268847551e-12	1.4432157801610274e-12	2.2204460492503131e-16	257	482
P02_minus_L0.5	P02	minus	0.5	0.097139923271032991	0.00065427770330141882	-0.078449112892262168	0	0.00038165775582130326	0.00036731687272898112	0.2474496497288913	0.040267736069852011	0.034965779393902309	2.2204460492503131e-16	8.8817841970012523e-16	1.1102230246251565e-16	0	1.1221492485224971e-16	6.6613381477509392e-16	6.9388939039072284e-18	6.1125687844665322e-12	8.2498001119408254e-13	2.2204460492503131e-16	257	482
P02_minus_L1	P02	minus	1	0.097139923271032991	0.00064693271241625383	-0.077568434831194438	0	0.00038068195373560678	0.00036636681732427978	0.24770633161363356	0.040269883566149023	0.035249233345227192	2.2204460492503131e-16	3.0531133177191805e-16	3.3306690738754696e-16	2.2711522175663261e-16	5.200375720326722e-16	6.6613381477509392e-16	6.9388939039072284e-18	3.0737475065212294e-11	5.1072663827070851e-12	2.2204460492503131e-16	257	482
P02_minus_L2	P02	minus	2	0.097139923271032991	0.00063248917192997717	-0.075836627477139165	0	0.0003787968467399493	0.00036453666929185289	0.24824034447592741	0.040274119655461016	0.035836002057606703	2.2204460492503131e-16	1.1102230246251565e-15	1.1102230246251565e-16	1.135576108783163e-16	2.2345406774926246e-16	6.6613381477509392e-16	1.0408340855860843e-17	1.0692385171706675e-10	2.001638767415959e-11	2.2204460492503131e-16	257	482
