id	package	claim	existing_status	math_replay_status	corrected_semantic_dependency	regrade	next_gate
L26	reciprocal_clock_optical_scale_selector_2026-07-19	Redshift alone derives native mass increase or emergence	NOT_DERIVED	RETAIN_NEGATIVE	O08-O09 keep local mass emergence open	SURVIVES_INDEPENDENT	Native matter source
L27	reciprocal_metric_null_line_selector_2026-07-19	General reciprocal norm of signed dphi and static spacelike result	DERIVED_CONDITIONAL	RETAIN	O03 supplies signed local phi; block metric remains conditional	SURVIVES_CONDITIONAL_RELABELED	Full off-diagonal metric and on-shell equation
L28	reciprocal_metric_null_line_selector_2026-07-19	Reciprocity forces a unique null or repeated curvature direction	UNDERDETERMINED_NOT_DERIVED	RETAIN_NEGATIVE	Angular metric and action remain open	SURVIVES_CONDITIONAL_RELABELED	Native phi-angular equation
L29	rung2_weld_postjuly_regrade_2026-07-19	Historical mixed equation and scalar-action equation have distinct imported provenance	DERIVED_PROVENANCE_RECONSTRUCTION	RETAIN	Independent of corrected c phi-distance and X_max meanings	SURVIVES_INDEPENDENT	None for provenance
L30	rung2_weld_postjuly_regrade_2026-07-19	Current UDT has recovered a native rung-2 weld	NOT_DERIVED_FROM_AUDITED_SOURCE_SET	RETAIN_NEGATIVE	Metric coupling is not an EOM	SURVIVES_INDEPENDENT	Complete native action or bootstrap-local law
L31	transverse_reciprocal_realization_selector_2026-07-19	A scalar phi alone cannot select reciprocal shear axes in an isotropic transverse plane	NO_NONZERO_EQUIVARIANT_TF_TENSOR	RETAIN	Signedness does not change the SO2 equivariance obstruction	SURVIVES_INDEPENDENT	Additional derived tensor or broken isotropy
L32	transverse_reciprocal_realization_selector_2026-07-19	Spin/Hopf representation supplies physical spatial torus or carrier	OPEN_TYPE_GATE	RETAIN_NEGATIVE	Representation requires lift norm soldering and boundary	SURVIVES_CONDITIONAL_RELABELED	Physical realization map
L33	xmax_accelerating_finite_cell_cartan_2026-07-19	Beta derivatives cancel from curvature on the declared pullback orbit	EXACT_PURE_FRAME_RESULT	RETAIN	Exact property of the declared metric family	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Reestablish the family as physical UDT first
L34	xmax_accelerating_finite_cell_cartan_2026-07-19	This proves a UDT gravity-acceleration principle across the finite cell	NOT_DERIVED	RETAIN_NEGATIVE	Observer frame and physical cell scale were not derived	SURVIVES_INDEPENDENT	Native observer dynamics and boundary
L35	xmax_dynamic_observer_frame_2026-07-19	Time-dependent phi recentering forces off-diagonal pullback terms	DERIVED_BY_PULLBACK	RETAIN	Coordinate algebra only until phi role map is derived	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Derive local-field versus frame-comparison action
L36	xmax_dynamic_observer_frame_2026-07-19	Arbitrary beta(t) represents physical UDT observers	EXACT_CONDITIONAL	NOT_CERTIFIED	O03 does not authorize shifting the local field as observer position	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Native observer worldline definition
L37	xmax_full_frame_realization_2026-07-19	Declared reciprocal metric family has an exact CSN homothety under phi translation	EXACT_CONDITIONAL	RETAIN	Mathematical family with relational phi translation	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Prove translation acts on physical local phi
L38	xmax_full_frame_realization_2026-07-19	The homothety is a full physical observer-frame realization with shared Xmax	VERIFIED_WITH_CAVEATS	NOT_CERTIFIED	O06 makes Xmax an output and O03 separates local field from frame label	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Global bootstrap and observer map
L39	xmax_reciprocity_audit_2026-07-19	Chosen fractional-linear group has exact multiplicative A character	EXACT_WITHIN_CHOSEN_PREMISES	RETAIN	Pure bounded-group algebra	ALGEBRA_VALID_PHYSICS_WITHDRAWN	None for group theorem
L40	xmax_reciprocity_audit_2026-07-19	This group is native Xmax reciprocity acting on physical position and metric phi	VERIFIED_WITH_CAVEATS	NOT_CERTIFIED	Xmax output physical position map and local phi join are unproved	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Derive global Xmax and position-field join
L41	copresence_gr_constraint_regrade_2026-07-19	Accepting measured G makes GR constraints or EH native UDT	REJECTED_AS_INFERENCE	RETAIN_NEGATIVE	O14-O15 add physical calibration not parent dynamics	SURVIVES_INDEPENDENT	Derive native parent action and equations separately
L42	xmax_reciprocity_audit_2026-07-19	Measured c_E and G_obs uniquely determine X_max	NOT_DERIVED	RETAIN_NEGATIVE	O07 O14 O15 still require global metric mass density or curvature closure	SURVIVES_INDEPENDENT	Derive noncircular global closure and coefficient
