source_id	path	source_ref	git_blob	sha256	size
S11	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	7a14aa43:udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	d5b1c920f116d5b0f56478fc489909e53e3dbdcc	5ea123f9bb7407b840270dfb51aa4fc080f85a9a17b0538dfd1abf8960d5dc15	13106
S12	udt_global_relation_family_branch_classification_2026-08-10/SOURCE_TO_BRANCH_CROSSWALK.tsv	7a14aa43:udt_global_relation_family_branch_classification_2026-08-10/SOURCE_TO_BRANCH_CROSSWALK.tsv	fd8d6dfedee7ea72ddc4a59c15746e75ce2b0768	82892c3b00d08490d5d4f8c017462daa136cd88e5c73fa933dd2363a54927156	6933
S13	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/AUDIT_REPORT.md	7a14aa43:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/AUDIT_REPORT.md	1e28aa9a83d594e899df637e6f954811b4577593	231cc65aa1570fafcae2049c2b5b6fc1e254afda69ec5c0188861272ef5b0ee8	4380
S14	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	7a14aa43:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	4a52ada768c25257641e01cfdc3c67b436e8ed82	30b563b30e4ab6ac2af11c77cf28d627fa8dd400f854617cb55be1177e2f723b	9329
S15	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/TRANSITION_OWNERSHIP_ATLAS.tsv	7a14aa43:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/TRANSITION_OWNERSHIP_ATLAS.tsv	9a430e98e0674d1fc2db61ab5c285f922c10d0a4	070206c8a6a9eaf87f5bc8c29199323400831ff6ac5471944090b9429872cc36	11587
S16	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/AUDIT_REPORT.md	7a14aa43:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/AUDIT_REPORT.md	664c93bc230f066d8e77b1f3711b5a5a19d6f44f	b0d2d14c6353f88da85663d2d41b4dfb1ac0e9bb9a6c014c2adae7a315f40271	3315
S17	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/SELECTION_OWNER_CENSUS.tsv	7a14aa43:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/SELECTION_OWNER_CENSUS.tsv	88dbca1b8f09fb5acdad05d95e7b5b6ac999b78a	53d4461d550c7b37141e3b37a9f9446bc222918c73e8c12d896e1248065dec47	512
S18	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	7a14aa43:udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	b30657329afec5d81037602836915be3533e15f3	ed8f3039a2946a3bcde6400d166d730df4d9c444554a4e0846fcc51d500e46f9	5205
S19	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	7a14aa43:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	42213757bc6ea837d46d9d1d45f754bcda136627	a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	4804
S20	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/AUDIT_REPORT.md	7a14aa43:udt_cmb_N03_profile_role_regular_center_map_2026-08-09/AUDIT_REPORT.md	7af947723c406e06655d8efb0e5d6ed99a570495	664ac79ebe0e64eb4854ca067913084d7a6396e21a768a5fb9e92fdf8151d982	3335
