branch_id	stable_identity	pattern_family	parent_relation_disposition	transition_disposition	pair_relation_owner	owned_structural_restriction	physical_regime_owner	description	evidence
R12	FC12_RECIPROCAL_TORIC_DIAGONAL	F04_HISTORICAL_REDERIVATION_REQUIRED	HISTORICAL_PREMISES_CHANGED_REVIEW_REQUIRED	HISTORICAL_REDERIVATION_REQUIRED	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	historical ansatz requiring current phi-orchestra rederivation	S11::R12;S15::R12
R13	Q01_ROUND_S3_B19	F05_GLOBAL_METRIC_QUERY_UNOWNED	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	OPEN_OWNER	NONE_COMPLETE_AND_OWNED	OPEN_OWNER	global metric or control with natural candidates but no selected complete query	S11::R13;S15::R13
R14	Q02_SQUASHED_S3_OFF_SHELL	F05_GLOBAL_METRIC_QUERY_UNOWNED	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	OPEN_OWNER	NONE_COMPLETE_AND_OWNED	OPEN_OWNER	global metric or control with natural candidates but no selected complete query	S11::R14;S15::R14
R15	Q03_WRL_LOCAL	F06_LOCAL_PROFILE_ONLY	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	NO_COMPLETE_REGULAR_BRANCH	OPEN_OWNER	NONE_COMPLETE_AND_OWNED	OPEN_OWNER	valid local relational profile without a complete global relation family	S11::R15;S15::R15
R16	Q04_PHYSICAL_XMAX_JOIN	F03_NO_COMPLETE_REGULAR_BRANCH	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	NO_COMPLETE_REGULAR_BRANCH	TYPE_INAPPLICABLE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	singular absent or transition-stratum object rather than a complete regular branch	S11::R16;S15::R16
R17	W01_TWISTED_RECIPROCAL_S3	F07_FULL_RECIPROCAL_PATH_CONDITIONAL	PATH_BRANCH_GROUPOID_OWNED	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	OPEN_OWNER	GLOBAL_PATH_HOLONOMY_TYPE	OPEN_OWNER	intrinsic reciprocal grading plus endpoint depth and path transport; full assembly conditional	S11::R17;S15::R17
R18	W02_STATIC_GENERIC_LAPSE_ROUND_S3	F08_CLOCK_ONLY	COMMON_CALIBRATED_ATLAS_OWNED	PARTIAL_CLOCK_SCALE_TRANSITION_OWNED	OPEN_OWNER	GLOBAL_CLOCK_ONLY_TYPE	OPEN_OWNER	global or supplied clock relation without an intrinsic reciprocal ruler completion	S11::R18;S15::R18
R19	W03_ULTRASTATIC_S3	F09_ZERO_ISOMETRIC_PATH_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	ISOMETRIC_PATH_TRANSPORT_ONLY	OPEN_OWNER	NONE_COMPLETE_AND_OWNED	OPEN_OWNER	zero-depth control with isometric transport and unowned pair state	S11::R19;S15::R19
R20	W04_MULTIPLE_KILLING_CONTROL	F05_GLOBAL_METRIC_QUERY_UNOWNED	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	OPEN_OWNER	NONE_COMPLETE_AND_OWNED	OPEN_OWNER	global metric or control with natural candidates but no selected complete query	S11::R20;S15::R20
R21	W05_CAUSAL_SLICE_BOUNDARY	F03_NO_COMPLETE_REGULAR_BRANCH	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	NO_COMPLETE_REGULAR_BRANCH	TYPE_INAPPLICABLE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	singular absent or transition-stratum object rather than a complete regular branch	S11::R21;S15::R21
R22	W06_TWIST_FREE_NONCONSTANT_CLOCK	F08_CLOCK_ONLY	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	CONDITIONAL_QUERY_OR_PRESENTATION_TRANSITION_ONLY	OPEN_OWNER	NONE_COMPLETE_AND_OWNED	OPEN_OWNER	global or supplied clock relation without an intrinsic reciprocal ruler completion	S11::R22;S15::R22
R23	GENERAL_SCREEN_S3_REGULAR_FAMILY	F10_COMPLETE_SCREEN_PATH_NO_SCALE	PATH_BRANCH_GROUPOID_OWNED	ISOMETRIC_PATH_TRANSPORT_ONLY	OPEN_OWNER	GLOBAL_PATH_HOLONOMY_TYPE	OPEN_OWNER	complete screen/coframe path groupoid without owned non-isometric scale	S11::R23;S15::R23
R24	TORIC_DUAL_SYSTOLE_SET_VALUED_FAMILY	F11_SET_VALUED_PROJECTOR	STRATIFIED_MIXTURE_OWNED	STRATIFIED_PROJECTOR_TRANSPORT_ONLY	TYPE_INAPPLICABLE	GLOBAL_SET_VALUED_PROJECTOR_TYPE	OPEN_OWNER	stratified unordered projector transport without clock-ruler density	S11::R24;S15::R24
