shape_id	c0	c1	c2	polynomial	normalization_M	normalized_c0	normalized_c1	normalized_c2	center_q_order_in_s	center_h_order_in_x	center_B_order_in_x	endpoint_zero_order_in_s	open_root_count_distinct	open_root_count_multiplicity	open_odd_root_count	open_even_root_count	open_roots_exact	sign_pattern_open_interval	interior_extrema_exact	normalization_candidates	center_value_normalized	endpoint_value_normalized	behavior_class	stratum_code	reflection_class	physical_status
S16	1	-1	0	1 - s	1	1	-1	0	0	2	2	1	0	0	0	0	-	+	-	0;1	1	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	C0_E1_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S17	1	-1	1	s**2 - s + 1	1	1	-1	1	0	2	2	0	0	0	0	0	-	+	1/2:3/4	0;1/2;1	1	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S18	1	-1	2	2*s**2 - s + 1	2	1/2	-1/2	1	0	2	2	0	0	0	0	0	-	+	1/4:7/16	0;1/4;1	1/2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S19	1	0	-2	1 - 2*s**2	1	1	0	-2	0	2	2	0	1	1	1	0	sqrt(2)/2@1	+,-	-	0;1	1	-1	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S20	1	0	-1	1 - s**2	1	1	0	-1	0	2	2	1	0	0	0	0	-	+	-	0;1	1	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	C0_E1_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S21	1	0	0	1	1	1	0	0	0	2	2	0	0	0	0	0	-	+	-	0;1	1	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S22	1	0	1	s**2 + 1	2	1/2	0	1/2	0	2	2	0	0	0	0	0	-	+	-	0;1	1/2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S23	1	0	2	2*s**2 + 1	3	1/3	0	2/3	0	2	2	0	0	0	0	0	-	+	-	0;1	1/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S24	1	1	-2	-2*s**2 + s + 1	9/8	8/9	8/9	-16/9	0	2	2	1	0	0	0	0	-	+	1/4:1	0;1/4;1	8/9	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	C0_E1_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S25	1	1	-1	-s**2 + s + 1	5/4	4/5	4/5	-4/5	0	2	2	0	0	0	0	0	-	+	1/2:1	0;1/2;1	4/5	4/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S26	1	1	0	s + 1	2	1/2	1/2	0	0	2	2	0	0	0	0	0	-	+	-	0;1	1/2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S27	1	1	1	s**2 + s + 1	3	1/3	1/3	1/3	0	2	2	0	0	0	0	0	-	+	-	0;1	1/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S28	1	1	2	2*s**2 + s + 1	4	1/4	1/4	1/2	0	2	2	0	0	0	0	0	-	+	-	0;1	1/4	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S29	1	2	-2	-2*s**2 + 2*s + 1	3/2	2/3	4/3	-4/3	0	2	2	0	0	0	0	0	-	+	1/2:1	0;1/2;1	2/3	2/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S30	1	2	-1	-s**2 + 2*s + 1	2	1/2	1	-1/2	0	2	2	0	0	0	0	0	-	+	-	0;1	1/2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S31	1	2	0	2*s + 1	3	1/3	2/3	0	0	2	2	0	0	0	0	0	-	+	-	0;1	1/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S32	1	2	1	s**2 + 2*s + 1	4	1/4	1/2	1/4	0	2	2	0	0	0	0	0	-	+	-	0;1	1/4	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S33	1	2	2	2*s**2 + 2*s + 1	5	1/5	2/5	2/5	0	2	2	0	0	0	0	0	-	+	-	0;1	1/5	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S34	2	-2	-1	-s**2 - 2*s + 2	2	1	-1	-1/2	0	2	2	0	1	1	1	0	-1 + sqrt(3)@1	+,-	-	0;1	1	-1/2	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S35	2	-2	1	s**2 - 2*s + 2	2	1	-1	1/2	0	2	2	0	0	0	0	0	-	+	-	0;1	1	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S36	2	-1	-2	-2*s**2 - s + 2	2	1	-1/2	-1	0	2	2	0	1	1	1	0	-1/4 + sqrt(17)/4@1	+,-	-	0;1	1	-1/2	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S37	2	-1	-1	-s**2 - s + 2	2	1	-1/2	-1/2	0	2	2	1	0	0	0	0	-	+	-	0;1	1	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	C0_E1_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S38	2	-1	0	2 - s	2	1	-1/2	0	0	2	2	0	0	0	0	0	-	+	-	0;1	1	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S39	2	-1	1	s**2 - s + 2	2	1	-1/2	1/2	0	2	2	0	0	0	0	0	-	+	1/2:7/8	0;1/2;1	1	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S40	2	-1	2	2*s**2 - s + 2	3	2/3	-1/3	2/3	0	2	2	0	0	0	0	0	-	+	1/4:5/8	0;1/4;1	2/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S41	2	0	-1	2 - s**2	2	1	0	-1/2	0	2	2	0	0	0	0	0	-	+	-	0;1	1	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S42	2	0	1	s**2 + 2	3	2/3	0	1/3	0	2	2	0	0	0	0	0	-	+	-	0;1	2/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S43	2	1	-2	-2*s**2 + s + 2	17/8	16/17	8/17	-16/17	0	2	2	0	0	0	0	0	-	+	1/4:1	0;1/4;1	16/17	8/17	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S44	2	1	-1	-s**2 + s + 2	9/4	8/9	4/9	-4/9	0	2	2	0	0	0	0	0	-	+	1/2:1	0;1/2;1	8/9	8/9	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S45	2	1	0	s + 2	3	2/3	1/3	0	0	2	2	0	0	0	0	0	-	+	-	0;1	2/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S46	2	1	1	s**2 + s + 2	4	1/2	1/4	1/4	0	2	2	0	0	0	0	0	-	+	-	0;1	1/2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S47	2	1	2	2*s**2 + s + 2	5	2/5	1/5	2/5	0	2	2	0	0	0	0	0	-	+	-	0;1	2/5	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S48	2	2	-1	-s**2 + 2*s + 2	3	2/3	2/3	-1/3	0	2	2	0	0	0	0	0	-	+	-	0;1	2/3	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S49	2	2	1	s**2 + 2*s + 2	5	2/5	2/5	1/5	0	2	2	0	0	0	0	0	-	+	-	0;1	2/5	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
