profile_id	lapse_name	lapse_a	shape_id	amplitude	q_of_s	max_abs_q	center_h_order_in_x	center_B_order_in_x	endpoint_q	behavior_class	center_status	signature_status	lapse_min	reflection_partner	physical_status
G75_A0_S01_E50	A0	0	S01	1/2	s**2/2	1/2	6	10	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S01_E50	AP	1/4	S01	1/2	s**2/2	1/2	6	10	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S01_E100	AM	-1/4	S01	1	s**2	1	6	10	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S01_E100	A0	0	S01	1	s**2	1	6	10	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S01_E100	AP	1/4	S01	1	s**2	1	6	10	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S02_E05	AM	-1/4	S02	1/20	-s**2/10 + s/20	1/20	4	6	-1/20	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S02_E05	A0	0	S02	1/20	-s**2/10 + s/20	1/20	4	6	-1/20	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S02_E05	AP	1/4	S02	1/20	-s**2/10 + s/20	1/20	4	6	-1/20	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S02_E20	AM	-1/4	S02	1/5	-2*s**2/5 + s/5	1/5	4	6	-1/5	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S02_E20	A0	0	S02	1/5	-2*s**2/5 + s/5	1/5	4	6	-1/5	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S02_E20	AP	1/4	S02	1/5	-2*s**2/5 + s/5	1/5	4	6	-1/5	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S02_E50	AM	-1/4	S02	1/2	-s**2 + s/2	1/2	4	6	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S02_E50	A0	0	S02	1/2	-s**2 + s/2	1/2	4	6	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S02_E50	AP	1/4	S02	1/2	-s**2 + s/2	1/2	4	6	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S02_E100	AM	-1/4	S02	1	-2*s**2 + s	1	4	6	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S02_E100	A0	0	S02	1	-2*s**2 + s	1	4	6	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S02_E100	AP	1/4	S02	1	-2*s**2 + s	1	4	6	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S03_E05	AM	-1/4	S03	1/20	-s**2/5 + s/5	1/20	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S03_E05	A0	0	S03	1/20	-s**2/5 + s/5	1/20	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S03_E05	AP	1/4	S03	1/20	-s**2/5 + s/5	1/20	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S03_E20	AM	-1/4	S03	1/5	-4*s**2/5 + 4*s/5	1/5	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S03_E20	A0	0	S03	1/5	-4*s**2/5 + 4*s/5	1/5	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S03_E20	AP	1/4	S03	1/5	-4*s**2/5 + 4*s/5	1/5	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S03_E50	AM	-1/4	S03	1/2	-2*s**2 + 2*s	1/2	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S03_E50	A0	0	S03	1/2	-2*s**2 + 2*s	1/2	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S03_E50	AP	1/4	S03	1/2	-2*s**2 + 2*s	1/2	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S03_E100	AM	-1/4	S03	1	-4*s**2 + 4*s	1	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S03_E100	A0	0	S03	1	-4*s**2 + 4*s	1	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S03_E100	AP	1/4	S03	1	-4*s**2 + 4*s	1	4	6	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S04_E05	AM	-1/4	S04	1/20	s/20	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S04_E05	A0	0	S04	1/20	s/20	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S04_E05	AP	1/4	S04	1/20	s/20	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S04_E20	AM	-1/4	S04	1/5	s/5	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S04_E20	A0	0	S04	1/5	s/5	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S04_E20	AP	1/4	S04	1/5	s/5	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S04_E50	AM	-1/4	S04	1/2	s/2	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S04_E50	A0	0	S04	1/2	s/2	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S04_E50	AP	1/4	S04	1/2	s/2	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S04_E100	AM	-1/4	S04	1	s	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S04_E100	A0	0	S04	1	s	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S04_E100	AP	1/4	S04	1	s	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S05_E05	AM	-1/4	S05	1/20	s**2/40 + s/40	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S05_E05	A0	0	S05	1/20	s**2/40 + s/40	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S05_E05	AP	1/4	S05	1/20	s**2/40 + s/40	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S05_E20	AM	-1/4	S05	1/5	s**2/10 + s/10	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S05_E20	A0	0	S05	1/5	s**2/10 + s/10	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S05_E20	AP	1/4	S05	1/5	s**2/10 + s/10	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S05_E50	AM	-1/4	S05	1/2	s**2/4 + s/4	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S05_E50	A0	0	S05	1/2	s**2/4 + s/4	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S05_E50	AP	1/4	S05	1/2	s**2/4 + s/4	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S05_E100	AM	-1/4	S05	1	s**2/2 + s/2	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S05_E100	A0	0	S05	1	s**2/2 + s/2	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S05_E100	AP	1/4	S05	1	s**2/2 + s/2	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S06_E05	AM	-1/4	S06	1/20	s**2/30 + s/60	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S06_E05	A0	0	S06	1/20	s**2/30 + s/60	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S06_E05	AP	1/4	S06	1/20	s**2/30 + s/60	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S06_E20	AM	-1/4	S06	1/5	2*s**2/15 + s/15	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S06_E20	A0	0	S06	1/5	2*s**2/15 + s/15	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S06_E20	AP	1/4	S06	1/5	2*s**2/15 + s/15	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S06_E50	AM	-1/4	S06	1/2	s**2/3 + s/6	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S06_E50	A0	0	S06	1/2	s**2/3 + s/6	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S06_E50	AP	1/4	S06	1/2	s**2/3 + s/6	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S06_E100	AM	-1/4	S06	1	2*s**2/3 + s/3	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S06_E100	A0	0	S06	1	2*s**2/3 + s/3	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S06_E100	AP	1/4	S06	1	2*s**2/3 + s/3	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S07_E05	AM	-1/4	S07	1/20	-s**2/20 + s/10	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S07_E05	A0	0	S07	1/20	-s**2/20 + s/10	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S07_E05	AP	1/4	S07	1/20	-s**2/20 + s/10	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S07_E20	AM	-1/4	S07	1/5	-s**2/5 + 2*s/5	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S07_E20	A0	0	S07	1/5	-s**2/5 + 2*s/5	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S07_E20	AP	1/4	S07	1/5	-s**2/5 + 2*s/5	1/5	4	6	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S07_E50	AM	-1/4	S07	1/2	-s**2/2 + s	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S07_E50	A0	0	S07	1/2	-s**2/2 + s	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S07_E50	AP	1/4	S07	1/2	-s**2/2 + s	1/2	4	6	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S07_E100	AM	-1/4	S07	1	-s**2 + 2*s	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S07_E100	A0	0	S07	1	-s**2 + 2*s	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S07_E100	AP	1/4	S07	1	-s**2 + 2*s	1	4	6	1	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S08_E05	AM	-1/4	S08	1/20	s**2/60 + s/30	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S08_E05	A0	0	S08	1/20	s**2/60 + s/30	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S08_E05	AP	1/4	S08	1/20	s**2/60 + s/30	1/20	4	6	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
