group_index	group_id	carrier_id	mask_id	identity_b0	identity_b1	identity_b2	identity_b3
82	R05_1_MA	R05_1	MA	B0_R05_1_MA	B1_R05_1_MA	B2_R05_1_MA	B3_R05_1_MA
83	R05_1_MB	R05_1	MB	B0_R05_1_MB	B1_R05_1_MB	B2_R05_1_MB	B3_R05_1_MB
84	R05_1_MC	R05_1	MC	B0_R05_1_MC	B1_R05_1_MC	B2_R05_1_MC	B3_R05_1_MC
85	R05_1_MD	R05_1	MD	B0_R05_1_MD	B1_R05_1_MD	B2_R05_1_MD	B3_R05_1_MD
86	R05_1_ME	R05_1	ME	B0_R05_1_ME	B1_R05_1_ME	B2_R05_1_ME	B3_R05_1_ME
87	R05_1_MF	R05_1	MF	B0_R05_1_MF	B1_R05_1_MF	B2_R05_1_MF	B3_R05_1_MF
88	R05_3_M8	R05_3	M8	B0_R05_3_M8	B1_R05_3_M8	B2_R05_3_M8	B3_R05_3_M8
89	R05_3_M9	R05_3	M9	B0_R05_3_M9	B1_R05_3_M9	B2_R05_3_M9	B3_R05_3_M9
90	R05_3_MA	R05_3	MA	B0_R05_3_MA	B1_R05_3_MA	B2_R05_3_MA	B3_R05_3_MA
91	R05_3_MB	R05_3	MB	B0_R05_3_MB	B1_R05_3_MB	B2_R05_3_MB	B3_R05_3_MB
92	R05_3_MC	R05_3	MC	B0_R05_3_MC	B1_R05_3_MC	B2_R05_3_MC	B3_R05_3_MC
93	R05_3_MD	R05_3	MD	B0_R05_3_MD	B1_R05_3_MD	B2_R05_3_MD	B3_R05_3_MD
94	R05_3_ME	R05_3	ME	B0_R05_3_ME	B1_R05_3_ME	B2_R05_3_ME	B3_R05_3_ME
95	R05_3_MF	R05_3	MF	B0_R05_3_MF	B1_R05_3_MF	B2_R05_3_MF	B3_R05_3_MF
96	R06_1_M8	R06_1	M8	B0_R06_1_M8	B1_R06_1_M8	B2_R06_1_M8	B3_R06_1_M8
97	R06_1_M9	R06_1	M9	B0_R06_1_M9	B1_R06_1_M9	B2_R06_1_M9	B3_R06_1_M9
98	R06_1_MA	R06_1	MA	B0_R06_1_MA	B1_R06_1_MA	B2_R06_1_MA	B3_R06_1_MA
99	R06_1_MB	R06_1	MB	B0_R06_1_MB	B1_R06_1_MB	B2_R06_1_MB	B3_R06_1_MB
100	R06_1_MC	R06_1	MC	B0_R06_1_MC	B1_R06_1_MC	B2_R06_1_MC	B3_R06_1_MC
101	R06_1_MD	R06_1	MD	B0_R06_1_MD	B1_R06_1_MD	B2_R06_1_MD	B3_R06_1_MD
102	R06_1_ME	R06_1	ME	B0_R06_1_ME	B1_R06_1_ME	B2_R06_1_ME	B3_R06_1_ME
103	R06_1_MF	R06_1	MF	B0_R06_1_MF	B1_R06_1_MF	B2_R06_1_MF	B3_R06_1_MF
104	R06_3_M8	R06_3	M8	B0_R06_3_M8	B1_R06_3_M8	B2_R06_3_M8	B3_R06_3_M8
105	R06_3_M9	R06_3	M9	B0_R06_3_M9	B1_R06_3_M9	B2_R06_3_M9	B3_R06_3_M9
106	R06_3_MA	R06_3	MA	B0_R06_3_MA	B1_R06_3_MA	B2_R06_3_MA	B3_R06_3_MA
107	R06_3_MB	R06_3	MB	B0_R06_3_MB	B1_R06_3_MB	B2_R06_3_MB	B3_R06_3_MB
108	R06_3_MC	R06_3	MC	B0_R06_3_MC	B1_R06_3_MC	B2_R06_3_MC	B3_R06_3_MC
109	R06_3_MD	R06_3	MD	B0_R06_3_MD	B1_R06_3_MD	B2_R06_3_MD	B3_R06_3_MD
110	R06_3_ME	R06_3	ME	B0_R06_3_ME	B1_R06_3_ME	B2_R06_3_ME	B3_R06_3_ME
111	R06_3_MF	R06_3	MF	B0_R06_3_MF	B1_R06_3_MF	B2_R06_3_MF	B3_R06_3_MF
112	R07_1_M8	R07_1	M8	B0_R07_1_M8	B1_R07_1_M8	B2_R07_1_M8	B3_R07_1_M8
113	R07_1_M9	R07_1	M9	B0_R07_1_M9	B1_R07_1_M9	B2_R07_1_M9	B3_R07_1_M9
114	R07_1_MA	R07_1	MA	B0_R07_1_MA	B1_R07_1_MA	B2_R07_1_MA	B3_R07_1_MA
115	R07_1_MB	R07_1	MB	B0_R07_1_MB	B1_R07_1_MB	B2_R07_1_MB	B3_R07_1_MB
116	R07_1_MC	R07_1	MC	B0_R07_1_MC	B1_R07_1_MC	B2_R07_1_MC	B3_R07_1_MC
117	R07_1_MD	R07_1	MD	B0_R07_1_MD	B1_R07_1_MD	B2_R07_1_MD	B3_R07_1_MD
118	R07_1_ME	R07_1	ME	B0_R07_1_ME	B1_R07_1_ME	B2_R07_1_ME	B3_R07_1_ME
119	R07_1_MF	R07_1	MF	B0_R07_1_MF	B1_R07_1_MF	B2_R07_1_MF	B3_R07_1_MF
120	R07_3_M8	R07_3	M8	B0_R07_3_M8	B1_R07_3_M8	B2_R07_3_M8	B3_R07_3_M8
121	R07_3_M9	R07_3	M9	B0_R07_3_M9	B1_R07_3_M9	B2_R07_3_M9	B3_R07_3_M9
122	R07_3_MA	R07_3	MA	B0_R07_3_MA	B1_R07_3_MA	B2_R07_3_MA	B3_R07_3_MA
123	R07_3_MB	R07_3	MB	B0_R07_3_MB	B1_R07_3_MB	B2_R07_3_MB	B3_R07_3_MB
124	R07_3_MC	R07_3	MC	B0_R07_3_MC	B1_R07_3_MC	B2_R07_3_MC	B3_R07_3_MC
125	R07_3_MD	R07_3	MD	B0_R07_3_MD	B1_R07_3_MD	B2_R07_3_MD	B3_R07_3_MD
126	R07_3_ME	R07_3	ME	B0_R07_3_ME	B1_R07_3_ME	B2_R07_3_ME	B3_R07_3_ME
127	R07_3_MF	R07_3	MF	B0_R07_3_MF	B1_R07_3_MF	B2_R07_3_MF	B3_R07_3_MF
128	R08_1_M8	R08_1	M8	B0_R08_1_M8	B1_R08_1_M8	B2_R08_1_M8	B3_R08_1_M8
129	R08_1_M9	R08_1	M9	B0_R08_1_M9	B1_R08_1_M9	B2_R08_1_M9	B3_R08_1_M9
130	R08_1_MA	R08_1	MA	B0_R08_1_MA	B1_R08_1_MA	B2_R08_1_MA	B3_R08_1_MA
131	R08_1_MB	R08_1	MB	B0_R08_1_MB	B1_R08_1_MB	B2_R08_1_MB	B3_R08_1_MB
132	R08_1_MC	R08_1	MC	B0_R08_1_MC	B1_R08_1_MC	B2_R08_1_MC	B3_R08_1_MC
133	R08_1_MD	R08_1	MD	B0_R08_1_MD	B1_R08_1_MD	B2_R08_1_MD	B3_R08_1_MD
134	R08_1_ME	R08_1	ME	B0_R08_1_ME	B1_R08_1_ME	B2_R08_1_ME	B3_R08_1_ME
135	R08_1_MF	R08_1	MF	B0_R08_1_MF	B1_R08_1_MF	B2_R08_1_MF	B3_R08_1_MF
136	R08_3_M8	R08_3	M8	B0_R08_3_M8	B1_R08_3_M8	B2_R08_3_M8	B3_R08_3_M8
137	R08_3_M9	R08_3	M9	B0_R08_3_M9	B1_R08_3_M9	B2_R08_3_M9	B3_R08_3_M9
138	R08_3_MA	R08_3	MA	B0_R08_3_MA	B1_R08_3_MA	B2_R08_3_MA	B3_R08_3_MA
139	R08_3_MB	R08_3	MB	B0_R08_3_MB	B1_R08_3_MB	B2_R08_3_MB	B3_R08_3_MB
140	R08_3_MC	R08_3	MC	B0_R08_3_MC	B1_R08_3_MC	B2_R08_3_MC	B3_R08_3_MC
141	R08_3_MD	R08_3	MD	B0_R08_3_MD	B1_R08_3_MD	B2_R08_3_MD	B3_R08_3_MD
142	R08_3_ME	R08_3	ME	B0_R08_3_ME	B1_R08_3_ME	B2_R08_3_ME	B3_R08_3_ME
143	R08_3_MF	R08_3	MF	B0_R08_3_MF	B1_R08_3_MF	B2_R08_3_MF	B3_R08_3_MF
144	R09_1_M8	R09_1	M8	B0_R09_1_M8	B1_R09_1_M8	B2_R09_1_M8	B3_R09_1_M8
145	R09_1_M9	R09_1	M9	B0_R09_1_M9	B1_R09_1_M9	B2_R09_1_M9	B3_R09_1_M9
146	R09_1_MA	R09_1	MA	B0_R09_1_MA	B1_R09_1_MA	B2_R09_1_MA	B3_R09_1_MA
147	R09_1_MB	R09_1	MB	B0_R09_1_MB	B1_R09_1_MB	B2_R09_1_MB	B3_R09_1_MB
148	R09_1_MC	R09_1	MC	B0_R09_1_MC	B1_R09_1_MC	B2_R09_1_MC	B3_R09_1_MC
149	R09_1_MD	R09_1	MD	B0_R09_1_MD	B1_R09_1_MD	B2_R09_1_MD	B3_R09_1_MD
150	R09_1_ME	R09_1	ME	B0_R09_1_ME	B1_R09_1_ME	B2_R09_1_ME	B3_R09_1_ME
151	R09_1_MF	R09_1	MF	B0_R09_1_MF	B1_R09_1_MF	B2_R09_1_MF	B3_R09_1_MF
152	R09_3_M8	R09_3	M8	B0_R09_3_M8	B1_R09_3_M8	B2_R09_3_M8	B3_R09_3_M8
153	R09_3_M9	R09_3	M9	B0_R09_3_M9	B1_R09_3_M9	B2_R09_3_M9	B3_R09_3_M9
154	R09_3_MA	R09_3	MA	B0_R09_3_MA	B1_R09_3_MA	B2_R09_3_MA	B3_R09_3_MA
155	R09_3_MB	R09_3	MB	B0_R09_3_MB	B1_R09_3_MB	B2_R09_3_MB	B3_R09_3_MB
156	R09_3_MC	R09_3	MC	B0_R09_3_MC	B1_R09_3_MC	B2_R09_3_MC	B3_R09_3_MC
157	R09_3_MD	R09_3	MD	B0_R09_3_MD	B1_R09_3_MD	B2_R09_3_MD	B3_R09_3_MD
158	R09_3_ME	R09_3	ME	B0_R09_3_ME	B1_R09_3_ME	B2_R09_3_ME	B3_R09_3_ME
159	R09_3_MF	R09_3	MF	B0_R09_3_MF	B1_R09_3_MF	B2_R09_3_MF	B3_R09_3_MF
160	R10_1_M8	R10_1	M8	B0_R10_1_M8	B1_R10_1_M8	B2_R10_1_M8	B3_R10_1_M8
161	R10_1_M9	R10_1	M9	B0_R10_1_M9	B1_R10_1_M9	B2_R10_1_M9	B3_R10_1_M9
162	R10_1_MA	R10_1	MA	B0_R10_1_MA	B1_R10_1_MA	B2_R10_1_MA	B3_R10_1_MA
163	R10_1_MB	R10_1	MB	B0_R10_1_MB	B1_R10_1_MB	B2_R10_1_MB	B3_R10_1_MB
164	R10_1_MC	R10_1	MC	B0_R10_1_MC	B1_R10_1_MC	B2_R10_1_MC	B3_R10_1_MC
165	R10_1_MD	R10_1	MD	B0_R10_1_MD	B1_R10_1_MD	B2_R10_1_MD	B3_R10_1_MD
166	R10_1_ME	R10_1	ME	B0_R10_1_ME	B1_R10_1_ME	B2_R10_1_ME	B3_R10_1_ME
167	R10_1_MF	R10_1	MF	B0_R10_1_MF	B1_R10_1_MF	B2_R10_1_MF	B3_R10_1_MF
168	R10_3_M8	R10_3	M8	B0_R10_3_M8	B1_R10_3_M8	B2_R10_3_M8	B3_R10_3_M8
169	R10_3_M9	R10_3	M9	B0_R10_3_M9	B1_R10_3_M9	B2_R10_3_M9	B3_R10_3_M9
170	R10_3_MA	R10_3	MA	B0_R10_3_MA	B1_R10_3_MA	B2_R10_3_MA	B3_R10_3_MA
171	R10_3_MB	R10_3	MB	B0_R10_3_MB	B1_R10_3_MB	B2_R10_3_MB	B3_R10_3_MB
172	R10_3_MC	R10_3	MC	B0_R10_3_MC	B1_R10_3_MC	B2_R10_3_MC	B3_R10_3_MC
173	R10_3_MD	R10_3	MD	B0_R10_3_MD	B1_R10_3_MD	B2_R10_3_MD	B3_R10_3_MD
174	R10_3_ME	R10_3	ME	B0_R10_3_ME	B1_R10_3_ME	B2_R10_3_ME	B3_R10_3_ME
175	R10_3_MF	R10_3	MF	B0_R10_3_MF	B1_R10_3_MF	B2_R10_3_MF	B3_R10_3_MF
176	R11_1_M8	R11_1	M8	B0_R11_1_M8	B1_R11_1_M8	B2_R11_1_M8	B3_R11_1_M8
177	R11_1_M9	R11_1	M9	B0_R11_1_M9	B1_R11_1_M9	B2_R11_1_M9	B3_R11_1_M9
178	R11_1_MA	R11_1	MA	B0_R11_1_MA	B1_R11_1_MA	B2_R11_1_MA	B3_R11_1_MA
179	R11_1_MB	R11_1	MB	B0_R11_1_MB	B1_R11_1_MB	B2_R11_1_MB	B3_R11_1_MB
180	R11_1_MC	R11_1	MC	B0_R11_1_MC	B1_R11_1_MC	B2_R11_1_MC	B3_R11_1_MC
181	R11_1_MD	R11_1	MD	B0_R11_1_MD	B1_R11_1_MD	B2_R11_1_MD	B3_R11_1_MD
182	R11_1_ME	R11_1	ME	B0_R11_1_ME	B1_R11_1_ME	B2_R11_1_ME	B3_R11_1_ME
183	R11_1_MF	R11_1	MF	B0_R11_1_MF	B1_R11_1_MF	B2_R11_1_MF	B3_R11_1_MF
184	R11_3_M8	R11_3	M8	B0_R11_3_M8	B1_R11_3_M8	B2_R11_3_M8	B3_R11_3_M8
185	R11_3_M9	R11_3	M9	B0_R11_3_M9	B1_R11_3_M9	B2_R11_3_M9	B3_R11_3_M9
186	R11_3_MA	R11_3	MA	B0_R11_3_MA	B1_R11_3_MA	B2_R11_3_MA	B3_R11_3_MA
187	R11_3_MB	R11_3	MB	B0_R11_3_MB	B1_R11_3_MB	B2_R11_3_MB	B3_R11_3_MB
188	R11_3_MC	R11_3	MC	B0_R11_3_MC	B1_R11_3_MC	B2_R11_3_MC	B3_R11_3_MC
189	R11_3_MD	R11_3	MD	B0_R11_3_MD	B1_R11_3_MD	B2_R11_3_MD	B3_R11_3_MD
190	R11_3_ME	R11_3	ME	B0_R11_3_ME	B1_R11_3_ME	B2_R11_3_ME	B3_R11_3_ME
191	R11_3_MF	R11_3	MF	B0_R11_3_MF	B1_R11_3_MF	B2_R11_3_MF	B3_R11_3_MF
192	R12_1_M8	R12_1	M8	B0_R12_1_M8	B1_R12_1_M8	B2_R12_1_M8	B3_R12_1_M8
193	R12_1_M9	R12_1	M9	B0_R12_1_M9	B1_R12_1_M9	B2_R12_1_M9	B3_R12_1_M9
194	R12_1_MA	R12_1	MA	B0_R12_1_MA	B1_R12_1_MA	B2_R12_1_MA	B3_R12_1_MA
195	R12_1_MB	R12_1	MB	B0_R12_1_MB	B1_R12_1_MB	B2_R12_1_MB	B3_R12_1_MB
196	R12_1_MC	R12_1	MC	B0_R12_1_MC	B1_R12_1_MC	B2_R12_1_MC	B3_R12_1_MC
197	R12_1_MD	R12_1	MD	B0_R12_1_MD	B1_R12_1_MD	B2_R12_1_MD	B3_R12_1_MD
198	R12_1_ME	R12_1	ME	B0_R12_1_ME	B1_R12_1_ME	B2_R12_1_ME	B3_R12_1_ME
199	R12_1_MF	R12_1	MF	B0_R12_1_MF	B1_R12_1_MF	B2_R12_1_MF	B3_R12_1_MF
200	R12_3_M8	R12_3	M8	B0_R12_3_M8	B1_R12_3_M8	B2_R12_3_M8	B3_R12_3_M8
201	R12_3_M9	R12_3	M9	B0_R12_3_M9	B1_R12_3_M9	B2_R12_3_M9	B3_R12_3_M9
202	R12_3_MA	R12_3	MA	B0_R12_3_MA	B1_R12_3_MA	B2_R12_3_MA	B3_R12_3_MA
203	R12_3_MB	R12_3	MB	B0_R12_3_MB	B1_R12_3_MB	B2_R12_3_MB	B3_R12_3_MB
204	R12_3_MC	R12_3	MC	B0_R12_3_MC	B1_R12_3_MC	B2_R12_3_MC	B3_R12_3_MC
205	R12_3_MD	R12_3	MD	B0_R12_3_MD	B1_R12_3_MD	B2_R12_3_MD	B3_R12_3_MD
206	R12_3_ME	R12_3	ME	B0_R12_3_ME	B1_R12_3_ME	B2_R12_3_ME	B3_R12_3_ME
207	R12_3_MF	R12_3	MF	B0_R12_3_MF	B1_R12_3_MF	B2_R12_3_MF	B3_R12_3_MF
208	R13_1_M8	R13_1	M8	B0_R13_1_M8	B1_R13_1_M8	B2_R13_1_M8	B3_R13_1_M8
209	R13_1_M9	R13_1	M9	B0_R13_1_M9	B1_R13_1_M9	B2_R13_1_M9	B3_R13_1_M9
210	R13_1_MA	R13_1	MA	B0_R13_1_MA	B1_R13_1_MA	B2_R13_1_MA	B3_R13_1_MA
211	R13_1_MB	R13_1	MB	B0_R13_1_MB	B1_R13_1_MB	B2_R13_1_MB	B3_R13_1_MB
212	R13_1_MC	R13_1	MC	B0_R13_1_MC	B1_R13_1_MC	B2_R13_1_MC	B3_R13_1_MC
213	R13_1_MD	R13_1	MD	B0_R13_1_MD	B1_R13_1_MD	B2_R13_1_MD	B3_R13_1_MD
214	R13_1_ME	R13_1	ME	B0_R13_1_ME	B1_R13_1_ME	B2_R13_1_ME	B3_R13_1_ME
215	R13_1_MF	R13_1	MF	B0_R13_1_MF	B1_R13_1_MF	B2_R13_1_MF	B3_R13_1_MF
216	R13_3_M8	R13_3	M8	B0_R13_3_M8	B1_R13_3_M8	B2_R13_3_M8	B3_R13_3_M8
217	R13_3_M9	R13_3	M9	B0_R13_3_M9	B1_R13_3_M9	B2_R13_3_M9	B3_R13_3_M9
218	R13_3_MA	R13_3	MA	B0_R13_3_MA	B1_R13_3_MA	B2_R13_3_MA	B3_R13_3_MA
219	R13_3_MB	R13_3	MB	B0_R13_3_MB	B1_R13_3_MB	B2_R13_3_MB	B3_R13_3_MB
220	R13_3_MC	R13_3	MC	B0_R13_3_MC	B1_R13_3_MC	B2_R13_3_MC	B3_R13_3_MC
221	R13_3_MD	R13_3	MD	B0_R13_3_MD	B1_R13_3_MD	B2_R13_3_MD	B3_R13_3_MD
222	R13_3_ME	R13_3	ME	B0_R13_3_ME	B1_R13_3_ME	B2_R13_3_ME	B3_R13_3_ME
223	R13_3_MF	R13_3	MF	B0_R13_3_MF	B1_R13_3_MF	B2_R13_3_MF	B3_R13_3_MF
