anchor_id	chart	group_id	carrier_id	mask_id	anchor_kind	u	q0	q1	q2	t	saved_float64_s	mpmath80_full_matrix_s_interval	mpmath80_full_matrix_s_lo	mpmath80_full_matrix_s_hi	mpmath80_det_g_interval	mpmath80_det_g_lo	mpmath80_det_g_hi	interval_sign	float64_sign	status
A14	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	V010_MD	V010	MD	NARROWEST_ABSOLUTE_NODE	9/16	1/16	9/16	3/8	17/128	-1.4915788803192796e-09	[-0.000000001491578880362097356084288041352660144750008595012447950329468101712010884055059565662, -0.000000001491578880362097356084288041352660144750008595012447950329468101712010884009949950973]	-1.4915788803620972e-09	-1.4915788803620972e-09	[-1.437816315250459702784450121124939307374222953427362085400675986736455907164268645103, -1.437816315250459702784450121124939307374222953427362085400675986736455907164268571308]	-1.4378163152504595	-1.4378163152504595	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A15	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	V013_ME	V013	ME	RISING_INTERFACE_BRACKET_NODE	5/16	5/16	7/16	1/4	7/128	8.1452014815138099e-08	[0.00000008145201481513787854151364304757620573241460799945928403506545799071969903700516029636, 0.00000008145201481513787854151364304757620573241460799945928403506545799071969903700572104836]	8.1452014815137874e-08	8.1452014815137874e-08	[-1.47910541421565011434513677773502014457850650214548006072169694003390503220533102931, -1.479105414215650114345136777735020144578506502145480060721696940033905032205330957623]	-1.4791054142156499	-1.4791054142156499	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A16	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	V016_MF	V016	MF	FALLING_INTERFACE_BRACKET_NODE	7/16	5/16	7/16	1/4	7/32	5.2410577484227301e-09	[0.000000005241057748422768076317011334030867169664509910607886880827404316895664083526770298624, 0.000000005241057748422768076317011334030867169664509910607886880827404316895664083526883930392]	5.2410577484227674e-09	5.2410577484227674e-09	[-1.47784067797821574363109690721089168059512704539112486057674103926725887884123637353, -1.477840677978215743631096907210891680595127045391124860576741039267258878841236284975]	-1.4778406779782156	-1.4778406779782156	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A17	J2_EVALUATED_COFIELD_BARYCENTRIC	R00_1_M8	R00_1	M8	BASE_FACE_MINIMUM_NODE	7/16	1/4	7/16	5/16	0	1.4552483001878259e-06	[0.000001455248300187821262081825193243671032328164241395512196444842640115529239422713449569, 0.000001455248300187821262081825193243671032328164241395512196444842640115529239422715723744]	1.4552483001878212e-06	1.4552483001878212e-06	[-1.46228458943422453155163160907002496514150922394738509672349705532567371644157514581, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575067797]	-1.4622845894342245	-1.4622845894342245	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A18	J2_EVALUATED_COFIELD_BARYCENTRIC	R01_3_M9	R01_3	M9	NARROWEST_ABSOLUTE_NODE	5/8	3/16	9/16	1/4	3/32	4.2852988875113972e-08	[0.00000004285298887493591550040260331519685277996321247058230771078258999822348144915914225711, 0.00000004285298887493591550040260331519685277996321247058230771078258999822348144925538380134]	4.2852988874935909e-08	4.2852988874935909e-08	[-1.447832104506001295796538520537813521363997792380332339017302405947968017996752994773, -1.447832104506001295796538520537813521363997792380332339017302405947968017996752910435]	-1.4478321045060012	-1.4478321045060012	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A19	J2_EVALUATED_COFIELD_BARYCENTRIC	R03_1_MA	R03_1	MA	FALLING_INTERFACE_BRACKET_NODE	3/4	1/4	7/16	5/16	1/16	4.7272148633724464e-07	[0.0000004727214863372320591099123902872290066734948327954867229489824118806078817823107093933, 0.0000004727214863372320591099123902872290066734948327954867229489824118806078817823148581035]	4.7272148633723204e-07	4.7272148633723204e-07	[-1.427013555959671345811107426134846120778109361443249622798148372493448679182544345601, -1.427013555959671345811107426134846120778109361443249622798148372493448679182544269697]	-1.4270135559596713	-1.4270135559596713	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A20	J2_EVALUATED_COFIELD_BARYCENTRIC	R04_3_MB	R04_3	MB	FALLING_INTERFACE_BRACKET_NODE	3/16	5/16	3/8	5/16	15/128	3.7478522645767183e-06	[0.00000374785226457661506506006074838473415678935892189406420097080038963894080187931260716, 0.000003747852264576615065060060748384734156789358921894064200970800389638940801879374916736]	3.7478522645766149e-06	3.7478522645766149e-06	[-1.463172498969706614607592343406328154917862107011987772896920027587405916343176949412, -1.463172498969706614607592343406328154917862107011987772896920027587405916343176858749]	-1.4631724989697066	-1.4631724989697066	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A21	J2_EVALUATED_COFIELD_BARYCENTRIC	R06_3_MC	R06_3	MC	BASE_FACE_MINIMUM_NODE	7/16	1/4	7/16	5/16	0	1.2102982097277155e-05	[0.00001210298209727710759788235519574618106524084002292515823709896779458666747793995959568, 0.00001210298209727710759788235519574618106524084002292515823709896779458666747793998041112]	1.2102982097277107e-05	1.2102982097277107e-05	[-1.462284589434224531551631609070024965141509223947385096723497055325673716441575141593, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575061472]	-1.4622845894342245	-1.4622845894342245	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A22	J2_EVALUATED_COFIELD_BARYCENTRIC	R08_1_MD	R08_1	MD	NARROWEST_ABSOLUTE_NODE	7/8	1/4	1/8	5/8	75/128	-4.0592451080144476e-10	[-0.0000000004059245106534242049469999263659920008977838277703708219358092191369192006200858266687, -0.0000000004059245106534242049469999263659920008977838277703708219358092191369192005127999772586]	-4.059245106534242e-10	-4.059245106534242e-10	[-1.424551642375540538948453589220414582389707671012979119686308622364715001363822058536, -1.424551642375540538948453589220414582389707671012979119686308622364715001363821984741]	-1.4245516423755404	-1.4245516423755404	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A23	J2_EVALUATED_COFIELD_BARYCENTRIC	R09_3_ME	R09_3	ME	FALLING_INTERFACE_BRACKET_NODE	3/4	1/4	7/16	5/16	1/16	4.2964399502344692e-06	[0.000004296439950234341534292439205952748750213428029218433409018358268618687019749153201584, 0.000004296439950234341534292439205952748750213428029218433409018358268618687019749191792179]	4.2964399502343413e-06	4.2964399502343413e-06	[-1.573415109234812033282849589652534401612959419690934713868674522210113153017932271553, -1.573415109234812033282849589652534401612959419690934713868674522210113153017932182999]	-1.5734151092348119	-1.5734151092348119	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A24	J2_EVALUATED_COFIELD_BARYCENTRIC	R11_1_MF	R11_1	MF	FALLING_INTERFACE_BRACKET_NODE	1/8	5/16	3/8	5/16	7/64	4.1538964862350181e-07	[0.0000004153896486234864017202518228671271152296846864536987455912790346762172145374985517167, 0.0000004153896486234864017202518228671271152296846864536987455912790346762172145375055974361]	4.1538964862348635e-07	4.1538964862348635e-07	[-1.459213198682837235990786317556954403645415653581695467665338706244654014401367194668, -1.459213198682837235990786317556954403645415653581695467665338706244654014401367118764]	-1.4592131986828372	-1.4592131986828372	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A25	J2_EVALUATED_COFIELD_BARYCENTRIC	R12_3_M8	R12_3	M8	BASE_FACE_MINIMUM_NODE	7/16	1/4	7/16	5/16	0	1.309723470169043e-05	[0.00001309723470169039135873642673919303929095347817255960976800358376103976315480442099786, 0.00001309723470169039135873642673919303929095347817255960976800358376103976315480444153983]	1.3097234701690391e-05	1.3097234701690391e-05	[-1.46228458943422453155163160907002496514150922394738509672349705532567371644157514581, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575067797]	-1.4622845894342245	-1.4622845894342245	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A26	J2_EVALUATED_COFIELD_BARYCENTRIC	R14_1_M9	R14_1	M9	NARROWEST_ABSOLUTE_NODE	9/16	0	3/4	1/4	1/8	-5.388184389632086e-10	[-0.0000000005388184389633119032137247112998508571986179195068789382167325733530982389800313808235, -0.0000000005388184389633119032137247112998508571986179195068789382167325733530982389442399000411]	-5.3881843896331189e-10	-5.3881843896331189e-10	[-1.466972878254562793283443746958669189163218206715529615985347402439545688497414206799, -1.466972878254562793283443746958669189163218206715529615985347402439545688497414126678]	-1.4669728782545626	-1.4669728782545626	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A27	J2_EVALUATED_COFIELD_BARYCENTRIC	R15_3_MA	R15_3	MA	FALLING_INTERFACE_BRACKET_NODE	1/8	5/16	3/8	5/16	15/128	-4.308483999804143e-06	[-0.000004308483999804319441563599882509150571132547192206638849374601039740433562097114537023, -0.00000430848399980431944156359988250915057113254719220663884937460103974043356209704434525]	-4.3084839998043192e-06	-4.3084839998043192e-06	[-1.450394295505958622958814541088259188355445866145328793642619636839560900252432312037, -1.450394295505958622958814541088259188355445866145328793642619636839560900252432229808]	-1.4503942955059586	-1.4503942955059586	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A28	J2_EVALUATED_COFIELD_BARYCENTRIC	V003_MB	V003	MB	FALLING_INTERFACE_BRACKET_NODE	1/4	5/16	3/8	5/16	17/128	4.2955413747489569e-06	[0.000004295541374748710347303147437943875285952917130319165726738274391512152742646493096784, 0.000004295541374748710347303147437943875285952917130319165726738274391512152742646579961818]	4.2955413747487095e-06	4.2955413747487095e-06	[-1.495902847905561097059986705014118497879346689849657429756889931618782295382544293194, -1.495902847905561097059986705014118497879346689849657429756889931618782295382544208856]	-1.4959028479055609	-1.4959028479055609	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A29	J2_EVALUATED_COFIELD_BARYCENTRIC	V007_MC	V007	MC	BASE_FACE_MINIMUM_NODE	7/16	1/4	7/16	5/16	0	7.1676024428027255e-06	[0.000007167602442802701671337033544079168170363416071776791442738712219721731172913531111353, 0.000007167602442802701671337033544079168170363416071776791442738712219721731172913542146429]	7.1676024428027009e-06	7.1676024428027009e-06	[-1.462284589434224531551631609070024965141509223947385096723497055325673716441575139484, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575063581]	-1.4622845894342245	-1.4622845894342245	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A30	J2_EVALUATED_COFIELD_BARYCENTRIC	V010_MD	V010	MD	NARROWEST_ABSOLUTE_NODE	5/16	3/16	7/16	3/8	3/128	8.4923897851176206e-09	[0.00000000849238978512972306989178384616424604584966369720800914209697881760694799015946530903, 0.000000008492389785129723069891783846164246045849663697208009142096978817606947990180516632864]	8.4923897851297222e-09	8.4923897851297222e-09	[-1.412161094866828491558395837307206465741936094867246850400287893172786454839161470978, -1.412161094866828491558395837307206465741936094867246850400287893172786454839161388749]	-1.4121610948668284	-1.4121610948668284	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A31	J2_EVALUATED_COFIELD_BARYCENTRIC	V013_ME	V013	ME	FALLING_INTERFACE_BRACKET_NODE	1/16	5/16	3/8	5/16	13/128	2.2379280024576366e-07	[0.0000002237928002457627175494909119286023541152999565572844838417146812517099679328115458783, 0.0000002237928002457627175494909119286023541152999565572844838417146812517099679328150257579]	2.2379280024576271e-07	2.2379280024576271e-07	[-1.47000569240666627207693397905126233693883689754307122861687245060084594975986066641, -1.470005692406666272076933979051262336938836897543071228616872450600845949759860582073]	-1.4700056924066662	-1.4700056924066662	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A32	J2_EVALUATED_COFIELD_BARYCENTRIC	V016_MF	V016	MF	FALLING_INTERFACE_BRACKET_NODE	1/4	5/16	3/8	5/16	1/8	-5.297463716992409e-09	[-0.0000000052974637169929154868360014489074891433235047219197304036788452423268202785853003863, -0.000000005297463716992915486836001448907489143323504721919730403678845242326820278585178483691]	-5.2974637169929152e-09	-5.2974637169929152e-09	[-1.418577324642350552805667436533518696863726058689752033420114312416677486999259567641, -1.418577324642350552805667436533518696863726058689752033420114312416677486999259491737]	-1.4185773246423505	-1.4185773246423505	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A33	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	V015_ME	V015	ME	GLOBAL_NARROWEST_L2_NODE	1	3/16	1/8	11/16	41/64	-2.5217916337495587e-12	[-0.000000000002521791635459066431922096610744829707015150173203794882496320330037299436868043580476, -0.000000000002521791635459066431922096610744829707015150173203794882496320330037299434834753088344]	-2.5217916354590664e-12	-2.5217916354590664e-12	[-1.50085266993991808729797687762823725968858626114656099428042690585201126651924504942, -1.500852669939918087297976877628237259688586261146560994280426905852011266519244956649]	-1.5008526699399181	-1.5008526699399181	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A34	J2_EVALUATED_COFIELD_BARYCENTRIC	V016_MF	V016	MF	GLOBAL_NARROWEST_L2_NODE	1/2	3/16	3/8	7/16	15/128	2.5440018662422018e-12	[0.00000000000254400186538375935700445745802008769313763922024792138377868033889372655029474032103, 0.000000000002544001865383759357004457458020087693137639220247921383778680338893726550624837840784]	2.5440018653837591e-12	2.5440018653837591e-12	[-1.471080143293641851993329063896409372335711538200427854473205552043068134284654017986, -1.471080143293641851993329063896409372335711538200427854473205552043068134284653929432]	-1.4710801432936418	-1.4710801432936418	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
