sha256	git_ref	path	role
1b7606e864157f4a0941b32b6d6f93528bcd4bc739ddc22db4d92d23b754fc09	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AUDIT_REPORT.md	banked G176-G177 evidence
4ee51a8c57a97edb17cab5bd0db592186819be51844563d43491dcd87735dbed	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AUDIT_RESULT.json	banked G176-G177 evidence
11d74a33a00da296a1dba5eebf5b74b7ce3e3388bede783c33c0d929820f3890	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/EVIDENCE_GATES.md	banked G176-G177 evidence
3e091df2d8582a8c48ef30bace1ed3cac79e9488db1dbf7fe2a3102e4d789b37	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/EXACT_DEPENDENCY_AUDIT.md	banked G176-G177 evidence
cf2fe35a7b8df9019d1baaef912d2f15e276a07e9fa81f5218a5a34260a719b3	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/INDEPENDENT_RECONSTRUCTION.json	banked G176-G177 evidence
6cb2121aaff9a70641e2373490e41ed5eeed476dd4288071b391a9ac0793606f	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/LAY_REPORT.md	banked G176-G177 evidence
0982f0ca0d73e33f547024a958ccfc150635c57d218b0255bb1e2cf16ac87509	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/LOAD_BEARING_DEPENDENCY.tsv	banked G176-G177 evidence
1e7cd35b5143e5ce1a58b666b5aaaeb7f57cc460aa5281f04fb54d579547054a	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/PREREGISTRATION.md	banked G176-G177 evidence
81967d95cb7deab99f196d2ac2de6663824cade639e2e5b7105ffa23f689344f	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/SCAFFOLD_DELETION_CATCHES.json	banked G176-G177 evidence
c8d0216b72a638892f138119c18d85c72aec94fb1a83236d65a93f25dc8cc2fd	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/SOURCE_MANIFEST.tsv	banked G176-G177 evidence
69592be0f822d2e784b2f46fd8abdc35ff20dd9249a148a35e90e3a6db0e3b1d	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/SOURCE_SCOPE_CLARIFICATION.md	banked G176-G177 evidence
5c2af5c1348c4c378c1436c5ff66dc3d6f14d05cd4aa47383ad343e7c3dedcaf	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/STATUS_LEDGER.tsv	banked G176-G177 evidence
bc18291f22aa5f58642891977d024f2b6849adb4ccaadc922666df700f8674a4	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/VERIFICATION_RESULT.json	banked G176-G177 evidence
d44717b6ae151943444e89845a5a038341446aebd434e0f76494211bce0b7205	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/audit_scaffolding_dependencies.py	banked G176-G177 evidence
1f299cdf85428cc09e6b34cdc847da2741437b67c48ad969978b69aa979a4fec	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/verify_scaffold_audit.py	banked G176-G177 evidence
fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	b5aa4af6	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	upstream source declared by G176-G177
