top_group	tracked_paths	hit_files	match_count	rule_ids	audit_report	audit_report_sha256	first_commit	first_commit_date	last_commit	last_commit_date	scientific_disposition
matter_bootstrap_dimensional_inventory_2026-07-20	33	8	1883	D03;D04;D05;D06	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	521f6b1e80ea7d7cd1a3993fe4873f4b8dc5e4eee7f586924a5813bad78ac966	f571842106f0a341e2b8db4e7dd64fc3e4ac03cc	2026-07-20T00:37:44-04:00	f571842106f0a341e2b8db4e7dd64fc3e4ac03cc	2026-07-20T00:37:44-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
metric_cartan_holonomy_audit_2026-07-19	22	18	195	D03;D04;D05;D06	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc	35a7423e018e67c1aa02aef8932d0c92f036bd4b	2026-07-19T17:58:51-04:00	35a7423e018e67c1aa02aef8932d0c92f036bd4b	2026-07-19T17:58:51-04:00	SIX_GATE_SOURCE
native_action_arm_c_2026-07-18	22	7	1005	D03;D04;D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
native_action_final_adjudication_2026-07-18	37	7	12	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
native_action_stage1_2026-07-18	46	13	133	D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
native_action_stage2_2026-07-18	28	10	3258	D03;D04;D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
native_action_sync_audit_2026-07-17	19	18	613	D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
native_boundary_generator_scale_audit_2026-07-19	33	15	75	D03;D04;D05;D06	native_boundary_generator_scale_audit_2026-07-19/AUDIT_REPORT.md	166acf07be128afc328e8b75cc70b17e53fba4dee9d7d5f77a8ea116d5437c93	674641832fe449c6fbe4a1a8ae6e6d949fd686cc	2026-07-19T23:16:50-04:00	674641832fe449c6fbe4a1a8ae6e6d949fd686cc	2026-07-19T23:16:50-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
native_hopfion_topology_audit_2026-07-19	15	11	1034	D03;D06	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	2934c5378fdffd239f86dc270184c3190c41b881	2026-07-19T11:40:27-04:00	2934c5378fdffd239f86dc270184c3190c41b881	2026-07-19T11:40:27-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
null_section_hopfion_metric_audit_2026-07-19	17	12	54	D04;D05;D06	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	cc7b08381281fa104661df5b6af9fb030cabac95	2026-07-19T13:22:26-04:00	cc7b08381281fa104661df5b6af9fb030cabac95	2026-07-19T13:22:26-04:00	SIX_GATE_SOURCE
projective_position_direction_magnitude_correction_2026-07-19	21	15	39	D04;D05;D06	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	7a3eb776ebbc4aafb692a142a503a19fd723f0436b384292888ddcfbcc67de21	d88e6fabd209e81f7c0ba0ef7e1743663bb1106e	2026-07-19T20:44:51-04:00	d88e6fabd209e81f7c0ba0ef7e1743663bb1106e	2026-07-19T20:44:51-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
projective_position_join_audit_2026-07-19	21	13	24	D04;D05;D06	projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	8db9b5063ff3109f8c332644052b72e630e0268bc4693191300527bd731601f1	86874cb8482fc2a29bfc53251c3bcf4160eda4ed	2026-07-19T20:17:34-04:00	86874cb8482fc2a29bfc53251c3bcf4160eda4ed	2026-07-19T20:17:34-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
projective_transport_section_selector_2026-07-19	19	15	218	D03;D04;D05;D06	projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	e111efd8413a7289279bf868cd0fc79359a4378160815597d94388876d53508f	e76d748881e6a091ce367a4c11db640700724bfb	2026-07-19T15:55:10-04:00	e76d748881e6a091ce367a4c11db640700724bfb	2026-07-19T15:55:10-04:00	SIX_GATE_SOURCE
prototype	14	5	45	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
reciprocal_c_clock_channel_correction_2026-07-19	21	5	7	D04;D05;D06	reciprocal_c_clock_channel_correction_2026-07-19/AUDIT_REPORT.md	57de584c7429fce9b8e352fc6bb7fc0cce552c384ca425d45ee581ae378d3b80	3b6dedf9bd2692b0ff5ba9e871d7952cf8752aad	2026-07-19T21:02:02-04:00	3b6dedf9bd2692b0ff5ba9e871d7952cf8752aad	2026-07-19T21:02:02-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
reciprocal_clock_optical_scale_selector_2026-07-19	16	7	10	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
reciprocal_line_realization_selector_2026-07-18	15	11	27	D03;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
reciprocal_metric_null_line_selector_2026-07-19	19	14	95	D04;D05;D06	reciprocal_metric_null_line_selector_2026-07-19/AUDIT_REPORT.md	12b6b33c51dcd0ad838cfe8e664cd46eb975358e305b6b713fed4df12d4a4d71	58a3fa8dbc7b4cb7de55313efc361194fdc65114	2026-07-19T16:28:28-04:00	58a3fa8dbc7b4cb7de55313efc361194fdc65114	2026-07-19T16:28:28-04:00	SIX_GATE_SOURCE
reciprocity_offshell_constraint_selector_2026-07-18	12	5	6	D03;D04;D05	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
reorganization_r0	16	4	102	D03;D04;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1_checkpoint	8	2	3	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1a	48	18	1033	D03;D04;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1b	58	29	26211	D03;D04;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1c	21	5	11	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1d	14	4	68	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1e	21	6	11	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1f	40	6	277	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1f_checkpoint	16	4	12	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1g	26	13	456	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
reorganization_r1h	13	8	87	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	REORGANIZATION_FORENSIC_RECORD
rescued_workspaces	414	110	550	D03;D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PROVENANCE_OR_HISTORICAL_ONLY
research	25	11	594	D03;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_REFERENCE_OR_REVIEW
rung2_weld_postjuly_regrade_2026-07-19	22	17	261	D05;D06	rung2_weld_postjuly_regrade_2026-07-19/AUDIT_REPORT.md	9046a0f9a5884cdd0a0394105d4b8228260aa5890a7278297998f82ba89e0106	ec24c135212d3121e2d5903a29ec669f0b8a982a	2026-07-19T17:27:26-04:00	ec24c135212d3121e2d5903a29ec669f0b8a982a	2026-07-19T17:27:26-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
scale_breaking_closure_census_2026-07-20	30	11	1820	D03;D04;D05;D06	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	f3cca19566a1ae3653e28e4e015039623c8be2ec7454b2e12a9859bcca45c67b	ab099c9c642d68049cfc4810fd709df638ce591c	2026-07-20T00:19:27-04:00	ab099c9c642d68049cfc4810fd709df638ce591c	2026-07-20T00:19:27-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
scratchpad	27	3	11	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
tests	11	6	9	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CONTROL_OR_TEST_SUPPORT
transverse_reciprocal_realization_selector_2026-07-19	19	12	68	D03;D05;D06	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	567994f42ecf608b4d5015d46cb6746067f24d29219a1c5ac9c460c8fd156745	75c62d1a357821d4957588e640ba03f0bc0f285e	2026-07-19T15:33:23-04:00	75c62d1a357821d4957588e640ba03f0bc0f285e	2026-07-19T15:33:23-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_alpha_plane_selector_theorem_2026-07-28	8	6	32	D03;D06	udt_alpha_plane_selector_theorem_2026-07-28/AUDIT_REPORT.md	50968038d3b0b2a2083f89f81db55b9cd9afc0d24c3ec104f76c4b6f6311967f	6cd9a15f8ae432ae53b21de0c7f8b9bdb3b1eb17	2026-07-28T16:32:22-04:00	6cd9a15f8ae432ae53b21de0c7f8b9bdb3b1eb17	2026-07-28T16:32:22-04:00	SIX_GATE_SOURCE
udt_amplitude_volume_metric_atlas_2026-07-21	33	9	41	D03;D04;D05;D06	udt_amplitude_volume_metric_atlas_2026-07-21/AUDIT_REPORT.md	b6a5d34a90e03e6d6e02c91d9d929406ca95dd756e8a295e9854d99360e69f78	9e47c13c40024df39ed2612724fd9b5f5104c442	2026-07-21T16:29:15-04:00	9e47c13c40024df39ed2612724fd9b5f5104c442	2026-07-21T16:29:15-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_angular_bulk_jacobi_selector_audit_2026-07-23	41	15	38	D03;D04;D05;D06	udt_angular_bulk_jacobi_selector_audit_2026-07-23/AUDIT_REPORT.md	bf4c74e911fbade7260de12b6f33394b4047105c510fa4c01b08417cbdb18502	968cf2682c69a0eb4192ed21ece38ba7fb986ebc	2026-07-23T13:45:02-04:00	968cf2682c69a0eb4192ed21ece38ba7fb986ebc	2026-07-23T13:45:02-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_angular_generator_branch_census_2026-07-23	37	16	106	D03;D04;D05;D06	udt_angular_generator_branch_census_2026-07-23/AUDIT_REPORT.md	cb7c23006f3cc64b0496f05933ef746b5bf381c8a65c8ea20e87f1a8967a60cb	1d8851e433b6638b43bd7a2b28abb04a8415eaaa	2026-07-23T12:55:47-04:00	1d8851e433b6638b43bd7a2b28abb04a8415eaaa	2026-07-23T12:55:47-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_bank_simplex_interior_atlas_2026-07-23	43	5	17	D03;D04;D06	udt_bank_simplex_interior_atlas_2026-07-23/AUDIT_REPORT.md	f7c7d5e1a1bfe78db83f2f2944131cf1a4d15777c6f5c5c025bd6550caaeff2d	9373c1563378665f2585359bf16e2f019398abc3	2026-07-23T08:12:21-04:00	9373c1563378665f2585359bf16e2f019398abc3	2026-07-23T08:12:21-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_bootstrap_clock_angular_closure_audit_2026-07-24	37	19	101	D03;D04;D05;D06	udt_bootstrap_clock_angular_closure_audit_2026-07-24/AUDIT_REPORT.md	d1950defd5397be0d75bbcbb4c747e8e4969852c1ed73840d9402824de169551	7bd279388be38471b6dd77d1d95a59423b1f7e86	2026-07-24T17:36:16-04:00	7bd279388be38471b6dd77d1d95a59423b1f7e86	2026-07-24T17:36:16-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_bootstrap_closure_ownership_audit_2026-08-01	40	13	76	D04;D05;D06	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	25e98f0d6c8022045b9b6b8aceb33bbbe7910c0f411ee094b5a1f033e2e914bd	9fe5202e86627aa47a5200ea776dcb468a6531f6	2026-08-01T13:38:56-04:00	9fe5202e86627aa47a5200ea776dcb468a6531f6	2026-08-01T13:38:56-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_bootstrap_substrate_micro_closure_audit_2026-07-23	27	19	60	D03;D04;D05;D06	udt_bootstrap_substrate_micro_closure_audit_2026-07-23/AUDIT_REPORT.md	ed33cd7a8fe21fe8619f2a6ba3b632d5b76e79da1cd3b8be18540fb88a4f9856	15b1f1d8c154acfebf6b01b7aaf042d735ad0c6e	2026-07-23T23:16:32-04:00	15b1f1d8c154acfebf6b01b7aaf042d735ad0c6e	2026-07-23T23:16:32-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_bootstrap_to_local_response_map_audit_2026-07-25	37	12	22	D04;D05;D06	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	38b697ee11a2873b8ff8bd9ba4f9940d98a70c2053a6e4440d4b925c491fa92e	0a7f85d573b9ef967106783f305307cb953db372	2026-07-25T22:51:21-04:00	0a7f85d573b9ef967106783f305307cb953db372	2026-07-25T22:51:21-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26	37	27	117	D03;D04;D05;D06	udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	57969ad46584e58ccb1eb61a45f61237874c8c8114f9d8e038d77bde5bea9a37	c40f4d7734eaeec2f51422bd30dc1f5c27284d41	2026-07-26T17:07:30-04:00	c40f4d7734eaeec2f51422bd30dc1f5c27284d41	2026-07-26T17:07:30-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_canonical_geometry_evaluator_p01_2026-07-21	26	6	15	D03;D04;D06	udt_canonical_geometry_evaluator_p01_2026-07-21/AUDIT_REPORT.md	32d173e755f4b9b0bc6add8971562f5e7202fa75abd7b84964f1a0fe695c4f72	53aaf9b99537b37a114f0371a94816dd1c1c49c4	2026-07-21T10:02:07-04:00	53aaf9b99537b37a114f0371a94816dd1c1c49c4	2026-07-21T10:02:07-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
