arm_or_record	source_file	exact_locator	hidden_premise_or_import	effect	controller_verdict	repair_status
Arm B	/stage1/arm_B/cold_output/D0_D5.md	D2.4 Step 16 lines 280-288	Conventional covariant S2 action was imported as a mathematical completion with the wrong overall sign for the stated static-energy convention.	Fails to reduce to minus positive E2+E4.	ACTUALLY-CHOSEN	Repaired explicitly in Stage-II B D6.5 lines 134-166.
Arm B	/stage1/arm_B/cold_output/D0_D5.md	D2.4 Step 17 lines 314-323	Foliation electric quartic sign was written so gamma=+kappa4 would not match the covariant completion.	Creates an incorrect off-static coefficient mapping if conventional signs are assumed.	ACTUALLY-CHOSEN	Repaired in Stage-II B: gamma=-kappa4 as written or flip the term sign.
Arm B	/stage1/arm_B/cold_output/D0_D5.md	D2.5 lines 363-376	Analyticity near phi=X=0 is added for linearization.	Provides a branch weak-field expansion not forced by foundation.	ACTUALLY-CHOSEN	Explicitly disclosed as extra premise.
Arm B	/stage2/arm_B/D6_RETURN/D6.md	D6.3 item 5 lines 74-75	Unresolved full Q1 is treated as necessarily prior to every static mass readout.	Overstates a current failure as a general impossibility.	UNDETERMINED	Not repaired; a shared static-sector theorem remains logically possible.
Historical record	/packet/udt_field_equations_derivation_results.md	sections 4c and 8, lines 315-345	Einstein-form equations, Schwarzschild/Birkhoff vacuum and a matter exponent are used as the structural frame.	Would canonize GR curvature equations and relocate all novelty to matter without native action derivation.	IMPORT	Historical/superseded for native forcing; valid only as comparison/conditional GR-form branch.
Historical record	/packet/native_geometric_action_results.md	lines 38-52	Restricted-family EH being a total derivative is used rhetorically to call EH the wrong native action.	Conflates empty restrict-then-vary bulk EL with exclusion of unrestricted EH.	CIRCULAR	Later noncold record repairs this: EH not excluded, only a distinct conditional domain.
Historical record	/packet/native_geometric_action_results.md	lines 60-67	Angular-flatness, local quadratic invariant inventory, same weight and no derivative mixing are assumed.	Produces class-scoped uniqueness of K_AB K^AB-K^2.	ACTUALLY-CHOSEN	Premises named; uniqueness does not extend outside class.
Historical record	/packet/simple_metric_S9_native_action_honesty_results.md	lines 109-123	Einstein equations are imposed on an ansatz after the reduced EH EL is empty.	If called derived, this restores discarded normal equations by GR import.	IMPORT	File honestly calls it a different E-primary package and leaves native status open.
Historical record	/packet/w_alg_verifier_scripts/UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	premise ledger lines 25-53	EH, minimal physical-metric S2 coupling and unrestricted metric variation.	Forces rho+S=2rho4 and the lapse source only on that branch.	ACTUALLY-CHOSEN	Correctly conditional; not a returned derivation.
Historical record	/packet/w_alg_verifier_scripts/UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	boundary lines 358-370	Asymptotic flatness and N to 1 are used in a local-room mass test.	Conflicts with using spatial infinity as complete native finite-cell input.	IMPORT	Legitimate scoped comparison only; inadmissible as full global UDT completion.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_DERIVATION_RESULTS.md	lines 54-67	Metric-only, locality/covariance, parity-even, no length, lowest nontrivial order and unrestricted variation.	Yields unique-conditional C2 bulk.	ACTUALLY-CHOSEN	Named conditional premises; no smuggle if scope retained.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_DERIVATION_RESULTS.md	lines 186-225 and 540-549	Strong frame-neutrality plus Lovelock minimality and flat-vacuum reading.	Yields unique-conditional EH and may remove Lambda.	ACTUALLY-CHOSEN	Named as conditional; representative/CSN and boundary remain open.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_DERIVATION_RESULTS.md	lines 209-229	A multiplier is tempted to restore unrestricted Einstein normal equations on the reciprocal surface.	Would claim equivalence of constrained and unrestricted variation.	CIRCULAR	Explicitly refuted and repaired: multiplier gives only the empty tangent equation.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_DERIVATION_RESULTS.md	lines 223-300	The Euler 4/X term is read on a one-copy WR-L endpoint.	Can create a preferred charge from a topology/domain choice.	ACTUALLY-CHOSEN	Regraded conditional; exact quotient and matched-interface branches remain open.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_DERIVATION_RESULTS.md	lines 167-218	WR-L static patch is treated as the complete cell to compute density/volume.	Could identify a conditional patch volume with the native global proper volume.	ACTUALLY-CHOSEN	Explicitly conditional; full time-live volume and boundary remain open.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_DERIVATION_RESULTS.md	lines 273-344	Riemannian state-cost class, exact additivity, locality and isotropy are added.	Selects a quadratic tangent norm/action only within the chosen class.	ACTUALLY-CHOSEN	File labels full action not derived.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_DERIVATION_RESULTS.md	lines 74-226	A first-gradient F(Y) action class is treated in an inverse variational test.	Generates a class-scoped no-go/regularity failure.	ACTUALLY-CHOSEN	Escape routes curvature, higher derivative, boundary and global remain explicit.
Historical record	/packet/archive/native_action_chat_2026-07-14_15/README.md	lines 9-18	Successful verifier outputs could otherwise be mistaken for premise or canon verification.	Would promote algebra into physics authority.	CIRCULAR	Repaired by binding README firewall; all Arm-C uses retain it.
