claim_id	source_file	locator	normalized_claim	original_status	verdict	indicted_step	foundation_coverage	strongest_counterderivation	cas_evidence	closure_needed	notes
A-S2-02	/stage1/arm_A/cold_output/D0_D5.md	D2.3 Step C3, lines 313-330	Independent foliation time coefficients give the same static energy.	CHOSEN	ACTUALLY-CHOSEN	Preferred foliation, lapse/shift rule, time reversal and coefficient signs are choices; stability and solutions are unchecked.	Static gate covered; covariance/CSN/global/boundary gates incomplete.	Covariance fixes a2=xi and a4=kappa4 only after the covariant action is selected.	cas_armc_carrier_covariance.py.	A native time-live/foliation principle and well-posed solution.	Valid restriction-kernel witness, not a complete-foundation theory.
A-Q3-01	/stage1/arm_A/cold_output/D0_D5.md	D2.4 Step Q1 and D4.3, lines 336-338, 460-465	No native finite-cell gravitational charge/mass is determined.	UNDERDETERMINED	UNDETERMINED	Strongest attack via EH Hamiltonian/Lovelock fails because representative, boundary primitive, reference and normalization are unforced.	Finite-cell discipline covered; no full action/source/generator.	Conditional EH plus GHY/covariant-phase-space data could define a charge without selecting all other actions.	cas_armc_boundary_charge.py.	Selected differentiable action, symmetry, subtraction, normalization and solution.	A raw scalar flux is not yet gravitational mass.
A-Q3-02	/stage1/arm_A/cold_output/D0_D5.md	D2.4 Steps Q2-Q4, lines 340-410	The p=4 branch has an exact finite-cell source flux and cubic weak-amplitude leading term.	CHOSEN / ALLOWED-FAMILY	ACTUALLY-CHOSEN	Action, source convention, reciprocal spherical representative and independent-field variation are chosen; no full global solution is shown.	Local exact equation and error bound covered; global bootstrap and mass interpretation excluded.	A second-order branch would have a linear limit, so kinematics alone fixes neither.	Arm-A cas_radial_flux; cas_armc_unique_action_weights.py confirms only weight.	Select action/coupling and prove finite-cell solution/error norm.	Useful no-go against forced Poisson behavior, conditional on candidate admissibility.
B-KIN-01	/stage1/arm_B/cold_output/D0_D5.md	D2.1 and D4.1, lines 113-154, 426-427	Dual Reciprocity forces uv=1 and composition plus regularity gives exponentials.	FORCED / CONDITIONAL	CONFIRMED-FORCED	Same qualifications as A-KIN-01/02.	Kinematic gates complete within supplied formalization.	No full-ledger nontrivial alternative found.	Arm-B four kinematic scripts.	Specify regularity axiom.	Survives.
B-CSN-01	/stage1/arm_B/cold_output/D0_D5.md	D2.2, lines 158-178	The representative metric product is not CSN invariant.	FORCED-BY	CONFIRMED-FORCED	No defect; under g to Omega^2 g the product gains Omega^4.	CSN representative distinction covered.	No counterderivation.	Arm-B cas_metric_product_and_csn.	None.	Does not invalidate the chosen representative identity.
B-ACT-01	/stage1/arm_B/cold_output/D0_D5.md	D2.3 and D4.1, lines 191-255, 428-431	Local second-order, higher-derivative and nonlocal examples defeat unique action/order/measure/boundary.	UNDERDETERMINED / ALLOWED-FAMILY	UNDETERMINED	Examples choose a representative/measure/kernel and do not establish complete equations, finite-cell boundary data, nontrivial solutions or global gates.	Structural alternatives covered; complete-foundation admissibility incomplete.	Conditional C^2 and EH theorems narrow named classes but require unforced premises.	cas_armc_unique_action_weights.py; cas_armc_boundary_charge.py.	Complete at least two globally admissible theories or add a selector.	Conclusion survives as non-entailment, not as a solved countermodel theorem.
B-VAR-01	/stage1/arm_B/cold_output/D0_D5.md	D2.3 Step 13, lines 250-255	Reduced variation is separate unless equivalence to full variation is proved.	FORCED-BY	CONFIRMED-FORCED	None; constraint tangent equations generally lose normal equations.	Variation-order gate covered.	Multiplier variation also retains only a projected equation unless extra conditions hold.	cas_armc_variation_domain.py.	A continuum equivalence theorem for the selected action/domain.	Survives.
B-CAR-01	/stage1/arm_B/cold_output/D0_D5.md	D2.4 and D4.2, lines 259-339, 437-441	Carrier and 4D completion are underdetermined.	UNDERDETERMINED	UNDETERMINED	Conclusion survives; concrete S_rel/S_fol witnesses were chosen and one had sign/mapping errors later repaired.	Static restriction covered; CSN, boundary, solution, global gates incomplete.	Minimal covariance attacks completion freedom but is unforced and does not fix carrier.	cas_armc_carrier_covariance.py.	Derive carrier and full time-live action.	D6 correction preserves the meta-conclusion.
B-SREL-01	/stage1/arm_B/cold_output/D0_D5.md	D2.4 Step 16, lines 275-310	S_rel as written is a covariant completion of positive static E2+E4.	CHOSEN	ACTUALLY-CHOSEN	Exact error: with (-,+,+,+) and E=-integral L_static, the displayed action omitted the overall minus sign.	Fails its own static-reduction sign until D6 correction; other foundation gates also open.	Corrected S_rel remains one conditional completion.	cas_armc_carrier_covariance.py; Stage-II B convention script.	Use corrected sign and finish CSN/boundary/solution gates.	Repaired only in D6; frozen Stage-I formula remains wrong.
B-SFOL-01	/stage1/arm_B/cold_output/D0_D5.md	D2.4 Step 17, lines 312-330	S_fol is distinct and can map to the covariant completion with positive coefficients.	CHOSEN	ACTUALLY-CHOSEN	Static spatial signs are correct; off-static electric sign maps to gamma=-kappa4 as written, or the term sign must flip for gamma=+kappa4.	Static gate passes; time-live sign/stability and full gates incomplete.	Corrected foliation mapping remains a distinct kernel member.	cas_armc_carrier_covariance.py; Stage-II B convention script.	Native time-sector and stability rule.	D6 identifies the exact repair.
B-Q3-01	/stage1/arm_B/cold_output/D0_D5.md	D2.5 and D4.3, lines 343-376, 447-451	Parity is fixed but bulk equation, mass and weak readout are branch-dependent.	FORCED plus UNDERDETERMINED	UNDETERMINED	Parity part is confirmed forced; mass/operator classification remains undetermined and the analytic example adds analyticity.	Finite-cell/parity covered; action/source/generator absent.	Conditional EH can supply a branch charge but not foundation uniqueness.	cas_armc_boundary_charge.py.	Exact selected action and controlled solution.	Mixed row: forced parity does not force charge.
D6A-AUD-01	/stage2/arm_A/D6_RETURN/D6.md	D6.2, lines 83-121	Historical packet confirms all major D0-D5 underdetermination conclusions.	CONFIRMS / NO-CHANGE	UNDETERMINED	Census is comprehensive, but confirmation sometimes relies on conditional/incomplete historical candidates rather than complete-foundation models.	Historical statuses covered; global admissibility not established.	Conditional unique C^2 is the strongest historical attack and fails at added premises.	cas_armc_unique_action_weights.py.	Same closure as A-ACT-01.	No silent historical authority is accepted.
D6A-COV-01	/stage2/arm_A/D6_RETURN/D6.md	D6.3 Steps 1-6, lines 125-196	Covariance of a chosen minimal carrier gives rho+S=2rho4 but does not force carrier-to-dilation weight.	CONDITIONAL theorem; forced-source refuted	UNDETERMINED	Stress identity survives; generic weights demonstrate freedom only after their CSN/representative admissibility is specified.	Minimal action algebra covered; weight, carrier, variation and global gates open.	Exact CSN plus weight-zero n allows F2 but not constant L2, producing compensator/post-scale alternatives rather than one weight.	cas_armc_carrier_covariance.py.	Derive field weights, representative, time sector and variation domain.	The source underdetermination survives.
D6A-COV-02	/stage2/arm_A/D6_RETURN/D6.md	D6.3 Step 5, lines 184-192	Independent metric variation, independent phi variation and constrained g(phi) variation give different sources.	Not interchangeable	CONFIRMED-FORCED	None; this is a chain-rule/variation-domain fact.	Variation domain explicitly separated.	Multiplier and normal-equation branches also differ.	cas_armc_variation_domain.py; cas_armc_carrier_covariance.py.	Equivalence theorem if a particular route is claimed.	Survives.
D6A-PRIOR-01	/stage2/arm_A/D6_RETURN/D6.md	D6.3 Step 7, lines 198-200	The static mass readout cannot precede resolution of full Q1.	No-go	UNDETERMINED	It proves current historical ingredients do not supply the needed source/generator; it does not prove that some branch-specific equation and finite-cell charge rule could not be derived while action uniqueness remains open.	Current source/action gates fail; logical impossibility not established.	A nonunique family can share one sourced static equation/charge sector, making Q1 open but the scoped readout unique.	No CAS can certify the no-go; variation script shows only route inequivalence.	Derive or exclude a common static sector across action families.	Controller explicitly allowed this priority possibility; the stronger impossibility wording overreaches.
D6A-MASS-01	/stage2/arm_A/D6_RETURN/D6.md	D6.4 Tests 1-3, lines 202-276	EH-conditional M0=2E4; finite cell M0=Ecarrier+B+W; equality to Ecarrier only under separate closure.	CONDITIONAL / OPEN	CONFIRMED-FORCED	Algebra is exact given premises; EH, boundary theorem, exact solution and limit are not thereby proved.	All three statements correctly separated.	No current candidate closes B and W while retaining a controlled weak-field solution.	cas_armc_mass_virial.py.	Local surface theorem, residual control, solution sequence, uniform limit and mass normalization.	-2.7 percent remains current; 0.05 percent remains superseded.
D6A-C2-01	/stage2/arm_A/D6_RETURN/D6.md	D6.4 candidate table, lines 267-274	C2/Bach does not pass the EH mass test and needs distinct boundary/source data.	OPEN	CONFIRMED-FORCED	None; applying an EH lapse identity to Bach dynamics would be an import.	C2 sector separated.	A Bach-specific charge could exist but would not be the EH test.	cas_armc_unique_action_weights.py; cas_armc_boundary_charge.py.	Matter coupling, trace compatibility, fourth-order boundary completion and solution.	Survives.
D6A-REV-01	/stage2/arm_A/D6_RETURN/D6.md	D6.5, lines 282-306	No Stage-I conclusion changes; finite-domain mass bookkeeping is a refinement.	NO-CHANGE / REFINED	UNDETERMINED	Accurate for Arm A, subject to the incomplete-countermodel qualification and overstrong priority no-go.	Change ledger complete.	Strongest unique branches still conditional.	All Arm-C scripts.	Full selector or complete countermodels.	No frozen byte was changed.
D6B-COV-01	/stage2/arm_B/D6_RETURN/D6.md	D6.3, lines 44-75	Unrestricted and reciprocal-tangent source identities differ; covariance does not force a native source.	CONFIRMS / NO-CHANGE	UNDETERMINED	Algebra survives; physical selection remains open.	Ordered factors and variation domain covered; weights/global solution open.	A new theorem could select unrestricted lapse variation without selecting a unique action.	cas_armc_carrier_covariance.py; cas_armc_variation_domain.py.	Native variation rule and completed coupling.	Survives as underdetermination.
D6B-PRIOR-01	/stage2/arm_B/D6_RETURN/D6.md	D6.3 item 5, lines 74-75	Carrier covariance cannot put static mass ahead of full Q1.	No-go	UNDETERMINED	Same overreach as D6A-PRIOR-01.	Current route incomplete, universal impossibility unproved.	A shared static sourced sector across inequivalent full actions remains logically possible.	No decisive CAS.	Classify common static sectors and their charges.	Do not equate unresolved action uniqueness with absence of every scoped source law.
D6B-MASS-01	/stage2/arm_B/D6_RETURN/D6.md	D6.4, lines 77-105	Three-part mass/virial accounting and current numerical statuses.	CONDITIONAL / OPEN	CONFIRMED-FORCED	No defect in conditional algebra/status separation.	Source, finite boundary and limit separated.	Boundary stress remains only a lead.	cas_armc_mass_virial.py.	Surface theorem, residual and controlled limit.	0.05 percent is not evidence.
D6B-SIGN-01	/stage2/arm_B/D6_RETURN/D6.md	D6.5, lines 107-166	Stage-I S_rel has an overall-sign error and S_fol electric mapping needs gamma=-kappa4 or a sign flip.	REVISION	CONFIRMED-FORCED	Exact frozen Stage-I lines 280-288 and 316-320 are indicted.	Signature, energy orientation and ordered factors covered.	Corrected actions remain distinct conditional completions.	cas_armc_carrier_covariance.py; Stage-II B convention script.	Use corrected formulas in any later work.	This is an algebra correction, not a change to carrier underdetermination.
D6B-REV-01	/stage2/arm_B/D6_RETURN/D6.md	D6.6, lines 168-185	Action/carrier/mass conclusions unchanged after sign repairs; remaining forks listed.	NO-CHANGE plus revisions	UNDETERMINED	Meta-conclusion survives; original examples were not complete countermodels and remain conditional after repair.	Fork census good; solutions/global gates open.	Conditional C2/EH attacks still fail at extra premises.	All Arm-C scripts.	Selector or complete theories.	No Stage-I byte modified.
HIST-C2-01	/packet/archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_DERIVATION_RESULTS.md	lines 43-67, 92-167	C^2 is unique modulo Euler/boundary in a metric-only local parity-even lowest-curvature-square class.	UNIQUE-CONDITIONAL	ACTUALLY-CHOSEN	Metric-only, locality/covariance, parity, lowest order and unrestricted variation are named additions; boundary and viability remain open.	CSN and 4D covered; other complete-foundation gates absent.	Allowing weight-zero phi gives scalar X^2; dropping lowest order gives higher conformal invariants.	cas_armc_unique_action_weights.py.	Derive every class premise and complete boundary/solution.	Legitimate conditional classification, not a native-action verdict.
HIST-EH-01	/packet/archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_DERIVATION_RESULTS.md	lines 139-160	EH plus Lambda is Lovelock-unique under unrestricted metric/local covariance/second-order minimality.	CONDITIONAL	ACTUALLY-CHOSEN	All Lovelock premises, representative/scale, Lambda, kappa and boundary data are unforced; exact pre-scale CSN disfavors EH.	Post-scale comparison only; finite-cell/global solution absent.	C^2 is the exact-CSN metric-only alternative; scalar/foliation/nonlocal fields reopen more.	cas_armc_unique_action_weights.py.	Representative selection, scale emergence, boundary completion and solution.	GR comparison is legitimate when kept conditional.
HIST-VAR-01	/packet/archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_DERIVATION_RESULTS.md	lines 162-237	Reduced reciprocal EH is a total derivative; multiplier variation does not restore discarded normal Einstein equations.	DERIVED	CONFIRMED-FORCED	None; setting the common normal equation to zero after reduction would be circular/imported.	Variation-order gate fully addressed algebraically.	Unrestricted-then-restrict remains a distinct chosen branch.	cas_armc_boundary_charge.py; cas_armc_variation_domain.py.	Continuum boundary/constraint qualification for any selected domain.	Survives.
HIST-H3-01	/packet/w_alg_verifier_scripts/UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	premise ledger lines 25-53; identities lines 57-123; BC lines 358-370	EH/minimal S2 gives rho+S=2rho4 and M=2 integral N rho4.	CONDITIONAL dispatch	ACTUALLY-CHOSEN	EH, minimal coupling, unrestricted metric variation and asymptotically-flat local-room BC are imported conditional premises, not full finite-cell foundation.	Local algebra covered; native finite cell, global bootstrap and solution not returned.	Finite-cell completion retains boundary/residual terms and may use another generator.	cas_armc_carrier_covariance.py; cas_armc_mass_virial.py.	Returned converged solution plus native boundary/generator and normalization.	Dispatch provenance is not result authority.
HIST-BDY-01	/packet/archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	lines 92-204, 206-331, 394-407	Exact quotient, one-copy boundary and matched interface are inequivalent; native boundary mass remains open.	CONDITIONAL / OPEN	CONFIRMED-FORCED	No defect; different domains cannot be silently identified.	Finite cell/topology/variation choices separated.	Total-derivative primitives and reference subtraction preserve ambiguity.	cas_armc_boundary_charge.py.	Owner/domain selection and differentiable charge construction.	Survives.
HIST-GLOB-01	/packet/archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_DERIVATION_RESULTS.md	lines 80-87, 303-383, 589-599	A narrow global density fixed point does not reconstruct a unique local action or absolute scale.	OPEN / NOT UNIQUE	UNDETERMINED	No logical selector from one global relation to a local functional is supplied.	Bootstrap/density gates considered; action/carrier/boundary roots absent.	Many local theories can share one integrated constraint; a unique root would still not fix the operator.	No finite algebra beyond dimensional homogeneity is load-bearing here.	Full coupled action, charge, volume, root existence and uniqueness.	Survives.
