profile_id	shape_id	amplitude	q_at_s_4_exact	h_at_x_2_exact	mixing_vanishes_at_candidate_surface	extension_class	physical_status
G75_AM_S06_E50	S06	1/2	6	24	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S06_E100	S06	1	12	48	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S07_E05	S07	1/20	-2/5	-8/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S07_E20	S07	1/5	-8/5	-32/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S07_E50	S07	1/2	-4	-16	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S07_E100	S07	1	-8	-32	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S08_E05	S08	1/20	2/5	8/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S08_E20	S08	1/5	8/5	32/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S08_E50	S08	1/2	4	16	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S08_E100	S08	1	8	32	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S09_E05	S09	1/20	-13/20	-13/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S09_E20	S09	1/5	-13/5	-52/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S09_E50	S09	1/2	-13/2	-26	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S09_E100	S09	1	-13	-52	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S10_E05	S10	1/20	-23/40	-23/10	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S10_E20	S10	1/5	-23/10	-46/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S10_E50	S10	1/2	-23/4	-23	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S10_E100	S10	1	-23/2	-46	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S11_E05	S11	1/20	-7/20	-7/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S11_E20	S11	1/5	-7/5	-28/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S11_E50	S11	1/2	-7/2	-14	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S11_E100	S11	1	-7	-28	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S12_E05	S12	1/20	9/20	9/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S12_E20	S12	1/5	9/5	36/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S12_E50	S12	1/2	9/2	18	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S12_E100	S12	1	9	36	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S13_E05	S13	1/20	5/4	5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S13_E20	S13	1/5	5	20	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S13_E50	S13	1/2	25/2	50	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S13_E100	S13	1	25	100	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S14_E05	S14	1/20	-7/8	-7/2	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S14_E20	S14	1/5	-7/2	-14	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S14_E50	S14	1/2	-35/4	-35	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S14_E100	S14	1	-35/2	-70	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S15_E05	S15	1/20	-19/20	-19/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S15_E20	S15	1/5	-19/5	-76/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S15_E50	S15	1/2	-19/2	-38	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S15_E100	S15	1	-19	-76	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S16_E05	S16	1/20	-3/20	-3/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S16_E20	S16	1/5	-3/5	-12/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S16_E50	S16	1/2	-3/2	-6	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S16_E100	S16	1	-3	-12	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S17_E05	S17	1/20	13/20	13/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S17_E20	S17	1/5	13/5	52/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S17_E50	S17	1/2	13/2	26	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S17_E100	S17	1	13	52	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S18_E05	S18	1/20	29/40	29/10	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S18_E20	S18	1/5	29/10	58/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S18_E50	S18	1/2	29/4	29	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S18_E100	S18	1	29/2	58	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S19_E05	S19	1/20	-31/20	-31/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S19_E20	S19	1/5	-31/5	-124/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S19_E50	S19	1/2	-31/2	-62	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S19_E100	S19	1	-31	-124	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S20_E05	S20	1/20	-3/4	-3	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S20_E20	S20	1/5	-3	-12	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S20_E50	S20	1/2	-15/2	-30	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S20_E100	S20	1	-15	-60	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S21_E05	S21	1/20	1/20	1/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S21_E20	S21	1/5	1/5	4/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S21_E50	S21	1/2	1/2	2	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S21_E100	S21	1	1	4	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S22_E05	S22	1/20	17/40	17/10	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S22_E20	S22	1/5	17/10	34/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S22_E50	S22	1/2	17/4	17	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S22_E100	S22	1	17/2	34	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S23_E05	S23	1/20	11/20	11/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S23_E20	S23	1/5	11/5	44/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S23_E50	S23	1/2	11/2	22	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S23_E100	S23	1	11	44	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S24_E05	S24	1/20	-6/5	-24/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S24_E20	S24	1/5	-24/5	-96/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S24_E50	S24	1/2	-12	-48	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S24_E100	S24	1	-24	-96	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S25_E05	S25	1/20	-11/25	-44/25	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S25_E20	S25	1/5	-44/25	-176/25	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S25_E50	S25	1/2	-22/5	-88/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S25_E100	S25	1	-44/5	-176/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S26_E05	S26	1/20	1/8	1/2	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S26_E20	S26	1/5	1/2	2	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S26_E50	S26	1/2	5/4	5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S26_E100	S26	1	5/2	10	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S27_E05	S27	1/20	7/20	7/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S27_E20	S27	1/5	7/5	28/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S27_E50	S27	1/2	7/2	14	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S27_E100	S27	1	7	28	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S28_E05	S28	1/20	37/80	37/20	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S28_E20	S28	1/5	37/20	37/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S28_E50	S28	1/2	37/8	37/2	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S28_E100	S28	1	37/4	37	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S29_E05	S29	1/20	-23/30	-46/15	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S29_E20	S29	1/5	-46/15	-184/15	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S29_E50	S29	1/2	-23/3	-92/3	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S29_E100	S29	1	-46/3	-184/3	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
