literal_reference	first_line	occurrences	sections	base_tracking_status	base_resolved_path	history_resolution_status	history_resolved_path
10k_closure_factor.py	2306	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_force_analogs.py	2560	2	boson_force_mapping;hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_gaussian_measure.py	2306	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_mu_derivation.py	2306	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_tensor_sector.json	2731	1	boson_force_mapping	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_tensor_sector.py	2560	2	boson_force_mapping;hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
LANDING_pi_origin.md	2254	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
RETRACTION_third_axiom_irreducible.md	2252	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr114_multisector_gpu.py	2896	1	structural_constants	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr126_84pi.py	2314	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr127_pion_angular_derivation.py	2314	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr128_pion_angular_integral.py	2314	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr129_cubic_invariant.py	2314	2	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr_next/cr111_mu_scan.py	2896	1	structural_constants	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr_next/cr126_84pi.py	2345	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr_next/emergence_spectrum_scan.py	2446	1	hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr_next/outputs/cr_B1_G1_tensor_eigenvalue_udt.json	2731	1	boson_force_mapping	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr_next/outputs/cr_B1_G2_branch_c_tensor_spectrum_udt.json	2731	1	boson_force_mapping	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
cr_next/udt_angular_bilinear_currents.py	3957	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
da_pi_origin.py	2254	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_D_CMB_HEIGHTS_LOADING_1/he4_binding_deep.py	2558	1	hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_S61_003_ponder/outputs/pell_fixed_F1.json	5954	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_S61_003_ponder/scripts/s61_003_pell_fixed_F1.py	5954	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_S61_005_ponder/outputs/F2_alpha_diagnostic.json	5969	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_S61_005_ponder/scripts/s61_005_alpha_derivation.py	5964	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_S61_006/outputs/F3_fit_window.json	5970	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
dispatch_S68_003_ponder/LANDING_SUMMARY.md	5972	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
outputs/alpha_derivation_sympy.json	5964	1	translation_cluster	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
udt_investigation_history.md	2452	3	hadron_assignment;structural_constants	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
