identity_order	identity_id	bank	carrier_id	mask_id	start_point	end_point	global_domain_status
41	B0_R02_1_M9	B0	R02_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
42	B0_R02_1_MA	B0	R02_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
43	B0_R02_1_MB	B0	R02_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
44	B0_R02_1_MC	B0	R02_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
45	B0_R02_1_MD	B0	R02_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
46	B0_R02_1_ME	B0	R02_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
47	B0_R02_1_MF	B0	R02_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
48	B0_R03_1_M0	B0	R03_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
49	B0_R03_1_M1	B0	R03_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
50	B0_R03_1_M2	B0	R03_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
51	B0_R03_1_M3	B0	R03_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
52	B0_R03_1_M4	B0	R03_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
53	B0_R03_1_M5	B0	R03_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
54	B0_R03_1_M6	B0	R03_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
55	B0_R03_1_M7	B0	R03_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
56	B0_R03_1_M8	B0	R03_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
57	B0_R03_1_M9	B0	R03_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
58	B0_R03_1_MA	B0	R03_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
59	B0_R03_1_MB	B0	R03_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
60	B0_R03_1_MC	B0	R03_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
61	B0_R03_1_MD	B0	R03_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
62	B0_R03_1_ME	B0	R03_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
63	B0_R03_1_MF	B0	R03_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
64	B0_R04_1_M0	B0	R04_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
65	B0_R04_1_M1	B0	R04_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
66	B0_R04_1_M2	B0	R04_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
67	B0_R04_1_M3	B0	R04_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
68	B0_R04_1_M4	B0	R04_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
69	B0_R04_1_M5	B0	R04_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
70	B0_R04_1_M6	B0	R04_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
71	B0_R04_1_M7	B0	R04_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
72	B0_R04_1_M8	B0	R04_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
73	B0_R04_1_M9	B0	R04_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
74	B0_R04_1_MA	B0	R04_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
75	B0_R04_1_MB	B0	R04_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
76	B0_R04_1_MC	B0	R04_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
77	B0_R04_1_MD	B0	R04_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
78	B0_R04_1_ME	B0	R04_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
79	B0_R04_1_MF	B0	R04_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
80	B0_R05_1_M0	B0	R05_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
81	B0_R05_1_M1	B0	R05_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
82	B0_R05_1_M2	B0	R05_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
83	B0_R05_1_M3	B0	R05_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
84	B0_R05_1_M4	B0	R05_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
85	B0_R05_1_M5	B0	R05_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
86	B0_R05_1_M6	B0	R05_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
87	B0_R05_1_M7	B0	R05_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
88	B0_R05_1_M8	B0	R05_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
89	B0_R05_1_M9	B0	R05_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
90	B0_R05_1_MA	B0	R05_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
91	B0_R05_1_MB	B0	R05_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
92	B0_R05_1_MC	B0	R05_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
93	B0_R05_1_MD	B0	R05_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
94	B0_R05_1_ME	B0	R05_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
95	B0_R05_1_MF	B0	R05_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
96	B0_R06_1_M0	B0	R06_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
97	B0_R06_1_M1	B0	R06_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
98	B0_R06_1_M2	B0	R06_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
99	B0_R06_1_M3	B0	R06_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
100	B0_R06_1_M4	B0	R06_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
101	B0_R06_1_M5	B0	R06_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
102	B0_R06_1_M6	B0	R06_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
103	B0_R06_1_M7	B0	R06_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
104	B0_R06_1_M8	B0	R06_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
105	B0_R06_1_M9	B0	R06_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
106	B0_R06_1_MA	B0	R06_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
107	B0_R06_1_MB	B0	R06_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
108	B0_R06_1_MC	B0	R06_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
109	B0_R06_1_MD	B0	R06_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
110	B0_R06_1_ME	B0	R06_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
111	B0_R06_1_MF	B0	R06_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
112	B0_R07_1_M0	B0	R07_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
113	B0_R07_1_M1	B0	R07_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
114	B0_R07_1_M2	B0	R07_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
115	B0_R07_1_M3	B0	R07_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
116	B0_R07_1_M4	B0	R07_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
117	B0_R07_1_M5	B0	R07_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
118	B0_R07_1_M6	B0	R07_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
119	B0_R07_1_M7	B0	R07_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
120	B0_R07_1_M8	B0	R07_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
121	B0_R07_1_M9	B0	R07_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
122	B0_R07_1_MA	B0	R07_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
123	B0_R07_1_MB	B0	R07_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
124	B0_R07_1_MC	B0	R07_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
125	B0_R07_1_MD	B0	R07_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
126	B0_R07_1_ME	B0	R07_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
127	B0_R07_1_MF	B0	R07_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
128	B0_R08_1_M0	B0	R08_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
129	B0_R08_1_M1	B0	R08_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
130	B0_R08_1_M2	B0	R08_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
131	B0_R08_1_M3	B0	R08_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
132	B0_R08_1_M4	B0	R08_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
133	B0_R08_1_M5	B0	R08_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
134	B0_R08_1_M6	B0	R08_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
135	B0_R08_1_M7	B0	R08_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
136	B0_R08_1_M8	B0	R08_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
137	B0_R08_1_M9	B0	R08_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
138	B0_R08_1_MA	B0	R08_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
