observable_id	gate_id	status
O05	G04	OPEN_UNSELECTED_EXTENSION
O05	G05	OPEN_PHYSICAL_DOMAIN
O05	G06	OPEN_PHYSICAL_CARRIER
O05	G07	OPEN_NATIVE_SOURCE
O05	G08	OPEN_GLOBAL_SKY
O05	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O05	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O05	G11	EXTERNAL_SEPARATION_REQUIRED
O05	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O05	G13	DIRECTIONAL_INFORMATION_COMPRESSED
O05	G14	NOT_AVAILABLE_UDT_PREDICTION
O06	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O06	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O06	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O06	G04	OPEN_UNSELECTED_EXTENSION
O06	G05	OPEN_PHYSICAL_DOMAIN
O06	G06	OPEN_PHYSICAL_CARRIER
O06	G07	OPEN_NATIVE_SOURCE
O06	G08	OPEN_GLOBAL_SKY
O06	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O06	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O06	G11	EXTERNAL_SEPARATION_REQUIRED
O06	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O06	G13	DIRECTIONAL_INFORMATION_COMPRESSED
O06	G14	NOT_AVAILABLE_UDT_PREDICTION
O07	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O07	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O07	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O07	G04	OPEN_UNSELECTED_EXTENSION
O07	G05	OPEN_PHYSICAL_DOMAIN
O07	G06	OPEN_PHYSICAL_CARRIER
O07	G07	OPEN_NATIVE_SOURCE
O07	G08	OPEN_GLOBAL_SKY
O07	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O07	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O07	G11	EXTERNAL_SEPARATION_REQUIRED
O07	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O07	G13	DIRECTIONAL_INFORMATION_COMPRESSED
O07	G14	NOT_AVAILABLE_UDT_PREDICTION
O08	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O08	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O08	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O08	G04	OPEN_UNSELECTED_EXTENSION
O08	G05	OPEN_PHYSICAL_DOMAIN
O08	G06	OPEN_PHYSICAL_CARRIER
O08	G07	OPEN_NATIVE_SOURCE
O08	G08	OPEN_GLOBAL_SKY
O08	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O08	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O08	G11	EXTERNAL_SEPARATION_REQUIRED
O08	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O08	G13	DIRECTIONAL_INFORMATION_COMPRESSED
O08	G14	NOT_AVAILABLE_UDT_PREDICTION
O09	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O09	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O09	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O09	G04	OPEN_UNSELECTED_EXTENSION
O09	G05	OPEN_PHYSICAL_DOMAIN
O09	G06	OPEN_PHYSICAL_CARRIER
O09	G07	OPEN_NATIVE_SOURCE
O09	G08	OPEN_GLOBAL_SKY
O09	G09	OPEN_REFERENCE_AND_CALIBRATION
O09	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O09	G11	EXTERNAL_SEPARATION_REQUIRED
O09	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O09	G13	DIRECTIONAL_INFORMATION_RETAINED
O09	G14	NOT_AVAILABLE_UDT_PREDICTION
O10	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O10	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O10	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O10	G04	OPEN_UNSELECTED_EXTENSION
O10	G05	OPEN_PHYSICAL_DOMAIN
O10	G06	OPEN_PHYSICAL_CARRIER
O10	G07	OPEN_NATIVE_SOURCE
O10	G08	OPEN_GLOBAL_SKY
O10	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O10	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O10	G11	EXTERNAL_SEPARATION_REQUIRED
O10	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O10	G13	DIRECTIONAL_INFORMATION_RETAINED
O10	G14	NOT_AVAILABLE_UDT_PREDICTION
O11	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O11	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O11	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O11	G04	OPEN_UNSELECTED_EXTENSION
O11	G05	OPEN_PHYSICAL_DOMAIN
O11	G06	OPEN_PHYSICAL_CARRIER
O11	G07	OPEN_NATIVE_SOURCE
O11	G08	OPEN_GLOBAL_SKY
O11	G09	AVAILABLE_CONDITIONAL_PARALLEL_BASIS
O11	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O11	G11	EXTERNAL_SEPARATION_REQUIRED
O11	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O11	G13	DIRECTIONAL_INFORMATION_RETAINED
O11	G14	NOT_AVAILABLE_UDT_PREDICTION
O12	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O12	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O12	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O12	G04	OPEN_UNSELECTED_EXTENSION
O12	G05	OPEN_PHYSICAL_DOMAIN
O12	G06	OPEN_PHYSICAL_CARRIER
O12	G07	OPEN_NATIVE_SOURCE
O12	G08	OPEN_GLOBAL_SKY
O12	G09	BASIS_COVARIANT_NOT_INVARIANT
O12	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O12	G11	EXTERNAL_SEPARATION_REQUIRED
O12	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O12	G13	DIRECTIONAL_INFORMATION_RETAINED
O12	G14	NOT_AVAILABLE_UDT_PREDICTION
