profile	K	r	theta	component	direct	formula	absolute_error	scaled_error
P2	1	0.6	0.7	B_32	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_33	0.2503219926359883	0.25032199263599236	4.052314039881821e-15	1.618840596948477e-14
P2	0	-0.4	0.4	B_00	3.077279606290866	3.0772796062908654	4.440892098500626e-16	1.4431227144332723e-16
P2	0	-0.4	0.4	B_01	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_02	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_03	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_10	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_11	-0.0028958117208608075	-0.0028958117208608062	1.3010426069826053e-18	4.492842533960937e-16
P2	0	-0.4	0.4	B_12	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_13	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_20	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_21	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_22	0.49337410135651893	0.493374101356519	5.551115123125783e-17	1.125133059855217e-16
P2	0	-0.4	0.4	B_23	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_30	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_31	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_32	0.0	-0.0	0.0	0.0
P2	0	-0.4	0.4	B_33	0.49337410135651893	0.493374101356519	5.551115123125783e-17	1.125133059855217e-16
P2	0	0.6	0.4	B_00	2.6437727047687343	2.6437727047687343	0.0	0.0
P2	0	0.6	0.4	B_01	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_02	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_03	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_10	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_11	0.006522306467562175	0.00652230646756219	1.474514954580286e-17	2.2607262659514497e-15
P2	0	0.6	0.4	B_12	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_13	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_20	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_21	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_22	0.4364949804773978	0.4364949804773981	2.7755575615628914e-16	6.358738784412232e-16
P2	0	0.6	0.4	B_23	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_30	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_31	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_32	0.0	0.0	0.0	0.0
P2	0	0.6	0.4	B_33	0.4364949804773978	0.4364949804773981	2.7755575615628914e-16	6.358738784412232e-16
P2	-1	-0.4	0.6	B_00	3.601893525704784	3.601893525704785	8.881784197001252e-16	2.4658652826955365e-16
P2	-1	-0.4	0.6	B_01	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_02	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_03	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_10	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_11	-0.05584480287384075	-0.05584480287384079	4.163336342344337e-17	7.4551903276474025e-16
P2	-1	-0.4	0.6	B_12	-9.875125197944854e-18	-0.0	9.875125197944854e-18	9.875125197944854e-08
P2	-1	-0.4	0.6	B_13	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_20	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_21	-4.852414060658495e-18	-0.0	4.852414060658495e-18	4.8524140606584953e-08
P2	-1	-0.4	0.6	B_22	0.6600407680231857	0.6600407680231857	0.0	0.0
P2	-1	-0.4	0.6	B_23	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_30	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_31	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_32	0.0	-0.0	0.0	0.0
P2	-1	-0.4	0.6	B_33	0.9275736296527102	0.9275736296527113	1.1102230246251565e-15	1.1969109396100773e-15
P2	-1	0.6	0.6	B_00	3.137577100373129	3.13757710037313	8.881784197001252e-16	2.8307779897886823e-16
P2	-1	0.6	0.6	B_01	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_02	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_03	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_10	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_11	-0.04973028671516742	-0.04973028671516751	9.020562075079397e-17	1.8138970576914383e-15
P2	-1	0.6	0.6	B_12	9.875125197944853e-18	0.0	9.875125197944853e-18	9.875125197944853e-08
P2	-1	0.6	0.6	B_13	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_20	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_21	1.2732274518494498e-17	0.0	1.2732274518494498e-17	1.2732274518494497e-07
P2	-1	0.6	0.6	B_22	0.6031616471440645	0.6031616471440647	2.220446049250313e-16	3.6813448928060925e-16
P2	-1	0.6	0.6	B_23	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_30	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_31	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_32	0.0	0.0	0.0	0.0
P2	-1	0.6	0.6	B_33	0.8476398207710012	0.8476398207710026	1.4432899320127035e-15	1.7027160553876586e-15
P3	1	-0.5	0.7	B_00	0.33333333333332305	0.3333333333333333	1.0269562977782698e-14	3.0808688933348094e-14
P3	1	-0.5	0.7	B_01	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_02	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_03	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_10	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_11	-0.08333333333333076	-0.08333333333333333	2.5673907444456745e-15	3.0808688933348094e-14
P3	1	-0.5	0.7	B_12	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_13	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_20	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_21	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_22	0.1666666666666661	0.16666666666666666	5.551115123125783e-16	3.3306690738754696e-15
P3	1	-0.5	0.7	B_23	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_30	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_31	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_32	0.0	-0.0	0.0	0.0
P3	1	-0.5	0.7	B_33	0.06916940475830963	0.06916940475831324	3.608224830031759e-15	5.216504092581624e-14
P3	1	0.25	0.7	B_00	0.33333333333332305	0.3333333333333333	1.0269562977782698e-14	3.0808688933348094e-14
P3	1	0.25	0.7	B_01	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_02	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_03	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_10	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_11	-0.08333333333333076	-0.08333333333333333	2.5673907444456745e-15	3.0808688933348094e-14
P3	1	0.25	0.7	B_12	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_13	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_20	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_21	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_22	0.1666666666666661	0.16666666666666666	5.551115123125783e-16	3.3306690738754696e-15
P3	1	0.25	0.7	B_23	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_30	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_31	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_32	0.0	0.0	0.0	0.0
P3	1	0.25	0.7	B_33	0.06916940475830963	0.06916940475831324	3.608224830031759e-15	5.216504092581624e-14
P3	0	-0.5	0.4	B_00	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_01	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_02	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_03	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_10	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_11	0.0	0.0	0.0	0.0
P3	0	-0.5	0.4	B_12	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_13	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_20	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_21	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_22	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_23	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_30	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_31	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_32	0.0	-0.0	0.0	0.0
P3	0	-0.5	0.4	B_33	0.0	-0.0	0.0	0.0
P3	0	0.25	0.4	B_00	0.0	-0.0	0.0	0.0
P3	0	0.25	0.4	B_01	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_02	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_03	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_10	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_11	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_12	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_13	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_20	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_21	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_22	0.0	-0.0	0.0	0.0
P3	0	0.25	0.4	B_23	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_30	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_31	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_32	0.0	0.0	0.0	0.0
P3	0	0.25	0.4	B_33	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_00	0.3333333333333328	0.3333333333333333	4.996003610813204e-16	1.4988010832439613e-15
P3	-1	-0.5	0.6	B_01	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_02	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_03	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_10	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_11	-0.0833333333333332	-0.08333333333333333	1.249000902703301e-16	1.4988010832439613e-15
P3	-1	-0.5	0.6	B_12	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_13	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_20	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_21	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_22	0.16666666666666657	0.16666666666666666	8.326672684688674e-17	4.996003610813204e-16
P3	-1	-0.5	0.6	B_23	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_30	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_31	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_32	0.0	-0.0	0.0	0.0
P3	-1	-0.5	0.6	B_33	0.2342212972770303	0.23422129727703117	8.604228440844963e-16	3.673546573635486e-15
P3	-1	0.25	0.6	B_00	0.3333333333333328	0.3333333333333333	4.996003610813204e-16	1.4988010832439613e-15
P3	-1	0.25	0.6	B_01	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_02	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_03	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_10	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_11	-0.0833333333333332	-0.08333333333333333	1.249000902703301e-16	1.4988010832439613e-15
P3	-1	0.25	0.6	B_12	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_13	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_20	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_21	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_22	0.16666666666666657	0.16666666666666666	8.326672684688674e-17	4.996003610813204e-16
P3	-1	0.25	0.6	B_23	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_30	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_31	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_32	0.0	0.0	0.0	0.0
P3	-1	0.25	0.6	B_33	0.2342212972770303	0.23422129727703117	8.604228440844963e-16	3.673546573635486e-15
