# P4 Route A Stage 2 — RESIDUAL SPACE LEDGER (R_PW). Contract: PREREGISTRATION.md. SCOPE STAMP (F-B3): EXHAUSTED = jet<=2, registered stationary presentation, registered chart, one-parameter, off-shell; polynomial/formal in (k10,C) moduli (smooth extension = Schwarz-type, Category-A, stamped not re-proven); jet 3/4 TYPED NOT-EXHAUSTED. NO member selected (F-B1). A1-AMENDED (rounds 1+2): the parametrization is exact OFF the degeneration strata and CUT BY the stratum Noether identities ON them (see the STRATUM-IDENTITY rows; kmod0 = the only CODIMENSION-1 genuine cut; the four named C=0 resonance identities are auto-satisfied in the declared class; the resonance locus also carries C!=0 sub-varieties of higher codimension whose identities ARE further genuine cuts — shear row; deeper stratification TYPED-NOT-EXHAUSTED).
component	grade	branch	K4_character	module_basis_or_branch_delta	module_rank	alphabet_dim	conditions
R_c10	grade2	BASE	chi_c	{c01, c10, k10c00, k10c11}	4	alphabet dim 16	same module structure, chi_c | mixing kernel entry 10; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_wall	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 16; stratum alphabet = supplied wall data + trace jets <= grade-1 (depth example-typed per Route C TC5, stamped); anchored-phi only via supplied slots (V8)
R_wall	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 16; stratum alphabet = supplied wall data + trace jets <= grade-1 (depth example-typed per Route C TC5, stamped); anchored-phi only via supplied slots (V8)
R_wall	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 16; stratum alphabet = supplied wall data + trace jets <= grade-1 (depth example-typed per Route C TC5, stamped); anchored-phi only via supplied slots (V8)
R_corner	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 17; corner slots present, no corner law chosen
R_corner	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 17; corner slots present, no corner law chosen
R_corner	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 17; corner slots present, no corner law chosen
(branch delta) BR-A_alpha_active	all	BR-A_alpha_active	-	adds R_alpha (trivial char) + alpha jets to alphabet	-	-	EXHAUSTED at jet<=2 (same theorem applies)
(branch delta) BR-M_moduli_field	all	BR-M_moduli_field	-	moduli promoted to fields: adds 7 moduli-jet args/order, character-typed	-	-	TYPED ONLY — class extension beyond banked footing; NOT-EXHAUSTED
(branch delta) BR-CE_cE_promoted	all	BR-CE_cE_promoted	-	adds R_cE + c_E jets (unregistered DOF)	-	-	TYPED ONLY; NOT-EXHAUSTED
(branch delta) BR-B_bdy_varied	all	BR-B_bdy_varied	-	same component EXPRESSIONS as held fork; role = paired equations vs consistency conditions	-	-	pointwise parametrization PROVEN branch-independent (identical expressions); role labeled
(branch delta) BR-C_completion	all	BR-C_completion	-	within-family vs over-class	-	-	pointwise PROVEN branch-independent (c-frak discrete in both forks, enters only as supplied argument slot; difference is GC/Stage-3)
(constraint) STRATUM-IDENTITY kmod0	all	BASE	chi_a-graded	-2 k10 r_tf + m00 c10 + m01 c11 - m10 c00 - m11 c01 = 0 on k_mod = 0 (equivalently -k10 R_kmod + <M, J C> = 0)	-	-	A1 (verifier-derived, adopted + extended): exact pointwise R7(b) Noether identity on the codim-1 reciprocal-isotropy stratum k_mod=0 (gauge direction = screen rotation L23, tangent iff k_mod=0; chart reading delta k_mod=-k10, delta C=J C; field sector zero on the registered stationary presentation, general arenas typed); K4-consistent (chi_a-graded); ONE scalar relation cutting the on-stratum restrictions of (R_kmod, R_C) — off-stratum rows/dimensions unchanged; order-independent (moduli-sector, jet-blind)
(constraint) STRATUM-IDENTITY resonance (named C=0 strata)	all	BASE	mixing components only	k10 R_c10 = 0 at {C=0, lam-k_mod=-1}; k10 R_c11 = 0 at {C=0, lam-k_mod=+1}; k10 ((k00+1) R_c00 + k10 R_c10) = 0 at {C=0, lam+k_mod=-1}; k10 ((k00-1) R_c01 + k10 R_c11) = 0 at {C=0, lam+k_mod=+1}	-	-	A1: derived exactly (rank-5 base-screen eigenvalue-resonance gauge directions); AUTOMATICALLY satisfied by every character-matched member of the declared polynomial/formal class (all chi_b/chi_c generators vanish at C=0) — R2-CORRECTED SCOPE: no further cut FROM THESE FOUR NAMED C=0 STRATA within the declared scope; rank-drop locus off k_mod=0 confined EXHAUSTIVELY to lam-+k_mod in {+-1} (minor-ideal proof, codim-1 layer exhaustive); the C!=0 sub-varieties of the resonance locus carry FURTHER genuine cuts (shear row below); deeper stratification TYPED-NOT-EXHAUSTED
(constraint) STRATUM-IDENTITY shear (C!=0 resonance sub-variety)	all	BASE	chi_b-graded	-c10 r_sh - k10 m10 = 0 on {lam - k_mod = -1 (k00 = -1), c00 = c01 = 0} (equivalently -c10 R_k10 - k10 R_c10 = 0)	-	-	A1-R2 (closure-verifier-derived, adopted): exact pointwise R7(b) Noether identity on a C!=0 sub-variety (codim 3, K4-stable) of the resonance locus; gauge direction = the mixed base-screen boost L02 (delta k10 = -c10, delta c10 = -k10, rest zero); cuts the SHEAR slot r_sh — unlike the kmod0 identity (r_sh drops out there) and the named C=0 identities (mixing-only); a GENUINE further cut (the character-matched member R_c10 = c10 violates it; NOT auto-satisfied); the omega-shape witness VIOLATES it (re-scoped: on-stratum witness for kmod0 only); the corrected trace-free witness and field-sector members survive; the k00=-1 slice of the minor ideal has 7 branches incl. two with generic C!=0 — the FULL deeper stratification is TYPED-NOT-EXHAUSTED (codim-1 layer exhaustive by the Groebner proof; deeper layers = derived examples + the same nullspace/pairing method, not a census)
