row	object	verdict	scope_and_argument	evidence
Q1-D2	intrinsic ruler full-screen descent	EQUIVARIANT	twist selector omega_K ~ alpha*kappa vanishes exactly on the exchange-symmetric locus (never breaks a genuine tie); descent criterion covariant only under the mirror map to the anti-Hopf-built family (naive V->Y substitution false: L_Y A != 0); downstream inheritor = D1 where the pair question IS consumed	udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/AUDIT_REPORT.md 11-44
Q1-D3	calibrated reciprocal readout (carries C02 routing)	DESCENDS_AFTER_DERIVED_BREAKING	within the aligned readout the clock role is FORCED by Lorentzian signature (which eigenline is timelike); eigenline-swap isometry impossible (C=Ab^2 forces same causal sign; conformal escape killed); residual orbit freedom = pure relabeling; CONDITIONAL on aligned readout (mixed-family witness dissolves rather than decides the question; global extension OPEN)	udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/EXACT_DERIVATION.md s1-4
Q1-D4	complete screen-response branch atlas	DESCENDS	all rows conditional-on-supplied-pair (EXACT_CONDITIONAL_PAIR); signed rotation entries declared chart/coframe gauge (P08); row set swap-invariant; P10 certifies no Hopf-member acceptance filter	udt_complete_screen_response_branch_atlas_2026-07-28/ROTATION_OWNERSHIP_ATLAS.tsv; PREMISE_LEDGER P08,P10
Q1-D5	global reciprocal bundle assembly (lambda)	DESCENDS_CLASSIFIER	every claim lambda-tagged; nabla X_lambda=0 iff lambda=1 is a theorem about orbit structure, explicitly fenced ("does NOT select lambda=1 as UDT physics")	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md 11-26,80-87
Q1-D6	reduced holonomy condition (lambda strata)	DESCENDS_CLASSIFIER	exhaustive lambda-strata table; distinguished member (lambda=+1) characterized then REJECTED as closure; no member banked	udt_reduced_holonomy_condition_audit_2026-07-27/AUDIT_REPORT.md 11-28,96
Q2-N1	dual-systole wall-crossing selector	RECIPROCITY-ROOTED	H(-phi)=J H(phi) J^T exactly; the swap IS conjugation by J; seal = swap fixed locus; non-selection = swap preserves set, fixes no member; conditional on DERIVED_CONTROL reciprocal-diagonal chart	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/EXACT_DERIVATION.md s1,s2,s6
Q2-N2	two-observer separation selector (0/24)	DISTINCT-ORIGIN_NON_EXCHANGE	no involution/orbit/tie anywhere in the proof; obstruction = underdetermination (missing slice/representative/branch/observer; continuous conformal family e^{2f(phi)}h0); exchange-origin framework partially inapplicable, stated	udt_two_observer_separation_selector_audit_2026-07-24/EXACT_DERIVATION.md s2
Q2-N3	metric-natural joint selector no-go	MIXED_LEANING_DISTINCT	core = nonabelian Lorentz obstruction (perfect so(1,3): two boosts generate a rotation) + continuous swap-INVARIANT lambda modulus; one reciprocity facet: the lambda=+1/-1 dual reductions are exchanged by clock<->ruler role swap (identification made by this audit, flagged)	udt_metric_natural_joint_selector_nogo_2026-07-28/EXACT_DERIVATION.md s1-4,s6
Q2-N4	higher-isometry plane ownership	DISTINCT-ORIGIN_CLEAN	the witness exchange isometry fixes f=cos(2eta), fixes u=e^{-2phi}, fixes phi POINTWISE; phi->-phi is not an isometry of the witness; on the cap lattice the swap is diag(1,-1) (the lattice sign element = N5's J/-J conjugator), not the reciprocity transposition; F2 co-trigger	udt_higher_isometry_plane_ownership_audit_2026-07-28/EXACT_DERIVATION.md s6,s7
Q2-N5	reciprocal-pair global module	MIXED	base transposition on unoriented lines = exact phi->-phi image (a2/a1=e^{2phi}); obstruction lives one level up: the four integral lifts {J,-J,R,-R} distinguished by lattice sign data the swap does not see; residual ambiguity in the sign coset	udt_reciprocal_pair_global_module_audit_2026-07-24/EXACT_DERIVATION.md s3,s6,s7,s9
F1	consumer falsifier	FIRED_ONCE_D1	localized requirement: (a) alpha*df!=0 selector theorem promoting the K-eigenline/founded-rate criterion (planes metrically inequivalent there; selector plausibly DERIVABLE, currently unbanked); (b) alpha=0 pair-valued restatement (clock K + unordered ruler pair) where selection is provably impossible	group B1 report
F2	origin falsifier	FIRED_N2_N4	the unified one-reciprocity-Z2 reading is REFUTED; replacement structure = three families: A reciprocity-exchange (N1, N5-base), B lattice-sign Z2 (N4, N5-lift) invisible to reciprocity, C non-exchange underdetermination (N2, N3-core); J and diag(1,-1) generate the order-eight pair stabilizer; unselected residues live in the sign coset	Q2 report
META-1	provenance discrepancy	VERIFIER_CHECK_OWED	the explicit map (z1,z2)->(z1,conj(z2)) is quoted by the Q2 agent from N4's FRESH_ADVERSARIAL_REVIEW.md but the census located it only in the external review return; the phi-fixing argument is independent of which doc states the map but the citation must be pinned	census PART 0 vs Q2 N4(b)
META-2	verification grade	SAME_SESSION_AGENTS	all adjudications are same-session subagents with independent rederivations (D1 sympy; C09 stabilizer argument); blind fresh-context verifier pass REQUIRED before any grade above PROVISIONAL	PREREGISTRATION.md Method 5
