configuration_id	carrier_id	mask_id	bank	point_id	gradient_norm	gradient_class	parent_tensor_residual	selfadjoint_operator_residual	skew_operator_residual	riemann_isolated_real_simple_eigenplanes	riemann_nondegenerate_simple_eigenplanes	riemann_complementary_split_count	riemann_repeated_eigenvalue_multiplicity	riemann_complex_isolated_count	riemann_numeric_status	weyl_isolated_real_simple_eigenplanes	weyl_nondegenerate_simple_eigenplanes	weyl_complementary_split_count	weyl_repeated_eigenvalue_multiplicity	weyl_complex_isolated_count	weyl_numeric_status	retained	physical_merit
R01_1_MD_B0_P0	R01_1	MD	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_ME_B0_P0	R01_1	ME	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.0408340855860843e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_MF_B0_P0	R01_1	MF	B0	P0	0.0004055500994882943	SPACELIKE	0.0	2.0816681711721685e-17	2.7755575615628914e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M0_B0_P0	R02_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M1_B0_P0	R02_1	M1	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M2_B0_P0	R02_1	M2	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M3_B0_P0	R02_1	M3	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.474150863428695e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M4_B0_P0	R02_1	M4	B0	P0	0.0	ZERO	0.0	3.469446951953614e-18	7.806255641895632e-18	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M5_B0_P0	R02_1	M5	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M6_B0_P0	R02_1	M6	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M7_B0_P0	R02_1	M7	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	3.122502256758253e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M8_B0_P0	R02_1	M8	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_M9_B0_P0	R02_1	M9	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_MA_B0_P0	R02_1	MA	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_MB_B0_P0	R02_1	MB	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.474150863428695e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_MC_B0_P0	R02_1	MC	B0	P0	0.0004055500994882943	SPACELIKE	0.0	3.469446951953614e-18	7.806255641895632e-18	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_MD_B0_P0	R02_1	MD	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_ME_B0_P0	R02_1	ME	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R02_1_MF_B0_P0	R02_1	MF	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	3.122502256758253e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M0_B0_P0	R03_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M1_B0_P0	R03_1	M1	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M2_B0_P0	R03_1	M2	B0	P0	0.0	ZERO	0.0	5.204170427930421e-18	1.6751858835207913e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M3_B0_P0	R03_1	M3	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.0529195074669859e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M4_B0_P0	R03_1	M4	B0	P0	0.0	ZERO	0.0	8.673617379884035e-18	1.0408340855860843e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M5_B0_P0	R03_1	M5	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M6_B0_P0	R03_1	M6	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M7_B0_P0	R03_1	M7	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.3010426069826053e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M8_B0_P0	R03_1	M8	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_M9_B0_P0	R03_1	M9	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_MA_B0_P0	R03_1	MA	B0	P0	0.0004055500994882943	SPACELIKE	0.0	5.204170427930421e-18	1.6751858835207913e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_MB_B0_P0	R03_1	MB	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.0529195074669859e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_MC_B0_P0	R03_1	MC	B0	P0	0.0004055500994882943	SPACELIKE	0.0	8.673617379884035e-18	1.0408340855860843e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_MD_B0_P0	R03_1	MD	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_ME_B0_P0	R03_1	ME	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R03_1_MF_B0_P0	R03_1	MF	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.3010426069826053e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M0_B0_P0	R04_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M1_B0_P0	R04_1	M1	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.214306433183765e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M2_B0_P0	R04_1	M2	B0	P0	0.0	ZERO	0.0	5.204170427930421e-18	1.6751858835207913e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M3_B0_P0	R04_1	M3	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M4_B0_P0	R04_1	M4	B0	P0	0.0	ZERO	0.0	3.469446951953614e-18	8.673617379884035e-18	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M5_B0_P0	R04_1	M5	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	2.0379120860363913e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M6_B0_P0	R04_1	M6	B0	P0	0.0	ZERO	0.0	3.469446951953614e-18	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M7_B0_P0	R04_1	M7	B0	P0	0.0	ZERO	0.0	2.7755575615628914e-17	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M8_B0_P0	R04_1	M8	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_M9_B0_P0	R04_1	M9	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.214306433183765e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_MA_B0_P0	R04_1	MA	B0	P0	0.0004055500994882943	SPACELIKE	0.0	5.204170427930421e-18	1.6751858835207913e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_MB_B0_P0	R04_1	MB	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_MC_B0_P0	R04_1	MC	B0	P0	0.0004055500994882943	SPACELIKE	0.0	3.469446951953614e-18	8.673617379884035e-18	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_MD_B0_P0	R04_1	MD	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	2.0379120860363913e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_ME_B0_P0	R04_1	ME	B0	P0	0.0004055500994882943	SPACELIKE	0.0	3.469446951953614e-18	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R04_1_MF_B0_P0	R04_1	MF	B0	P0	0.0004055500994882943	SPACELIKE	0.0	2.7755575615628914e-17	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M0_B0_P0	R05_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M1_B0_P0	R05_1	M1	B0	P0	0.0	ZERO	0.0	4.336808689942018e-18	1.214306433183765e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M2_B0_P0	R05_1	M2	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M3_B0_P0	R05_1	M3	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.1519229156164551e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M4_B0_P0	R05_1	M4	B0	P0	0.0	ZERO	0.0	3.469446951953614e-18	9.134403303190375e-18	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M5_B0_P0	R05_1	M5	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.214306433183765e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M6_B0_P0	R05_1	M6	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.474514954580286e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M7_B0_P0	R05_1	M7	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	2.949029909160572e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M8_B0_P0	R05_1	M8	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_M9_B0_P0	R05_1	M9	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.214306433183765e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_MA_B0_P0	R05_1	MA	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_MB_B0_P0	R05_1	MB	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.1519229156164551e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_MC_B0_P0	R05_1	MC	B0	P0	0.0004055500994882943	SPACELIKE	0.0	3.469446951953614e-18	9.134403303190375e-18	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_MD_B0_P0	R05_1	MD	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.214306433183765e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_ME_B0_P0	R05_1	ME	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.474514954580286e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R05_1_MF_B0_P0	R05_1	MF	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	2.949029909160572e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R06_1_M0_B0_P0	R06_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R06_1_M1_B0_P0	R06_1	M1	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	6.938893903907228e-18	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R06_1_M2_B0_P0	R06_1	M2	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R06_1_M3_B0_P0	R06_1	M3	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.3877787807814457e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R06_1_M4_B0_P0	R06_1	M4	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.0408340855860843e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
