K,knot_index,phi,z,joint_relative_shape_mag,joint_shape_se,relative_R,relative_R_se_delta_method
16,2,0.16303953709695568,0.17708322722216105,1.597057170532115,0.029141629777943497,2.0864665863384375,0.028000833230328485
16,3,0.20917166462091247,0.23265658389406407,2.0677187252506446,0.029886930083629106,2.5914554369640106,0.03566734125654291
16,4,0.2553037921448692,0.29085371253073367,2.4242132425172254,0.029729523018316082,3.0538144693189078,0.041809625193215426
16,5,0.301435919668826,0.35179848866777486,2.6945653463422015,0.029467684823623847,3.4587013965967017,0.046935858916413324
16,6,0.3475680471927827,0.4156206363476473,2.9188697171439975,0.03098113636434967,3.8350757228159886,0.05471633137749034
16,7,0.39370017471673946,0.4824560042438596,3.110408489857699,0.03156482757010193,4.188723545213213,0.060887873069008995
16,8,0.43983230224069625,0.5524468548217508,3.2260539211541426,0.03099076874483136,4.417848149812967,0.06305054108015809
16,9,0.48596442976465304,0.6257421671513519,3.404782207041528,0.031594111094674436,4.79685335049286,0.06979242149067608
16,10,0.5320965572886098,0.7024979540168821,3.4766228383318922,0.0332678109702648,4.95820601259172,0.07596166529938894
16,11,0.5782286848125665,0.7828775939978602,3.570558474701612,0.03537679081374282,5.17739970873045,0.08434819878540056
16,12,0.6243608123365233,0.867052179228686,3.5986064098460937,0.04686605045625871,5.244707615788496,0.11319449912081764
16,13,0.6704929398604801,0.9552008795769125,3.722133323447035,0.05276241509043221,5.551708626119662,0.13489536118845424
16,14,0.7166250673844368,1.0475113240153822,3.685719723506266,0.06178053025294154,5.459387797443205,0.15532496360735104
16,15,0.7627571949083936,1.14418,3.7416989294194387,0.08891893731208024,5.60195719322382,0.22939277437109712
24,1,0.10086145217336179,0.10612338015632303,0.695669861396212,0.04321493392258161,1.3776343795499475,0.027416594574641743
24,2,0.13094762229768142,0.139908073982568,1.2077124614975026,0.03472139287429172,1.743983984235574,0.027885941731401277
24,3,0.16103379242200105,0.1747246649347663,1.584408053882915,0.03498904937656015,2.074347970501471,0.03342407817201413
24,4,0.1911199625463207,0.21060467058960602,1.9165279316362325,0.034626060730593385,2.4171610438320723,0.038543784729919296
24,5,0.22120613267064032,0.2475805711755893,2.1908174993358944,0.034400911674351366,2.7426064931259337,0.043448935070073406
24,6,0.2512923027949599,0.28568583897562644,2.398141702989866,0.034678809165118535,3.0173684194972177,0.048187922232873236
24,7,0.28137847291927953,0.3249549686276837,2.6322376820617395,0.033979709934164604,3.3608376704553717,0.052591176695322386
24,8,0.31146464304359917,0.36542350835091253,2.739148739572694,0.034472670131284036,3.530447420910773,0.056046739909539844
24,9,0.3415508131679188,0.4071280921255303,2.922793729006027,0.03654477426435838,3.8420122549037536,0.06465910870478639
24,10,0.37163698329223843,0.4501064728555812,3.049209672055511,0.03572937465346854,4.072320348734853,0.06700589830717892
24,11,0.40172315341655807,0.494397556544598,3.1492378926345705,0.03637399701839221,4.26429831267239,0.07143059862558161
24,12,0.43180932354087764,0.5400414375151028,3.21531926555123,0.036013991957685974,4.39606244770545,0.0729089427723461
24,13,0.4618954936651973,0.5870794347038295,3.3547869710519866,0.03612175894840878,4.687673921881748,0.07797797784254402
24,14,0.4919816637895169,0.6355541290655209,3.425529517721104,0.03693356226960979,4.842904483431444,0.08237070548109508
24,15,0.5220678339138366,0.6855094021191656,3.481939957894631,0.037547353850733274,4.970361671317503,0.0859434951239628
24,16,0.5521540040381562,0.7369904756715621,3.546285811247524,0.039682086412933,5.119849115022301,0.09356153645477495
24,17,0.5822401741624758,0.7900439527541763,3.5876886117253495,0.04170532567450812,5.218404287610935,0.10022473661755912
24,18,0.6123263442867954,0.8447178598103443,3.63418942940296,0.0522285608492416,5.33135848561235,0.12823058669990448
24,19,0.642412514411115,0.9010616901710139,3.642628154498194,0.06192594880372162,5.352117396057016,0.1526314340478168
24,20,0.6724986845354347,0.9591264488583808,3.735897723822648,0.06136217418711486,5.5870112359592365,0.15787958214153472
24,21,0.7025848546597543,1.018964698757976,3.740801282684057,0.06722784318552825,5.59964192578294,0.17336248327719142
24,22,0.732671024784074,1.0806306082010033,3.699803572181558,0.1115505003548496,5.494911655433941,0.28227857829697256
24,23,0.7627571949083936,1.14418,3.7572640314457284,0.10474436957030324,5.642256250057088,0.27216305916499733
