claim_id	layer	claim	status	indispensable_premises	evidence_source	remaining_open_scope
C022	ACTION	The complete native action and variation domain are not selected	OPEN	exact synchronized C0 C1 plus A B C adjudication	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	fields locality derivative order boundary and source require a native selector
C030	LOCAL_GEOMETRY	The tested complete local metric and phi instruments assemble into a small motif vocabulary	OBSERVED_BOUNDED	registered 3072 analytic identities and 31 instrument subsets	udt_instrument_motif_atlas_2026-07-21/AUDIT_REPORT.md	not an arbitrary-metric theorem or proof of UDT uniqueness
C031	LOCAL_GEOMETRY	Ricci and phi-Hessian structures generically cross into a four-dimensional weave	OBSERVED_BOUNDED	clean joint rank-two cases in the registered ensemble	udt_instrument_motif_atlas_2026-07-21/AUDIT_REPORT.md	physical interpretation action and global persistence remain open
C032	TRANSPORT	A complete smooth self-adjoint projector family has metric-compatible Kato transport	DERIVED_REGISTERED_GEOMETRIC_IDENTITY	fixed-rank complete projector algebra and metric compatibility	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	configuration-space transport is not physical time or closed-loop holonomy
C033	TRANSPORT	93920 of 95232 registered paths have stable sampled motifs	OBSERVED_BOUNDED	17-node frozen analytic path ensemble	udt_motif_hopf_correspondence_audit_2026-07-22/AUDIT_REPORT.md	1312 transitions remain and sampling is not a continuous global theorem
C034	LOCAL_GEOMETRY	All 1536 midpoint-integrable 1+1+2 candidates remain integrable at nine sampled nodes	OBSERVED_BOUNDED	frozen finite-cell path follow	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	all are phi-field-only presentations of 192 identities and not the full orchestra
C040	GLOBAL_GEOMETRY	Twelve registered global completion families survive the current selector audit	OBSERVED_BOUNDED_TAXONOMY	registered cap boundary bundle seam and singular alternatives	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	not arbitrary four-manifold completeness and no family is selected
C041	GLOBAL_GEOMETRY	Registered Reciprocity CSN finite-cell seal and bootstrap do not select one global quotient	OPEN_NOT_SELECTED	seven selector axes crossed with twelve registered completions	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	a future global law may add a selector
C050	TOPOLOGY	Reciprocal-toric geometry can reproduce the historical degree-one Hopf seed	EXACT_CONDITIONAL	periodic transverse circles reciprocal toric coframe opposite primitive caps free circle action orientation normalization	udt_motif_hopf_correspondence_audit_2026-07-22/AUDIT_REPORT.md	UDT does not yet select those global premises or the carrier
C051	TOPOLOGY	The conformal Lorentzian null-direction fiber is topologically S2	CONDITIONAL_DERIVED_FIBER	inherited 4D conditional Lorentzian readout and projectivized null cone	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	no selected section transport round target or carrier boundary follows
C052	PARTICLE	The existing no-null implementation supports a full 3D static Hopfion branch	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	round S2 carrier L2+L4 action coefficients boundary box and audited discrete operator	stability_branch_follow_256_DECISION.md	native carrier time-live persistence infinite-volume result and unconditional mass remain open
C060	MACRO	WR-L clock-curvature relations select the WR-L profile if their equation is supplied	UNIQUE_CONDITIONAL	static spherical reciprocal areal family chosen representative and clock-curvature equation	clock_curvature_selector_audit_2026-07-19/AUDIT_REPORT.md	the equation and physical representative are not forced by current foundation
C061	BOUNDARY	The WR-L wall is a finite-curvature causal horizon rather than a derived hard edge	DERIVED_CONDITIONAL	WR-L static metric family and regular ingoing extension	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	global terminality equality with Xmax and native boundary generator remain open
C070	MASS_SCALE	Measured c_E and G_obs provide mass per length but no absolute mass or length	DERIVED_DIMENSIONAL_SCOPE	variables M_tot Xmax c_E G_obs and dimensionless state data	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	an independent dimensional datum or scale-breaking process is absent
C071	MASS_SCALE	The conditional Hopfion size inherits the coefficient ruler sqrt(kappa over xi)	DERIVED_CONDITIONAL	posited round S2 L2+L4 static scaling family	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	coefficient origin native carrier absolute radius and mass remain open
C072	MASS_SCALE	Observed density can be used only as external calibration or comparison	OBSERVED_OR_EXTERNAL_ANCHOR	supplied observed total proper density	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	it is not a native selector or derived source
C073	MASS_SCALE	A noncircular native density route would solve M_native and V_proper in the same global fixed point	OPEN_POTENTIAL_FUTURE_SELECTOR	complete geometry native mass boundary scale and bootstrap response	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	native mass functional off-shell closure response map and scale breaking are missing
C080	TIME	No native nonlinear physical-time evolution law has been selected	OPEN	global quotient action fields constraints and boundary flux absent	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	no time-live or GPU physics conclusion is authorized
C090	SYNTHESIS	Metric-native two-form bivector and holonomy structure is a bounded next-question candidate	WORKING	metric Hodge exterior and curvature constructions only	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	no such UDT-specific persistent structure has yet been observed or derived
