candidate_id	family	axis_id	axis	disposition	derived_or_supplied	result	merit_filter
P02	complete_coframe_two_plane_integral_surface	A03	local_existence_uniqueness	CONDITIONAL_BRANCH_STRUCTURE	Frobenius involutivity required	integral leaves exist locally iff transverse bracket components vanish	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A04	complete_metric_dependence	FAILS_REQUIRED_TYPE	plane read directly from an arbitrary orthonormal coframe	flat presentation rotation changes integrability while leaving the metric fixed	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A05	calibration_propagation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	leaf coordinates and A calibration require extra choice	integrability does not select proper parameter propagation	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A06	covariance	FAILS_REQUIRED_TYPE	general local Lorentz presentation changes allowed	presentation-selected plane is not a metric-only covariant map	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A07	intermediate_composition	CONDITIONAL_BRANCH_STRUCTURE	one common integral leaf and carried coordinates required	different leaves or recalibrated charts do not canonically compose	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A08	signed_depth_cocycle	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	physical split and calibration transition open	leaf existence does not supply the physical signed cocycle	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A09	degenerate_strata	LOCAL_ONLY_BRANCH_VALUED	noninvolutive rank-changing or null plane strata	no integral pair surface or a stratified family results	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A10	global_continuation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	global foliation and topology not supplied	local leaves need not form one global observer-pair foliation	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A11	maximum_interpretation	CONDITIONAL_BRANCH_STRUCTURE	physical integrable reciprocal reduction additionally supplied	valid conditional branch construction but not a metric-only owner	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A01	typing	CONDITIONAL_BRANCH_STRUCTURE	intrinsic timelike Killing flow and transverse curve supplied	F(tau,s)=Phi_tau(c(s)) is a lawful stationary pair map	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A02	ownership	CONDITIONAL_BRANCH_STRUCTURE	Killing line intrinsic only on admitted stationary branches	transverse curve event pairing and orbit component remain query data	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A03	local_existence_uniqueness	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	complete nonzero Killing field and regular transverse curve	flow theorem gives a unique local surface for those declared inputs	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A04	complete_metric_dependence	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	intrinsic K and full pullback metric	K norm shift and orthogonal ruler density all enter h	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A05	calibration_propagation	CONDITIONAL_BRANCH_STRUCTURE	K normalized at A and transverse ruler calibrated	Killing norm depth equals terminal pair depth only under the additional reciprocal-area condition T L equals one	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A06	covariance	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	intrinsic line and pullback used	constant K rescaling cancels in endpoint ratios and h is frame covariant	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A07	intermediate_composition	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	one common flow surface and calibration carried	endpoint differences on the same stationary leaf compose exactly	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A08	signed_depth_cocycle	CONDITIONAL_BRANCH_STRUCTURE	one global or path-carried stationary calibration section required	exact branch cocycle exists but is not universal across nonstationary branches	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A09	degenerate_strata	LOCAL_ONLY_BRANCH_VALUED	Killing horizon zero nontransverse curve or orbit failure	clock density vanishes or surface rank fails	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A10	global_continuation	CONDITIONAL_BRANCH_STRUCTURE	complete flow orbit topology and cross-section required	global surface exists only when the stationary branch supplies these data	NONE_CHARACTERIZE_ONLY
P03	stationary_killing_flow_pair_surface	A11	maximum_interpretation	CONDITIONAL_BRANCH_STRUCTURE	stationary complete branch	positive calibration-owner prototype and pair map not a universal UDT observer law	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A01	typing	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	worldline direction field evolution and Exp supplied	regular tube is a lawful local map for each declared history	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A02	ownership	CONDITIONAL_QUERY_DATA	acceleration and direction evolution are observer-query data	the metric does not choose the history or rotation law	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A03	local_existence_uniqueness	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	smooth declared data and regular Exp domain	one local tube follows for each history but the family is infinite	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A04	complete_metric_dependence	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	full Exp pullback	curvature acceleration and direction evolution enter h without frozen sectors	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A05	calibration_propagation	CONDITIONAL_QUERY_DATA	A origin calibrated and history carried	flat accelerated and rotating controls produce nontrivial distinct tapes	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A06	covariance	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	acceleration and direction fields treated geometrically	construction is frame covariant after all query data transform	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A07	intermediate_composition	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	middle observer history and direction-state match not owned	independently generated accelerated tubes need not compose	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A08	signed_depth_cocycle	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	carried calibration state absent from bare tube	terminal readout alone does not supply the signed composition law	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A09	degenerate_strata	LOCAL_ONLY_BRANCH_VALUED	acceleration horizon rotating null clock caustic and rank loss	regular readout ends without cutoff or postselection	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A10	global_continuation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	observer history and topology dependent	no universal global accelerated tube theorem follows	NONE_CHARACTERIZE_ONLY
P04	general_accelerated_observer_tube	A11	maximum_interpretation	CONDITIONAL_QUERY_DATA	complete observer history supplied	metric-natural family demonstrating query dependence not a selector	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A01	typing	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	base query and all regular geodesic branches supplied	metric naturally produces a branch-labelled relation rather than one map	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A02	ownership	CONDITIONAL_QUERY_DATA	base event initial directions and path labels supplied	metric gives all branches but current foundation chooses none	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A03	local_existence_uniqueness	LOCAL_ONLY_BRANCH_VALUED	regular nonconjugate branch	unique local germ per initial tangent but endpoint branch may be multiple	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A04	complete_metric_dependence	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	Exp and full Jacobi equation	all curvature sectors enter the branch differential	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A05	calibration_propagation	CONDITIONAL_QUERY_DATA	initial affine ruler and clock family supplied	position block alone does not carry complete calibration through subdivisions	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A06	covariance	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	Exp and Jacobi data geometric	branch-labelled relation is frame covariant	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A07	intermediate_composition	FAILS_REQUIRED_TYPE	four-dimensional dExp position block used as arrow	position block fails subdivision while full Jacobi phase propagator has the wrong enlarged type	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A08	signed_depth_cocycle	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	phase-space reduction and calibration carry not selected	branch readouts do not by themselves form the physical signed cocycle	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A09	degenerate_strata	LOCAL_ONLY_BRANCH_VALUED	conjugate point cut locus multiple geodesics topology	dExp loses rank or several regular branches reach one endpoint	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A10	global_continuation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	branch selection or multi-relation ontology open	no single global pair map is metric-selected	NONE_CHARACTERIZE_ONLY
P05	exponential_jacobi_cut_locus_family	A11	maximum_interpretation	LOCAL_ONLY_BRANCH_VALUED	all branches retained	metric-derived branch atlas not a unique observer-pair owner	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A01	typing	FAILS_REQUIRED_TYPE	bare pair surfaces treated as arrows	F_AB and F_BC both map surfaces into M and have no canonical function composition	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A02	ownership	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	intermediate state identification and reciprocal reset not owned	same leg readouts admit a continuum of composite depths	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A03	local_existence_uniqueness	CONDITIONAL_QUERY_DATA	matching boundary germs and transition supplied	enriched calibrated germs can be glued locally	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A04	complete_metric_dependence	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	metric supplies each pullback but not their middle transition	geometry of separate tapes does not select the reciprocal reset	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A05	calibration_propagation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	carried calibration-line state required	common scale cancels but an unowned reciprocal reset shifts the composite arbitrarily	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A06	covariance	CONDITIONAL_QUERY_DATA	transition must transform with both endpoint frames	covariance is exact only after the middle identification is supplied	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A07	intermediate_composition	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	compatible carried reciprocal state supplied	D(b)D(a)=D(a+b) exactly while independent recalibration inserts a free reset	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A08	signed_depth_cocycle	CONDITIONAL_QUERY_DATA	enriched groupoid of calibrated pair germs required	physical signed depth can compose only after this state and update are owned	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A09	degenerate_strata	LOCAL_ONLY_BRANCH_VALUED	mismatched branch rank or null calibration state	gluing fails or becomes a family	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A10	global_continuation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	associative atlas transitions and period control not supplied	global calibrated pair groupoid remains open	NONE_CHARACTERIZE_ONLY
P06	third_observer_carried_vs_rebuilt	A11	maximum_interpretation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	physical calibrated pair-relation functor absent	pair metric readout is local output while calibration carry is the remaining compositional joint	NONE_CHARACTERIZE_ONLY
