stratum	constraint_layer	status	forcing_identity_or_citation	scope_stamp
diagonal-subfamily(b=0,C=0)	C3	CONDITIONAL	swap-forced lambda=0 valid exactly here (07-27); SO(3)->(+1,+1), SO+(1,2)->(-1,-1) pins on its isotropic axis (07-27/07-28); holonomy centralizer dims 1/3/3/1 on isotropic members (07-28, cross-checked T1_centralizer_dims_1_3_3_1)	all pins conditional on their supplied structures; all lie on k=0 axis (T4_conditional_pins_on_isotropic_line)
diagonal-subfamily(b=0,C=0)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE; J06 SATISFIABLE_IN_PRINCIPLE (moduli (lambda,k) retained explicitly); J07 SATISFIABLE_IN_PRINCIPLE (abelian transition data; still needs overlap law for varying moduli); J10 as family; J11 SATISFIABLE_IN_PRINCIPLE off phi-total=0 with mean-renormalization declared; J13 SATISFIABLE_IN_PRINCIPLE; J15 SATISFIABLE_IN_PRINCIPLE	typing only
E07-line(a=-k,d=+k)	C1	NOT_WELL_POSED_POINTWISE	axis alignment is chart gauge: pi/2 screen rotation maps k -> -k (T1_e07_k_sign_is_chart); so(2)-invariant content = (tr K=0, det K=-k^2) i.e. |k|; the line as a chart set has stabilizer {0}	invariant object = unordered screen eigenvalue pair {-k,+k}
E07-line(a=-k,d=+k)	C2	SURVIVES_WITH_MODULI	abelian; 1 modulus k; same affine-renormalization caveat; ALSO: E07 line = det-one line = native 4D volume-blind line (T4_three_name_coincidence)	exact
E07-line(a=-k,d=+k)	C3	CONDITIONAL	no banked gate pins any k != 0 (T4_conditional_pins_on_isotropic_line: all cited pins lie on k=0); each banked conditional gate (SO(3)/SO+(1,2)/swap) forces k=0 under its supplied structure (07-27 full-class solves) [CR-1]; E07 exists as banked countermodel refuting unconditional spectator uniqueness (E02 record)	k unconstrained only ABSENT supplied structure; k!=0 pinned by no banked gate
E07-line(a=-k,d=+k)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE; J06 SATISFIABLE_IN_PRINCIPLE (k retained); J07/J11 as diagonal subfamily; J10 as family (orbit under so(2) = symmetric traceless det -k^2); J13 SATISFIABLE_IN_PRINCIPLE (this ledger retains it; eliminating it by GR-likeness would be the J13 false pass); J15 SATISFIABLE_IN_PRINCIPLE	typing only
isotropic-line(a=d=lambda)	C1	CONDITIONAL	the EXACT so(2)-fixed-point set of the class given split+H (T1_so2_fixed_set_is_isotropic_line): the only members invariant (not merely equivariant) under the residual screen gauge; reproduces the cited SO(2)-screen row (07-28)	strongest C1 status; still split-relative (full so(1,3) moves it)
isotropic-line(a=d=lambda)	C2	SURVIVES_WITH_MODULI	abelian; 1 modulus lambda; composition closes off total phi=0 with phi-weighted-mean lambda; constant-lambda assignment consistent iff single member	exact
isotropic-line(a=d=lambda)	C3	CONDITIONAL	SO(3)->lambda=+1; SO+(1,2)->lambda=-1; swap->lambda=0 (07-27, 07-28 reduced-structure table); centralizer dims generic 1 / +-1: 3 / 0: 1 (07-28, cross-checked); orbit-volume functional blind at lambda=-1/2 (rank-closure 07-27; V_q exponent 1+2*lambda; 3D orbit geometry, stationary R x S3 branch ONLY -- see T4 reconciliation)	every value conditional on its supplied structure; +1 and -1 belong to DIFFERENT supplied global structures (splice forbidden, 07-27)
isotropic-line(a=d=lambda)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE; J06 SATISFIABLE_IN_PRINCIPLE (lambda retained; determined only under supplied reductions); J07 SATISFIABLE_IN_PRINCIPLE (abelian); J10 SATISFIABLE_IN_PRINCIPLE under split (so(2)-invariant members); J11 SATISFIABLE_IN_PRINCIPLE with renormalization declared; J13 SATISFIABLE_IN_PRINCIPLE; J15 SATISFIABLE_IN_PRINCIPLE (residual lambda reported)	typing only
