unit_id	package	exploded_claim_count	clause_source_stamp_count	source_anchor_group_count	semantic_premise_profile_count	clause_source_stamps	shared_source_premise_ids	semantic_premise_ids	source_anchor_ranges	domain_and_premises	quantifier_guard	epistemic_labels	excluded_or_open_scope	primary_evidence	audit_result
P4-10	udt_p4_routeD_field_registration_2026-07-29	3	3	3	2	P4-10:registration:15eb3ecf1828|P4-10:no_amendment:c8e6d39f8f45|P4-10:domain_choice:57f6f1f423c1	P4-10:domain_choice|P4-10:no_amendment|P4-10:registration	SEM:b4dccd62b1948848|SEM:bdbfdb61fb41f820	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md:101-115|udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md:13-23|udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md:25-38	Route-B-analog class/coherence/cocycle/alphabet registration grade	REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a selected field census, exhausted field-response space, or mass verdict	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-11	udt_p4_routeP_seal_parity_2026-07-29	5	5	3	5	P4-11:parity_ladder:e79123346d02|P4-11:constant_cut:9db52284391c|P4-11:pairing_bifurcation:4fac224a5553|P4-11:pairing_bifurcation:4fac224a5553|P4-11:pairing_bifurcation:4fac224a5553	P4-11:constant_cut|P4-11:pairing_bifurcation|P4-11:parity_ladder	SEM:64a30881c3df0f53|SEM:b0ee47e4fcaeee9b|SEM:c6f678117257b245|SEM:d36167e6346f5c50|SEM:dd5c618b6c1b2580	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md:38-55|udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md:59-78|udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md:94-102	P0/P1 seal and pairing ladders in the registered stationary chart	PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a universal parity value or physical mass exclusion	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-12	udt_p4_gradient_seat_2026-07-29	3	3	2	3	P4-12:lock_emergence:ded62c93394d|P4-12:lock_emergence:ded62c93394d|P4-12:five_conditions:40a97f0030e7	P4-12:five_conditions|P4-12:lock_emergence	SEM:1cba375a6d7e522f|SEM:cb798c49d566cb72|SEM:d4bfa010709651a2	udt_p4_gradient_seat_2026-07-29/AUDIT_REPORT.md:30-49|udt_p4_gradient_seat_2026-07-29/AUDIT_REPORT.md:51-63	field-census, P1-4D, quadratic-at-lock, E0!=0 and five explicitly listed cutting conditions	WHEREVER_E0_NONZERO_WITHIN_NAMED_CLASS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	global constancy, dynamics, or a physical massive carrier	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-13	udt_p4_angular_completion_2026-07-30	4	4	1	4	P4-13:ra_selector_and_collapse:be8cb825be18|P4-13:ra_selector_and_collapse:be8cb825be18|P4-13:ra_selector_and_collapse:be8cb825be18|P4-13:ra_selector_and_collapse:be8cb825be18	P4-13:ra_selector_and_collapse	SEM:44a39af3a64fba4c|SEM:9bc8f816afa67e29|SEM:d72dc23d3cdea2fd|SEM:efcd300ebbb69509	udt_p4_angular_completion_2026-07-30/AUDIT_REPORT.md:28-63	typed R-A premise and explicitly separated banked versus unregistered completion classes	CONDITIONAL_ON_R_A_AND_CLASS_SCOPE	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	an adopted fold, universal selector, or class-independent collapse	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-14	udt_mirror_canon_provenance_audit_2026-07-30	5	5	4	2	P4-14:bridge_not_closure:2a75d12abca1|P4-14:bridge_not_closure:2a75d12abca1|P4-14:owner_split:8cd7e76e7497|P4-14:finiteness_anchors:b843360ec4c1|P4-14:g18_status:2a9ae4e74561	P4-14:bridge_not_closure|P4-14:finiteness_anchors|P4-14:g18_status|P4-14:owner_split	SEM:8b4e6df75ef04caa|SEM:df311a9ba601be7c	P4_ARC_SUMMARY_2026-07-31.md:39-42|udt_mirror_canon_provenance_audit_2026-07-30/CORRECTION_LAYER.md:89-101|udt_mirror_canon_provenance_audit_2026-07-30/CORRECTION_LAYER.md:91-96|udt_mirror_canon_provenance_audit_2026-07-30/PROVENANCE_REPORT.md:86-104	documented canon provenance and Charles's explicit split-and-keep ruling	PROVENANCE_CLASSIFICATION_NOT_NEW_DERIVATION	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	derivation of G18 closure	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-15	udt_p4_seam_closure_derivation_2026-07-30	4	4	2	3	P4-15:bridge_only:5c33fd3e4a0f|P4-15:bridge_only:5c33fd3e4a0f|P4-15:bridge_only:5c33fd3e4a0f|P4-15:picard_fold:fdc88f5a1540	P4-15:bridge_only|P4-15:picard_fold	SEM:203858980a6deded|SEM:6bf3c668628dcc70|SEM:e6b8be9a21969470	udt_p4_seam_closure_derivation_2026-07-30/AUDIT_REPORT.md:26-32|udt_p4_seam_closure_derivation_2026-07-30/AUDIT_REPORT.md:34-42	stationary seam, Branch-G-interior and exact three-premise Picard locus where invoked	BRIDGE_ONLY_GENERAL; FOLD_ONLY_ON_NAMED_LOCUS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	unconditional closure/fold selection or other arenas	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-16	udt_p4_boundary_action_gate_2026-07-30	5	5	1	3	P4-16:n2_wall_family:6d7b9617a427|P4-16:n2_wall_family:6d7b9617a427|P4-16:n2_wall_family:6d7b9617a427|P4-16:n2_wall_family:6d7b9617a427|P4-16:n2_wall_family:6d7b9617a427	P4-16:n2_wall_family	SEM:020ecd49ca8e73c2|SEM:4dab0b94421151e9|SEM:b99113dd7676dbeb	udt_p4_boundary_action_gate_2026-07-30/AUDIT_REPORT.md:28-60	N=2 first-germ wall layer, per realized configuration and per discrete posture	AT_REALIZED_GERM; POSTURE_CONDITIONAL	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	N=4/higher germs, posture selection, corners, or dynamics	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-17	udt_p4_period_gate_2026-07-30	8	8	3	6	P4-17:real_target_no_lattice:6fbb5d4f99b3|P4-17:real_target_no_lattice:6fbb5d4f99b3|P4-17:real_target_no_lattice:6fbb5d4f99b3|P4-17:real_target_no_lattice:6fbb5d4f99b3|P4-17:no_posture_selection:d8615b226c07|P4-17:mass_sector_map:ff89253a5ca1|P4-17:mass_sector_map:ff89253a5ca1|P4-17:mass_sector_map:ff89253a5ca1	P4-17:mass_sector_map|P4-17:no_posture_selection|P4-17:real_target_no_lattice	SEM:06db5d7451fcf34a|SEM:1d059979f2daf2fa|SEM:3babcd7ef420e431|SEM:732924beb1061a4f|SEM:885ba710d24b7702|SEM:9b14dc6b76a1785b	udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md:33-56|udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md:57-65|udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md:66-90	registered completion-cycle census, stationary quadratic class, named postures/censuses/pairings	REAL_TARGET_THEOREM_ON_BANKED_CENSUS; EXOTIC_COMPLETIONS_OPEN	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	absence of integers for an added compact target or unregistered topology	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-18	udt_p4_stability_slice_2026-07-30	5	5	1	5	P4-18:stability_composite:f95d2f7d4ac0|P4-18:stability_composite:f95d2f7d4ac0|P4-18:stability_composite:f95d2f7d4ac0|P4-18:stability_composite:f95d2f7d4ac0|P4-18:stability_composite:f95d2f7d4ac0	P4-18:stability_composite	SEM:77103943f34ab5af|SEM:783e340edd2ba1e8|SEM:996ed4c599ace860|SEM:c02b61e55f01f24f|SEM:f7bf594ec1b33fdd	udt_p4_stability_slice_2026-07-30/AUDIT_REPORT.md:32-69	reduced stationary second variation, N=2, declared wall-germ and pairing branches; ell=1 normalization where stated	SECTOR_STABILITY_NOT_FULL_DYNAMICAL_STABILITY	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	full joint stability with unpinned germ curvature/lambda-Schur, time evolution, or a physical particle	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-19	udt_p4_doorway_study_2026-07-31	6	6	1	4	P4-19:doorway_composite:4fe60dd65517|P4-19:doorway_composite:4fe60dd65517|P4-19:doorway_composite:4fe60dd65517|P4-19:doorway_composite:4fe60dd65517|P4-19:doorway_composite:4fe60dd65517|P4-19:doorway_composite:4fe60dd65517	P4-19:doorway_composite	SEM:660b66e136617fa3|SEM:93bdf7822ae79fb1|SEM:960a83d0a68e0e4f|SEM:ddf30de63c1b17ae	udt_p4_doorway_study_2026-07-31/AUDIT_REPORT.md:29-79	registration test with an ADJOINED U(1) factor and REGISTERED-POSIT S1 field	REGISTRATION_NOT_OWNERSHIP_OR_ADOPTION; K4_CHARACTERS_NOT_WHOLE_K4	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a native carrier, adopted field, or on-shell integer selection	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-20	udt_p4_coupling_derivation_2026-07-31	7	7	4	6	P4-20:six_class_menu:3234a82f34a0|P4-20:ctheta_lattice:da80c0ad97d0|P4-20:massive_disjointness:d1a93b096d95|P4-20:massive_disjointness:d1a93b096d95|P4-20:massive_disjointness:d1a93b096d95|P4-20:ctheta_lattice:da80c0ad97d0|P4-20:sheet_not_state:19b55e434c3f	P4-20:ctheta_lattice|P4-20:massive_disjointness|P4-20:sheet_not_state|P4-20:six_class_menu	SEM:02fee425624d1ff0|SEM:2059786dbf7fcd4b|SEM:30f700852cd836b6|SEM:32d743ac069072fb|SEM:a1051852a363767a|SEM:fbf854c85dd60c76	udt_p4_coupling_derivation_2026-07-31/EXACT_DERIVATION.md:154-164|udt_p4_coupling_derivation_2026-07-31/EXACT_DERIVATION.md:196-210|udt_p4_coupling_derivation_2026-07-31/EXACT_DERIVATION.md:26-77|udt_p4_coupling_derivation_2026-07-31/EXACT_DERIVATION.md:84-106	IF-ADOPTED theta, six-class declared menu, banked N=2 completion/census/parity layers	CONDITIONAL_MENU; C_THETA_DATA_NOT_BANKED_MASS_PARAMETER	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a selected coupling, particle spectrum, or unconditional mass quantization	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-21	udt_p4_timelive_map_2026-07-31	6	6	3	2	P4-21:map_only:3f0a70f12aec|P4-21:premises_and_rulings:deb3c3d5d714|P4-21:premises_and_rulings:deb3c3d5d714|P4-21:premises_and_rulings:deb3c3d5d714|P4-21:premises_and_rulings:deb3c3d5d714|P4-21:staged_program:efa1c074dde1	P4-21:map_only|P4-21:premises_and_rulings|P4-21:staged_program	SEM:cac90bb384b4b5e6|SEM:ce781bf45c3a134a	udt_p4_timelive_map_2026-07-31/TIME_LIVE_MAP.md:1-8|udt_p4_timelive_map_2026-07-31/TIME_LIVE_MAP.md:147-165|udt_p4_timelive_map_2026-07-31/TIME_LIVE_MAP.md:68-145	authorized time-live MAP and premise ledger only	MAP_AND_OWNER_RULING	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	T1-T4 results merely from the map	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-22	udt_p4_timelive_stage_T1_2026-07-31	12	12	6	5	P4-22:scope:a67ca2cc22ee|P4-22:scope:a67ca2cc22ee|P4-22:shift_and_clock:3b7c6e08a3d5|P4-22:shift_and_clock:3b7c6e08a3d5|P4-22:shift_and_clock:3b7c6e08a3d5|P4-22:k4:434aafd06a4c|P4-22:requirements:19660cf8dc86|P4-22:requirements:19660cf8dc86|P4-22:static_control:59e03a502d92|P4-22:static_control:59e03a502d92|P4-22:lock_fork:66a47969e5ab|P4-22:lock_fork:66a47969e5ab	P4-22:k4|P4-22:lock_fork|P4-22:requirements|P4-22:scope|P4-22:shift_and_clock|P4-22:static_control	SEM:0c36618fec579908|SEM:26bc5e973dacd138|SEM:2c1de561b5707019|SEM:724b3de755c4a1e8|SEM:c6478113bfe93ce0	udt_p4_timelive_stage_T1_2026-07-31/AUDIT_REPORT.md:149-161|udt_p4_timelive_stage_T1_2026-07-31/EXACT_DERIVATION.md:1-15|udt_p4_timelive_stage_T1_2026-07-31/EXACT_DERIVATION.md:149-207|udt_p4_timelive_stage_T1_2026-07-31/EXACT_DERIVATION.md:22-42|udt_p4_timelive_stage_T1_2026-07-31/EXACT_DERIVATION.md:315-330|udt_p4_timelive_stage_T1_2026-07-31/EXACT_DERIVATION.md:93-116	time-live posing, registered chart, jets<=2, both lock readings, static controls	POSED_DOMAIN_NOT_SOLVED_RESPONSE; SHIFT_STATUS_READING_CONDITIONAL	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a selected lock reading, integration-layer identity, or time-live solution	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-23	udt_p4_timelive_stage_T2_2026-07-31	11	11	7	4	P4-23:pointwise_outcome:eb522d6d937e|P4-23:phi_and_bare_t:7e93998f4321|P4-23:phi_and_bare_t:7e93998f4321|P4-23:rn_survival:00018bc464df|P4-23:reading_map:d1853fc5ae8c|P4-23:reading_map:d1853fc5ae8c|P4-23:reading_map:d1853fc5ae8c|P4-23:static_embedding:f5db8701b662|P4-23:noether:44642aaf3c96|P4-23:noether:44642aaf3c96|P4-23:c1:1c49a91fc20f	P4-23:c1|P4-23:noether|P4-23:phi_and_bare_t|P4-23:pointwise_outcome|P4-23:reading_map|P4-23:rn_survival|P4-23:static_embedding	SEM:180d12c3b0ece351|SEM:73e8183aa4cd34c9|SEM:9321fc744f2cc310|SEM:98741a11ccb4e66a	udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:100-125|udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:127-158|udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:162-180|udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:190-207|udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:211-224|udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:22-49|udt_p4_timelive_stage_T2_2026-07-31/EXACT_DERIVATION.md:250-255	pointwise time-live module at unconditional layers, with stratum qualifiers and both readings	FORMAL_MODULE_EMBEDDING_NOT_FIXED_REALIZED_SOLUTION	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	integration-layer gauge closure, unique response, or on-shell coexistence	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-24	udt_p4_timelive_stage_T3_2026-07-31	9	9	2	8	P4-24:amended_native_layer:0e247599c105|P4-24:amended_native_layer:0e247599c105|P4-24:amended_native_layer:0e247599c105|P4-24:driver_conditions:9050cc819c5c|P4-24:driver_conditions:9050cc819c5c|P4-24:driver_conditions:9050cc819c5c|P4-24:driver_conditions:9050cc819c5c|P4-24:driver_conditions:9050cc819c5c|P4-24:driver_conditions:9050cc819c5c	P4-24:amended_native_layer|P4-24:driver_conditions	SEM:035bdbc3d0715933|SEM:09962e2eea75d7eb|SEM:3224953987f60ff5|SEM:4fbd665ed47c7f5c|SEM:baa5aa7451d80bc0|SEM:bba4bf02b34eb603|SEM:c7cd49b5e72f82a9|SEM:e54ab38519eb71f5	udt_p4_timelive_stage_T3_2026-07-31/AUDIT_REPORT.md:147-173|udt_p4_timelive_stage_T3_2026-07-31/AUDIT_REPORT.md:175-202	banked untwisted completion census; IF-ADOPTED theta layers; kinematic label grade	UNTWISTED_NATIVE_CENSUS; PROVISIONAL_IF_ADOPTED_MARRIAGE	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	twisted mapping-torus census, dynamics, state quantization, or mass cuts	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-25	udt_p4_angular_map_2026-07-31	5	5	5	3	P4-25:map_only:bf3e4451d3bb|P4-25:torus_first:0258adc9a178|P4-25:kill_scope:cdb055607512|P4-25:premise_rows:83447c22fd21|P4-25:a3_pose:354a5aa739c4	P4-25:a3_pose|P4-25:kill_scope|P4-25:map_only|P4-25:premise_rows|P4-25:torus_first	SEM:27ebc0be49981d34|SEM:9e795d439992209b|SEM:edcadce3b5bae2b8	udt_p4_angular_map_2026-07-31/ANGULAR_MAP.md:1-8|udt_p4_angular_map_2026-07-31/ANGULAR_MAP.md:131-149|udt_p4_angular_map_2026-07-31/ANGULAR_MAP.md:164-175|udt_p4_angular_map_2026-07-31/ANGULAR_MAP.md:64-82|udt_p4_angular_map_2026-07-31/ANGULAR_MAP.md:88-125	cleared angular MAP only	MAP_AND_OWNER_TORUS_FIRST_SEQUENCE	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	an angular result before A1-A3	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
