record_id	cluster	independence_label	method_or_command	status	residual_or_count	evidence_and_limit	raw_output
IR11	absorption/dichotomy stability	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh 2x2 principal-minor criterion	PASS	0	With positive diagonal stiffness, PSD of the first Dirichlet block is equivalent to 64 E0^2 ell^4 <= gp cm pi^4.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR12	absorption/dichotomy stability	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: independent sign analysis of rank-one crossing scalars	PASS	both crossing scalars <0 for s>1,J>0,w(1)>0	The reduced odd-pinned rank-one update crosses the unique negative direction; this does not decide the unpinned wall-germ or lambda-Schur sectors.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR13	time-live embeddings/readings	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh 2x2 shear and Schur-complement calculation	PASS	0	The projected reading is shear invariant and removes N locally where the registered shear is admissible; coordinate g_xx is not invariant.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR14	angular reading/mode claims	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh block-shear/Schur-complement calculation	PASS	0	The full projected spatial reading is invariant under both angular slack directions; the coordinate reading carries irreducible m only after its pin is chosen.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR14A	angular reading/mode claims	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh mode-phase cancellation under anchor shift	PASS	ratio=exp(shift*(p - q)),derivative_residual=0	The same p=q forcing applies to every Fourier label because the angular phase is a spectator; this is a formal mode-uniformity result, not mode selection.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR15	time/angular embedding controls	INDEPENDENT_PARSER_OR_REGRESSION	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: independent ledger parse and declared-control census	PASS	T2_rows=26,A2_rows=29	This is a parser-level control only; it is not an independent proof that a fixed realized solution embeds.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR16	A3 cap/Hopf/holonomy/C1	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh direct determinant parser on cited upstream cap vectors	PASS	rows=104,unit=104,record_match=104	Direct dependency hash=ceecb5837ff8652c83c0ba72c67645182b1fd30f6e437026bd735c4d813bdfdf; this cited dependency is not itself a row of the 311-source frozen inventory.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR17	A3 cap/Hopf/holonomy/C1	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: direct curvature integral with owned 4pi fiber normalization	PASS	-1	The chosen Hopf orientation/normalization gives fixed c1=-1; it is architecture, not a solution charge.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR18	A3 cap/Hopf/holonomy/C1	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh exponential shear-invariance and continuum witnesses	PASS	shear_ratio=1,witnesses=[1, I, -1]	Owned-fiber holonomy is shear invariant but continuous; a global real lift has no nonzero winding.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR19	A3 cap/Hopf/holonomy/C1	INDEPENDENT_PARSER_OR_REGRESSION	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: independent complete-row stamp parser	PASS	rows=126,required_columns=9	The amended census is mechanically complete at its declared smooth-regular row schema; this does not prove on-shell completeness.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR20	A3 cap/Hopf/holonomy/C1	INDEPENDENT_PARSER_OR_REGRESSION	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh source-ledger parser and field digest reconstruction	PASS	digests=120,matches=120	Mode-zero C1 recovery matches 20x6 source fields; this is an independent parser/copy check, not new algebra.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
