unit_id	path	git_blob	sha256	size_bytes	role
P4-14	udt_mirror_canon_provenance_audit_2026-07-30/PROVENANCE_REPORT.md	e4da06f5835ab85aaf9011261397ec2566cf05d0	3d6f74b7f79a4bf87552cf782ba461fdb91274ca9817a8c59c8a23aefcdfb659	33495	PACKAGE_RECORD
P4-14	udt_mirror_canon_provenance_audit_2026-07-30/REGRADE_OPTIONS.md	969ef81abf312b21bd0f72702446bb82c2cb719f	61a23434dacdcf022b04d8e932bce002dc8d3e6678992789d5838c57945a5a1d	7845	PACKAGE_RECORD
P4-13	udt_p4_angular_completion_2026-07-30/AUDIT_REPORT.md	44ca3458d25b49c1bd6586c902811a9c10651a2b	38e53d1efdf4f2fe6ae21bb0f316cd70250fe3a4807c50021615b461195f1241	15720	LOAD_BEARING_REPORT
P4-13	udt_p4_angular_completion_2026-07-30/CORRECTION_LAYER.md	150d0b50a3c302fe31d1fe5f925f2ef05d67e6de	9af013c3ff46958cd6589f2cade87fd96832b7b2dba9f5ec8049d8c06e3387a4	14827	PACKAGE_RECORD
P4-13	udt_p4_angular_completion_2026-07-30/DECISION_SURFACE_UPDATE.md	3e76721b7d637495093ef0dfc78bbf28a1f611c0	a0e81b2ecad739b92acb0aa6f69f9d8f2bd9442a01e67ebef72af42a9a94e422	8012	LOAD_BEARING_REPORT
P4-13	udt_p4_angular_completion_2026-07-30/DERIVATION_STDOUT.txt	583df9596912cd55692084c772803bd46a89cc5d	382b10984e8fcc14da09a0418a90dbc4e61719c7339e1f2a2a4432799ff4b8ad	10211	MACHINE_OR_RAW_EVIDENCE
P4-13	udt_p4_angular_completion_2026-07-30/EXACT_DERIVATION.md	17f844d8968afc50894c6384f9d8c3aae043fb7e	9414bdf2a133814f87a7a3cce9316c056be6fd09e87607f55125934107b47c17	22345	LOAD_BEARING_REPORT
P4-13	udt_p4_angular_completion_2026-07-30/PREREGISTRATION.md	3727a22896eeb3d80e9a79b2d4e75f292f7ebc2e	0628e8886ca38383f2ae992c9a2f3e33598a29d035f11a7e778d633ddded2d6f	8136	PREREGISTRATION
P4-13	udt_p4_angular_completion_2026-07-30/SELECTOR_LEDGER.tsv	48bd4b3917a377a8940b3ad10db774eb14672ce1	7b3fa9c4287f8225ee6deef38f2b1b3ae2ddf5ab7a88d89dbcc30164b5345a4b	4360	MACHINE_OR_RAW_EVIDENCE
P4-13	udt_p4_angular_completion_2026-07-30/VERIFIER_INDEPENDENT_CHECK.py	7d63d45aa2cf66997268e2f39dde1d51fd1258b3	36a7596b1c8d576393783e8a5ff9405e70e8f074b5402556d06bd3c5136e8049	10895	VERIFIER
P4-13	udt_p4_angular_completion_2026-07-30/VERIFIER_REPORT.md	480c78379453a619bb8b12e3997381f8242285b2	94714ee7ea814f965ad1988ddb170eca9c42bd6eff5611b5104635bf4c131bfc	23881	VERIFIER
P4-13	udt_p4_angular_completion_2026-07-30/angular_completion_results.json	ef1bbcad2c1983d3ce142f04fcfd540adfa728cb	bf21ee720d5b918d91f808788b476948ed92ed8de8523218c7018ed1246dc6e3	5806	MACHINE_OR_RAW_EVIDENCE
P4-13	udt_p4_angular_completion_2026-07-30/derive_angular_completion.py	623f8d0f2d60e768f14e888748da2a3a13986a00	c14ab6b1ac5aa57602a3971ea348d39ed3ec9c16dc6ca2a77a4d20768e59e859	40522	EXECUTABLE
P4-25	udt_p4_angular_map_2026-07-31/ANGULAR_MAP.md	2efd41596f1f41a795587aa43bfb212079acbc51	0145d88376420fa4b557074bad72327b1902a8e25f8cf82bb76755ada8a0b28e	12407	PACKAGE_RECORD
P4-26	udt_p4_angular_stage_A1_2026-07-31/ANGULAR_A1_LEDGER.tsv	1d28fdf1d2f0608c6bba17e4e505444192d0e7e9	474cc92bb38697dbc130b88c57e00df05f2ef5bf0ce21a7fa0be564738a8e51f	27531	MACHINE_OR_RAW_EVIDENCE
P4-26	udt_p4_angular_stage_A1_2026-07-31/AUDIT_REPORT.md	57323180469ac1a9c68121da7f74285e172b90dd	ab2a247638f45b9478d428a70e5c905a2cf399040b5d1a1e037bc2289131efcb	18280	LOAD_BEARING_REPORT
P4-26	udt_p4_angular_stage_A1_2026-07-31/CORRECTION_LAYER.md	fe687b9ffd55ff20614c6fc8c1d176ae516b4047	ccd7e90794669c978368c7a3f0eb96e625d14dac38e2dd678beabd7b20c843f2	6128	PACKAGE_RECORD
P4-26	udt_p4_angular_stage_A1_2026-07-31/DECISION_SURFACE_UPDATE.md	a2f13ee959a0badc2715b12422c22def8132853e	0463e6d1d016e0eb83d7380c453f28070feb5aeb30fa89931f7986cd1a5494d3	8386	LOAD_BEARING_REPORT
P4-26	udt_p4_angular_stage_A1_2026-07-31/DERIVATION_STDOUT.txt	22eb07e15b4d7291ee5a41e47fd818510952fefd	6bfa1a5f9b1ed47cad195ad6aaf1231104c6a8fdea67fd6f089aa897e56a13d1	22070	MACHINE_OR_RAW_EVIDENCE
P4-26	udt_p4_angular_stage_A1_2026-07-31/EXACT_DERIVATION.md	7938aaeff3e9b99d2aa9c96cf2dec65c8b4202d4	518361a7796da7c1edb008e523bbabe9a82f06d30800b349576ce963e1ec9d0a	26006	LOAD_BEARING_REPORT
P4-26	udt_p4_angular_stage_A1_2026-07-31/PREREGISTRATION.md	e27545d3b8801d0b1b67e4e69076d7771cb29f5c	988a699b4efb4be0e4c109e970b068305032345f10b33350719290538c18556b	7492	PREREGISTRATION
P4-26	udt_p4_angular_stage_A1_2026-07-31/VERIFIER_INDEPENDENT_CHECK.py	87eb2987b25ab8d9e648c95dab3ccf6cb92cd9c2	0855a5ffb70aae6016d526e419c6632e832a39f3561ba80c467c627eeb45d6b2	20803	VERIFIER
P4-26	udt_p4_angular_stage_A1_2026-07-31/angular_A1_results.json	a8df4266f83ecbd12affc0577d961d042b2b55a0	4589bcae8fb7eacb11337d7398b0bbbc8c28945b5072ce7659f16110391900c9	30249	MACHINE_OR_RAW_EVIDENCE
P4-26	udt_p4_angular_stage_A1_2026-07-31/derive_angular_A1.py	b94b4c81bf5743d417e28baddbe9bea10e06f018	67c928670aeaaf840858d3840fbd8d0b84fb1bde81f0649af6f89ea61562c889	52459	EXECUTABLE
P4-27	udt_p4_angular_stage_A2_2026-07-31/ANGULAR_A2_LEDGER.tsv	153950b5a81d6b7a923c923bb68dd96b175187e6	23dac0102060befdc3e7d22e06ca5015d733020f62c5e1266a7d70870d020867	13865	MACHINE_OR_RAW_EVIDENCE
P4-27	udt_p4_angular_stage_A2_2026-07-31/AUDIT_REPORT.md	ad07a4bdcc277ffb22eb831667c9fdd73a7d997d	773fa5187638fa5943f84dc4ab3e73d9f9423d3ff20e0239a2b36d96c524034c	13247	LOAD_BEARING_REPORT
P4-27	udt_p4_angular_stage_A2_2026-07-31/CORRECTION_LAYER.md	788125b70bee95c304e800ad7b1e8ba45679f1b9	a5e353be3c64054ce5838dac1cc6a2f7c87052a602cf280b326a2e61973e2865	867	PACKAGE_RECORD
P4-27	udt_p4_angular_stage_A2_2026-07-31/DECISION_SURFACE_UPDATE.md	a2e2b3776f111a1773cc05ab589823167eadb361	d6b3f67d56d00f9c4f7bfdc67386ae9759fa941467b058998473a1173dc8db30	3903	LOAD_BEARING_REPORT
P4-27	udt_p4_angular_stage_A2_2026-07-31/DERIVATION_STDOUT.txt	1a29e603d53ebebb7c8c6bec59eeace1550fc912	51989444acaf6d99c9811483fcad9dfe0f56258e25b463f729df3df5ad19e9b4	27493	MACHINE_OR_RAW_EVIDENCE
P4-27	udt_p4_angular_stage_A2_2026-07-31/EXACT_DERIVATION.md	b5fa3585345c7c78f24b1a62d4c15b707f938bf6	0be1f313ca8411097d765d970aeb2aa24a5a6056dfaad0f08c2ec4770791edd3	23942	LOAD_BEARING_REPORT
P4-27	udt_p4_angular_stage_A2_2026-07-31/PREREGISTRATION.md	964d1bbd2c492593df4cebbf7581c23facd0ff7c	efa27f140db394f3f25b3aa260a74d869d3873b852f3d98d27a68feb6e35e1a0	5324	PREREGISTRATION
P4-27	udt_p4_angular_stage_A2_2026-07-31/VERIFIER_INDEPENDENT_CHECK.py	9c4e78632bab5576d96ac1e4cf20630dedadf943	fdd3f1cca712b546a8f94e2cb830f34e29ebccb150dffa820787470452612f29	29496	VERIFIER
P4-27	udt_p4_angular_stage_A2_2026-07-31/angular_A2_results.json	57b75e232135ea16f12eca57d3cc19ae8296d136	552a8888be1ba2c21e8b734c2ace61192139e21ca56fb304c29f7087a96bdf3a	32546	MACHINE_OR_RAW_EVIDENCE
P4-27	udt_p4_angular_stage_A2_2026-07-31/derive_angular_A2.py	667bd0ed8ba4f0b255eec69f2707bcd6b7cc38a5	17b4808b06fb7ca6c7e931c1c0dae9be8f267bd3161c995a4d43aeca29f95b00	78462	EXECUTABLE
P4-28	udt_p4_angular_stage_A3_2026-07-31/ANGULAR_A3_LEDGER.tsv	5e90be9408115ce758e482b578bd9ebf2fd75e6d	1bf51b309ad41bb424785891cc07feeee6225aa18c33acdc6624fc3a5c72f90d	74660	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md	14a6a8f701c118f00f8a6ee0792c79770d928532	a1a7e875a60e9c63e6d05583abcab6012f0677c90fe113d99d172b5dd50c5bb3	11350	LOAD_BEARING_REPORT
P4-28	udt_p4_angular_stage_A3_2026-07-31/C1_MODE_ZERO_PERIOD_RECOVERY.tsv	76e45bf595dfce21a09d75a453c211cb84ca7feb	52b6a4abb84328af9f0d1969f0ba53da8ab5fb3a0ebfa02ea4594a7e12750fc5	17481	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/CORRECTION_LAYER.md	023ecef4f2d628b69dcbd16f61415f18a22b9d53	c1f23ec13940d937e581e7f8bed347d31885c37fbea924263919ac0804f18928	5954	PACKAGE_RECORD
P4-28	udt_p4_angular_stage_A3_2026-07-31/DECISION_SURFACE_UPDATE.md	d098edf28a7efe9082c08e4fab317b0a0a9ce56a	1ffdcc6907f0a16d759b90ee4571eda1e89c9ed43dface93441172b6cde3a18b	3362	LOAD_BEARING_REPORT
P4-28	udt_p4_angular_stage_A3_2026-07-31/DERIVATION_MANIFEST.sha256	ba70680c1c525a669b4e1a529d80e56a21f720f8	24d88aedc94f2730159cc3531b6a6a893ff9afff1eaef0eac7f474ace7afe3bb	1603	PACKAGE_RECORD
P4-28	udt_p4_angular_stage_A3_2026-07-31/DERIVATION_STDOUT.txt	c77eba70fd77a5c29784dc01a422f14855765d7e	a103d324f8eda40315b301e892cb25dd93ddb91a358ddd2686dd844dbfbc3a69	3276	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/EXACT_DERIVATION.md	0d6e38836da803fda242a929cff0875dc9a301a0	114de1ae9ee30c97bfe32fe40977999cd0dcf3652f08cca0ea365deddf0d020b	17812	LOAD_BEARING_REPORT
P4-28	udt_p4_angular_stage_A3_2026-07-31/PREREGISTRATION.md	b868f28e7d84582b18f7d3ea6fc5898f2f72c803	fbd16a3d33ae5c2b71c9940fb3c2f07b700997a891b5dd44f861a05df97e2fa7	9614	PREREGISTRATION
P4-28	udt_p4_angular_stage_A3_2026-07-31/REHEARSAL_VERDICT.md	7bc59475150eb88ff94a8290221ee04f0ed072be	8f514d3cb4af10b6f01935e7afd850446135d35ddc570750a70ad7e6f3cae25f	2360	PACKAGE_RECORD
P4-28	udt_p4_angular_stage_A3_2026-07-31/STAGE_ALPHA_LEDGER.tsv	68947f01a209fcbb9476989324ef9b54e1dd8e96	bec3d4f22c4a6a977490691e1abfa798be533890ea6e4d6d54ddba4693a93a67	50099	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/STAGE_ALPHA_STDOUT.txt	0803c403ff2dd9a450b7c3d6fe880fcecd3d390a	0799022fb97cec3ded708467642db7a22480ae9d25b1da7e81bec793800dffd2	1117	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/STAGE_BETA_LEDGER.tsv	f1436c3604c29e4912cc278c3095fec4197daf1c	67fd5fb2670c81f20739c6397d4f737526f0c01f88b27a71874b46f3bf0861c4	66645	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/STAGE_BETA_STDOUT.txt	9e1c36ac073f3fd45769930736cdf094131a462b	0626799e5205e6280b39997a740a4c53112514c354afa96ba5f5a722a86e0950	2050	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/STAGE_GAMMA_LEDGER.tsv	5e90be9408115ce758e482b578bd9ebf2fd75e6d	1bf51b309ad41bb424785891cc07feeee6225aa18c33acdc6624fc3a5c72f90d	74660	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/STAGE_GAMMA_STDOUT.txt	c77eba70fd77a5c29784dc01a422f14855765d7e	a103d324f8eda40315b301e892cb25dd93ddb91a358ddd2686dd844dbfbc3a69	3276	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/VERIFIER_CLOSURE_CHECK.py	6641197b6a52562bf3914fe2d024649491960005	3ca958d3d056ea8e110b774b27047573906ae4861984c86a76a38921d3bdd234	18853	VERIFIER
P4-28	udt_p4_angular_stage_A3_2026-07-31/VERIFIER_CLOSURE_RESULTS.json	cf45db6934c0f090a856a8f2a148d694577beda3	0217d60b42bd34d5787f73b219ef651c2e9c13ddf86bac3a71bd1ea9f37d7e5c	5530	VERIFIER
P4-28	udt_p4_angular_stage_A3_2026-07-31/VERIFIER_INDEPENDENT_CHECK.py	a3c4e7b8e7fc2647cad69b890250348422f1fc4a	ff151fa8750e0bd6a2e7995468e03f209c9d5581c037b50cd2b28bf5f9fb6466	14088	VERIFIER
P4-28	udt_p4_angular_stage_A3_2026-07-31/VERIFIER_INDEPENDENT_RESULTS.json	09fd49c498234d4e6a5ec7c7a945d66282f04ce0	3eaf1e3b59d8625dc6e209c3d4df8ca94e5289e0832af7466389da5876d6fed6	6398	VERIFIER
P4-28	udt_p4_angular_stage_A3_2026-07-31/VERIFIER_REPORT.md	0874baa12b8ae9cec415c28017e99c81eb2bdf2b	9ae5a85392b69fbf78417c10c55e6ff46480b09d165c53fa7a9159cb307930c8	9184	VERIFIER
P4-28	udt_p4_angular_stage_A3_2026-07-31/angular_A3_results.json	27c09c7bb5b2efcc1edf187431ca87a0ee6d06ec	433a06000e1496be804c5cf8a64564b94cfb309995ba64f999c582302606e2e8	19744	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/derive_angular_A3.py	c2afe4c2acff18e8f9c1bacafa9a86f02364c402	2d66fd881a456bca0c916dafd92bbd9f4a729b2b04c9ba9480290e94d770bdba	48157	EXECUTABLE
P4-28	udt_p4_angular_stage_A3_2026-07-31/stage_alpha_results.json	3ed70eb4bbf59aa7ac2310363e7c816f31e85a1a	d7fa9afd2048cafc59889db641ff49885e9029e752a5e167d5fa068c250cb9be	5044	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/stage_beta_results.json	a323d79d31e2e53fc23a4e4265a4d87d4e39fe3f	cdfe2076b6204c9b5009f97c5a2998acac623f25a296a55dd3915f93ab02bc81	9400	MACHINE_OR_RAW_EVIDENCE
P4-28	udt_p4_angular_stage_A3_2026-07-31/stage_gamma_results.json	5add59acb20d0fcb8775b39e713e8c0288abb9d7	62b92285a093844861a6a7f6f02606471cf354eac13b04b9238491db9437fbb4	14876	MACHINE_OR_RAW_EVIDENCE
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	2022a73df1427fded7c808c47600bd0a2528fad9	184dc0d4f65035947c5df58286f5ff2745670bedb33bd6af16c7a9048159931c	15751	LOAD_BEARING_REPORT
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/CORRECTION_LAYER.md	fe6cdb66fd3b33afa17053fb47d457508b53c1a4	f1dc04e6ae473880163a2a53de92f287c5ad35245ee1516e91c385848f02a458	11698	PACKAGE_RECORD
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/DERIVATION_STDOUT.txt	b7b62150d1c1f8cae44e7cdc0f907719033a9e8e	3e758d477c8a60514e669cdcdaabc57303d2741a27f16ff4b9483900bd3c1c57	14036	MACHINE_OR_RAW_EVIDENCE
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/EXACT_DERIVATION.md	c9ee63a0213cde0d32a88d97a72feb2d7fed8385	5a797b1816470432ffd836aeca70a004cd57a4a5ad8f0077f96f5ea25ed111c6	23339	LOAD_BEARING_REPORT
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/FORCING_LEDGER.tsv	db32961de7a69ed943727aa0e989dca1c5c04464	8c82b6c808cea4b74d6401d2b34738719debee33450bdfb4290580ea97e870f9	8074	MACHINE_OR_RAW_EVIDENCE
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/PREREGISTRATION.md	312727cebb8d97f811cbd7c8c9a97c41d98c13b2	d524ef25da8f67c452adc8efb48e0f37f343e7a68e0abc12a05e36b056c8958d	9346	PREREGISTRATION
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/RESIDUAL_DECISION_SURFACE.md	12df4d3fa2e664bb0e00e5472c2274a5b38084d3	8f60540da75ec2c4f8fa2c8bab6f88d35cc4660c48db5cdb86e238e08da17a30	6544	PACKAGE_RECORD
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/VERIFIER_INDEPENDENT_CHECK.py	bd8217319a862db7ae305ec75f0ea8dcb0b25946	952eabe7c257133d066e3f62aa265317e4b944a3790a60d33e952720bea053a7	13520	VERIFIER
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/VERIFIER_REPORT.md	718d50553f927b201ceaf40248eca495e619ec05	294e291f0dc921ed65cb7d51bbf170ac15e85013b5539e6e32d8df28cace4892	17376	VERIFIER
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/bookkeeping_forcing_results.json	08fd33dd1fe0f2b3237cfe3e7d79fc60d763dce0	ab53c512eadf49a931220bb7ec8ba8f2d99c4349d606e5c3e30c824ac6ee7221	16010	MACHINE_OR_RAW_EVIDENCE
P4-09	udt_p4_bookkeeping_forcing_2026-07-29/derive_bookkeeping_forcing.py	2d43cc83056f11b29f1b3fd45cc1eb585835bde8	15917d45aaf92d0443e69d4d0ee9876ddd1a7f3b03f2942c057887e821912e06	34437	EXECUTABLE
P4-16	udt_p4_boundary_action_gate_2026-07-30/AUDIT_REPORT.md	a70eae46c13dcf6e735e7fe8109b06a47e5a26a5	0e2a7f7f6ea406c9634ae353ef6c2106c7d1f8623fae9b342e682a461b8eb047	15928	LOAD_BEARING_REPORT
P4-16	udt_p4_boundary_action_gate_2026-07-30/CORRECTION_LAYER.md	0b4b156cd8043bc4892df93f97fc36fde9b02aeb	2fc43557fd8852da24974f5be217ac200c45473ed67ff98f095d77e13890e4c4	15422	PACKAGE_RECORD
P4-16	udt_p4_boundary_action_gate_2026-07-30/DECISION_SURFACE_UPDATE.md	2f33cf196543cb71962f49ac2fe8406be6cf4ea2	5a4e7280b3c6985d5bb538254dd72d9d1ac02d210dffb5f0213f4abd47c1c147	6538	LOAD_BEARING_REPORT
P4-16	udt_p4_boundary_action_gate_2026-07-30/DERIVATION_STDOUT.txt	8d72ea5ce44873909bad5c5a67c1e6a7e968337f	dcd8dbe367fde4f112601651033e4a5da34a321c176f8a6a0a321ca073fd9611	6571	MACHINE_OR_RAW_EVIDENCE
P4-16	udt_p4_boundary_action_gate_2026-07-30/EXACT_DERIVATION.md	9963eebce454fc0f725bf75862785ceaba37670b	4ae2bc6ee6c3dd309c12a38a3ac8b840d5f6839da6a74c0e42a4c836d0c5cb9d	24222	LOAD_BEARING_REPORT
P4-16	udt_p4_boundary_action_gate_2026-07-30/PREREGISTRATION.md	857d75fa7e5a4f50bebb542a7449ff854c980cb3	c258578eb2a64179d40814265664f5d8149826ae1b26a0d4f5b3e97afde64287	9363	PREREGISTRATION
P4-16	udt_p4_boundary_action_gate_2026-07-30/VERIFIER_INDEPENDENT_CHECK.py	2a56310a32bb68d1499a9a09eba7d1a75d596a05	53d33650239194c986512af829caefb63bbd838b1b4288823a54d267967cdaa9	9832	VERIFIER
P4-16	udt_p4_boundary_action_gate_2026-07-30/VERIFIER_REPORT.md	e21a1b133d256747f36e0f1ebd7f6f45a4f24b55	50aae94061065cd2f3ebecf9616c7378adad81f124fd6e9942454b42609e626c	17403	VERIFIER
P4-16	udt_p4_boundary_action_gate_2026-07-30/WALL_RESPONSE_LEDGER.tsv	0ded581de057c8ed8aacd167cb22505ad84ffc98	ed8fccd556fccb3848ba5fec75eb43a9762f59a893c83adcb3c6a720b828e773	8871	MACHINE_OR_RAW_EVIDENCE
P4-16	udt_p4_boundary_action_gate_2026-07-30/boundary_action_results.json	6040515cfd495ea937f49380c8e4abea7fe8ec7e	a9d2f4ccb37bfb04e0a2579286ca0828e3d7689a6c0a1115e6d8c86c25d6a408	22233	MACHINE_OR_RAW_EVIDENCE
P4-16	udt_p4_boundary_action_gate_2026-07-30/derive_boundary_action.py	7652ef4db96018dd82f31d507d391b200443519d	23e46ac4bcb9f069a47fabc9ec88dce649b5b20498a52ab4365e04bb2c467ffb	45412	EXECUTABLE
P4-20	udt_p4_coupling_derivation_2026-07-31/AUDIT_REPORT.md	734a3f935c849f1e7ec52d4946f967c89be27656	26608677cb7081fc755fd90b90a9269ac5786058658991da1bf724a016d355c3	5021	LOAD_BEARING_REPORT
P4-20	udt_p4_coupling_derivation_2026-07-31/CORRECTION_LAYER.md	e12aa9bfa79d4c2af25732c618f7e1152e1bad80	975f59f8260790198fceca55dde265480cf6f94b85b893869de5afd5d4cf96cb	7641	PACKAGE_RECORD
P4-20	udt_p4_coupling_derivation_2026-07-31/COUPLING_LEDGER.tsv	56af9d6602a2c9b70e511b3aa0e19063ecec6362	97292024ee57adc5747bad9ce6546119b2c2d63aa310d135a1ab327b6ce80cc9	5482	MACHINE_OR_RAW_EVIDENCE
