unit_id	package	producer	verifier	shared_inputs	shared_expressions_or_parsers	independence_grade	circularity_risk	cold_review_disposition
P4-10	udt_p4_routeD_field_registration_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-11	udt_p4_routeP_seal_parity_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-12	udt_p4_gradient_seat_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-13	udt_p4_angular_completion_2026-07-30	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-14	udt_mirror_canon_provenance_audit_2026-07-30	derive_*.py or source document	none or document/provenance audit	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	MAP_OR_PROVENANCE_ONLY	No independent algebra is implied by the package headline.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-15	udt_p4_seam_closure_derivation_2026-07-30	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-16	udt_p4_boundary_action_gate_2026-07-30	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-17	udt_p4_period_gate_2026-07-30	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-18	udt_p4_stability_slice_2026-07-30	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-19	udt_p4_doorway_study_2026-07-31	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-20	udt_p4_coupling_derivation_2026-07-31	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-21	udt_p4_timelive_map_2026-07-31	derive_*.py or source document	none or document/provenance audit	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	MAP_OR_PROVENANCE_ONLY	No independent algebra is implied by the package headline.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-22	udt_p4_timelive_stage_T1_2026-07-31	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-23	udt_p4_timelive_stage_T2_2026-07-31	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-24	udt_p4_timelive_stage_T3_2026-07-31	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-25	udt_p4_angular_map_2026-07-31	derive_*.py or source document	none or document/provenance audit	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	MAP_OR_PROVENANCE_ONLY	No independent algebra is implied by the package headline.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-26	udt_p4_angular_stage_A1_2026-07-31	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-27	udt_p4_angular_stage_A2_2026-07-31	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-28	udt_p4_angular_stage_A3_2026-07-31	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
X-SHARED-01	static response chain P4-03/05/06/22/23/27	successive inheritance	successive in-package scripts	same 16-object census and R1-R15 definitions	same K4 characters and k_mod=0 identity	DEPENDENT_CHAIN_WITH_LOCAL_RECOMPUTATIONS	Exact embedding can mean schema equality rather than existence of a fixed realized solution.	NARROWED to formal pointwise module embedding.
X-SHARED-02	mass/stability chain P4-07/08/17/18/20/24/28	mass definitions inherited downstream	package-local	quadratic atlas; pairing/census/posture; labeled mass definitions	E0, ell, I_p, M-GEN/M-WALL	DEPENDENT_PREMISE_CHAIN	A downstream survival claim cannot establish physical mass ownership.	NARROWED to conditional definitions and reduced sectors.
X-SHARED-03	A3 cap dependency	A3 parser over TORIC_CAP_ENUMERATION.tsv	A3 verifier parses same upstream table	104 upstream cap-vector rows	determinant and primitivity	ALGEBRA_INDEPENDENT_BUT_DATA_SHARED	The upstream cap file is direct-cited but absent from the 311-row source freeze.	104/104 recomputed from base bytes; transitive-freeze gap reported.
X-SHARED-04	A3 C1 recovery	20-row period ledger	field-digest reconstruction	same period ledger	120 field digests	PARSER_COPY_CHECK_ONLY	Proves faithful recovery, not the period algebra itself.	Labeled regression; real/circle algebra recomputed separately.
