claim_id	unit_id	package	unit_kind	source_clause	semantic_premise_id	required_premise_tokens	premise_stack	quantifier_guard	regrade	replacement_sentence	evidence	completeness_limit	falsifier_disposition	source_path	source_start_line	source_end_line	source_anchor_token	source_excerpt_sha256	shared_source_premise_id	source_provenance_class	source_stamp_id	fields_covered_or_dropped	action_terms_covered_or_dropped	equations_covered_or_dropped	domain_covered_or_dropped	boundary_covered_or_dropped	topology_covered_or_dropped	dynamical_character_covered_or_dropped	branches_covered_or_dropped	stability_covered_or_dropped	regime_and_limits
MC-038	P4-09	udt_p4_bookkeeping_forcing_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the constant-versus-field census fork reduces the integrated-versus-pointwise bookkeeping fork	SEM:6e347b277b3350f2	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	SCOPE=stationary jet<=2 tangent bookkeeping; constant-versus-field census and integrated-versus-pointwise pairings kept distinct; reduction holds only in the enumerated tangent/pairing class; census ownership remains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=constant/field census and integrated/pointwise pairing forks remain free; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a metric derivation of the census choice or the unrun field-response exhaustion; QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	NARROWED	The evidence supports 'the constant-versus-field census fork reduces the integrated-versus-pointwise bookkeeping fork' only within banked tangent dimensions, enumerated pairings, stationary jet<=2 footing; it does not establish a metric derivation of the census choice or the unrun field-response exhaustion.	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	a metric derivation of the census choice or the unrun field-response exhaustion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	22	48	R2 REDUCES to the census fork	1a1ec5e881c32e0f51f756a14073ba8caacb3cb0ec96f6780e66b3491c163d40	P4-09:census_reduction	PREREGISTERED_SOURCE_INVENTORY	P4-09:census_reduction:1a1ec5e881c3	constant versus promoted moduli tangent directions	no action selected; no action term is used in this clause set	pairing/tangent localization theorem	banked tangent dimensions, enumerated pairings, stationary jet<=2 footing	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a metric derivation of the census choice or the unrun field-response exhaustion
MC-039	P4-09	udt_p4_bookkeeping_forcing_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the reduction is a theorem on the declared tangent/pairing class	SEM:6e347b277b3350f2	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	SCOPE=stationary jet<=2 tangent bookkeeping; constant-versus-field census and integrated-versus-pointwise pairings kept distinct; reduction holds only in the enumerated tangent/pairing class; census ownership remains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=constant/field census and integrated/pointwise pairing forks remain free; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a metric derivation of the census choice or the unrun field-response exhaustion; QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	NARROWED	The evidence supports 'the reduction is a theorem on the declared tangent/pairing class' only within banked tangent dimensions, enumerated pairings, stationary jet<=2 footing; it does not establish a metric derivation of the census choice or the unrun field-response exhaustion.	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	a metric derivation of the census choice or the unrun field-response exhaustion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	22	48	R2 REDUCES to the census fork	1a1ec5e881c32e0f51f756a14073ba8caacb3cb0ec96f6780e66b3491c163d40	P4-09:census_reduction	PREREGISTERED_SOURCE_INVENTORY	P4-09:census_reduction:1a1ec5e881c3	constant versus promoted moduli tangent directions	no action selected; no action term is used in this clause set	pairing/tangent localization theorem	banked tangent dimensions, enumerated pairings, stationary jet<=2 footing	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a metric derivation of the census choice or the unrun field-response exhaustion
MC-040	P4-09	udt_p4_bookkeeping_forcing_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the census fork remains free	SEM:6e347b277b3350f2	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	SCOPE=stationary jet<=2 tangent bookkeeping; constant-versus-field census and integrated-versus-pointwise pairings kept distinct; reduction holds only in the enumerated tangent/pairing class; census ownership remains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=constant/field census and integrated/pointwise pairing forks remain free; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a metric derivation of the census choice or the unrun field-response exhaustion; QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	NARROWED	The evidence supports 'the census fork remains free' only within banked tangent dimensions, enumerated pairings, stationary jet<=2 footing; it does not establish a metric derivation of the census choice or the unrun field-response exhaustion.	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	a metric derivation of the census choice or the unrun field-response exhaustion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	94	105	census fork OPEN	88b6bc2207048ff06cb758a2f344e065c514c2a93c21c84bb8663a18da849068	P4-09:fork_open	PREREGISTERED_SOURCE_INVENTORY	P4-09:fork_open:88b6bc220704	constant versus promoted moduli tangent directions	no action selected; no action term is used in this clause set	pairing/tangent localization theorem	banked tangent dimensions, enumerated pairings, stationary jet<=2 footing	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a metric derivation of the census choice or the unrun field-response exhaustion
MC-041	P4-09	udt_p4_bookkeeping_forcing_2026-07-29	PACKAGE_HEADLINE_CLAUSE	no banked source then decided the census fork	SEM:6e347b277b3350f2	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	SCOPE=stationary jet<=2 tangent bookkeeping; constant-versus-field census and integrated-versus-pointwise pairings kept distinct; reduction holds only in the enumerated tangent/pairing class; census ownership remains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=constant/field census and integrated/pointwise pairing forks remain free; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a metric derivation of the census choice or the unrun field-response exhaustion; QUANTIFIER=REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	NARROWED	The evidence supports 'no banked source then decided the census fork' only within banked tangent dimensions, enumerated pairings, stationary jet<=2 footing; it does not establish a metric derivation of the census choice or the unrun field-response exhaustion.	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	a metric derivation of the census choice or the unrun field-response exhaustion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	94	105	census fork OPEN	88b6bc2207048ff06cb758a2f344e065c514c2a93c21c84bb8663a18da849068	P4-09:fork_open	PREREGISTERED_SOURCE_INVENTORY	P4-09:fork_open:88b6bc220704	constant versus promoted moduli tangent directions	no action selected; no action term is used in this clause set	pairing/tangent localization theorem	banked tangent dimensions, enumerated pairings, stationary jet<=2 footing	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a metric derivation of the census choice or the unrun field-response exhaustion
MC-042	P4-10	udt_p4_routeD_field_registration_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the field-moduli class registers at Route-B-analog grade	SEM:b4dccd62b1948848	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	SCOPE=Route-B-analog field/moduli class, coherence, cocycle and alphabet registration only; census is a domain-definition choice at this grade; response exhaustion, action and physical field selection absent; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a selected field census, exhausted field-response space, or mass verdict; QUANTIFIER=REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	NARROWED	The evidence supports 'the field-moduli class registers at Route-B-analog grade' only within Route-B-analog class/coherence/cocycle/alphabet registration grade; it does not establish a selected field census, exhausted field-response space, or mass verdict.	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	a selected field census, exhausted field-response space, or mass verdict	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	25	38	The field-moduli census REGISTERS	15eb3ecf182839a9356f6f3f75cb5fab61757d382242853aaf24a228a929b894	P4-10:registration	PREREGISTERED_SOURCE_INVENTORY	P4-10:registration:15eb3ecf1828	promoted lambda,k_mod,k10,C fields and local jets	no action selected; no action term is used in this clause set	class connection/cocycle/alphabet registration, not response solve	Route-B-analog class/coherence/cocycle/alphabet registration grade	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a selected field census, exhausted field-response space, or mass verdict
MC-043	P4-10	udt_p4_routeD_field_registration_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the package was the first P4 verdict with no required amendment	SEM:b4dccd62b1948848	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	SCOPE=Route-B-analog field/moduli class, coherence, cocycle and alphabet registration only; census is a domain-definition choice at this grade; response exhaustion, action and physical field selection absent; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a selected field census, exhausted field-response space, or mass verdict; QUANTIFIER=REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	NARROWED	The evidence supports 'the package was the first P4 verdict with no required amendment' only within Route-B-analog class/coherence/cocycle/alphabet registration grade; it does not establish a selected field census, exhausted field-response space, or mass verdict.	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	a selected field census, exhausted field-response space, or mass verdict	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	13	23	PASS with NO required amendments	c8e6d39f8f4591ac6c56bdb7aca06795c242d149e63f26ab4ddb094775d8e55c	P4-10:no_amendment	PREREGISTERED_SOURCE_INVENTORY	P4-10:no_amendment:c8e6d39f8f45	promoted lambda,k_mod,k10,C fields and local jets	no action selected; no action term is used in this clause set	class connection/cocycle/alphabet registration, not response solve	Route-B-analog class/coherence/cocycle/alphabet registration grade	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a selected field census, exhausted field-response space, or mass verdict
MC-044	P4-10	udt_p4_routeD_field_registration_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the census fork becomes a pure domain-definition choice at class-registration level	SEM:bdbfdb61fb41f820	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	SCOPE=Route-B-analog field/moduli class, coherence, cocycle and alphabet registration only; census is a domain-definition choice at this grade; response exhaustion, action and physical field selection absent; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=field-class registration does not select a pairing or exhaust the response on the promoted-field branch; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a selected field census, exhausted field-response space, or mass verdict; QUANTIFIER=REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	REGISTRATION_NOT_RESPONSE_EXHAUSTION; owner sign-off pending in source wording	NARROWED	The evidence supports 'the census fork becomes a pure domain-definition choice at class-registration level' only within Route-B-analog class/coherence/cocycle/alphabet registration grade; it does not establish a selected field census, exhausted field-response space, or mass verdict.	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	a selected field census, exhausted field-response space, or mass verdict	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	101	115	stands as a PURE domain-definition choice	57f6f1f423c1fd043f135f27b66707a4e140bcdacc0d3c2ff9075efb83e3e907	P4-10:domain_choice	PREREGISTERED_SOURCE_INVENTORY	P4-10:domain_choice:57f6f1f423c1	promoted lambda,k_mod,k10,C fields and local jets	no action selected; no action term is used in this clause set	class connection/cocycle/alphabet registration, not response solve	Route-B-analog class/coherence/cocycle/alphabet registration grade	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a selected field census, exhausted field-response space, or mass verdict
MC-045	P4-11	udt_p4_routeP_seal_parity_2026-07-29	PACKAGE_HEADLINE_CLAUSE	epsilon_lambda=-1 is derived on the named mirror-seal ladder	SEM:d36167e6346f5c50	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	SCOPE=registered stationary P0/P1 seal and pairing ladders; epsilon_lambda=-1 derived; constant lambda then zero on named ladder; epsilon_kmod=-1 only where P2 states it; epsilon_m is supplied; BASE and BR-M branches separated; P1-4D a_F=0 certificate fails while P1-triad a_F=1 certificate remains; SIGN=epsilon_lambda=-1 derived; epsilon_kmod=-1 only on P2 where stated; epsilon_m supplied; a_F=0 on P1-4D and a_F=1 on P1-triad; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a universal parity value or physical mass exclusion; QUANTIFIER=PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	NARROWED	The evidence supports 'epsilon_lambda=-1 is derived on the named mirror-seal ladder' only within P0/P1 seal and pairing ladders in the registered stationary chart; it does not establish a universal parity value or physical mass exclusion.	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md	a universal parity value or physical mass exclusion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md	38	55	ε_λ = −1 DERIVED	e79123346d0276f7f108a12639ce441876d7bfc5861d6c309f2cf5838d5fd10d	P4-11:parity_ladder	PREREGISTERED_SOURCE_INVENTORY	P4-11:parity_ladder:e79123346d02	seal-dressed moduli and pairing branches	no action selected; no action term is used in this clause set	mirror parity equations on named ladders	P0/P1 seal and pairing ladders in the registered stationary chart	named N=2/seam/completion boundary data carried	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a universal parity value or physical mass exclusion
MC-046	P4-11	udt_p4_routeP_seal_parity_2026-07-29	PACKAGE_HEADLINE_CLAUSE	constant lambda is then pinned to zero	SEM:c6f678117257b245	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	SCOPE=registered stationary P0/P1 seal and pairing ladders; epsilon_lambda=-1 derived; constant lambda then zero on named ladder; epsilon_kmod=-1 only where P2 states it; epsilon_m is supplied; BASE and BR-M branches separated; P1-4D a_F=0 certificate fails while P1-triad a_F=1 certificate remains; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a universal parity value or physical mass exclusion; QUANTIFIER=PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	NARROWED	The evidence supports 'constant lambda is then pinned to zero' only within P0/P1 seal and pairing ladders in the registered stationary chart; it does not establish a universal parity value or physical mass exclusion.	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md	a universal parity value or physical mass exclusion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md	94	102	constants λ = k_mod = 0 pinned	9db52284391c55bbe58022a53557eba469347727246811ebef3c159c6c1cf8e0	P4-11:constant_cut	PREREGISTERED_SOURCE_INVENTORY	P4-11:constant_cut:9db52284391c	seal-dressed moduli and pairing branches	no action selected; no action term is used in this clause set	mirror parity equations on named ladders	P0/P1 seal and pairing ladders in the registered stationary chart	named N=2/seam/completion boundary data carried	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a universal parity value or physical mass exclusion
MC-047	P4-11	udt_p4_routeP_seal_parity_2026-07-29	PACKAGE_HEADLINE_CLAUSE	anchored pairing bifurcates	SEM:dd5c618b6c1b2580	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	SCOPE=registered stationary P0/P1 seal and pairing ladders; epsilon_lambda=-1 derived; constant lambda then zero on named ladder; epsilon_kmod=-1 only where P2 states it; epsilon_m is supplied; BASE and BR-M branches separated; P1-4D a_F=0 certificate fails while P1-triad a_F=1 certificate remains; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=anchored pairing bifurcation retained per named seal ladder; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a universal parity value or physical mass exclusion; QUANTIFIER=PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	PER_SECTOR_AND_PAIRING_BRANCH; epsilon_m supplied where stated	NARROWED	The evidence supports 'anchored pairing bifurcates' only within P0/P1 seal and pairing ladders in the registered stationary chart; it does not establish a universal parity value or physical mass exclusion.	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md	a universal parity value or physical mass exclusion	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeP_seal_parity_2026-07-29/AUDIT_REPORT.md	59	78	The anchored-pairing bifurcation	4fac224a5553c379469e346ea4ea2c7d9a966b5f430ae05bfbe2feaaa062b935	P4-11:pairing_bifurcation	PREREGISTERED_SOURCE_INVENTORY	P4-11:pairing_bifurcation:4fac224a5553	seal-dressed moduli and pairing branches	no action selected; no action term is used in this clause set	mirror parity equations on named ladders	P0/P1 seal and pairing ladders in the registered stationary chart	named N=2/seam/completion boundary data carried	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a universal parity value or physical mass exclusion
